Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,15683000000.0,9272000000.0,6411000000.0,398000000.0,1288000000.0,1686000000.0,4725000000.0,33000000.0,4758000000.0,1380000000.0,3378000000.0,3.74,3.67,903542000.0,919783000.0,7609000000.0,17187000000.0,3090000000.0,576000000.0,1180000000.0,,3690000000.0,33332000000.0,15024000000.0,,253000000.0,241000000.0,1961000000.0,53926000000.0,6511000000.0,3996000000.0,2590000000.0,13097000000.0,922000000.0,,,4139000000.0,18158000000.0,26695000000.0,111000000.0,35768000000.0,53926000000.0,209000000.0,205000000.0,425000000.0,-271000000.0,121000000.0,,-47000000.0,956000000.0,606000000.0,316000000.0,5781000000.0,12922000000.0,6216000000.0,3199000000.0,6000000.0,,376000000.0,5000000.0,64000000.0,-3958000000.0,374000000.0,252000000.0,523000000.0,2346000000.0,980000000.0
2010-03-27,29182000000.0,17146000000.0,12036000000.0,824000000.0,2508000000.0,3332000000.0,8704000000.0,83000000.0,8787000000.0,2335000000.0,6452000000.0,7.12,7.0,907548000.0,922878000.0,10018000000.0,13137000000.0,2886000000.0,638000000.0,1142000000.0,,4515000000.0,32336000000.0,18549000000.0,,480000000.0,263000000.0,1925000000.0,57057000000.0,5666000000.0,4021000000.0,2542000000.0,12229000000.0,941000000.0,,,4539000000.0,17709000000.0,29670000000.0,125000000.0,39348000000.0,57057000000.0,425000000.0,436000000.0,893000000.0,-482000000.0,183000000.0,,-149000000.0,-18000000.0,577000000.0,-287000000.0,8111000000.0,25061000000.0,13331000000.0,8686000000.0,9000000.0,325000000.0,650000000.0,32000000.0,-19000000.0,-4041000000.0,534000000.0,413000000.0,685000000.0,4755000000.0,2144000000.0
2010-06-26,44882000000.0,26710000000.0,18172000000.0,1288000000.0,3946000000.0,5234000000.0,12938000000.0,141000000.0,13079000000.0,3374000000.0,9705000000.0,10.69,10.51,912197000.0,927361000.0,9705000000.0,14583000000.0,3447000000.0,942000000.0,1216000000.0,2952000000.0,3188000000.0,36033000000.0,21551000000.0,,714000000.0,318000000.0,2119000000.0,64725000000.0,8469000000.0,4452000000.0,2691000000.0,15612000000.0,1021000000.0,3828000000.0,,4981000000.0,21614000000.0,32870000000.0,108000000.0,43111000000.0,64725000000.0,698000000.0,655000000.0,1298000000.0,79000000.0,487000000.0,1256000000.0,71000000.0,2812000000.0,806000000.0,-239000000.0,12912000000.0,41318000000.0,19758000000.0,14048000000.0,10000000.0,615000000.0,1245000000.0,63000000.0,26000000.0,-9471000000.0,733000000.0,652000000.0,1001000000.0,4442000000.0,2657000000.0
2010-09-25,65225000000.0,39541000000.0,25684000000.0,1782000000.0,5517000000.0,7299000000.0,18385000000.0,155000000.0,18540000000.0,4527000000.0,14013000000.0,15.41,15.15,909461000.0,924712000.0,11261000000.0,14359000000.0,5510000000.0,1051000000.0,-2566000000.0,4414000000.0,3447000000.0,41678000000.0,25391000000.0,,741000000.0,342000000.0,2263000000.0,75183000000.0,12015000000.0,5723000000.0,2984000000.0,20722000000.0,1139000000.0,4300000000.0,,5531000000.0,27392000000.0,37169000000.0,-46000000.0,47791000000.0,75183000000.0,1027000000.0,879000000.0,1440000000.0,2142000000.0,596000000.0,2718000000.0,120000000.0,6307000000.0,1217000000.0,778000000.0,18595000000.0,57793000000.0,24930000000.0,21788000000.0,18000000.0,638000000.0,2005000000.0,116000000.0,2000000.0,-13854000000.0,912000000.0,751000000.0,1257000000.0,5998000000.0,2697000000.0
2010-12-25,26741000000.0,16443000000.0,10298000000.0,575000000.0,1896000000.0,2471000000.0,7827000000.0,136000000.0,7963000000.0,1959000000.0,6004000000.0,6.53,6.43,919294000.0,933154000.0,10734000000.0,16243000000.0,6027000000.0,885000000.0,1724000000.0,4847000000.0,3467000000.0,43927000000.0,32730000000.0,,741000000.0,522000000.0,2954000000.0,86742000000.0,14301000000.0,5953000000.0,3541000000.0,23795000000.0,1216000000.0,5418000000.0,,7065000000.0,32076000000.0,43050000000.0,114000000.0,54666000000.0,86742000000.0,356000000.0,299000000.0,823000000.0,517000000.0,-166000000.0,433000000.0,558000000.0,2346000000.0,634000000.0,653000000.0,9773000000.0,19575000000.0,3279000000.0,6853000000.0,,,1214000000.0,49000000.0,23000000.0,-10729000000.0,208000000.0,454000000.0,429000000.0,-527000000.0,826000000.0
2011-03-26,51408000000.0,30892000000.0,20516000000.0,1156000000.0,3659000000.0,4815000000.0,15701000000.0,162000000.0,15863000000.0,3872000000.0,11991000000.0,13.02,12.83,923196000.0,935944000.0,15978000000.0,13256000000.0,5798000000.0,930000000.0,1683000000.0,5297000000.0,4055000000.0,46997000000.0,36533000000.0,,741000000.0,507000000.0,3885000000.0,94904000000.0,13714000000.0,7022000000.0,3591000000.0,24327000000.0,1230000000.0,6150000000.0,,7870000000.0,33427000000.0,49025000000.0,126000000.0,61477000000.0,94904000000.0,790000000.0,586000000.0,1563000000.0,288000000.0,-121000000.0,883000000.0,1886000000.0,1626000000.0,698000000.0,1674000000.0,15992000000.0,42260000000.0,10211000000.0,21705000000.0,,0.0,1838000000.0,81000000.0,-12000000.0,-12251000000.0,494000000.0,740000000.0,976000000.0,4717000000.0,1913000000.0
2011-06-25,79979000000.0,47541000000.0,32438000000.0,1784000000.0,5574000000.0,7358000000.0,25080000000.0,334000000.0,25414000000.0,6115000000.0,19299000000.0,20.91,20.63,926108000.0,937810000.0,12091000000.0,16304000000.0,6102000000.0,889000000.0,1892000000.0,5369000000.0,4251000000.0,46898000000.0,47761000000.0,,741000000.0,1169000000.0,3440000000.0,106758000000.0,15270000000.0,7597000000.0,3992000000.0,26859000000.0,1407000000.0,7331000000.0,,9149000000.0,37415000000.0,56239000000.0,389000000.0,69343000000.0,106758000000.0,1271000000.0,870000000.0,2232000000.0,592000000.0,-162000000.0,955000000.0,1551000000.0,2480000000.0,1276000000.0,2608000000.0,27100000000.0,75133000000.0,16396000000.0,34301000000.0,,0.0,2615000000.0,266000000.0,-34000000.0,-27283000000.0,577000000.0,915000000.0,1013000000.0,830000000.0,2563000000.0
2011-09-24,108249000000.0,64431000000.0,43818000000.0,2429000000.0,7599000000.0,10028000000.0,33790000000.0,415000000.0,34205000000.0,8283000000.0,25922000000.0,28.05,27.68,924258000.0,936645000.0,9815000000.0,16137000000.0,5369000000.0,776000000.0,-6018000000.0,6348000000.0,4529000000.0,44988000000.0,55618000000.0,,896000000.0,3536000000.0,3556000000.0,116371000000.0,14632000000.0,9247000000.0,4091000000.0,27970000000.0,1686000000.0,8159000000.0,,10100000000.0,39756000000.0,62841000000.0,443000000.0,76615000000.0,116371000000.0,1814000000.0,1168000000.0,2868000000.0,-143000000.0,-275000000.0,1934000000.0,1391000000.0,2515000000.0,1654000000.0,4495000000.0,37529000000.0,102317000000.0,20437000000.0,49416000000.0,,244000000.0,4260000000.0,3192000000.0,259000000.0,-40419000000.0,831000000.0,1133000000.0,1444000000.0,-1446000000.0,3338000000.0
2011-12-31,46333000000.0,25630000000.0,20703000000.0,758000000.0,2605000000.0,3363000000.0,17340000000.0,137000000.0,17477000000.0,4413000000.0,13064000000.0,14.03,13.87,931041000.0,941572000.0,10310000000.0,19846000000.0,8930000000.0,1236000000.0,1937000000.0,7554000000.0,4958000000.0,54771000000.0,67445000000.0,,896000000.0,3472000000.0,4281000000.0,138681000000.0,18221000000.0,11500000000.0,4886000000.0,34607000000.0,2187000000.0,9725000000.0,,11833000000.0,48627000000.0,75709000000.0,384000000.0,90054000000.0,138681000000.0,721000000.0,420000000.0,1456000000.0,3561000000.0,460000000.0,1206000000.0,962000000.0,4314000000.0,1296000000.0,2472000000.0,17554000000.0,40175000000.0,3038000000.0,21472000000.0,,,1321000000.0,108000000.0,34000000.0,-17128000000.0,91000000.0,333000000.0,69000000.0,495000000.0,1474000000.0
2012-03-31,85519000000.0,46252000000.0,39267000000.0,1599000000.0,4944000000.0,6543000000.0,32724000000.0,285000000.0,33009000000.0,8323000000.0,24686000000.0,26.48,26.17,933582000.0,944893000.0,10121000000.0,18417000000.0,7042000000.0,1102000000.0,2253000000.0,6727000000.0,5050000000.0,50712000000.0,81638000000.0,8847000000.0,1141000000.0,3604000000.0,4992000000.0,150934000000.0,17011000000.0,9778000000.0,5247000000.0,32036000000.0,2446000000.0,11704000000.0,,13954000000.0,48436000000.0,87124000000.0,524000000.0,102498000000.0,150934000000.0,1461000000.0,844000000.0,2915000000.0,1663000000.0,326000000.0,379000000.0,1510000000.0,2809000000.0,1916000000.0,778000000.0,31531000000.0,85022000000.0,7702000000.0,49052000000.0,,350000000.0,2778000000.0,160000000.0,48000000.0,-31604000000.0,377000000.0,636000000.0,379000000.0,306000000.0,4835000000.0
