Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2013-03-31,4329000000.0,,,,1237000000.0,3024000000.0,1305000000.0,,1239000000.0,271000000.0,,0.61,0.6,1588000000.0,1605000000.0,6979000000.0,,,1037000000.0,1397000000.0,,,14923000000.0,,2200000000.0,6060000000.0,2153000000.0,1715000000.0,27169000000.0,,,,6766000000.0,,,,,,330000000.0,-1237000000.0,2957000000.0,27169000000.0,,87000000.0,,,-11000000.0,,,,,,1187000000.0,,,,,0.0,88000000.0,,,1487000000.0,,,-1582000000.0,,
2013-06-30,9021000000.0,,,,2643000000.0,6263000000.0,2758000000.0,,2607000000.0,571000000.0,,1.28,1.27,1589000000.0,1609000000.0,8743000000.0,,,1085000000.0,1442000000.0,,,15662000000.0,,2213000000.0,6120000000.0,2101000000.0,1693000000.0,27910000000.0,,,,6805000000.0,,,,,,758000000.0,-1169000000.0,3558000000.0,27910000000.0,,133000000.0,,,50000000.0,,,,,,3224000000.0,,,,,134000000.0,207000000.0,,,1720000000.0,,,-2082000000.0,,
2013-09-30,13679000000.0,,,,3904000000.0,9550000000.0,4129000000.0,,3893000000.0,893000000.0,,1.88,1.86,1590000000.0,1605000000.0,8975000000.0,,,1172000000.0,1419000000.0,,,16543000000.0,,2244000000.0,6199000000.0,1993000000.0,1150000000.0,28252000000.0,,,,6875000000.0,,,,,,1081000000.0,-981000000.0,3577000000.0,28252000000.0,,175000000.0,,,86000000.0,,,,,,5022000000.0,,,,,358000000.0,340000000.0,,,756000000.0,,,-2695000000.0,,
2013-12-31,18790000000.0,,,,5352000000.0,13126000000.0,5664000000.0,,5332000000.0,1204000000.0,,2.58,2.56,1589000000.0,1604000000.0,9595000000.0,,,1150000000.0,423000000.0,,,17848000000.0,,2298000000.0,6277000000.0,1890000000.0,767000000.0,29198000000.0,933000000.0,,,6879000000.0,,570000000.0,,1337000000.0,,1567000000.0,-442000000.0,4492000000.0,29198000000.0,,212000000.0,624000000.0,,56000000.0,,,,,,6267000000.0,,,,,405000000.0,491000000.0,,,879000000.0,,,-3442000000.0,,
2014-03-31,4563000000.0,,,,1340000000.0,3212000000.0,1351000000.0,,1286000000.0,306000000.0,,0.61,0.61,1595000000.0,1609000000.0,8140000000.0,,,1104000000.0,1075000000.0,,,17329000000.0,,2333000000.0,6271000000.0,1802000000.0,803000000.0,28657000000.0,,,,6216000000.0,,,,,,1874000000.0,-426000000.0,4697000000.0,28657000000.0,,106000000.0,,,-50000000.0,,,,,,624000000.0,,,,,,137000000.0,,,-797000000.0,,,-1277000000.0,,
2014-06-30,9489000000.0,,,,2788000000.0,6623000000.0,2866000000.0,,2719000000.0,641000000.0,,1.3,1.29,1594000000.0,1608000000.0,9086000000.0,,,1048000000.0,1104000000.0,,,17794000000.0,,2387000000.0,6244000000.0,1695000000.0,795000000.0,29045000000.0,,,,6317000000.0,,,,,,2299000000.0,-420000000.0,5218000000.0,29045000000.0,,154000000.0,,,-97000000.0,,,,,,2341000000.0,,,,,17000000.0,279000000.0,,,-1156000000.0,,,-1692000000.0,,
2014-09-30,14508000000.0,,,,4383000000.0,10682000000.0,3826000000.0,,3406000000.0,822000000.0,,1.61,1.6,1595000000.0,1610000000.0,7719000000.0,,,1008000000.0,524000000.0,,,17555000000.0,,2432000000.0,6002000000.0,1540000000.0,801000000.0,28454000000.0,,,,6635000000.0,,,,,,2131000000.0,-913000000.0,4645000000.0,28454000000.0,,198000000.0,,,-20000000.0,,,,,,4127000000.0,,,,,572000000.0,459000000.0,,,-3440000000.0,,,-2411000000.0,,
2014-12-31,19960000000.0,,,,7724000000.0,16549000000.0,3411000000.0,,2369000000.0,595000000.0,,1.11,1.1,1595000000.0,1610000000.0,8348000000.0,,,1124000000.0,1323000000.0,,,16088000000.0,,2485000000.0,5862000000.0,1513000000.0,1507000000.0,27547000000.0,881000000.0,,,11400000000.0,,630000000.0,,990000000.0,,535000000.0,-2031000000.0,1742000000.0,27547000000.0,,241000000.0,-380000000.0,,203000000.0,,,,,,3549000000.0,,,,,622000000.0,612000000.0,,,-926000000.0,,,-3293000000.0,,
2015-03-31,5040000000.0,,,,1473000000.0,3353000000.0,1687000000.0,,1396000000.0,374000000.0,,0.64,0.63,1595000000.0,1608000000.0,7906000000.0,,,1022000000.0,1056000000.0,,,15408000000.0,,2431000000.0,5534000000.0,1478000000.0,1755000000.0,26699000000.0,,,,11050000000.0,,,,,,739000000.0,-2467000000.0,1377000000.0,26699000000.0,,119000000.0,,,75000000.0,,,,,,1585000000.0,,,,,736000000.0,145000000.0,,,-873000000.0,,,-930000000.0,,
2015-06-30,10515000000.0,,,,3176000000.0,6976000000.0,3539000000.0,,3074000000.0,686000000.0,,1.48,1.47,1620000000.0,1633000000.0,7400000000.0,,,1623000000.0,1227000000.0,,,16877000000.0,,2517000000.0,13209000000.0,19937000000.0,1181000000.0,53855000000.0,,,,11258000000.0,,6059000000.0,,,,1256000000.0,-2374000000.0,5504000000.0,53855000000.0,,174000000.0,,,160000000.0,,,,,,3417000000.0,,,,794000000.0,11488000000.0,260000000.0,,,-13384000000.0,,,9239000000.0,-948000000.0,
2015-09-30,16459000000.0,,,,4650000000.0,11035000000.0,5424000000.0,,4721000000.0,1094000000.0,,2.22,2.21,1652000000.0,1664000000.0,9223000000.0,,,1841000000.0,1100000000.0,,,17912000000.0,,2546000000.0,13243000000.0,19822000000.0,1235000000.0,54832000000.0,,,,8813000000.0,,5996000000.0,,,,1654000000.0,-2499000000.0,4863000000.0,54832000000.0,,229000000.0,,,446000000.0,,,,,,5572000000.0,,,,794000000.0,11488000000.0,387000000.0,,-19000000.0,-12639000000.0,,,8183000000.0,875000000.0,
2015-12-31,22859000000.0,,,,6387000000.0,15322000000.0,7537000000.0,,6645000000.0,1501000000.0,,3.15,3.13,1625000000.0,1637000000.0,8399000000.0,,,1719000000.0,2369000000.0,,,16314000000.0,,2565000000.0,13168000000.0,19709000000.0,1149000000.0,53050000000.0,1597000000.0,,,10894000000.0,,5276000000.0,,844000000.0,,2248000000.0,-2561000000.0,3945000000.0,53050000000.0,,282000000.0,152000000.0,,434000000.0,,,,,,7535000000.0,,,,964000000.0,11488000000.0,532000000.0,,-19000000.0,-12936000000.0,,,5752000000.0,51000000.0,
2016-03-31,5958000000.0,,,,1355000000.0,3680000000.0,2278000000.0,,1776000000.0,422000000.0,,0.83,0.83,1616000000.0,1625000000.0,7556000000.0,,4753000000.0,1789000000.0,,,,16622000000.0,,2597000000.0,13274000000.0,19512000000.0,1328000000.0,53720000000.0,,,,10662000000.0,,5412000000.0,,,,2673000000.0,-2423000000.0,4643000000.0,53720000000.0,,138000000.0,,-81000000.0,-19000000.0,,,,,,2128000000.0,,,,,28000000.0,121000000.0,,,-1458000000.0,,,-1219000000.0,-843000000.0,
2016-06-30,12410000000.0,,,,2821000000.0,7745000000.0,4665000000.0,,3872000000.0,908000000.0,,1.82,1.81,1624000000.0,1632000000.0,6327000000.0,,5048000000.0,1756000000.0,,,,16791000000.0,,2618000000.0,15507000000.0,29450000000.0,1445000000.0,67211000000.0,,,,9272000000.0,,7180000000.0,,,,3349000000.0,-2390000000.0,5640000000.0,67211000000.0,,209000000.0,,194000000.0,,,,,,,4046000000.0,,,,132000000.0,2455000000.0,252000000.0,,,-5756000000.0,,,-55000000.0,-2072000000.0,
2016-09-30,18842000000.0,,,,4202000000.0,11816000000.0,7026000000.0,,5886000000.0,1324000000.0,4562000000.0,2.79,2.78,1632000000.0,1640000000.0,6218000000.0,,4999000000.0,1630000000.0,,,,16290000000.0,,2638000000.0,15657000000.0,29113000000.0,1550000000.0,66626000000.0,,,,9103000000.0,,6124000000.0,,,,4011000000.0,-2340000000.0,6469000000.0,66626000000.0,,278000000.0,,129000000.0,-28000000.0,,,,,,5500000000.0,,,,172000000.0,2477000000.0,365000000.0,,,-5955000000.0,,,-1426000000.0,-2181000000.0,
2016-12-31,25638000000.0,,,,5855000000.0,16254000000.0,9384000000.0,,7884000000.0,1931000000.0,5953000000.0,3.65,3.63,1622000000.0,1631000000.0,5100000000.0,,,1444000000.0,2077000000.0,,,16187000000.0,,2604000000.0,15416000000.0,28897000000.0,1212000000.0,66099000000.0,1407000000.0,,,9781000000.0,,6890000000.0,,1160000000.0,,4378000000.0,-2586000000.0,4636000000.0,66099000000.0,,353000000.0,-796000000.0,71000000.0,38000000.0,,,,,,7041000000.0,,,,262000000.0,2495000000.0,479000000.0,,-118000000.0,-6074000000.0,,,-3928000000.0,-3299000000.0,
2017-03-31,6538000000.0,,,,1368000000.0,4119000000.0,2419000000.0,,2086000000.0,375000000.0,1711000000.0,1.07,1.06,1597000000.0,1603000000.0,4740000000.0,,4677000000.0,1427000000.0,,,,15547000000.0,,2612000000.0,15490000000.0,28629000000.0,1263000000.0,65664000000.0,,,,8844000000.0,,6797000000.0,,,,5063000000.0,-2542000000.0,4998000000.0,65664000000.0,,141000000.0,,34000000.0,-71000000.0,,,,,,2102000000.0,,,,63000000.0,,95000000.0,,,-684000000.0,,,-1794000000.0,-360000000.0,
2017-06-30,13482000000.0,,,,2872000000.0,8389000000.0,5093000000.0,,4439000000.0,813000000.0,3626000000.0,2.26,2.25,1595000000.0,1602000000.0,6088000000.0,,4859000000.0,1582000000.0,,,,16962000000.0,,2657000000.0,15652000000.0,28366000000.0,1305000000.0,66994000000.0,,,,12259000000.0,,6391000000.0,,,,5951000000.0,-2548000000.0,6009000000.0,66994000000.0,,217000000.0,,167000000.0,-1000000.0,,,,,,4105000000.0,,,,100000000.0,0.0,221000000.0,,,-366000000.0,,,-2774000000.0,988000000.0,
2017-09-30,20477000000.0,,,,4324000000.0,12679000000.0,7798000000.0,,6534000000.0,1277000000.0,5257000000.0,3.28,3.27,1597000000.0,1603000000.0,8446000000.0,,4891000000.0,1785000000.0,,,,18930000000.0,,2697000000.0,15748000000.0,28167000000.0,1327000000.0,68840000000.0,,,,13033000000.0,,6147000000.0,,,,6547000000.0,-2613000000.0,6687000000.0,68840000000.0,,288000000.0,,163000000.0,119000000.0,,,,,,7376000000.0,,,,180000000.0,0.0,347000000.0,,,-475000000.0,,,-3584000000.0,3346000000.0,
2017-12-31,28216000000.0,,,,6275000000.0,18624000000.0,9592000000.0,,7727000000.0,2418000000.0,5309000000.0,3.31,3.3,1596000000.0,1603000000.0,9303000000.0,,,1605000000.0,1924000000.0,,,21223000000.0,,2803000000.0,15785000000.0,27559000000.0,1326000000.0,70786000000.0,1474000000.0,,,16641000000.0,,2490000000.0,4675000000.0,1241000000.0,,5459000000.0,-2727000000.0,5097000000.0,70786000000.0,,365000000.0,-4162000000.0,391000000.0,-93000000.0,,,,,,9960000000.0,,,,308000000.0,0.0,529000000.0,,0.0,-274000000.0,,,-5512000000.0,4203000000.0,
2018-03-31,7934000000.0,,,,1791000000.0,5031000000.0,2903000000.0,,2797000000.0,14000000.0,2783000000.0,1.74,1.74,1591000000.0,1596000000.0,9007000000.0,,5841000000.0,1738000000.0,,,,20444000000.0,,2828000000.0,15880000000.0,27230000000.0,903000000.0,69342000000.0,,,,17058000000.0,,2304000000.0,,,,4977000000.0,-2630000000.0,3553000000.0,69342000000.0,,191000000.0,,681000000.0,71000000.0,,,,,,2645000000.0,,,,372000000.0,,119000000.0,,,-447000000.0,,,-2509000000.0,-296000000.0,
2018-06-30,16212000000.0,,,,3551000000.0,10547000000.0,5665000000.0,,4809000000.0,43000000.0,4766000000.0,3.0,2.99,1579000000.0,1584000000.0,3547000000.0,,5793000000.0,1580000000.0,,,,13845000000.0,,2787000000.0,15692000000.0,26903000000.0,909000000.0,61641000000.0,,,,17224000000.0,,1670000000.0,,,,5495000000.0,-2639000000.0,-3375000000.0,61641000000.0,,276000000.0,,805000000.0,191000000.0,,,,,,5511000000.0,,,,401000000.0,,233000000.0,,,240000000.0,,,-11487000000.0,-5756000000.0,
2018-09-30,24448000000.0,5696000000.0,,,5470000000.0,15624000000.0,8824000000.0,,7570000000.0,57000000.0,7513000000.0,4.81,4.79,1556000000.0,1561000000.0,8015000000.0,,5780000000.0,1786000000.0,,,,18465000000.0,,2950000000.0,15718000000.0,26625000000.0,943000000.0,66164000000.0,,,,15387000000.0,,1490000000.0,,,,6789000000.0,-2559000000.0,-2921000000.0,66164000000.0,,351000000.0,,806000000.0,367000000.0,,,,,,10035000000.0,,,,541000000.0,,515000000.0,,,-723000000.0,,,-10571000000.0,-1288000000.0,
2018-12-31,32753000000.0,7718000000.0,,,7399000000.0,26370000000.0,6383000000.0,,5197000000.0,-490000000.0,5687000000.0,3.67,3.66,1541000000.0,1546000000.0,7289000000.0,,5384000000.0,1605000000.0,2662000000.0,,,16945000000.0,,2883000000.0,15663000000.0,21233000000.0,1208000000.0,59352000000.0,1546000000.0,,,17239000000.0,,1067000000.0,4311000000.0,1307000000.0,,3368000000.0,-2480000000.0,-8446000000.0,59352000000.0,,421000000.0,-1517000000.0,591000000.0,226000000.0,,,,,,13427000000.0,,,,736000000.0,,638000000.0,,0.0,-1006000000.0,,,-14396000000.0,-2014000000.0,
2019-03-31,7828000000.0,1694000000.0,,,1680000000.0,4818000000.0,3010000000.0,,2544000000.0,88000000.0,2456000000.0,1.65,1.65,1480000000.0,1483000000.0,4897000000.0,,5680000000.0,1702000000.0,,,,14413000000.0,,2860000000.0,15606000000.0,20846000000.0,1567000000.0,56769000000.0,,,,13904000000.0,,1116000000.0,,,,4234000000.0,-2516000000.0,-7826000000.0,56769000000.0,,189000000.0,,316000000.0,128000000.0,,,,,,3017000000.0,,,,320000000.0,,107000000.0,,,-27000000.0,,,-5383000000.0,-2392000000.0,
2019-06-30,16083000000.0,3513000000.0,,,3334000000.0,9673000000.0,6410000000.0,,3351000000.0,154000000.0,3197000000.0,2.15,2.14,1480000000.0,1484000000.0,5172000000.0,,5482000000.0,1895000000.0,,,,15100000000.0,,2879000000.0,15642000000.0,20459000000.0,1589000000.0,57142000000.0,,,,16941000000.0,,1148000000.0,,,,3384000000.0,-2491000000.0,-8566000000.0,57142000000.0,,276000000.0,,96000000.0,288000000.0,,,,,,5494000000.0,,,,440000000.0,,235000000.0,,,-167000000.0,,,-7453000000.0,-2117000000.0,
2019-09-30,24562000000.0,5433000000.0,,,4991000000.0,15535000000.0,9027000000.0,,5352000000.0,271000000.0,5081000000.0,3.41,3.41,1481000000.0,1483000000.0,10648000000.0,,5529000000.0,1929000000.0,,,,20166000000.0,,2894000000.0,15537000000.0,19036000000.0,1677000000.0,59441000000.0,,,,17493000000.0,,1058000000.0,,,,3673000000.0,-2528000000.0,-8226000000.0,59441000000.0,,351000000.0,,207000000.0,401000000.0,,,,,,10049000000.0,,,,476000000.0,,389000000.0,,,1211000000.0,,,-7894000000.0,3359000000.0,
2019-12-31,33266000000.0,7439000000.0,,,6942000000.0,20283000000.0,12983000000.0,,8426000000.0,544000000.0,7882000000.0,5.3,5.28,1481000000.0,1484000000.0,39924000000.0,,5428000000.0,1813000000.0,2786000000.0,,,49519000000.0,,2962000000.0,15604000000.0,18649000000.0,2288000000.0,89115000000.0,1452000000.0,,,15585000000.0,,1130000000.0,3453000000.0,1222000000.0,,4717000000.0,-3596000000.0,-8172000000.0,89115000000.0,,430000000.0,122000000.0,74000000.0,231000000.0,,,,,,13324000000.0,,,,1135000000.0,,552000000.0,,-167000000.0,596000000.0,,,18708000000.0,32635000000.0,
