Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2021-03-31,886936000.0,254515000.0,,363061000.0,,1333881000.0,-446945000.0,,-1165902000.0,6309000.0,-1172211000.0,,,600960000.0,600960000.0,4482641000.0,,,,,,,10926641000.0,,210953000.0,654017000.0,69325000.0,177121000.0,12339077000.0,116688000.0,1440557000.0,946204000.0,6573192000.0,,,,204305000.0,9179654000.0,-7177918000.0,-2200000.0,3159423000.0,12339077000.0,,229474000.0,,,,,,37326000.0,538332000.0,,494368000.0,,,,,,7706000.0,,0.0,-1172286000.0,,,1567534000.0,817329000.0,
2021-06-30,2222132000.0,548942000.0,,712795000.0,,2720355000.0,-498223000.0,,-1222886000.0,17542000.0,-1240428000.0,,,611739000.0,611739000.0,5672682000.0,,,,,,,14095982000.0,,193250000.0,654554000.0,63653000.0,188299000.0,15484810000.0,97669000.0,1561965000.0,1483909000.0,9496350000.0,,,,202622000.0,12091609000.0,-7246135000.0,7000.0,3393201000.0,15484810000.0,,462337000.0,,,,,,18109000.0,1075993000.0,,1285667000.0,,,,,,15358000.0,,0.0,-846770000.0,,,3901072000.0,4284215000.0,
2021-09-30,4459564000.0,860522000.0,,1057205000.0,,4105814000.0,851973000.0,,850458000.0,34107000.0,833893000.0,,,621012000.0,681916000.0,5994698000.0,,,,,,,12220917000.0,,173876000.0,653639000.0,57981000.0,195532000.0,13582003000.0,97093000.0,1563734000.0,892415000.0,6559314000.0,,,,208335000.0,9133069000.0,-6412242000.0,-3152000.0,4448934000.0,13582003000.0,,673126000.0,,,,,,18034000.0,484497000.0,,1808845000.0,,,,,,20864000.0,,0.0,-1022519000.0,,,1577646000.0,2204966000.0,
2021-12-31,5991760000.0,1155833000.0,,1425048000.0,,5562443000.0,429317000.0,,-300207000.0,51827000.0,-352034000.0,,,615891000.0,615891000.0,6067438000.0,,,,14569000.0,,,12386380000.0,,156585000.0,652602000.0,52308000.0,188563000.0,13708474000.0,118361000.0,1558243000.0,903728000.0,6359282000.0,,,,218459000.0,8932761000.0,-6357741000.0,-6893000.0,4775713000.0,13708474000.0,85600000.0,898830000.0,10935000.0,,,,,39946000.0,495816000.0,,2189694000.0,,,,,0.0,25322000.0,,-500000.0,-1351955000.0,,,1431159000.0,2059037000.0,
2022-03-31,1508937000.0,362623000.0,,362927000.0,,1514068000.0,-5131000.0,,-8086000.0,10706000.0,-18792000.0,,,635314000.0,635314000.0,6886628000.0,,,,,,,15761447000.0,,142729000.0,651864000.0,46673000.0,202619000.0,17068442000.0,128187000.0,1729672000.0,1747746000.0,9773782000.0,,,,214758000.0,12331026000.0,-6376533000.0,-12415000.0,4737416000.0,17068442000.0,,194923000.0,,,,,,10270000.0,844019000.0,,1201992000.0,,,,,,5959000.0,,2847000.0,-196970000.0,,,2203519000.0,3211939000.0,
2022-06-30,3613044000.0,752730000.0,,737977000.0,,3249352000.0,368823000.0,,383111000.0,15000000.0,378841000.0,,,638407000.0,684148000.0,7837992000.0,,,,,,,17825649000.0,,118056000.0,649418000.0,42426000.0,258944000.0,19059126000.0,139248000.0,1639842000.0,1980863000.0,11287165000.0,,,,207329000.0,13814101000.0,-5997692000.0,-24030000.0,5245025000.0,19059126000.0,,442028000.0,,,,,,23266000.0,1078321000.0,,2001739000.0,,,,,,11007000.0,,2847000.0,171031000.0,,,3649486000.0,5514371000.0,
2022-09-30,6497454000.0,1153879000.0,,1104159000.0,,4930281000.0,1567173000.0,,1644924000.0,70600000.0,1574337000.0,,,638696000.0,682791000.0,7523688000.0,,,,,,,14866524000.0,,118459000.0,646527000.0,38154000.0,252709000.0,16076590000.0,152661000.0,1784704000.0,1220256000.0,8015327000.0,,,,212267000.0,10536454000.0,-5783403000.0,-41871000.0,5540136000.0,16076590000.0,,676392000.0,,,,,,39219000.0,318618000.0,,2967302000.0,,,,,,16606000.0,,2227000.0,115271000.0,,,75430000.0,2532093000.0,
2022-12-31,8399000000.0,1499000000.0,,1502000000.0,,6597000000.0,1802000000.0,,1989000000.0,96000000.0,1893000000.0,,,637000000.0,680000000.0,7378000000.0,,,,16000000.0,,,14861000000.0,,121000000.0,650000000.0,34000000.0,234000000.0,16038000000.0,137000000.0,1817000000.0,1182000000.0,7978000000.0,,,,218000000.0,10478000000.0,-5965000000.0,-32000000.0,5560000000.0,16038000000.0,42600000.0,930000000.0,-1000000.0,,,,,20000000.0,280000000.0,,3430000000.0,,,,,,25000000.0,,2000000.0,-28000000.0,,,-689000000.0,2376000000.0,
2023-03-31,1818000000.0,428000000.0,,420000000.0,,1823000000.0,-5000000.0,,130000000.0,13400000.0,117000000.0,,,634000000.0,670000000.0,8166000000.0,,,,,,,18869000000.0,,122000000.0,,,207000000.0,20018000000.0,161000000.0,2119000000.0,2172000000.0,12212000000.0,,,,227000000.0,14727000000.0,-6341000000.0,-30000000.0,5291000000.0,20018000000.0,,240000000.0,,,,,,24000000.0,989000000.0,,1587000000.0,,,,,,6000000.0,,0.0,-183000000.0,,,2286000000.0,3769000000.0,
2023-06-30,4302000000.0,860000000.0,,871000000.0,,3784000000.0,523000000.0,,806000000.0,39000000.0,767000000.0,,,635000000.0,667000000.0,7905000000.0,,,,,,,20052000000.0,,132000000.0,,,194000000.0,21188000000.0,100000000.0,2033000000.0,2347000000.0,13624000000.0,,,,231000000.0,16129000000.0,-6198000000.0,-33000000.0,5059000000.0,21188000000.0,,544000000.0,,,,,,-38000000.0,1163000000.0,,2496000000.0,,,,,,15000000.0,,0.0,-203000000.0,,,2453000000.0,4878000000.0,
