Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1621202000.0,,,,,,,,,8173000.0,,8.6,8.23,52007616.0,54386690.0,341469000.0,,,,,,,,,,,,,16777399000.0,,,,,,,,,12379396000.0,4053332000.0,173231000.0,,16777399000.0,,19376000.0,,,,,,,,-15771000.0,390137000.0,9483319000.0,456937000.0,9111774000.0,357460000.0,,7860000.0,,,-73476000.0,14370000.0,,-296654000.0,6898000.0,
2010-12-31,3244067000.0,,,,,,,,,7868000.0,,16.28,15.55,50181716.0,52521719.0,362740000.0,,,,,,,,,,,,,15770792000.0,,,,,,,,,11257789000.0,4422553000.0,204503000.0,,15770792000.0,,31065000.0,-11425000.0,,,,,,,-39196000.0,802074000.0,16936257000.0,949870000.0,16654774000.0,523532000.0,,11664000.0,,,16097000.0,27649000.0,,-785637000.0,28169000.0,
2012-12-31,3482381000.0,,,,,,,,589387000.0,-4010000.0,593397000.0,4.15,4.03,134446158.0,138258847.0,371041000.0,,,,98582000.0,,,,,,,,,17816762000.0,,,,,,,,,12647884000.0,5354361000.0,287017000.0,,17816762000.0,,42303000.0,-13014000.0,,,,,,,41049000.0,921603000.0,17568592000.0,1115594000.0,16366306000.0,1000049000.0,-28948000.0,18532000.0,,,-395968000.0,7033000.0,,-513035000.0,19342000.0,1800000.0
2013-03-31,890141000.0,,,,,,,,261329000.0,4853000.0,256476000.0,1.92,1.85,130907902.0,135409288.0,356767000.0,,,,112200000.0,,,,,,,,,18757061000.0,,,,,,,,,13421531000.0,5605353000.0,229563000.0,5335530000.0,18757061000.0,,11543000.0,,,,,,,,23811000.0,205659000.0,3970320000.0,181727000.0,3796638000.0,250442000.0,,3742000.0,,,-210432000.0,1280000.0,,-3065000.0,-14274000.0,1300000.0
2013-06-30,1741931000.0,,,,,,,,443340000.0,9924000.0,433416000.0,3.22,3.11,131377274.0,135849050.0,375119000.0,,,,140700000.0,,,,,,,,,18917683000.0,,,,,,,,,13683365000.0,5776808000.0,-49322000.0,5234318000.0,18917683000.0,,31466000.0,,,,,,,,-26981000.0,388354000.0,8599697000.0,424953000.0,8468641000.0,648915000.0,0.0,7092000.0,,,-305712000.0,,,-66128000.0,4078000.0,4800000.0
2013-09-30,2603079000.0,,,,,,,,565561000.0,17320000.0,548241000.0,4.05,3.92,131495296.0,136034413.0,436141000.0,,,,143800000.0,,,,,,,,,18930823000.0,,,,,,,,,13487538000.0,5886149000.0,41955000.0,5443285000.0,18930823000.0,,40305000.0,,,,,,,,-15893000.0,627048000.0,12436587000.0,595503000.0,11877419000.0,992935000.0,0.0,10953000.0,,,-485672000.0,,,-71503000.0,65100000.0,7600000.0
2013-12-31,3526157000.0,,,,,,,,742505000.0,32774000.0,709731000.0,5.24,5.07,131355392.0,135777183.0,434057000.0,,,,128561000.0,,,,,,,,,19566094000.0,,,,,,,,,13918598000.0,6042154000.0,74964000.0,5647496000.0,19566094000.0,,49237000.0,78000.0,,,,,,,-29989000.0,850868000.0,18174988000.0,731708000.0,17196614000.0,1326729000.0,0.0,17499000.0,,,-1307513000.0,,,524018000.0,63016000.0,15300000.0
2014-03-31,946231000.0,,,,,,,,182883000.0,3738000.0,182500000.0,1.34,1.3,131857910.0,136562717.0,1569605000.0,,,,151200000.0,,,,,,,,,21800358000.0,,,,,,,,,14895495000.0,6219170000.0,123719000.0,5892133000.0,21800358000.0,,14175000.0,,,,,,,,59285000.0,198169000.0,7131071000.0,168484000.0,7014281000.0,304454000.0,235578000.0,5382000.0,,,-41226000.0,,,978364000.0,1135548000.0,1600000.0
2014-06-30,1981891000.0,,,,,,,,401889000.0,11027000.0,390516000.0,2.87,2.78,132650634.0,136889944.0,926443000.0,,,,151500000.0,,,,,,,,,22573515000.0,,,,,,,,,15332450000.0,6421701000.0,233883000.0,6229399000.0,22573515000.0,,35627000.0,,,,,,,,43133000.0,453063000.0,14311748000.0,432040000.0,13204854000.0,1022987000.0,235578000.0,10360000.0,,,-952067000.0,,,988877000.0,492386000.0,8300000.0
2014-09-30,2974422000.0,,,,,,,,631599000.0,17473000.0,619191000.0,4.56,4.42,132151824.0,136354172.0,663726000.0,,,,155800000.0,,,,,,,,,22610685000.0,,,,,,,,,15528200000.0,6644892000.0,102186000.0,6081046000.0,22610685000.0,,45118000.0,,,,,,,,117889000.0,799659000.0,22030862000.0,636729000.0,20284869000.0,1596691000.0,235578000.0,14575000.0,,,-1311100000.0,,,750676000.0,229669000.0,13300000.0
2014-12-31,3988873000.0,,,,,,,,844247000.0,22987000.0,834355000.0,6.21,6.02,130817610.0,134922322.0,485702000.0,,,,130992000.0,,,,,,14946000.0,,,22009543000.0,,,,,,,,,14890897000.0,6854571000.0,128856000.0,6130053000.0,22009543000.0,,54789000.0,-7563000.0,,,,,,,101757000.0,1037130000.0,28745279000.0,762995000.0,26823192000.0,2257481000.0,237106000.0,19883000.0,,,-1505421000.0,,,539943000.0,51645000.0,
2015-03-31,1082344000.0,,,,,,,,321435000.0,12678000.0,283336000.0,2.24,2.16,124209276.0,128451054.0,471012000.0,,,,124700000.0,,,,,,,,,22849680000.0,,,,,,,,,15551780000.0,7132423000.0,158023000.0,6288702000.0,22849680000.0,,13238000.0,,,,,,,,-48856000.0,85461000.0,7030731000.0,272657000.0,6857459000.0,685497000.0,2432000.0,32897000.0,,,44619000.0,,,-138302000.0,-14690000.0,3600000.0
2015-06-30,2101996000.0,,,,,,,,454034000.0,19458000.0,399126000.0,3.16,3.05,122957384.0,127156713.0,525074000.0,,,,143900000.0,,,,,,,,,23084925000.0,,,,,,,,,15947534000.0,7242728000.0,66441000.0,6137515000.0,23084925000.0,,36044000.0,,,,,,,,-94841000.0,385199000.0,14641391000.0,474984000.0,14355519000.0,1273780000.0,-818000.0,43165000.0,,,-39154000.0,,,-306634000.0,39372000.0,26000000.0
2015-09-30,3034586000.0,,,,,,,,527738000.0,29162000.0,479159000.0,3.79,3.66,122151971.0,126354759.0,649779000.0,,,,139900000.0,,,,,,,,,23770592000.0,,,,,,,,,16628526000.0,7317277000.0,9809000.0,6162815000.0,23770592000.0,,46575000.0,,,,,,,,6638000.0,807579000.0,22382104000.0,630397000.0,21411554000.0,1320250000.0,-818000.0,10901000.0,,43654000.0,-500750000.0,,,-134094000.0,164077000.0,35500000.0
2015-12-31,3936590000.0,,,,,,,,567194000.0,40612000.0,537738000.0,4.24,4.09,121786127.0,126038743.0,553326000.0,,,,135694000.0,,,,,,15536000.0,,,23177270000.0,,,,,,,,,16028376000.0,7370371000.0,-16502000.0,6204881000.0,23177270000.0,,56096000.0,-3582000.0,,,,,,,45223000.0,997906000.0,29451873000.0,748529000.0,28094047000.0,1749525000.0,-818000.0,15736000.0,,36993000.0,-913875000.0,,,-4656000.0,67624000.0,
2016-03-31,1086676000.0,,,,,,,,191937000.0,16310000.0,154798000.0,1.24,1.2,120428179.0,124496496.0,557961000.0,,,,123700000.0,,,,,,,,,24541369000.0,,,,,,,,,17167593000.0,7519685000.0,101629000.0,6413587000.0,24541369000.0,,14265000.0,,,,,,,,32697000.0,322543000.0,8133537000.0,163894000.0,7827536000.0,305198000.0,0.0,3952000.0,,-6737000.0,-233267000.0,,,-86973000.0,4635000.0,2500000.0
2016-06-30,2277828000.0,,,,,,,,455425000.0,30441000.0,365853000.0,2.94,2.85,120599060.0,124425126.0,516591000.0,,,,113000000.0,,,,,,,,,24411917000.0,,,,,,,,,16714040000.0,7725255000.0,163834000.0,6703922000.0,24411917000.0,,35769000.0,,,,,,,,56314000.0,541224000.0,17541731000.0,370980000.0,16978549000.0,650613000.0,1460000.0,8284000.0,,-13416000.0,-355668000.0,,,-213385000.0,-36735000.0,26600000.0
2016-09-30,3475329000.0,,,,,,,,772276000.0,43672000.0,618725000.0,4.99,4.84,120938916.0,124931653.0,578816000.0,,,,124100000.0,,,,,,,,,25643231000.0,,,,,,,,,17250642000.0,7972643000.0,119752000.0,7352322000.0,25643231000.0,,46311000.0,,,,,,,,139596000.0,1037139000.0,27840555000.0,540823000.0,26731924000.0,1008774000.0,20911000.0,11565000.0,,3816000.0,-1255108000.0,,,253791000.0,25490000.0,40700000.0
2016-12-31,4463556000.0,,,,,,,,855552000.0,31374000.0,692738000.0,5.5,5.33,120792114.0,124717493.0,842942000.0,,,,221237000.0,,,,,,204021000.0,,,29372109000.0,,,,,,,,,20060984000.0,7996701000.0,-114541000.0,8253718000.0,29372109000.0,,56581000.0,-19371000.0,,,,,,,222069000.0,1396644000.0,35532810000.0,755007000.0,34559966000.0,1389406000.0,1992720000.0,15303000.0,,45905000.0,-2721543000.0,,,1635669000.0,289616000.0,
2017-03-31,1319176000.0,,,,,,,,302432000.0,28397000.0,253127000.0,1.8,1.74,134034927.0,139047672.0,703754000.0,,,,227500000.0,,,,,,,,,30092226000.0,,,,,,,,,20412552000.0,8238296000.0,-15677000.0,8605844000.0,30092226000.0,,15657000.0,,,,,,,,,208118000.0,10476918000.0,174718000.0,10386746000.0,427039000.0,,5194000.0,,-19603000.0,-121878000.0,,,-227669000.0,-139188000.0,700000.0
2017-06-30,2726713000.0,,,,,,,,535700000.0,62566000.0,438294000.0,3.1,2.99,134486664.0,139244646.0,740320000.0,,,,221100000.0,,,,,,,,,30862639000.0,,,,,,,,,20880560000.0,8412114000.0,78441000.0,8898887000.0,30862639000.0,,42739000.0,,,,,,,,,554067000.0,19899326000.0,447941000.0,19611680000.0,883704000.0,0.0,11103000.0,,13792000.0,-336395000.0,,,-327790000.0,-102622000.0,3900000.0
2017-09-30,4206267000.0,,,,,,,,498672000.0,70755000.0,404638000.0,2.7,2.61,134885451.0,139222324.0,862361000.0,,,,248300000.0,,,,,,,,,32624797000.0,,,,,,,,,22646926000.0,8359354000.0,129682000.0,8911144000.0,32624797000.0,,58308000.0,,,,,,,,,1081134000.0,28079129000.0,747621000.0,27629474000.0,1406528000.0,27709000.0,16862000.0,,-86145000.0,-880582000.0,,,-194914000.0,19419000.0,47900000.0
2017-12-31,5627375000.0,,,,,,,,757277000.0,127568000.0,619278000.0,4.21,4.07,134712788.0,139261675.0,606199000.0,,,,39562000.0,,,,,,198236000.0,,,32051658000.0,,,,,,,,,21805723000.0,8562889000.0,118044000.0,9196602000.0,32051658000.0,,67798000.0,173304000.0,,,,,,,,1112617000.0,36806913000.0,907417000.0,35686779000.0,2020624000.0,27709000.0,22841000.0,,-110470000.0,-1359996000.0,,,-3405000.0,-236743000.0,
2018-03-31,1283955000.0,,,,,,,,188299000.0,21915000.0,150423000.0,1.01,0.99,135846576.0,139297934.0,680891000.0,,,,28100000.0,,,,,,,,,32131955000.0,,,,,,,,,21921458000.0,8849959000.0,-134009000.0,9150372000.0,32131955000.0,,14664000.0,,,,,,,,,400180000.0,9681267000.0,287031000.0,8679147000.0,522454000.0,,4240000.0,,-40037000.0,-57914000.0,,,-338905000.0,4972000.0,-49900000.0
2018-06-30,2694764000.0,,,,,,,,468314000.0,45583000.0,394069000.0,0.91,0.89,406162508.0,415460756.0,526628000.0,,,,9700000.0,,,,,,,,,31853120000.0,,,,,,,,,21622107000.0,9083202000.0,-194157000.0,9163755000.0,31853120000.0,,35419000.0,,,,,,,,,496886000.0,16867570000.0,511448000.0,16090543000.0,1017147000.0,,13242000.0,,-49961000.0,102399000.0,,,-733029000.0,-144175000.0,-46500000.0
2018-09-30,4098548000.0,,,,,,,,750436000.0,78939000.0,621477000.0,1.45,1.42,405076228.0,413993192.0,651037000.0,,,,17200000.0,,,,,,,,,32252534000.0,,,,,,,,,21814433000.0,9300208000.0,-221041000.0,9355148000.0,32252534000.0,,45806000.0,,,,,,,,,1120987000.0,24837917000.0,724021000.0,23310203000.0,1543332000.0,0.0,19050000.0,,-58227000.0,-390083000.0,,,-736744000.0,-17465000.0,-34000000.0
2018-12-31,5450568000.0,,,,,,,,841772000.0,113951000.0,757971000.0,1.76,1.73,404347621.0,412906478.0,646556000.0,,,,22502000.0,,,,,,249620000.0,,,32218329000.0,,,,,,,,,21780650000.0,9426299000.0,-178720000.0,9439827000.0,32218329000.0,,55776000.0,28088000.0,,,,,,,,1559322000.0,33327660000.0,892755000.0,31513271000.0,2014622000.0,0.0,29809000.0,,-21736000.0,-554020000.0,,,-988810000.0,-2641000.0,-980000.0
2019-03-31,1722846000.0,,,,,,,,541384000.0,45886000.0,448528000.0,1.09,1.07,400184404.0,408971029.0,633100000.0,,,,,,,,,,,,,33977037000.0,,,,,,,,,22817977000.0,9864424000.0,38323000.0,10114596000.0,33977037000.0,,25891000.0,,,,,,,,,235398000.0,7444470000.0,100424000.0,7076590000.0,324593000.0,,9423000.0,,93731000.0,-294793000.0,,,41519000.0,-14427000.0,-32700000.0
2019-06-30,3501986000.0,,,,,,,,1071701000.0,90358000.0,917482000.0,2.24,2.19,401482784.0,410899483.0,605316000.0,,,,,,,,,,,,,34851670000.0,,,,,,,,,23032496000.0,10322975000.0,206827000.0,10757352000.0,34851670000.0,,41537000.0,,,,,,,,,712524000.0,16332646000.0,244949000.0,15632482000.0,677063000.0,,16359000.0,,174578000.0,-746944000.0,,,-9085000.0,-41568000.0,43500000.0
2019-09-30,5184646000.0,,,,,,,,1509006000.0,128474000.0,1309935000.0,3.19,3.11,402564121.0,413180201.0,880099000.0,,,,,,,,,,,,,35572603000.0,,,,,,,,,23510794000.0,10705025000.0,211714000.0,11158096000.0,35572603000.0,,54432000.0,,,,,,,,,1543139000.0,24010623000.0,394719000.0,22707854000.0,1014925000.0,,27635000.0,,202953000.0,-1250476000.0,,,-46496000.0,237832000.0,47100000.0
2019-12-31,6928200000.0,,,,,,,,1849110000.0,155810000.0,1636319000.0,3.97,3.87,401802815.0,411609478.0,726230000.0,,,,178439000.0,,,,,,326551000.0,,,37885361000.0,,,,,,,,,25569809000.0,11021006000.0,212091000.0,11497371000.0,37885361000.0,,66417000.0,11449000.0,,,,,,,,2048459000.0,30053777000.0,643265000.0,28595865000.0,1470545000.0,,37837000.0,,348486000.0,-1806483000.0,,,-80662000.0,179055000.0,109463000.0
