Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-28,11285510000.0,7811225000.0,,,,9888129000.0,1397381000.0,,1394495000.0,407818000.0,844577000.0,1.33,1.27,638695204.0,770691181.0,4114751000.0,,2470983000.0,,499068000.0,,563408000.0,8774452000.0,,646727000.0,813783000.0,,323270000.0,11890088000.0,683632000.0,679703000.0,1796394000.0,5809219000.0,497460000.0,74849000.0,1168266000.0,213221000.0,,4031834000.0,-198703000.0,2959496000.0,11890088000.0,233416000.0,219416000.0,-4561000.0,266910000.0,,,28799000.0,-29812000.0,158184000.0,-177379000.0,879092000.0,6800000.0,,,,89000.0,78863000.0,,,-77214000.0,,33706000.0,-1174589000.0,-426911000.0,
2010-05-31,17261005000.0,11855070000.0,,,,15059794000.0,2201211000.0,,2197775000.0,647579000.0,1335174000.0,2.1,2.0,641355607.0,768992565.0,4312111000.0,,2350493000.0,,510065000.0,,496770000.0,8843390000.0,,625534000.0,805282000.0,,336849000.0,11917658000.0,683094000.0,620887000.0,1688069000.0,5829054000.0,475770000.0,72008000.0,1198083000.0,207484000.0,,4180885000.0,-279258000.0,2996630000.0,11917658000.0,349730000.0,326629000.0,-24287000.0,268290000.0,,,21472000.0,-13173000.0,126536000.0,-266168000.0,1840015000.0,11165000.0,,,,28530000.0,136613000.0,,,-163845000.0,,55851000.0,-1722620000.0,-229551000.0,
2010-08-31,23094078000.0,15843331000.0,,383700000.0,,20179233000.0,2914845000.0,,2914369000.0,853910000.0,1780656000.0,2.79,2.66,637170234.0,766047794.0,4838292000.0,,2534598000.0,,990606000.0,,490243000.0,9563625000.0,,659569000.0,841234000.0,,624521000.0,12835253000.0,885328000.0,671493000.0,1772833000.0,6567604000.0,497102000.0,67976000.0,1246960000.0,226696000.0,,4634329000.0,-386292000.0,2835746000.0,12835253000.0,474688000.0,425822000.0,71698000.0,355193000.0,,,251058000.0,125126000.0,93024000.0,-111873000.0,3091620000.0,13528000.0,,,,41075000.0,238215000.0,,,-273765000.0,,67323000.0,-2429026000.0,296630000.0,
2010-11-30,6478193000.0,4533713000.0,,,,5651258000.0,826935000.0,,844628000.0,239072000.0,534714000.0,0.84,0.81,637298491.0,742961409.0,4160452000.0,,2846561000.0,,560968000.0,,543711000.0,9469710000.0,,673697000.0,895233000.0,,660038000.0,12868874000.0,824354000.0,660561000.0,1769439000.0,6446851000.0,503565000.0,73528000.0,1338764000.0,220200000.0,,4860443000.0,-329250000.0,2909396000.0,12868874000.0,120059000.0,85096000.0,,291295000.0,,,96355000.0,-49985000.0,-18032000.0,2668000.0,106399000.0,53000.0,,,,60043000.0,75483000.0,,,-134840000.0,,70125000.0,-703607000.0,-677840000.0,
2011-02-28,12974486000.0,9112782000.0,,,,11375974000.0,1598512000.0,,1618775000.0,447469000.0,1037731000.0,1.62,1.56,646292241.0,742912682.0,4677544000.0,,3072103000.0,,567826000.0,,583236000.0,10279277000.0,,694788000.0,966819000.0,,755795000.0,13893673000.0,846365000.0,623227000.0,2114235000.0,6617096000.0,523780000.0,80480000.0,1407127000.0,215217000.0,,5367504000.0,-239481000.0,3592907000.0,13893673000.0,241143000.0,218188000.0,,419387000.0,,,255683000.0,-20006000.0,244788000.0,-64085000.0,707503000.0,726000.0,,,,118262000.0,154058000.0,,,-270425000.0,,105798000.0,-750499000.0,-160748000.0,
2011-05-31,20178841000.0,14007509000.0,,,,17630913000.0,2547928000.0,,2576624000.0,706249000.0,1665744000.0,2.58,2.49,651339239.0,745503329.0,5256684000.0,,3272697000.0,,574521000.0,,615225000.0,11147260000.0,,740771000.0,983389000.0,,752633000.0,14903969000.0,862651000.0,713857000.0,2162514000.0,7372666000.0,563365000.0,52784000.0,1494395000.0,221865000.0,,5674772000.0,-152812000.0,3713803000.0,14903969000.0,371916000.0,343718000.0,,518355000.0,,,331403000.0,-17760000.0,229815000.0,72483000.0,2060463000.0,6834000.0,,,,118662000.0,266739000.0,,,-382257000.0,,131183000.0,-1506969000.0,418392000.0,
2011-08-31,27352914000.0,18966195000.0,,503222000.0,,23882457000.0,3470457000.0,,3512022000.0,958782000.0,2277677000.0,3.53,3.4,645631170.0,742184540.0,5701078000.0,,3236059000.0,,1207335000.0,,587224000.0,11471183000.0,,785231000.0,1131991000.0,,937675000.0,15731510000.0,949250000.0,855208000.0,2219270000.0,7906589000.0,553440000.0,72257000.0,1619076000.0,233581000.0,,6281517000.0,-134380000.0,3878951000.0,15731510000.0,513256000.0,450137000.0,-170258000.0,486128000.0,,,466913000.0,63005000.0,294512000.0,139687000.0,3441739000.0,11173000.0,,,,306187000.0,403714000.0,,,-703387000.0,,171314000.0,-2121504000.0,862786000.0,
2011-11-30,7589108000.0,5337568000.0,,,,6607970000.0,981138000.0,,993027000.0,281270000.0,642086000.0,1.0,0.96,644285298.0,730114347.0,5091906000.0,,3325556000.0,,568649000.0,,512429000.0,10992719000.0,,745898000.0,1225298000.0,,885080000.0,15290845000.0,898113000.0,894457000.0,2112177000.0,7575125000.0,554413000.0,61136000.0,1653847000.0,250031000.0,,6467622000.0,-452483000.0,3766360000.0,15290845000.0,132625000.0,100558000.0,,214629000.0,,,10054000.0,-74357000.0,95231000.0,65445000.0,475258000.0,3561000.0,,,,160055000.0,80875000.0,,,-239911000.0,,31989000.0,-587617000.0,-609172000.0,
2012-02-29,14848936000.0,10481030000.0,,,,12978499000.0,1870437000.0,,1891567000.0,465620000.0,1286009000.0,1.99,1.93,646452990.0,729608665.0,5568746000.0,,3355991000.0,,584149000.0,,623920000.0,11554680000.0,,775871000.0,1232474000.0,,844578000.0,15808096000.0,892436000.0,790307000.0,2370869000.0,7537851000.0,541137000.0,60698000.0,1437393000.0,244954000.0,,7113037000.0,-282124000.0,4468553000.0,15808096000.0,279635000.0,261517000.0,,192300000.0,,,112141000.0,-96897000.0,248782000.0,-8699000.0,1333071000.0,6726000.0,,,,162876000.0,166254000.0,,,-327202000.0,,57975000.0,-965899000.0,-132332000.0,
2012-05-31,22489726000.0,15750915000.0,,,,19558528000.0,2931198000.0,,2958020000.0,769242000.0,1975228000.0,3.06,2.96,645761617.0,729183064.0,5628659000.0,,3222310000.0,,641011000.0,,506681000.0,11458026000.0,,752495000.0,1205678000.0,,694955000.0,15535915000.0,808674000.0,870756000.0,2156711000.0,7593067000.0,546596000.0,50240000.0,1506518000.0,283534000.0,,7330215000.0,-596554000.0,4106004000.0,15535915000.0,414636000.0,412389000.0,,218540000.0,,,18845000.0,-132028000.0,224298000.0,69304000.0,2548661000.0,7554000.0,,,,173684000.0,256716000.0,,,-422770000.0,,70410000.0,-1915871000.0,-72419000.0,
