Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,16799000000.0,15991000000.0,808000000.0,,381000000.0,,,,,120000000.0,345000000.0,0.54,0.54,640000000.0,641000000.0,862000000.0,508000000.0,,,,,586000000.0,22086000000.0,816000000.0,8908000000.0,531000000.0,,734000000.0,36036000000.0,7025000000.0,3141000000.0,,12235000000.0,,395000000.0,,1185000000.0,,10605000000.0,-375000000.0,,36036000000.0,252000000.0,25000000.0,-73000000.0,1685000000.0,1157000000.0,,-52000000.0,,,,-871000000.0,,,,,,335000000.0,,-6000000.0,-502000000.0,,,1189000000.0,-184000000.0,
2010-12-31,37729000000.0,35687000000.0,2042000000.0,,793000000.0,,,,,389000000.0,1077000000.0,1.68,1.68,639000000.0,641000000.0,526000000.0,633000000.0,,,,,695000000.0,28357000000.0,823000000.0,9194000000.0,587000000.0,,674000000.0,42610000000.0,8141000000.0,4085000000.0,,18063000000.0,,546000000.0,,1249000000.0,,11242000000.0,-451000000.0,,42610000000.0,463000000.0,36000000.0,126000000.0,4025000000.0,4620000000.0,,124000000.0,,,,-4083000000.0,,,,,163000000.0,645000000.0,,20000000.0,-1141000000.0,,,4704000000.0,-520000000.0,
2011-09-30,21902000000.0,20868000000.0,1034000000.0,,407000000.0,,,,660000000.0,199000000.0,460000000.0,,,673000000.0,674000000.0,1320000000.0,506000000.0,,,,,618000000.0,27279000000.0,306000000.0,9655000000.0,607000000.0,,399000000.0,41448000000.0,7371000000.0,4289000000.0,,14479000000.0,,836000000.0,,1046000000.0,,12349000000.0,-374000000.0,,41448000000.0,207000000.0,27000000.0,21000000.0,874000000.0,-809000000.0,,-233000000.0,,,,2087000000.0,,,,,12000000.0,443000000.0,,-33000000.0,-249000000.0,,,-1133000000.0,705000000.0,
2011-12-31,45208000000.0,43361000000.0,1847000000.0,,830000000.0,,,,781000000.0,237000000.0,540000000.0,0.12,0.12,669000000.0,670000000.0,864000000.0,594000000.0,5093000000.0,,,,4807000000.0,27224000000.0,352000000.0,9601000000.0,591000000.0,,537000000.0,41516000000.0,4136000000.0,5708000000.0,,14829000000.0,,897000000.0,,863000000.0,,12322000000.0,-563000000.0,,41516000000.0,414000000.0,34000000.0,28000000.0,741000000.0,480000000.0,,,,,,3041000000.0,,,,,206000000.0,852000000.0,,-35000000.0,-934000000.0,,,-1858000000.0,249000000.0,
2012-03-31,66363000000.0,63508000000.0,2855000000.0,,1232000000.0,,,,1349000000.0,400000000.0,939000000.0,1.41,1.41,667000000.0,668000000.0,818000000.0,428000000.0,3078000000.0,,,,6117000000.0,27215000000.0,320000000.0,9800000000.0,596000000.0,,542000000.0,41858000000.0,3122000000.0,5157000000.0,,14794000000.0,,873000000.0,,1097000000.0,,12606000000.0,-423000000.0,,41858000000.0,628000000.0,41000000.0,48000000.0,-1429000000.0,1109000000.0,,,,,,2258000000.0,,,,,239000000.0,1193000000.0,,-30000000.0,-1097000000.0,,,-958000000.0,203000000.0,
2012-06-30,89038000000.0,85370000000.0,3668000000.0,56000000.0,1626000000.0,,,,1765000000.0,523000000.0,1223000000.0,1.84,1.84,665000000.0,666000000.0,1291000000.0,176000000.0,3439000000.0,,-780000000.0,,6593000000.0,26954000000.0,262000000.0,9812000000.0,603000000.0,,534000000.0,41553000000.0,2474000000.0,1206000000.0,,14626000000.0,,720000000.0,,1440000000.0,,12774000000.0,-907000000.0,,41553000000.0,848000000.0,48000000.0,45000000.0,-974000000.0,272000000.0,,,,,,2895000000.0,,,,,241000000.0,1477000000.0,,-61000000.0,-1122000000.0,,,-1097000000.0,676000000.0,
2012-09-30,21808000000.0,21002000000.0,806000000.0,,390000000.0,,,,295000000.0,111000000.0,182000000.0,,,660000000.0,661000000.0,1235000000.0,507000000.0,3003000000.0,,,,7931000000.0,30154000000.0,246000000.0,9883000000.0,541000000.0,,557000000.0,44760000000.0,3674000000.0,2278000000.0,,17562000000.0,,,,1435000000.0,,12841000000.0,-734000000.0,,44760000000.0,217000000.0,22000000.0,102000000.0,-472000000.0,1415000000.0,,,,,,483000000.0,,,,,21000000.0,252000000.0,,-30000000.0,-562000000.0,,,23000000.0,-56000000.0,
2013-03-31,21727000000.0,20971000000.0,756000000.0,,436000000.0,,,,375000000.0,105000000.0,269000000.0,,,661000000.0,662000000.0,1448000000.0,183000000.0,3553000000.0,,,,6415000000.0,27865000000.0,683000000.0,10122000000.0,544000000.0,,760000000.0,43226000000.0,3474000000.0,1798000000.0,,16142000000.0,,,,1478000000.0,,13369000000.0,-591000000.0,,43226000000.0,227000000.0,15000000.0,-6000000.0,146000000.0,-1386000000.0,,,,,,357000000.0,,,,,16000000.0,248000000.0,,-32000000.0,169000000.0,,,-792000000.0,-266000000.0,
2013-06-30,44268000000.0,42705000000.0,1563000000.0,,888000000.0,,,,692000000.0,196000000.0,492000000.0,,,661000000.0,663000000.0,1848000000.0,181000000.0,3520000000.0,,,,5539000000.0,25036000000.0,720000000.0,10091000000.0,545000000.0,,701000000.0,40238000000.0,2971000000.0,634000000.0,,13123000000.0,,,,1469000000.0,,13478000000.0,-638000000.0,,40238000000.0,454000000.0,19000000.0,-65000000.0,97000000.0,-3627000000.0,,,,,,2348000000.0,,,,,16000000.0,442000000.0,,-30000000.0,58000000.0,,,-2272000000.0,134000000.0,
2013-09-30,65661000000.0,62942000000.0,2719000000.0,,1317000000.0,,,,1401000000.0,424000000.0,968000000.0,,,661000000.0,664000000.0,3252000000.0,242000000.0,3447000000.0,,,,5879000000.0,26090000000.0,685000000.0,10125000000.0,552000000.0,,813000000.0,41448000000.0,2942000000.0,1795000000.0,,13753000000.0,,1282000000.0,,1483000000.0,,13828000000.0,-398000000.0,,41448000000.0,681000000.0,30000000.0,4000000.0,-92000000.0,-4788000000.0,,,,,,4869000000.0,,,,,35000000.0,659000000.0,,-38000000.0,-174000000.0,,,-3157000000.0,1538000000.0,
2013-12-31,89804000000.0,85915000000.0,3889000000.0,59000000.0,1759000000.0,,,,2024000000.0,670000000.0,1342000000.0,2.03,2.02,661000000.0,663000000.0,3121000000.0,433000000.0,3224000000.0,11441000000.0,656000000.0,,6350000000.0,28530000000.0,508000000.0,10137000000.0,562000000.0,197000000.0,478000000.0,43752000000.0,4513000000.0,3966000000.0,,15658000000.0,,1448000000.0,,1105000000.0,,14077000000.0,-57000000.0,,43752000000.0,909000000.0,43000000.0,161000000.0,-296000000.0,-2541000000.0,,,,,,5226000000.0,,,,,44000000.0,913000000.0,,-190000000.0,-577000000.0,0.0,,-3242000000.0,1407000000.0,
