Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,7090000000.0,,,,,5674000000.0,1416000000.0,,956000000.0,332000000.0,612000000.0,,,220400000.0,,622000000.0,,434000000.0,782000000.0,,,208000000.0,2842000000.0,,17610000000.0,831000000.0,129000000.0,655000000.0,23790000000.0,,419000000.0,,1711000000.0,,2554000000.0,,496000000.0,,2455000000.0,-16000000.0,7853000000.0,23790000000.0,748000000.0,,,-21000000.0,-67000000.0,,66000000.0,,,103000000.0,1977000000.0,,,,383000000.0,,1704000000.0,4000000.0,-2000000.0,-1789000000.0,634000000.0,,342000000.0,530000000.0,9000000.0
2010-03-31,1916000000.0,,,,,1618000000.0,298000000.0,,181000000.0,75000000.0,102000000.0,,,237600000.0,,360000000.0,,500000000.0,635000000.0,,,116000000.0,2658000000.0,,17671000000.0,831000000.0,124000000.0,670000000.0,23688000000.0,,219000000.0,,1640000000.0,,2604000000.0,,543000000.0,,2466000000.0,-4000000.0,7901000000.0,23688000000.0,190000000.0,,,-37000000.0,-148000000.0,,32000000.0,,,11000000.0,381000000.0,,,,60000000.0,,289000000.0,,1000000.0,-317000000.0,20000000.0,,-326000000.0,-262000000.0,
2010-06-30,3620000000.0,,,,,2991000000.0,629000000.0,,419000000.0,158000000.0,254000000.0,,,238400000.0,,506000000.0,,466000000.0,676000000.0,,,120000000.0,2830000000.0,,17747000000.0,831000000.0,113000000.0,664000000.0,23915000000.0,,298000000.0,,1760000000.0,,2725000000.0,,544000000.0,,2526000000.0,-13000000.0,7991000000.0,23915000000.0,387000000.0,,,36000000.0,-108000000.0,,99000000.0,,,3000000.0,772000000.0,,,,118000000.0,,540000000.0,,1000000.0,-560000000.0,43000000.0,,-328000000.0,-116000000.0,
2010-12-31,7638000000.0,,,,,6722000000.0,916000000.0,,476000000.0,325000000.0,139000000.0,,,238800000.0,,545000000.0,,500000000.0,707000000.0,38000000.0,,109000000.0,2894000000.0,,17853000000.0,411000000.0,7000000.0,754000000.0,23515000000.0,,283000000.0,,1888000000.0,,2886000000.0,,615000000.0,,2225000000.0,-17000000.0,7730000000.0,23515000000.0,783000000.0,,,85000000.0,-78000000.0,,-109000000.0,,,71000000.0,1842000000.0,,,,271000000.0,,1031000000.0,,-24000000.0,-1112000000.0,80000000.0,,-807000000.0,-77000000.0,-92000000.0
2011-03-31,1904000000.0,,,,,1677000000.0,227000000.0,,119000000.0,45000000.0,71000000.0,,,240600000.0,,573000000.0,,517000000.0,572000000.0,,,100000000.0,2715000000.0,,17888000000.0,411000000.0,7000000.0,738000000.0,23329000000.0,,294000000.0,,1837000000.0,,2938000000.0,,553000000.0,,2203000000.0,-20000000.0,7725000000.0,23329000000.0,196000000.0,,,-17000000.0,-135000000.0,,-39000000.0,,,80000000.0,554000000.0,,,,91000000.0,,227000000.0,,1000000.0,-250000000.0,17000000.0,,-276000000.0,28000000.0,
2011-06-30,3685000000.0,,,,,3142000000.0,543000000.0,,343000000.0,130000000.0,209000000.0,,,241200000.0,,378000000.0,,507000000.0,654000000.0,,,104000000.0,2603000000.0,,17945000000.0,411000000.0,4000000.0,848000000.0,23391000000.0,,262000000.0,,1727000000.0,,3121000000.0,,481000000.0,,2248000000.0,-21000000.0,,23391000000.0,391000000.0,,,55000000.0,-55000000.0,,-60000000.0,,,-3000000.0,903000000.0,,,,125000000.0,,507000000.0,,-5000000.0,-498000000.0,32000000.0,,-572000000.0,-167000000.0,
2011-09-30,5953000000.0,,,,,4860000000.0,1093000000.0,,793000000.0,293000000.0,494000000.0,,,241700000.0,,522000000.0,,575000000.0,734000000.0,,,132000000.0,2680000000.0,,17873000000.0,411000000.0,6000000.0,843000000.0,23356000000.0,,251000000.0,,1848000000.0,,3299000000.0,,469000000.0,,2440000000.0,-25000000.0,,23356000000.0,587000000.0,,,-52000000.0,34000000.0,,-64000000.0,,,-4000000.0,1566000000.0,,,,163000000.0,,758000000.0,,-12000000.0,-757000000.0,49000000.0,,-832000000.0,-23000000.0,
2012-03-31,1658000000.0,,,,,2080000000.0,-422000000.0,,-533000000.0,-130000000.0,-403000000.0,,,242600000.0,,208000000.0,,446000000.0,625000000.0,,,134000000.0,2124000000.0,,17535000000.0,411000000.0,9000000.0,773000000.0,22899000000.0,,237000000.0,,1614000000.0,,3111000000.0,,567000000.0,,1869000000.0,-35000000.0,7432000000.0,22899000000.0,188000000.0,,,-109000000.0,-80000000.0,,-14000000.0,,,64000000.0,392000000.0,,,,109000000.0,,282000000.0,,1000000.0,-326000000.0,,,-113000000.0,-47000000.0,
2012-06-30,3318000000.0,,,,,3377000000.0,363000000.0,,-269000000.0,-76000000.0,211000000.0,,,246600000.0,,117000000.0,,417000000.0,686000000.0,,,99000000.0,2154000000.0,,17690000000.0,411000000.0,12000000.0,776000000.0,22980000000.0,,221000000.0,,1603000000.0,,3199000000.0,,564000000.0,,1983000000.0,-30000000.0,7555000000.0,22980000000.0,373000000.0,,,9000000.0,-27000000.0,,-11000000.0,,,72000000.0,805000000.0,,,,206000000.0,,565000000.0,,2000000.0,-638000000.0,,,-305000000.0,-138000000.0,
2012-09-30,5319000000.0,,,,,4743000000.0,635000000.0,,532000000.0,158000000.0,374000000.0,,,242600000.0,,298000000.0,,523000000.0,756000000.0,,,98000000.0,2406000000.0,,17833000000.0,411000000.0,14000000.0,772000000.0,23498000000.0,,193000000.0,,1546000000.0,,3385000000.0,,563000000.0,,2259000000.0,2000000.0,7874000000.0,23498000000.0,552000000.0,,,19000000.0,44000000.0,,29000000.0,,,137000000.0,1361000000.0,,,,341000000.0,,905000000.0,,8000000.0,-1011000000.0,,,-307000000.0,43000000.0,
2013-03-31,1475000000.0,,,,,1290000000.0,185000000.0,,91000000.0,35000000.0,-145000000.0,,,242600000.0,,161000000.0,,479000000.0,461000000.0,80000000.0,,60000000.0,3296000000.0,,15408000000.0,411000000.0,16000000.0,665000000.0,21952000000.0,,163000000.0,,2577000000.0,,3235000000.0,,593000000.0,,764000000.0,-15000000.0,6365000000.0,21952000000.0,166000000.0,9000000.0,,95000000.0,-127000000.0,,-52000000.0,,,29000000.0,379000000.0,,,,35000000.0,,275000000.0,,2000000.0,-303000000.0,,,-99000000.0,-23000000.0,
2013-06-30,2878000000.0,,,,,2432000000.0,446000000.0,,263000000.0,101000000.0,95000000.0,,,242600000.0,,150000000.0,,425000000.0,511000000.0,157000000.0,,104000000.0,3408000000.0,,15601000000.0,411000000.0,18000000.0,654000000.0,22276000000.0,,178000000.0,,3286000000.0,,3348000000.0,,585000000.0,,762000000.0,-9000000.0,6374000000.0,22276000000.0,334000000.0,14000000.0,,92000000.0,-77000000.0,,-49000000.0,,,9000000.0,768000000.0,,,,97000000.0,,575000000.0,,-2000000.0,-637000000.0,,,-165000000.0,-34000000.0,
2013-09-30,4516000000.0,,,,,3503000000.0,1013000000.0,,757000000.0,288000000.0,302000000.0,1.25,1.24,242600000.0,245100000.0,169000000.0,,469000000.0,581000000.0,43000000.0,,108000000.0,3273000000.0,,15834000000.0,411000000.0,19000000.0,660000000.0,22385000000.0,,190000000.0,,3228000000.0,,3422000000.0,,534000000.0,,967000000.0,-19000000.0,6574000000.0,22385000000.0,500000000.0,19000000.0,,88000000.0,-7000000.0,,-20000000.0,,,-24000000.0,1314000000.0,,,,147000000.0,,943000000.0,,1000000.0,-1033000000.0,,,-296000000.0,-15000000.0,
2014-06-30,3013000000.0,,,,,2445000000.0,568000000.0,,413000000.0,163000000.0,245000000.0,1.01,,242600000.0,,46000000.0,,454000000.0,491000000.0,177000000.0,,68000000.0,1965000000.0,,16726000000.0,411000000.0,19000000.0,731000000.0,21588000000.0,,350000000.0,,2312000000.0,,3526000000.0,,524000000.0,,957000000.0,6000000.0,6572000000.0,21588000000.0,349000000.0,15000000.0,,62000000.0,-35000000.0,,68000000.0,,,3000000.0,654000000.0,,,,290000000.0,,883000000.0,,-2000000.0,-770000000.0,,,132000000.0,16000000.0,
2014-09-30,4683000000.0,,,,,3554000000.0,1129000000.0,,903000000.0,357000000.0,538000000.0,2.22,2.2,242600000.0,244300000.0,13000000.0,,467000000.0,561000000.0,301000000.0,,66000000.0,1942000000.0,,16991000000.0,411000000.0,20000000.0,724000000.0,21876000000.0,,350000000.0,,2119000000.0,,3845000000.0,,522000000.0,,1154000000.0,6000000.0,6774000000.0,21876000000.0,526000000.0,20000000.0,,-16000000.0,34000000.0,,123000000.0,,,-70000000.0,1203000000.0,,,,365000000.0,,1310000000.0,,-3000000.0,-1212000000.0,,,-8000000.0,-17000000.0,
2014-12-31,6053000000.0,,,,,4799000000.0,1254000000.0,,970000000.0,377000000.0,586000000.0,2.42,2.4,242600000.0,244400000.0,5000000.0,,423000000.0,524000000.0,352000000.0,,86000000.0,2046000000.0,,17424000000.0,411000000.0,,664000000.0,22676000000.0,,434000000.0,,2249000000.0,,3923000000.0,,514000000.0,,1103000000.0,-9000000.0,6713000000.0,22676000000.0,710000000.0,25000000.0,,-31000000.0,-3000000.0,,-30000000.0,,,-28000000.0,1551000000.0,,,,405000000.0,,1785000000.0,,-11000000.0,-1717000000.0,,,141000000.0,-25000000.0,-27000000.0
2015-03-31,1556000000.0,,,,,1300000000.0,256000000.0,,176000000.0,66000000.0,108000000.0,0.45,,242600000.0,,6000000.0,,524000000.0,449000000.0,331000000.0,,91000000.0,1993000000.0,,17700000000.0,411000000.0,,645000000.0,22884000000.0,,437000000.0,,2520000000.0,,3964000000.0,,524000000.0,,1111000000.0,-9000000.0,6704000000.0,22884000000.0,195000000.0,8000000.0,,48000000.0,-75000000.0,,-14000000.0,,,-33000000.0,298000000.0,,,,84000000.0,,417000000.0,,,-439000000.0,,,142000000.0,1000000.0,
2015-06-30,2957000000.0,,,,,2464000000.0,493000000.0,,334000000.0,125000000.0,258000000.0,1.06,,242600000.0,,2000000.0,,456000000.0,500000000.0,286000000.0,,95000000.0,1991000000.0,,17986000000.0,411000000.0,,649000000.0,23152000000.0,,413000000.0,,2556000000.0,,3931000000.0,,524000000.0,,1161000000.0,-5000000.0,6764000000.0,23152000000.0,387000000.0,14000000.0,,80000000.0,-25000000.0,,-25000000.0,,,-27000000.0,767000000.0,,,,117000000.0,,846000000.0,,-3000000.0,-875000000.0,,,105000000.0,-3000000.0,
2015-09-30,4790000000.0,,,,,3671000000.0,1119000000.0,,887000000.0,333000000.0,601000000.0,2.48,2.47,242600000.0,243900000.0,72000000.0,,508000000.0,548000000.0,225000000.0,,103000000.0,1983000000.0,,18307000000.0,411000000.0,,646000000.0,23459000000.0,,404000000.0,,2489000000.0,,4084000000.0,,530000000.0,,1405000000.0,-5000000.0,7014000000.0,23459000000.0,582000000.0,20000000.0,,71000000.0,23000000.0,,-20000000.0,,,-41000000.0,1528000000.0,,,,301000000.0,,1332000000.0,,-7000000.0,-1362000000.0,,,-99000000.0,67000000.0,
2015-12-31,6098000000.0,,,,,4839000000.0,1259000000.0,,948000000.0,363000000.0,630000000.0,2.6,2.59,242600000.0,243600000.0,292000000.0,,388000000.0,538000000.0,,,88000000.0,1917000000.0,,18799000000.0,411000000.0,,575000000.0,23640000000.0,,379000000.0,,2093000000.0,,3885000000.0,,531000000.0,,1331000000.0,-3000000.0,6946000000.0,23640000000.0,777000000.0,24000000.0,,-83000000.0,14000000.0,,-53000000.0,,,-56000000.0,2017000000.0,,,,363000000.0,,1917000000.0,,-20000000.0,-1976000000.0,,,246000000.0,287000000.0,-15000000.0
2016-03-31,1434000000.0,,,,,1214000000.0,220000000.0,,138000000.0,31000000.0,105000000.0,0.43,,242600000.0,,13000000.0,,428000000.0,483000000.0,,,63000000.0,1458000000.0,,19000000000.0,411000000.0,,573000000.0,23385000000.0,,305000000.0,,1839000000.0,,3928000000.0,,530000000.0,,1333000000.0,-5000000.0,6869000000.0,23385000000.0,210000000.0,6000000.0,,-55000000.0,-55000000.0,,-4000000.0,,,-25000000.0,349000000.0,,,,130000000.0,,496000000.0,,2000000.0,-510000000.0,,,-118000000.0,-279000000.0,
2016-06-30,2861000000.0,,,,,2316000000.0,545000000.0,,378000000.0,123000000.0,252000000.0,1.04,,242600000.0,,13000000.0,,445000000.0,515000000.0,,,68000000.0,1594000000.0,,19324000000.0,411000000.0,,552000000.0,23793000000.0,,270000000.0,,2430000000.0,,4028000000.0,,490000000.0,,1376000000.0,-1000000.0,6922000000.0,23793000000.0,419000000.0,12000000.0,,111000000.0,-23000000.0,,-24000000.0,,,-12000000.0,763000000.0,,,,201000000.0,,1000000000.0,,2000000.0,-1035000000.0,,,-7000000.0,-279000000.0,
2016-09-30,4720000000.0,,,,,3484000000.0,1236000000.0,,982000000.0,356000000.0,621000000.0,2.56,2.56,242600000.0,243000000.0,18000000.0,,543000000.0,551000000.0,,,76000000.0,1599000000.0,,19647000000.0,411000000.0,,566000000.0,24134000000.0,,252000000.0,,2291000000.0,,4255000000.0,,481000000.0,,1643000000.0,-2000000.0,7193000000.0,24134000000.0,625000000.0,17000000.0,,134000000.0,13000000.0,,-9000000.0,,,-29000000.0,1559000000.0,,,,310000000.0,,1496000000.0,,1000000.0,-1551000000.0,,,-282000000.0,-274000000.0,
2016-12-31,6076000000.0,,,,,4695000000.0,1381000000.0,,1041000000.0,382000000.0,653000000.0,2.69,2.68,242600000.0,243400000.0,9000000.0,,437000000.0,527000000.0,676000000.0,,98000000.0,1593000000.0,,20113000000.0,411000000.0,,538000000.0,24699000000.0,,248000000.0,,2674000000.0,,4264000000.0,,477000000.0,,1568000000.0,-23000000.0,7103000000.0,24699000000.0,835000000.0,17000000.0,,71000000.0,-11000000.0,,24000000.0,,,-10000000.0,2123000000.0,,,,392000000.0,,2076000000.0,,-5000000.0,-2141000000.0,,,-265000000.0,-283000000.0,-12000000.0
2017-03-31,1514000000.0,,,,,1260000000.0,254000000.0,,161000000.0,57000000.0,102000000.0,,,242600000.0,,8000000.0,,457000000.0,467000000.0,,,105000000.0,1450000000.0,,20298000000.0,411000000.0,,532000000.0,24811000000.0,,280000000.0,,2762000000.0,,4321000000.0,,481000000.0,,1563000000.0,-23000000.0,7064000000.0,24811000000.0,217000000.0,4000000.0,,-44000000.0,-60000000.0,,-7000000.0,,,3000000.0,331000000.0,,,,64000000.0,,504000000.0,,2000000.0,-539000000.0,,,207000000.0,-1000000.0,
2017-06-30,3052000000.0,,,,,2400000000.0,652000000.0,,469000000.0,171000000.0,295000000.0,,,242600000.0,,10000000.0,,446000000.0,512000000.0,,,97000000.0,1571000000.0,,20589000000.0,411000000.0,,526000000.0,25254000000.0,,298000000.0,,2765000000.0,,4444000000.0,,477000000.0,,1649000000.0,-21000000.0,7158000000.0,25254000000.0,433000000.0,8000000.0,,54000000.0,-14000000.0,,-22000000.0,,,21000000.0,863000000.0,,,,213000000.0,,998000000.0,,2000000.0,-1059000000.0,,,197000000.0,1000000.0,
2017-09-30,4775000000.0,,,,,3542000000.0,1233000000.0,,964000000.0,376000000.0,583000000.0,2.4,2.39,242600000.0,244700000.0,9000000.0,,507000000.0,547000000.0,,,96000000.0,1581000000.0,,20906000000.0,411000000.0,,538000000.0,25617000000.0,,318000000.0,,2581000000.0,,4721000000.0,,469000000.0,,1830000000.0,-21000000.0,7345000000.0,25617000000.0,653000000.0,12000000.0,,59000000.0,20000000.0,,-14000000.0,,,12000000.0,1643000000.0,,,,248000000.0,,1523000000.0,,-3000000.0,-1585000000.0,,,-58000000.0,0.0,
