Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,13489000000.0,,,,,10718000000.0,2771000000.0,,1938000000.0,575000000.0,1360000000.0,2.96,2.96,458677534.0,458982292.0,490000000.0,,1050000000.0,,,,211000000.0,4756000000.0,,34344000000.0,76000000.0,,946000000.0,48348000000.0,1158000000.0,931000000.0,,5327000000.0,,6420000000.0,,1163000000.0,35147000000.0,4451000000.0,-374000000.0,13140000000.0,48348000000.0,,,1244000000.0,,475000000.0,,70000000.0,8000000.0,,-262000000.0,2475000000.0,,,,,,104000000.0,,40000000.0,-2916000000.0,1728000000.0,,520000000.0,79000000.0,
2010-03-31,3569000000.0,,,,,2811000000.0,758000000.0,,549000000.0,207000000.0,345000000.0,0.72,0.72,478429535.0,478844632.0,818000000.0,,1656000000.0,,,,239000000.0,5516000000.0,,34526000000.0,76000000.0,,1077000000.0,49625000000.0,954000000.0,920000000.0,,5515000000.0,,6587000000.0,,1242000000.0,36240000000.0,4597000000.0,-364000000.0,13324000000.0,49625000000.0,,,121000000.0,,-83000000.0,,14000000.0,-83000000.0,,-55000000.0,2000000.0,,,,,,,,32000000.0,-430000000.0,26000000.0,,756000000.0,328000000.0,
2010-06-30,6929000000.0,,,,,5777000000.0,1152000000.0,,750000000.0,272000000.0,481000000.0,1.0,1.0,479050774.0,479176543.0,838000000.0,,1847000000.0,,,,152000000.0,5793000000.0,,34718000000.0,76000000.0,,985000000.0,49937000000.0,863000000.0,1132000000.0,,5778000000.0,,6671000000.0,,1272000000.0,36607000000.0,4533000000.0,-372000000.0,13269000000.0,49937000000.0,,,212000000.0,,-71000000.0,,-51000000.0,-168000000.0,,151000000.0,582000000.0,,,,,,12000000.0,,24000000.0,-992000000.0,42000000.0,,758000000.0,348000000.0,174000000.0
2010-09-30,10993000000.0,,,,,8816000000.0,2177000000.0,,1562000000.0,530000000.0,1037000000.0,2.16,2.16,479578139.0,479750447.0,1090000000.0,,1816000000.0,,,,155000000.0,5421000000.0,,34998000000.0,76000000.0,,910000000.0,49892000000.0,884000000.0,941000000.0,,6148000000.0,,6928000000.0,,804000000.0,36176000000.0,4887000000.0,-364000000.0,13656000000.0,49892000000.0,,,404000000.0,,-240000000.0,,-35000000.0,-163000000.0,,-15000000.0,1702000000.0,,,,,,16000000.0,,19000000.0,-1575000000.0,65000000.0,,473000000.0,600000000.0,-243000000.0
2010-12-31,14427000000.0,,,,,11764000000.0,2663000000.0,,1849000000.0,643000000.0,1214000000.0,2.53,2.53,479373306.0,479601442.0,294000000.0,,1923000000.0,,-7490000000.0,,145000000.0,5016000000.0,,35674000000.0,76000000.0,,1079000000.0,50455000000.0,1061000000.0,952000000.0,,6518000000.0,,7359000000.0,,795000000.0,36773000000.0,4842000000.0,-381000000.0,13622000000.0,50455000000.0,,,809000000.0,,-221000000.0,,-72000000.0,-36000000.0,,56000000.0,2662000000.0,,,,,,155000000.0,,14000000.0,-2523000000.0,93000000.0,,-335000000.0,-196000000.0,-268000000.0
2011-03-31,3730000000.0,,,,,2898000000.0,832000000.0,,627000000.0,278000000.0,354000000.0,0.73,0.73,481144270.0,481365806.0,625000000.0,,1749000000.0,,,,157000000.0,4789000000.0,,35766000000.0,76000000.0,,1347000000.0,50560000000.0,884000000.0,930000000.0,,5989000000.0,,7490000000.0,,993000000.0,36721000000.0,4973000000.0,-373000000.0,13779000000.0,50560000000.0,,,330000000.0,,-121000000.0,,16000000.0,-126000000.0,,-83000000.0,830000000.0,,,,,,,,4000000.0,-613000000.0,31000000.0,,114000000.0,331000000.0,2000000.0
2011-06-30,7339000000.0,,,,,5790000000.0,1549000000.0,,1148000000.0,452000000.0,706000000.0,1.46,1.46,481928494.0,482203255.0,417000000.0,,1866000000.0,,,,,4754000000.0,,36064000000.0,76000000.0,,1264000000.0,50752000000.0,969000000.0,942000000.0,,5887000000.0,,7716000000.0,,997000000.0,36753000000.0,5103000000.0,-362000000.0,13939000000.0,50752000000.0,,,525000000.0,,-146000000.0,,,-87000000.0,,,1732000000.0,,,,,,10000000.0,,22000000.0,-1280000000.0,49000000.0,,-329000000.0,123000000.0,15000000.0
2011-09-30,11672000000.0,,,,,9233000000.0,2439000000.0,,2132000000.0,786000000.0,1635000000.0,3.39,3.39,482498734.0,482796945.0,546000000.0,,1860000000.0,,,,,4374000000.0,,36417000000.0,76000000.0,,1135000000.0,51187000000.0,1003000000.0,1004000000.0,,5684000000.0,,8108000000.0,,978000000.0,36474000000.0,5810000000.0,-380000000.0,14653000000.0,51187000000.0,,,764000000.0,,-275000000.0,,,-66000000.0,,,3338000000.0,,,,,,10000000.0,,38000000.0,-1967000000.0,70000000.0,,-1119000000.0,252000000.0,-119000000.0
2011-12-31,15116000000.0,,,,,12334000000.0,2782000000.0,,2394000000.0,818000000.0,1946000000.0,4.02,4.02,482169282.0,482460328.0,221000000.0,,1834000000.0,,-8330000000.0,,,4182000000.0,,36971000000.0,76000000.0,,1346000000.0,52223000000.0,1095000000.0,990000000.0,,6611000000.0,,8227000000.0,,974000000.0,37558000000.0,5890000000.0,-470000000.0,14664000000.0,52223000000.0,,,794000000.0,,-176000000.0,,,-44000000.0,,,3788000000.0,,,,,,19000000.0,,71000000.0,-2890000000.0,92000000.0,,-971000000.0,-73000000.0,-118000000.0
2012-03-31,3625000000.0,,,,,2871000000.0,754000000.0,,570000000.0,189000000.0,389000000.0,0.8,0.8,483828101.0,484248868.0,286000000.0,,1670000000.0,,,,,4214000000.0,,37432000000.0,90000000.0,,1499000000.0,52902000000.0,978000000.0,853000000.0,,6342000000.0,,8493000000.0,,923000000.0,38045000000.0,6050000000.0,-472000000.0,14856000000.0,52902000000.0,,,261000000.0,,126000000.0,,,-26000000.0,,,876000000.0,,,,,,85000000.0,,23000000.0,-792000000.0,31000000.0,,-19000000.0,65000000.0,-65000000.0
