Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,18254000000.0,,,,1977000000.0,,,,2235000000.0,738000000.0,,3.21,3.19,466552000.0,469063000.0,2323000000.0,,,,,,,,,593000000.0,,,,84106000000.0,,,,,,,,,75689000000.0,12410000000.0,,,84106000000.0,,,-92000000.0,-406000000.0,,,,,,,6161000000.0,7521000000.0,,4798000000.0,,83000000.0,,,72000000.0,-5476000000.0,,,699000000.0,1382000000.0,627000000.0
2010-03-31,5065000000.0,,,,481000000.0,,,,974000000.0,338000000.0,,1.36,1.35,467926000.0,472450000.0,1611000000.0,,,,,,,,,583000000.0,,,,85178000000.0,,,,,,,,,76191000000.0,12890000000.0,,,85178000000.0,,,,-235000000.0,,,,,,,1278000000.0,2593000000.0,,712000000.0,,,,,-2000000.0,-1969000000.0,,,-23000000.0,-712000000.0,403000000.0
2010-09-30,15438000000.0,,,,1493000000.0,,,,2918000000.0,1011000000.0,,4.07,4.03,469868000.0,473569000.0,2434000000.0,,,,,,,,,610000000.0,,,,97843000000.0,,,,,,,,,86710000000.0,13758000000.0,,,97843000000.0,,,,-719000000.0,,,,,,,4869000000.0,6663000000.0,,1637000000.0,,,,,18000000.0,-5080000000.0,,,266000000.0,111000000.0,926000000.0
2010-12-31,20732000000.0,,,,2062000000.0,,,,3585000000.0,1241000000.0,2344000000.0,5.0,4.95,469038000.0,473085000.0,2121000000.0,,,,-267000000.0,,,,,620000000.0,,,,101039000000.0,,,,,,,,,89983000000.0,14194000000.0,,11056000000.0,101039000000.0,,,379000000.0,-1078000000.0,,,,,,,6989000000.0,9943000000.0,,2724000000.0,,0.0,,,28000000.0,-7432000000.0,,,161000000.0,-202000000.0,1017000000.0
2011-03-31,5117000000.0,,,,508000000.0,,,,600000000.0,205000000.0,395000000.0,0.84,0.84,468012000.0,472104000.0,2088000000.0,,,,,,,,,604000000.0,,,,101145000000.0,,,,,,,,,90122000000.0,14448000000.0,,11023000000.0,101145000000.0,,,,-461000000.0,,,,,,,2167000000.0,2914000000.0,,891000000.0,,,,,19000000.0,-2013000000.0,,,-171000000.0,-33000000.0,234000000.0
2011-06-30,10204000000.0,,,,1051000000.0,,2299000000.0,,1052000000.0,378000000.0,674000000.0,1.44,1.43,467317000.0,470990000.0,1291000000.0,,,,,,,,,611000000.0,,,,106232000000.0,,,,,,,,,94251000000.0,14587000000.0,,11981000000.0,106232000000.0,,,,-926000000.0,,,,,,,4378000000.0,4822000000.0,,1767000000.0,,,,,29000000.0,-5034000000.0,,,-175000000.0,-830000000.0,460000000.0
2011-09-30,16192000000.0,,,,1609000000.0,,3488000000.0,,2158000000.0,740000000.0,1418000000.0,3.04,3.02,466843000.0,469919000.0,1862000000.0,,,,,,,,,626000000.0,,,,114720000000.0,,,,,,,,,102006000000.0,15191000000.0,,12714000000.0,114720000000.0,,,,-1832000000.0,,,,,,,7486000000.0,6361000000.0,,6878000000.0,,,,,31000000.0,-7779000000.0,,,-15000000.0,-259000000.0,690000000.0
2011-12-31,22171000000.0,,,,2225000000.0,,4544000000.0,,2992000000.0,1028000000.0,1964000000.0,4.21,4.18,466519000.0,469370000.0,2249000000.0,,,,-2613000000.0,,,,,617000000.0,,,,117102000000.0,,,,,,,,,103596000000.0,15583000000.0,,13506000000.0,117102000000.0,,,137000000.0,-2940000000.0,,,,,,,10842000000.0,8392000000.0,170000000.0,14385000000.0,,0.0,,,62000000.0,-10829000000.0,,,64000000.0,128000000.0,828000000.0
2012-03-31,6240000000.0,,,,564000000.0,,1247000000.0,,1202000000.0,417000000.0,785000000.0,1.68,1.68,465887000.0,468533000.0,2210000000.0,,,,-2599000000.0,,,,,591000000.0,,,,115552000000.0,,,,,,,,,101909000000.0,15779000000.0,,13643000000.0,115552000000.0,,,,-1587000000.0,,,,,,,3556000000.0,1025000000.0,705000000.0,226000000.0,,,,,30000000.0,-4436000000.0,,,901000000.0,-39000000.0,356000000.0
2012-06-30,12142000000.0,,,,1150000000.0,,2406000000.0,,1943000000.0,675000000.0,1268000000.0,2.72,2.71,466788000.0,468590000.0,2130000000.0,,,,-2635000000.0,,,,,603000000.0,,,,122209000000.0,,,,,,,,,108030000000.0,16108000000.0,,14179000000.0,122209000000.0,,,,-3135000000.0,,,,,,,7245000000.0,3265000000.0,938000000.0,982000000.0,,,,,-20000000.0,-8058000000.0,,,725000000.0,-119000000.0,355000000.0
