Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,96004000000.0,,,,20674000000.0,,,,,-1878000000.0,-10949000000.0,,,135324896.0,135324896.0,,,,,,,,,,4142000000.0,6195000000.0,,,847585000000.0,,,,,,,,,748550000000.0,-11491000000.0,5693000000.0,69824000000.0,847585000000.0,14631000000.0,,-3659000000.0,,,,,,,,18584000000.0,81616000000.0,20934000000.0,48968000000.0,11597000000.0,,504000000.0,,-212000000.0,5778000000.0,,,-28997000000.0,,226000000.0
2010-03-31,16330000000.0,,,,3262000000.0,,,,,-91000000.0,1451000000.0,,,135658680.0,135724939.0,,,,,,,,,,3259000000.0,2565000000.0,,,863697000000.0,,,,,,,,,760038000000.0,-9871000000.0,7053000000.0,75001000000.0,863697000000.0,2529000000.0,,,,,,,,,,3195000000.0,15847000000.0,3340000000.0,7893000000.0,1915000000.0,139000000.0,64000000.0,,49000000.0,-4516000000.0,,,-266000000.0,,604000000.0
2010-06-30,39893000000.0,,,,7829000000.0,,,,,311000000.0,-2656000000.0,,,135813034.0,135869594.0,,,,,,,,,,3608000000.0,2640000000.0,,,850531000000.0,,,,,,,,,745884000000.0,-12120000000.0,9829000000.0,75470000000.0,850531000000.0,5449000000.0,,,,,,,,,,9771000000.0,36552000000.0,7183000000.0,19131000000.0,4261000000.0,139000000.0,173000000.0,,126000000.0,-6067000000.0,,,-4527000000.0,,-859000000.0
2010-09-30,55614000000.0,,,,11168000000.0,,,,,1044000000.0,-3268000000.0,,,135879125.0,135879125.0,,,,,,,,,,3237000000.0,1447000000.0,,,871965000000.0,,,,,,,,,761225000000.0,-14486000000.0,18000000000.0,80842000000.0,871965000000.0,9104000000.0,,,,,,,,,,15115000000.0,60770000000.0,10651000000.0,33951000000.0,6126000000.0,139000000.0,234000000.0,,166000000.0,-7527000000.0,,,-8772000000.0,,-1134000000.0
2010-12-31,77301000000.0,,,,15820000000.0,,,,,5859000000.0,7786000000.0,,,136585844.0,136649280.0,,,,,,,,,,2845000000.0,1333000000.0,,,683443000000.0,,,,,,,,,569770000000.0,-3466000000.0,7624000000.0,85319000000.0,683443000000.0,11320000000.0,,5215000000.0,,,,,,,,16910000000.0,79263000000.0,14657000000.0,56213000000.0,7850000000.0,,267000000.0,,332000000.0,-10225000000.0,,,-9261000000.0,,-1002000000.0
2011-03-31,17436000000.0,,,,1551000000.0,,,,,-200000000.0,269000000.0,,,1557748353.0,1557748353.0,,,,,,,,,,,,,,611247000000.0,,,,,,,,,513800000000.0,-3202000000.0,6896000000.0,85026000000.0,611247000000.0,2288000000.0,,,,,,,,,,-5312000000.0,19456000000.0,4305000000.0,11665000000.0,1488000000.0,,,,-32000000.0,39617000000.0,723000000.0,,-34485000000.0,,
2011-06-30,34112000000.0,,,,3204000000.0,,,,1806000000.0,-488000000.0,2109000000.0,,,1836713069.0,1836771513.0,,,,,,,,,,,,,,616798000000.0,,,,,,,,,511593000000.0,-1357000000.0,9093000000.0,92681000000.0,616798000000.0,4481000000.0,,,,,,,,,,-3464000000.0,48485000000.0,9846000000.0,23668000000.0,3260000000.0,,,,-33000000.0,37748000000.0,4332000000.0,,-33714000000.0,,547000000.0
2011-09-30,46828000000.0,,,,4418000000.0,,,,-4358000000.0,-1122000000.0,-4109000000.0,,,1899500628.0,1899500628.0,,,,,,,,,,,,,,544257000000.0,,,,,,,,,448047000000.0,-5466000000.0,5829000000.0,86031000000.0,544257000000.0,7452000000.0,,,,,,,,,,-1083000000.0,69598000000.0,15021000000.0,33063000000.0,5351000000.0,,,,318000000.0,36028000000.0,5055000000.0,,-35444000000.0,,643000000.0
2011-12-31,64237000000.0,,,,6091000000.0,,,,-1065000000.0,-18036000000.0,17798000000.0,,,1799385757.0,1799458497.0,,,,,16571000000.0,,,,,2307000000.0,1373000000.0,,,555773000000.0,,,,,,,,,441444000000.0,14332000000.0,5008000000.0,104951000000.0,555773000000.0,9883000000.0,,-18131000000.0,,,,,,,,35000000.0,90630000000.0,20131000000.0,44026000000.0,6675000000.0,,,,430000000.0,36332000000.0,5055000000.0,,-36926000000.0,,716000000.0
2012-03-31,18443000000.0,,,,2258000000.0,,,,4584000000.0,1148000000.0,3208000000.0,,,1875972970.0,1876002775.0,,,,,,,,,,,,,,554403000000.0,,,,,,,,,449938000000.0,13982000000.0,6873000000.0,103451000000.0,554403000000.0,1720000000.0,,,,,,,,,,-111000000.0,14500000000.0,4865000000.0,10750000000.0,1720000000.0,,,,122000000.0,10186000000.0,,,-10232000000.0,,97000000.0
2012-06-30,35566000000.0,,,,4522000000.0,,,,6335000000.0,-593000000.0,5540000000.0,,,1816331019.0,1816358625.0,,,,,,,,,,,,,,555383000000.0,,,,,,,,,449742000000.0,16314000000.0,7791000000.0,104709000000.0,555383000000.0,3574000000.0,,,,,,,,,,1632000000.0,28993000000.0,10805000000.0,22028000000.0,2959000000.0,,,,158000000.0,10871000000.0,,,-12721000000.0,,206000000.0
2012-09-30,53214000000.0,,,,6736000000.0,,,,8930000000.0,1290000000.0,7396000000.0,,,1757955937.0,1757984154.0,,,,,,,,,,,,,,550723000000.0,,,,,,,,,448150000000.0,18170000000.0,10887000000.0,101666000000.0,550723000000.0,5541000000.0,,,,,,,,,,2839000000.0,47842000000.0,16623000000.0,30789000000.0,4871000000.0,,,,77000000.0,19158000000.0,,,-21854000000.0,,403000000.0
2012-12-31,65656000000.0,,,,9235000000.0,,,,9322000000.0,1570000000.0,3438000000.0,,,1687197038.0,1687226641.0,,,,,16695000000.0,,,,,2213000000.0,1469000000.0,,,548633000000.0,,,,,,,,,449630000000.0,14176000000.0,12574000000.0,98002000000.0,548633000000.0,5307000000.0,,775000000.0,,,,,,,,3676000000.0,53536000000.0,21449000000.0,39818000000.0,4463000000.0,,,,526000000.0,16612000000.0,,,-20564000000.0,,447000000.0
2013-03-31,15888000000.0,,,,2238000000.0,,,,2832000000.0,694000000.0,2206000000.0,1.49,1.49,1476471097.0,1476678931.0,,,,,,,,,,,,,,548880000000.0,,,,,,,,,448309000000.0,16382000000.0,11839000000.0,99520000000.0,548880000000.0,1180000000.0,,,,,,,,,,-149000000.0,15290000000.0,5617000000.0,7346000000.0,1269000000.0,,,,291000000.0,3964000000.0,,,-3718000000.0,,103000000.0
