Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,941900000.0,64000000.0,,,,168600000.0,,,106800000.0,35700000.0,73200000.0,0.71,0.71,,,230000000.0,,,,,,111600000.0,1823600000.0,,79000000.0,780400000.0,431000000.0,186400000.0,3555800000.0,,43300000.0,,1689900000.0,,,,350500000.0,2590400000.0,456300000.0,-13300000.0,965400000.0,3555800000.0,46200000.0,3900000.0,,,,,3400000.0,,,,89600000.0,,,,,25000000.0,13000000.0,,,-24800000.0,23100000.0,,-40700000.0,24100000.0,
2010-09-30,1405100000.0,64000000.0,,,,253400000.0,,,177200000.0,59900000.0,119400000.0,1.15,1.14,,,296300000.0,,,,,,123300000.0,1689900000.0,,75800000.0,824400000.0,435600000.0,190100000.0,3460700000.0,,38500000.0,,1532300000.0,,,,367000000.0,2449300000.0,468400000.0,-2600000.0,1011400000.0,3460700000.0,69000000.0,6700000.0,,,,,-8800000.0,,,,212400000.0,,,,,44200000.0,18100000.0,,,-49200000.0,26400000.0,,-72800000.0,90400000.0,
2010-12-31,1864200000.0,64000000.0,,,,354600000.0,,,203000000.0,39700000.0,174100000.0,1.66,1.66,,,249800000.0,,,,,,126400000.0,1726000000.0,,75800000.0,883700000.0,483500000.0,181800000.0,3596000000.0,,40000000.0,,1577300000.0,,,,362000000.0,2489300000.0,488300000.0,2200000.0,1106700000.0,3596000000.0,93100000.0,9000000.0,,,,,3600000.0,,,,231800000.0,,,,,78900000.0,25400000.0,,,-91700000.0,36700000.0,,-96200000.0,43900000.0,
2011-03-31,447400000.0,,,,,94000000.0,,,23500000.0,8300000.0,15200000.0,0.14,0.14,,,333200000.0,,,,,,117700000.0,1749800000.0,,79400000.0,925500000.0,489900000.0,204000000.0,3691100000.0,,41600000.0,,1485300000.0,,,,383700000.0,2544000000.0,466800000.0,6500000.0,1147100000.0,3691100000.0,24500000.0,800000.0,,,,,-13600000.0,,,,-7300000.0,,,,,19100000.0,8300000.0,,,-27300000.0,26300000.0,,118000000.0,83400000.0,
2011-06-30,993500000.0,11700000.0,,,,202200000.0,,,89400000.0,32500000.0,56900000.0,0.52,0.51,111000000.0,,263200000.0,,,,,,127000000.0,2416000000.0,,87700000.0,1072900000.0,562400000.0,208800000.0,4581900000.0,,43700000.0,,2287100000.0,,,,417000000.0,3379100000.0,471300000.0,3700000.0,1202800000.0,4581900000.0,51900000.0,8800000.0,,,,,-1400000.0,,,,97400000.0,,,,,213000000.0,17100000.0,,,-220000000.0,46700000.0,,136000000.0,13400000.0,
2011-09-30,1556300000.0,12400000.0,,,,316100000.0,,,160400000.0,56800000.0,103600000.0,0.93,0.93,112600000.0,,241400000.0,,,,,,146900000.0,2088700000.0,,90500000.0,1092900000.0,556000000.0,204900000.0,4247200000.0,,32700000.0,,1943600000.0,,,,409300000.0,3027900000.0,480400000.0,-12100000.0,1219300000.0,4247200000.0,81300000.0,11400000.0,,,,,14600000.0,,,,182000000.0,,,,,240000000.0,29200000.0,,,-262700000.0,54800000.0,,72300000.0,-8400000.0,
2011-12-31,2134700000.0,32000000.0,,,,419000000.0,,,207800000.0,63700000.0,144100000.0,1.29,1.28,111700000.0,,291200000.0,,,,191600000.0,,188600000.0,2199400000.0,,91300000.0,1155300000.0,561500000.0,235800000.0,4483500000.0,,67900000.0,,2073600000.0,,,,491300000.0,3239900000.0,482900000.0,-47200000.0,1243600000.0,4483500000.0,115200000.0,14300000.0,,,,,41500000.0,,,,283100000.0,,,,,264300000.0,40000000.0,,,-307300000.0,73900000.0,,65600000.0,41400000.0,
2012-03-31,546800000.0,17700000.0,,,,108300000.0,,,32500000.0,4400000.0,28100000.0,0.24,0.24,116400000.0,,301800000.0,,,,,,165300000.0,2225000000.0,,95700000.0,1195600000.0,598400000.0,251500000.0,4602700000.0,,25900000.0,,2044200000.0,,,,526900000.0,3246100000.0,470500000.0,-36000000.0,1356600000.0,4602700000.0,30800000.0,1000000.0,,,,,-27100000.0,,,,-47600000.0,,,,,16000000.0,13400000.0,,,-11500000.0,26700000.0,,69700000.0,10600000.0,
2012-06-30,1196700000.0,46700000.0,,,,232000000.0,,,123600000.0,23800000.0,99800000.0,0.85,0.83,119700000.0,,282100000.0,,,,,,157900000.0,2631800000.0,,100900000.0,1285900000.0,644900000.0,232400000.0,5133600000.0,,37600000.0,,2442000000.0,,,,543700000.0,3660700000.0,500700000.0,-48100000.0,1472900000.0,5133600000.0,67200000.0,3300000.0,,,,,-36200000.0,,,,63000000.0,,,,,77100000.0,26600000.0,,,-82300000.0,48600000.0,,10200000.0,-9100000.0,
2012-09-30,1847100000.0,74400000.0,,,,353600000.0,,,199900000.0,38400000.0,161500000.0,1.35,1.33,123100000.0,,305200000.0,,,,,,182500000.0,2324900000.0,,101000000.0,1373900000.0,722700000.0,245900000.0,5009300000.0,,33900000.0,,2090300000.0,,,,557800000.0,3373100000.0,519700000.0,-25800000.0,1636200000.0,5009300000.0,103700000.0,5500000.0,,,,,-12200000.0,,,,179400000.0,,,,,137900000.0,36100000.0,,,-154400000.0,60900000.0,,-15100000.0,14000000.0,
