Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,859773000.0,249938000.0,,43658000.0,,636293000.0,223480000.0,,237232000.0,91319000.0,145913000.0,0.85,0.78,171425000.0,188658000.0,181305000.0,,154269000.0,,8514000.0,,,761173000.0,,,441347000.0,76273000.0,4416000.0,2087510000.0,23997000.0,68566000.0,34184000.0,327293000.0,2677000.0,,,18818000.0,348788000.0,-2801815000.0,-10682000.0,1738722000.0,2087510000.0,,58797000.0,81706000.0,1159000.0,,,,,5871000.0,,424412000.0,,141544000.0,403559000.0,,5779000.0,80918000.0,,,-357498000.0,,2236000.0,-42537000.0,25231000.0,
2010-06-30,485347000.0,139314000.0,,26756000.0,,362458000.0,122889000.0,,128075000.0,49074000.0,79001000.0,0.46,0.42,173317000.0,190479000.0,120506000.0,,164574000.0,,35945000.0,,,778167000.0,,,452950000.0,70853000.0,11622000.0,2202998000.0,33529000.0,70165000.0,31696000.0,199834000.0,2988000.0,,,27088000.0,229910000.0,-2722814000.0,-13118000.0,1973088000.0,2202998000.0,,39384000.0,44611000.0,16406000.0,,,,,-1319000.0,,174133000.0,,230102000.0,274620000.0,500000.0,12010000.0,86446000.0,,,-223708000.0,,12923000.0,-8705000.0,-60799000.0,
2010-09-30,738898000.0,217126000.0,,40991000.0,,556967000.0,181931000.0,,188387000.0,69677000.0,118710000.0,0.68,0.63,181457000.0,191271000.0,197567000.0,,158115000.0,,13658000.0,,,855808000.0,,,452950000.0,66723000.0,12185000.0,2262752000.0,29649000.0,84338000.0,27790000.0,201165000.0,2017000.0,,,25423000.0,228605000.0,-2683105000.0,-5389000.0,2034147000.0,2262752000.0,,57973000.0,66898000.0,6342000.0,,,,,-7126000.0,,292096000.0,,250537000.0,538645000.0,500000.0,12210000.0,119591000.0,,,-266900000.0,,22379000.0,-10801000.0,16262000.0,
2010-12-31,1023586000.0,303403000.0,,54766000.0,,769309000.0,254277000.0,,262372000.0,91152000.0,171220000.0,0.97,0.9,177309000.0,190650000.0,231866000.0,,175366000.0,,103427000.0,,,858467000.0,636531000.0,255929000.0,452914000.0,62456000.0,11153000.0,2352676000.0,26375000.0,94661000.0,23808000.0,145151000.0,3642000.0,,,26278000.0,175071000.0,-2630595000.0,-5741000.0,2177605000.0,2352676000.0,,76468000.0,62462000.0,23563000.0,,,,,-9454000.0,,402455000.0,,324606000.0,691227000.0,500000.0,12668000.0,159276000.0,,,-335359000.0,,28973000.0,-17676000.0,50561000.0,
2011-03-31,275953000.0,89068000.0,,12594000.0,,203205000.0,72748000.0,,74673000.0,24056000.0,50617000.0,0.27,0.26,186849000.0,191383000.0,217174000.0,346395000.0,169656000.0,,28134000.0,,,816814000.0,693668000.0,,452914000.0,58179000.0,11425000.0,2374799000.0,28548000.0,84778000.0,20447000.0,134095000.0,3942000.0,,,26574000.0,164611000.0,-2579978000.0,-2458000.0,2210188000.0,2374799000.0,,15712000.0,,-7557000.0,,,,,-3453000.0,,88511000.0,,137233000.0,110034000.0,,175000.0,35600000.0,,,-74512000.0,,9012000.0,-30707000.0,-14692000.0,
2011-12-31,1158538000.0,374543000.0,,52333000.0,,867889000.0,290649000.0,,307195000.0,106291000.0,200904000.0,1.09,1.07,183866000.0,187556000.0,559197000.0,290029000.0,210936000.0,,49929000.0,,,1122020000.0,380729000.0,293043000.0,452914000.0,45386000.0,7924000.0,2345501000.0,38247000.0,85371000.0,21344000.0,148392000.0,2470000.0,,,38389000.0,189251000.0,-2429691000.0,-1259000.0,2156250000.0,2345501000.0,167878000.0,61305000.0,53628000.0,37837000.0,,,,,-3721000.0,,452555000.0,880110000.0,532910000.0,701313000.0,0.0,550000.0,140218000.0,,,171123000.0,,13123000.0,-294088000.0,327331000.0,
2012-03-31,319448000.0,102566000.0,,17480000.0,,247869000.0,71579000.0,,72784000.0,29557000.0,43227000.0,0.24,0.24,178120000.0,182342000.0,144724000.0,259818000.0,215855000.0,,6444000.0,,,679541000.0,574178000.0,,709628000.0,89519000.0,14460000.0,2414118000.0,32944000.0,91076000.0,23192000.0,148538000.0,2227000.0,,,62165000.0,212930000.0,-2386464000.0,-307000.0,2201188000.0,2414118000.0,45634000.0,20924000.0,,1416000.0,,,,,1474000.0,,92503000.0,280649000.0,89414000.0,28000000.0,,291638000.0,30433000.0,,,-498207000.0,,13414000.0,-9076000.0,-414473000.0,
2012-06-30,650754000.0,210023000.0,,35022000.0,,512164000.0,138590000.0,,142552000.0,55086000.0,87466000.0,0.49,0.48,178547000.0,182080000.0,182996000.0,313564000.0,206316000.0,,6444000.0,,,756605000.0,521885000.0,315866000.0,709668000.0,84056000.0,14314000.0,2445576000.0,44546000.0,94608000.0,26072000.0,165852000.0,1842000.0,,,63249000.0,230943000.0,-2342225000.0,-4108000.0,2214633000.0,2445576000.0,95746000.0,46545000.0,,-6387000.0,,,,,4141000.0,,242055000.0,416494000.0,141424000.0,110161000.0,,291638000.0,72620000.0,,,-555418000.0,,15049000.0,-61704000.0,-376201000.0,
2012-09-30,996075000.0,320018000.0,,54373000.0,,777326000.0,218749000.0,,224063000.0,88366000.0,135697000.0,0.76,0.75,178040000.0,181738000.0,182650000.0,282579000.0,236232000.0,,6444000.0,,,753689000.0,593105000.0,331218000.0,721601000.0,82375000.0,15365000.0,2539454000.0,52749000.0,131616000.0,27927000.0,212920000.0,2097000.0,,,64499000.0,279516000.0,-2293994000.0,483000.0,2259938000.0,2539454000.0,149203000.0,69180000.0,826000.0,21587000.0,,,,,5542000.0,,383551000.0,554303000.0,214159000.0,135993000.0,,306030000.0,119256000.0,,,-669346000.0,,17589000.0,-91991000.0,-376547000.0,
2012-12-31,1373947000.0,431911000.0,,74744000.0,,1059460000.0,314487000.0,,321591000.0,117602000.0,203989000.0,1.15,1.12,177900000.0,181749000.0,201989000.0,235592000.0,218777000.0,,34642000.0,,,728384000.0,657659000.0,345091000.0,731325000.0,84554000.0,39811000.0,2600627000.0,43291000.0,133087000.0,26291000.0,202944000.0,2565000.0,,,49364000.0,254873000.0,-2225702000.0,-1640000.0,2345754000.0,2600627000.0,204163000.0,90585000.0,-5819000.0,2108000.0,,,,,4552000.0,,530405000.0,752342000.0,315788000.0,214277000.0,250000.0,336680000.0,165642000.0,,,-779041000.0,,23015000.0,-108483000.0,-357208000.0,
