Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-03-31,472500000.0,280600000.0,,,125100000.0,,66800000.0,,53900000.0,16300000.0,35600000.0,0.37,0.37,96300000.0,97400000.0,205400000.0,,,167200000.0,,,73300000.0,913900000.0,,208900000.0,507100000.0,143500000.0,204500000.0,1977900000.0,213600000.0,177400000.0,,461500000.0,,,,280300000.0,2006200000.0,28000000.0,-109800000.0,-60400000.0,1977900000.0,12200000.0,,,,,,,,,,-900000.0,,,,,5300000.0,9200000.0,,-200000.0,-14300000.0,,,-3400000.0,-22000000.0,
2014-06-30,998100000.0,580000000.0,,,261000000.0,,157100000.0,,132600000.0,39400000.0,79100000.0,0.82,0.81,96300000.0,97400000.0,193200000.0,,,174100000.0,,,72600000.0,887600000.0,,210300000.0,517800000.0,144900000.0,207500000.0,1968100000.0,219800000.0,186900000.0,,437400000.0,,,,285000000.0,1979300000.0,55500000.0,-104300000.0,-42200000.0,1968100000.0,24400000.0,,,,,,,,,,63800000.0,,,,,23000000.0,26000000.0,,-40800000.0,-8200000.0,,,-85800000.0,-34200000.0,
2014-09-30,1544800000.0,890600000.0,,,391500000.0,,262700000.0,,227500000.0,66600000.0,139400000.0,1.45,1.43,96200000.0,97300000.0,251400000.0,,,180700000.0,,,61000000.0,934000000.0,,212500000.0,509900000.0,133100000.0,202700000.0,1992200000.0,222900000.0,211000000.0,,464200000.0,,,,272800000.0,1986200000.0,95400000.0,-129700000.0,-30700000.0,1992200000.0,36500000.0,,2100000.0,,,,,,,,172000000.0,,,,,23000000.0,39800000.0,,-41900000.0,-20900000.0,,,-120600000.0,24000000.0,
2014-12-31,2118300000.0,1264600000.0,,43300000.0,527400000.0,,326300000.0,,267900000.0,84200000.0,175200000.0,1.82,1.8,96100000.0,97200000.0,290500000.0,,,179500000.0,66600000.0,,26200000.0,973800000.0,,211200000.0,506000000.0,125700000.0,126900000.0,2015900000.0,249500000.0,120400000.0,,531300000.0,,,,71100000.0,1997400000.0,142400000.0,-148200000.0,-4800000.0,2015900000.0,48800000.0,13100000.0,17200000.0,,-3400000.0,,24200000.0,43400000.0,,-28900000.0,255900000.0,,,,,25200000.0,51500000.0,,,-34800000.0,,4500000.0,-150000000.0,63100000.0,
2015-03-31,458700000.0,271600000.0,,,116100000.0,,71000000.0,,56300000.0,12400000.0,45400000.0,0.47,0.47,95900000.0,96900000.0,229600000.0,,,184900000.0,,,56300000.0,903700000.0,,206300000.0,498600000.0,111700000.0,207100000.0,1927400000.0,231500000.0,201200000.0,,482100000.0,,,,241100000.0,1925900000.0,152800000.0,-178700000.0,-19800000.0,1927400000.0,12100000.0,,,,,,,,,,4400000.0,,,,,9000000.0,9400000.0,,-4000000.0,-14400000.0,,,-46700000.0,-60900000.0,
2015-06-30,978200000.0,569300000.0,,,242200000.0,,166700000.0,,140300000.0,31400000.0,109300000.0,1.14,1.13,95800000.0,96900000.0,201000000.0,,,205900000.0,,,55200000.0,923200000.0,,207800000.0,527500000.0,122500000.0,208600000.0,1989600000.0,233800000.0,183400000.0,,479000000.0,,,,247400000.0,1916900000.0,207100000.0,-173100000.0,47300000.0,1989600000.0,24800000.0,,,,,,,,,,33200000.0,,,,,52000000.0,18600000.0,,-4100000.0,-66500000.0,,,-52600000.0,-89500000.0,
2015-09-30,1522700000.0,873800000.0,,,371800000.0,,277100000.0,,133500000.0,50800000.0,82000000.0,0.86,0.85,95900000.0,96900000.0,175200000.0,,,216300000.0,,,56800000.0,875700000.0,,227900000.0,823400000.0,260300000.0,221700000.0,2409000000.0,180200000.0,196300000.0,,517200000.0,,,,287900000.0,2381000000.0,170200000.0,-174600000.0,14500000.0,2409000000.0,37500000.0,,,,,,,,,,125500000.0,,,,,511400000.0,27300000.0,,-4300000.0,-534400000.0,,,300900000.0,-115300000.0,
2015-12-31,2068100000.0,1199000000.0,,45200000.0,510500000.0,,358600000.0,,209300000.0,54600000.0,153900000.0,1.6,1.59,95900000.0,96900000.0,199700000.0,,,204100000.0,3000000.0,,17400000.0,735100000.0,,224800000.0,714100000.0,372400000.0,147000000.0,2285300000.0,175100000.0,124900000.0,,447100000.0,,,,63300000.0,2255600000.0,232400000.0,-232200000.0,25600000.0,2285300000.0,53200000.0,14600000.0,-2300000.0,,5800000.0,,5000000.0,-14700000.0,,-2500000.0,257000000.0,,,,,511300000.0,35200000.0,,,-533800000.0,,3300000.0,195000000.0,-90800000.0,
2016-03-31,502300000.0,286000000.0,,,133800000.0,,82500000.0,,75000000.0,16200000.0,57700000.0,0.6,0.6,95900000.0,96900000.0,125500000.0,,,216500000.0,,,42600000.0,710400000.0,,226100000.0,727200000.0,384500000.0,221800000.0,2270000000.0,162300000.0,194700000.0,,406100000.0,,,,339300000.0,2192300000.0,277300000.0,-205700000.0,73700000.0,2270000000.0,16400000.0,,,,,,,,,,-800000.0,,,,,0.0,7400000.0,,2000000.0,-2800000.0,,,-74800000.0,-74200000.0,
2016-06-30,1087200000.0,603500000.0,,,276900000.0,,206800000.0,,191400000.0,37200000.0,152700000.0,1.59,1.58,95900000.0,96800000.0,169100000.0,,,225300000.0,,,85200000.0,827900000.0,,227100000.0,728800000.0,389900000.0,171800000.0,2345500000.0,175700000.0,245400000.0,,469700000.0,,,,295900000.0,2202700000.0,360600000.0,-231200000.0,139200000.0,2345500000.0,33500000.0,,,,,,,,,,101200000.0,,,,,31400000.0,16500000.0,,4700000.0,-38500000.0,,,-95000000.0,-30600000.0,
