Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,32013000000.0,,,,,,,,,394000000.0,,1.58,1.58,539600000.0,540900000.0,,,,,1870000000.0,,,,,990000000.0,875000000.0,,,132652000000.0,,,,,,,,,115931000000.0,31492000000.0,-2106000000.0,16692000000.0,132652000000.0,-91000000.0,,,,,,,,,,4301000000.0,29573000000.0,5556000000.0,21359000000.0,64000000.0,,189000000.0,,340000000.0,3440000000.0,,-5000000.0,-7544000000.0,,
2010-03-31,7749000000.0,,,,,,,,,-13000000.0,,0.22,0.22,540500000.0,541800000.0,,,,,1440000000.0,,,,,954000000.0,874000000.0,,,132386000000.0,,,,,,,,,114798000000.0,31514000000.0,-1289000000.0,17560000000.0,132386000000.0,16000000.0,,,,,,,,,,964000000.0,7099000000.0,1122000000.0,4930000000.0,43000000.0,,24000000.0,,49000000.0,963000000.0,,-2000000.0,-1835000000.0,,
2010-09-30,23313000000.0,,,,,,,,,131000000.0,,1.17,1.16,540900000.0,543000000.0,,,,,670000000.0,,,,,922000000.0,874000000.0,,,132534000000.0,,,,,,,,,113232000000.0,31781000000.0,119000000.0,19274000000.0,132534000000.0,55000000.0,,,,,,,,,,3023000000.0,20712000000.0,3672000000.0,17345000000.0,99000000.0,,114000000.0,,464000000.0,1671000000.0,,-7000000.0,-4806000000.0,,
2010-12-31,31400000000.0,,,,,,,,,198000000.0,,1.72,1.71,540300000.0,542500000.0,,,,,784000000.0,,,,,921000000.0,874000000.0,,,130874000000.0,,,,,,,,,111830000000.0,31969000000.0,-184000000.0,19016000000.0,130874000000.0,94000000.0,,65000000.0,,,,,,,,3689000000.0,25745000000.0,5147000000.0,22881000000.0,181000000.0,,162000000.0,,519000000.0,2332000000.0,,-7000000.0,-6071000000.0,,
2011-03-31,8095000000.0,,,,,,,,,215000000.0,,0.98,0.97,531000000.0,533600000.0,,,,,612000000.0,,,,,912000000.0,874000000.0,,,130425000000.0,,,,,,,,,111084000000.0,32377000000.0,-15000000.0,19312000000.0,130425000000.0,31000000.0,,,,,,,,,,726000000.0,10207000000.0,1201000000.0,8363000000.0,58000000.0,,48000000.0,,119000000.0,1285000000.0,,-3000000.0,-1932000000.0,,
2011-06-30,16176000000.0,,,,,,,,,-409000000.0,,-1.19,-1.19,528200000.0,528200000.0,,,,,525000000.0,,,,,914000000.0,874000000.0,,,129023000000.0,,,,,,,,,110230000000.0,31647000000.0,373000000.0,18764000000.0,129023000000.0,89000000.0,,,,,,,,,,1260000000.0,13934000000.0,2385000000.0,14140000000.0,146000000.0,,106000000.0,,170000000.0,3015000000.0,,-3000000.0,-4144000000.0,,
2011-09-30,24418000000.0,,,,,,,,,-156000000.0,,0.32,0.32,520400000.0,522900000.0,,,,,792000000.0,,,,,908000000.0,874000000.0,,,126959000000.0,,,,,,,,,108830000000.0,31704000000.0,-54000000.0,18100000000.0,126959000000.0,149000000.0,,,,,,,,,,1671000000.0,21900000000.0,3864000000.0,23916000000.0,199000000.0,,160000000.0,,357000000.0,4805000000.0,,-4000000.0,-6012000000.0,,
2011-12-31,32654000000.0,,,,,,,,,172000000.0,788000000.0,1.51,1.51,520700000.0,523100000.0,,,,,520000000.0,,,,,914000000.0,1242000000.0,,,125563000000.0,,,,,,,,,106861000000.0,32321000000.0,-7000000.0,18674000000.0,125563000000.0,252000000.0,,158000000.0,,,,,,,,1929000000.0,27896000000.0,4951000000.0,29436000000.0,204000000.0,,246000000.0,,415000000.0,6161000000.0,,-5000000.0,-7876000000.0,,
2012-03-31,8362000000.0,,,,,,,,,346000000.0,766000000.0,1.54,1.53,498700000.0,501500000.0,,,,,201000000.0,,,,,912000000.0,1242000000.0,,,125933000000.0,,,,,,,,,106723000000.0,32565000000.0,532000000.0,19182000000.0,125933000000.0,96000000.0,,,,,,,,,,807000000.0,7008000000.0,966000000.0,5689000000.0,163000000.0,,51000000.0,,9000000.0,79000000.0,,-1000000.0,-1085000000.0,,
2012-06-30,16640000000.0,,,,,,,,,525000000.0,1189000000.0,2.4,2.39,494900000.0,497900000.0,,,,,,,,,,909000000.0,1242000000.0,,,125535000000.0,,,,,,,,,106060000000.0,32880000000.0,745000000.0,19475000000.0,125535000000.0,201000000.0,,,,,,,,,,1774000000.0,12345000000.0,2141000000.0,9918000000.0,243000000.0,,116000000.0,,57000000.0,352000000.0,,4000000.0,-2331000000.0,,
2012-09-30,24768000000.0,,,,,,,,,850000000.0,1912000000.0,3.89,3.86,491500000.0,494700000.0,,,,,,,,,,928000000.0,1242000000.0,,,126988000000.0,,,,,,,,,106151000000.0,33496000000.0,1587000000.0,20837000000.0,126988000000.0,293000000.0,,,,,,,,,,2618000000.0,16809000000.0,3892000000.0,13952000000.0,275000000.0,,176000000.0,,6000000.0,497000000.0,,7000000.0,-3249000000.0,,
2012-12-31,33315000000.0,,,,,,,,,1000000000.0,2306000000.0,4.71,4.68,489400000.0,493000000.0,,,,,-597000000.0,,,,,989000000.0,1240000000.0,,,126947000000.0,,,,,,,,,106367000000.0,33783000000.0,1175000000.0,20580000000.0,126947000000.0,388000000.0,,705000000.0,,,,,,,,3054000000.0,22658000000.0,5417000000.0,18872000000.0,665000000.0,,285000000.0,,-58000000.0,1581000000.0,,10000000.0,-4605000000.0,,
2013-03-31,8463000000.0,,,,,,,,,321000000.0,709000000.0,1.49,1.47,475400000.0,480800000.0,,,,,-782000000.0,,,,,998000000.0,1239000000.0,,,126612000000.0,,,,,,,,,105993000000.0,34375000000.0,1279000000.0,20619000000.0,126612000000.0,87000000.0,,,,,,,,,,740000000.0,6084000000.0,1745000000.0,5474000000.0,196000000.0,,60000000.0,,-34000000.0,136000000.0,,23000000.0,-862000000.0,,
2013-06-30,17250000000.0,,,,,,,,,501000000.0,1143000000.0,2.42,2.39,471900000.0,477300000.0,,,,,-250000000.0,,,,,971000000.0,1239000000.0,,,121480000000.0,,,,,,,,,101611000000.0,34691000000.0,50000000.0,19869000000.0,121480000000.0,180000000.0,,,,,,,,,,1553000000.0,10637000000.0,3658000000.0,10461000000.0,538000000.0,,43000000.0,,-91000000.0,2652000000.0,,29000000.0,-4377000000.0,,
