Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2019-03-31,,,,,,34.0,,,,,-34.0,,,,,130.0,,,,,,,,,,,,,130.0,,,,,,,,,34.0,-34.0,,96.0,130.0,,,,,,,,,,,-34.0,,,,,,,,,,130.0,,164.0,130.0,
2019-06-30,9458200000.0,7659100000.0,1799100000.0,64000000.0,999000000.0,,791700000.0,3500000.0,604100000.0,171500000.0,430200000.0,0.36,0.36,1180300000.0,1183800000.0,601600000.0,,1864300000.0,1953800000.0,280200000.0,,,5210100000.0,,3975000000.0,5156000000.0,2306800000.0,187100000.0,17165000000.0,2303400000.0,1044900000.0,,4541800000.0,,1011700000.0,,241000000.0,11490300000.0,323700000.0,-722400000.0,5609000000.0,17165000000.0,349700000.0,18600000.0,72800000.0,83700000.0,-3200000.0,,,120500000.0,,,776100000.0,,,,,-41900000.0,332200000.0,,,10200000.0,19300000.0,,-764900000.0,-19200000.0,147700000.0
2019-09-30,3140700000.0,2594000000.0,546700000.0,25900000.0,371900000.0,,140600000.0,7600000.0,95200000.0,21800000.0,66000000.0,0.04,0.04,1623500000.0,1626100000.0,480200000.0,,1789500000.0,1874400000.0,,,,4562200000.0,,3869000000.0,5117300000.0,2123000000.0,190100000.0,16730700000.0,1891900000.0,1286000000.0,,3839600000.0,,850800000.0,,214900000.0,11239300000.0,252300000.0,-773500000.0,5424200000.0,16730700000.0,184300000.0,6000000.0,-36600000.0,,,,,,,,-89400000.0,,,,,,115400000.0,,,284100000.0,700000.0,,-306200000.0,-121400000.0,54000000.0
2019-12-31,6183800000.0,5019800000.0,1164000000.0,49400000.0,680200000.0,,412900000.0,12000000.0,325900000.0,66900000.0,251600000.0,0.155,0.155,1618600000.0,1619800000.0,673800000.0,,1669100000.0,1891800000.0,,,,4687600000.0,,3757500000.0,5246300000.0,2094100000.0,197000000.0,16832600000.0,2075800000.0,1020000000.0,,3767400000.0,,726500000.0,,220000000.0,11429700000.0,254400000.0,-702600000.0,5339700000.0,16832600000.0,331800000.0,13100000.0,-116900000.0,,,,,,,,342000000.0,,,,,,206600000.0,,,194000000.0,900000.0,,-442100000.0,72200000.0,184200000.0
2020-03-31,9324800000.0,7508800000.0,1816000000.0,74300000.0,1033400000.0,,684100000.0,,562000000.0,123000000.0,433100000.0,0.269,0.269,1610700000.0,1611200000.0,537800000.0,,1730500000.0,1819800000.0,,,,4502200000.0,,3633000000.0,5226800000.0,2037500000.0,172400000.0,16421000000.0,1861300000.0,1095700000.0,,3651900000.0,,,,190500000.0,11618200000.0,254700000.0,-1057900000.0,4739600000.0,16421000000.0,499300000.0,23600000.0,-130200000.0,,,,,,,,470300000.0,,,,,,312700000.0,,,116400000.0,900000.0,,-589900000.0,-63800000.0,225700000.0
2020-06-30,12467500000.0,9932000000.0,2535500000.0,97300000.0,1384800000.0,,994000000.0,,825200000.0,186900000.0,612200000.0,0.382,0.382,1601000000.0,1601600000.0,742600000.0,,1615900000.0,1831900000.0,158600000.0,,,4534700000.0,,,5339300000.0,1994300000.0,177200000.0,16442100000.0,2170800000.0,1120000000.0,,3973600000.0,,,,223200000.0,11755000000.0,246500000.0,-1049300000.0,4625900000.0,16442100000.0,607200000.0,34000000.0,-113700000.0,-133300000.0,-25600000.0,,,-48100000.0,,,1384200000.0,,,,,,399500000.0,,,37900000.0,1000000.0,,-1236400000.0,141000000.0,304400000.0
2020-09-30,3097000000.0,2443000000.0,654000000.0,26000000.0,329000000.0,,276000000.0,,242000000.0,61000000.0,198000000.0,0.127,0.126,1562500000.0,1565300000.0,757000000.0,,1673000000.0,1784000000.0,,,,4612000000.0,,3649000000.0,5382000000.0,1951000000.0,176000000.0,16465000000.0,1808000000.0,1148000000.0,,3626000000.0,,,,221000000.0,11721000000.0,258000000.0,-1019000000.0,4687000000.0,16465000000.0,145000000.0,14000000.0,-3000000.0,,,,,,,,-110000000.0,,,,,,114000000.0,,,27000000.0,5000000.0,,76000000.0,14000000.0,107000000.0
2020-12-31,6200000000.0,4895000000.0,1305000000.0,49000000.0,637000000.0,,583000000.0,,519000000.0,116000000.0,417000000.0,0.267,0.265,1562200000.0,1569900000.0,755000000.0,,1681000000.0,1843000000.0,,,,4713000000.0,,3767000000.0,5437000000.0,1920000000.0,170000000.0,16718000000.0,2093000000.0,1102000000.0,,3678000000.0,,,,233000000.0,11870000000.0,293000000.0,-884000000.0,4792000000.0,16718000000.0,287000000.0,28000000.0,5000000.0,,,,,,,,442000000.0,,,,,,218000000.0,,,-76000000.0,9000000.0,,-409000000.0,12000000.0,168000000.0
2021-03-31,9407000000.0,7420000000.0,1987000000.0,74000000.0,962000000.0,,956000000.0,,860000000.0,187000000.0,684000000.0,0.439,0.438,1558400000.0,1561800000.0,690000000.0,,1775000000.0,1876000000.0,,,,4770000000.0,,3681000000.0,5393000000.0,1874000000.0,168000000.0,16592000000.0,1986000000.0,1120000000.0,,3670000000.0,,,,227000000.0,11887000000.0,378000000.0,-899000000.0,4647000000.0,16592000000.0,426000000.0,44000000.0,-7000000.0,,,,,,,,617000000.0,,,,,,335000000.0,,,-115000000.0,11000000.0,,-601000000.0,-53000000.0,218000000.0
2021-06-30,12861000000.0,10129000000.0,2732000000.0,100000000.0,1292000000.0,,1321000000.0,,1193000000.0,261000000.0,939000000.0,0.604,0.602,1553000000.0,1556000000.0,850000000.0,,1864000000.0,1991000000.0,126000000.0,,,5266000000.0,,,5419000000.0,1835000000.0,184000000.0,17188000000.0,2574000000.0,1145000000.0,,4345000000.0,,,,371000000.0,12367000000.0,452000000.0,-766000000.0,4764000000.0,17188000000.0,572000000.0,58000000.0,4000000.0,189000000.0,112000000.0,,,342000000.0,,,1461000000.0,,,,,,468000000.0,,,-233000000.0,30000000.0,,-1179000000.0,107000000.0,321000000.0
2021-09-30,3420000000.0,2770000000.0,650000000.0,25000000.0,313000000.0,,296000000.0,,266000000.0,63000000.0,202000000.0,0.131,0.131,,1534000000.0,633000000.0,,1938000000.0,2113000000.0,,,,5279000000.0,,3701000000.0,5385000000.0,1792000000.0,180000000.0,17044000000.0,2412000000.0,1126000000.0,,4017000000.0,,,,365000000.0,12339000000.0,473000000.0,-862000000.0,4650000000.0,17044000000.0,177000000.0,15000000.0,-11000000.0,,,,,,,,-112000000.0,,,,,,145000000.0,,,-145000000.0,82000000.0,,67000000.0,-217000000.0,55000000.0
2021-12-31,6927000000.0,5632000000.0,1295000000.0,48000000.0,616000000.0,,618000000.0,,556000000.0,124000000.0,427000000.0,0.28,0.279,,1528000000.0,626000000.0,,1889000000.0,2273000000.0,,,,5391000000.0,,3695000000.0,5370000000.0,1749000000.0,215000000.0,17138000000.0,2743000000.0,1058000000.0,,4293000000.0,,,,362000000.0,12619000000.0,515000000.0,-885000000.0,4462000000.0,17138000000.0,332000000.0,31000000.0,-14000000.0,,,,,,,,323000000.0,,,,,,255000000.0,,,-265000000.0,92000000.0,,-235000000.0,-224000000.0,110000000.0
2022-03-31,10635000000.0,8609000000.0,2026000000.0,72000000.0,942000000.0,,987000000.0,,899000000.0,196000000.0,696000000.0,0.457,0.456,,1521000000.0,1077000000.0,,2090000000.0,2420000000.0,,,,6170000000.0,,3772000000.0,5379000000.0,1709000000.0,227000000.0,17987000000.0,2816000000.0,1124000000.0,,4424000000.0,,,,418000000.0,13410000000.0,604000000.0,-807000000.0,4517000000.0,17987000000.0,479000000.0,47000000.0,-44000000.0,,,,,,,,589000000.0,,,,,,373000000.0,,,-383000000.0,92000000.0,,52000000.0,227000000.0,163000000.0
