Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-26,,,1479000000.0,694000000.0,448000000.0,,307000000.0,,512000000.0,-5000000.0,,0.3,0.29,709000000.0,732000000.0,1084000000.0,812000000.0,725000000.0,581000000.0,,,,3313000000.0,,755000000.0,323000000.0,64000000.0,352000000.0,4955000000.0,409000000.0,663000000.0,148000000.0,1630000000.0,,1000000.0,,154000000.0,,-5725000000.0,7000000.0,752000000.0,4955000000.0,,43000000.0,-11000000.0,388000000.0,93000000.0,,-14000000.0,,,,-75000000.0,668000000.0,,,,,79000000.0,,-18000000.0,-699000000.0,7000000.0,,201000000.0,-573000000.0,
2010-09-25,,,2218000000.0,1053000000.0,684000000.0,,435000000.0,,581000000.0,-4000000.0,,-0.17,-0.17,713000000.0,732000000.0,620000000.0,1106000000.0,765000000.0,622000000.0,,,,3212000000.0,,723000000.0,323000000.0,48000000.0,289000000.0,4595000000.0,464000000.0,601000000.0,151000000.0,1665000000.0,,,,102000000.0,,-5843000000.0,12000000.0,614000000.0,4595000000.0,,65000000.0,-2000000.0,673000000.0,134000000.0,,-13000000.0,,,,-199000000.0,1315000000.0,,,,,110000000.0,,-23000000.0,-1020000000.0,9000000.0,,182000000.0,-1037000000.0,
2010-12-25,,,2961000000.0,1405000000.0,934000000.0,,848000000.0,,971000000.0,38000000.0,,0.66,0.64,711000000.0,733000000.0,606000000.0,1183000000.0,968000000.0,632000000.0,,,,3594000000.0,,700000000.0,323000000.0,37000000.0,310000000.0,4964000000.0,376000000.0,698000000.0,143000000.0,1674000000.0,,,,82000000.0,,-5468000000.0,1000000.0,1013000000.0,4964000000.0,,87000000.0,-5000000.0,1138000000.0,144000000.0,,-11000000.0,,,,-412000000.0,1800000000.0,,,,,148000000.0,,-19000000.0,-1123000000.0,15000000.0,,484000000.0,-1051000000.0,12000000.0
2011-04-02,,,691000000.0,367000000.0,261000000.0,,54000000.0,,20000000.0,2000000.0,,0.71,0.68,720000000.0,764000000.0,602000000.0,1143000000.0,797000000.0,648000000.0,,,,3411000000.0,,676000000.0,323000000.0,28000000.0,285000000.0,5209000000.0,411000000.0,605000000.0,165000000.0,1375000000.0,,,,84000000.0,,-4958000000.0,2000000.0,1558000000.0,5209000000.0,,27000000.0,-1000000.0,189000000.0,16000000.0,,-10000000.0,,,,-168000000.0,393000000.0,,,,,38000000.0,,17000000.0,-14000000.0,9000000.0,,178000000.0,-4000000.0,
2011-07-02,,,1411000000.0,734000000.0,500000000.0,,159000000.0,,84000000.0,5000000.0,,0.79,0.76,724000000.0,766000000.0,554000000.0,1307000000.0,759000000.0,642000000.0,,,,3438000000.0,,686000000.0,323000000.0,19000000.0,272000000.0,5224000000.0,455000000.0,575000000.0,132000000.0,1312000000.0,,,,76000000.0,,-4897000000.0,0.0,1641000000.0,5224000000.0,,47000000.0,,187000000.0,10000000.0,,-1000000.0,,,,6000000.0,952000000.0,,13000000.0,,,105000000.0,,17000000.0,-244000000.0,15000000.0,,186000000.0,-52000000.0,
2011-10-01,,,2167000000.0,1095000000.0,749000000.0,,297000000.0,,176000000.0,-5000000.0,,0.92,0.9,729000000.0,742000000.0,625000000.0,1182000000.0,908000000.0,540000000.0,,,,3412000000.0,,697000000.0,323000000.0,11000000.0,257000000.0,5236000000.0,467000000.0,590000000.0,131000000.0,1855000000.0,,,,66000000.0,,-4800000000.0,-8000000.0,1744000000.0,5236000000.0,,69000000.0,,337000000.0,-92000000.0,,3000000.0,,,,195000000.0,1461000000.0,,21000000.0,,,163000000.0,,17000000.0,-210000000.0,17000000.0,,34000000.0,19000000.0,
2011-12-31,,,2940000000.0,1453000000.0,992000000.0,,368000000.0,,491000000.0,-4000000.0,,0.68,0.66,727000000.0,742000000.0,869000000.0,19000000.0,919000000.0,476000000.0,,,,3229000000.0,149000000.0,726000000.0,323000000.0,,249000000.0,4954000000.0,363000000.0,550000000.0,123000000.0,1774000000.0,,,,63000000.0,,-4977000000.0,-5000000.0,1590000000.0,4954000000.0,,90000000.0,-6000000.0,347000000.0,-157000000.0,,1000000.0,,,,382000000.0,1586000000.0,,,,,250000000.0,,19000000.0,-113000000.0,18000000.0,,-6000000.0,263000000.0,9000000.0
2012-03-31,,,27000000.0,368000000.0,230000000.0,,-580000000.0,,-622000000.0,-32000000.0,,-0.8,-0.8,734000000.0,734000000.0,1193000000.0,351000000.0,962000000.0,585000000.0,,,,3195000000.0,169000000.0,715000000.0,553000000.0,109000000.0,247000000.0,4988000000.0,527000000.0,556000000.0,137000000.0,2347000000.0,,,,60000000.0,,-5567000000.0,-3000000.0,1052000000.0,4988000000.0,,21000000.0,-36000000.0,40000000.0,106000000.0,,16000000.0,,,,107000000.0,95000000.0,,,,281000000.0,40000000.0,,4000000.0,200000000.0,9000000.0,,17000000.0,324000000.0,
2012-06-30,,,665000000.0,713000000.0,442000000.0,,-503000000.0,,-591000000.0,-38000000.0,,-0.75,-0.75,739000000.0,755000000.0,1015000000.0,564000000.0,744000000.0,833000000.0,,,,3233000000.0,180000000.0,707000000.0,553000000.0,105000000.0,263000000.0,5041000000.0,471000000.0,548000000.0,126000000.0,2352000000.0,,,,40000000.0,,-5530000000.0,-4000000.0,1117000000.0,5041000000.0,,47000000.0,-40000000.0,-177000000.0,355000000.0,,18000000.0,,,,188000000.0,548000000.0,,,,281000000.0,79000000.0,,5000000.0,-63000000.0,12000000.0,,21000000.0,146000000.0,
2012-09-29,,,1057000000.0,1041000000.0,630000000.0,,-634000000.0,,-748000000.0,-38000000.0,,-0.96,-0.96,745000000.0,745000000.0,776000000.0,524000000.0,683000000.0,744000000.0,,,,2815000000.0,180000000.0,685000000.0,553000000.0,100000000.0,279000000.0,4612000000.0,412000000.0,534000000.0,110000000.0,1555000000.0,,,,33000000.0,,-5687000000.0,-2000000.0,989000000.0,4612000000.0,,74000000.0,-41000000.0,-237000000.0,266000000.0,,13000000.0,,,,-52000000.0,749000000.0,,,,281000000.0,111000000.0,,23000000.0,-73000000.0,12000000.0,,32000000.0,-93000000.0,
