Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,2098355000.0,,,,254143000.0,1732305000.0,366050000.0,,294633000.0,88863000.0,205770000.0,1.93,1.91,106788000.0,107850000.0,246356000.0,4994000.0,,311542000.0,30669000.0,,44486000.0,969430000.0,,310053000.0,1277291000.0,521888000.0,,3246032000.0,191779000.0,133357000.0,,424282000.0,,206354000.0,,92492000.0,1679008000.0,1500471000.0,-75281000.0,1567024000.0,3246032000.0,,13502000.0,5768000.0,87146000.0,,,,,,,364671000.0,,,,,72919000.0,33062000.0,,-275000.0,-106344000.0,,4096000.0,-102519000.0,159376000.0,
2010-03-31,556662000.0,,,,67543000.0,454216000.0,102446000.0,,85177000.0,27232000.0,57945000.0,0.54,0.54,106619000.0,107570000.0,255632000.0,5296000.0,,305960000.0,26090000.0,,47116000.0,996281000.0,,298207000.0,1261030000.0,504407000.0,,3225017000.0,203532000.0,138043000.0,,449328000.0,,204849000.0,,98512000.0,1699137000.0,1552019000.0,-108548000.0,1525880000.0,3225017000.0,,3601000.0,3862000.0,,,,,,,,91863000.0,,,,,3225000.0,5811000.0,,,-9036000.0,,1584000.0,-70420000.0,9276000.0,
2010-06-30,1148603000.0,,,,137392000.0,930562000.0,218041000.0,,182421000.0,57085000.0,125336000.0,1.18,1.17,106143000.0,107119000.0,230793000.0,4592000.0,,315747000.0,22771000.0,,43915000.0,984945000.0,,290437000.0,1296586000.0,531824000.0,,3267048000.0,213927000.0,145239000.0,,462392000.0,,217192000.0,,96796000.0,1713672000.0,1613171000.0,-138898000.0,1553376000.0,3267048000.0,,7996000.0,3222000.0,,,,,,,,180382000.0,,,,,92653000.0,12688000.0,,-4020000.0,-101321000.0,,2587000.0,-86710000.0,-15563000.0,
2010-09-30,1792977000.0,,,,213261000.0,1446343000.0,346634000.0,,291236000.0,88543000.0,202693000.0,1.91,1.89,106016000.0,107148000.0,135017000.0,5176000.0,,332431000.0,20735000.0,,47465000.0,930937000.0,,304181000.0,1489574000.0,690360000.0,,3579305000.0,227567000.0,170869000.0,,463339000.0,,278755000.0,,94436000.0,1911201000.0,1684140000.0,-104058000.0,1668104000.0,3579305000.0,,12347000.0,4436000.0,,,,,,,,294674000.0,,,,,373653000.0,22446000.0,,-3766000.0,-392333000.0,,3549000.0,-11797000.0,-111339000.0,
2010-12-31,2470952000.0,,,56800000.0,296482000.0,1988794000.0,482158000.0,,406250000.0,122318000.0,283932000.0,1.79,1.76,159056000.0,160884000.0,163208000.0,5645000.0,,335253000.0,284360000.0,,43367000.0,974492000.0,,318126000.0,1573645000.0,761556000.0,,3818915000.0,236600000.0,178081000.0,,550859000.0,,311466000.0,,110026000.0,2043711000.0,1755742000.0,-91958000.0,1775204000.0,3818915000.0,,16596000.0,3774000.0,43179000.0,,,,,,,423013000.0,,,,,538585000.0,39183000.0,,-11564000.0,-566823000.0,,8990000.0,62629000.0,-83148000.0,
2011-03-31,717783000.0,,,,81492000.0,565763000.0,152020000.0,,133385000.0,42950000.0,90435000.0,0.57,0.56,159728000.0,162186000.0,155009000.0,6665000.0,,351424000.0,32868000.0,,42343000.0,1022826000.0,,317635000.0,1591779000.0,760966000.0,,3893298000.0,261579000.0,165452000.0,,491023000.0,,320326000.0,,119034000.0,2011079000.0,1836529000.0,-73661000.0,1882219000.0,3893298000.0,,4332000.0,2869000.0,,,,,,,,103640000.0,,,,,,10371000.0,,,-13537000.0,,970000.0,-101399000.0,-8199000.0,
2011-06-30,1476617000.0,,,,171177000.0,1167642000.0,308975000.0,,270620000.0,86041000.0,184579000.0,1.15,1.14,160406000.0,162215000.0,196593000.0,6517000.0,,364317000.0,34203000.0,,41637000.0,1083132000.0,,331614000.0,1712781000.0,826720000.0,,4154774000.0,266709000.0,175319000.0,,601895000.0,,361726000.0,,122226000.0,2169131000.0,1921008000.0,-66543000.0,1985643000.0,4154774000.0,,14275000.0,4995000.0,,,,,,,,218795000.0,,,,,182506000.0,20559000.0,,2959000.0,-206024000.0,,8849000.0,15655000.0,33385000.0,
2011-09-30,2227163000.0,,,,257196000.0,1758602000.0,468561000.0,,409663000.0,127106000.0,282557000.0,1.76,1.74,160924000.0,162514000.0,218274000.0,5490000.0,,363838000.0,33247000.0,,34677000.0,1080537000.0,,318636000.0,1677319000.0,836572000.0,,4116301000.0,263143000.0,180335000.0,,518207000.0,,361791000.0,,117903000.0,2068441000.0,2009321000.0,-101911000.0,2047860000.0,4116301000.0,,18356000.0,-134000.0,,,,,,,,355839000.0,,,,,182506000.0,32410000.0,,2150000.0,-217066000.0,,11654000.0,-78213000.0,55066000.0,
2011-12-31,2989914000.0,,,78000000.0,349321000.0,2353973000.0,635941000.0,,556642000.0,172178000.0,384464000.0,2.4,2.37,160255000.0,162108000.0,170392000.0,4563000.0,,380471000.0,-359820000.0,,36180000.0,1059119000.0,,325329000.0,1806237000.0,982957000.0,,4319490000.0,283068000.0,181172000.0,,628875000.0,,389088000.0,,125306000.0,2266685000.0,2101615000.0,-157263000.0,2052805000.0,4319490000.0,,22147000.0,12154000.0,12450000.0,,,,,,,508565000.0,,,,,474441000.0,50816000.0,,2181000.0,-526453000.0,,13056000.0,31858000.0,7184000.0,
2012-03-31,827152000.0,,,,95036000.0,644376000.0,182776000.0,,161699000.0,51549000.0,110150000.0,0.69,0.68,160124000.0,162205000.0,219304000.0,5155000.0,,393259000.0,27703000.0,,39119000.0,1152861000.0,,334369000.0,1929063000.0,1050337000.0,,4608592000.0,291026000.0,174560000.0,,750142000.0,,409025000.0,,126827000.0,2419159000.0,2202122000.0,-135846000.0,2189433000.0,4608592000.0,,4058000.0,-2300000.0,,,,,,,,140885000.0,,,,,179356000.0,8398000.0,,-4291000.0,-183463000.0,,3136000.0,87193000.0,48912000.0,
