Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,7946000000.0,,,,,6885000000.0,,,920000000.0,183000000.0,722000000.0,2.98,2.95,242200000.0,244400000.0,3097000000.0,,,,,,,,,,,,,113774000000.0,,,,,,,,,103898000000.0,5282000000.0,263000000.0,9273000000.0,113774000000.0,120000000.0,182000000.0,,126000000.0,,,,,,,-1258000000.0,17815000000.0,5855000000.0,5630000000.0,14000000.0,,83000000.0,,,-6433000000.0,869000000.0,12000000.0,4545000000.0,-3131000000.0,98000000.0
2010-03-31,2292000000.0,,,,,1910000000.0,,,361000000.0,65000000.0,214000000.0,0.82,0.81,260800000.0,265000000.0,4816000000.0,,,,,,,,,,,,,122377000000.0,,,,,,,,,111677000000.0,5451000000.0,365000000.0,10108000000.0,122377000000.0,22000000.0,39000000.0,,267000000.0,,,,,,,131000000.0,2523000000.0,1842000000.0,1539000000.0,21000000.0,,21000000.0,,1000000.0,839000000.0,,1000000.0,759000000.0,1719000000.0,154000000.0
2010-06-30,4889000000.0,,,,,4021000000.0,,,827000000.0,133000000.0,473000000.0,1.81,1.78,261100000.0,265300000.0,,,,,,,,,,,,,,121110000000.0,,,,,,,,,109991000000.0,5658000000.0,607000000.0,10498000000.0,121110000000.0,48000000.0,70000000.0,,490000000.0,,,,,,,1316000000.0,4188000000.0,3204000000.0,1906000000.0,40000000.0,866000000.0,54000000.0,,8000000.0,-206000000.0,,5000000.0,-368000000.0,730000000.0,53000000.0
2010-09-30,7354000000.0,,,,,6029000000.0,,,1269000000.0,263000000.0,817000000.0,3.15,3.1,259000000.0,263400000.0,,,,,,,,,,,,,,129044000000.0,,,,,,,,,117540000000.0,5955000000.0,897000000.0,10950000000.0,129044000000.0,79000000.0,111000000.0,,419000000.0,,,,,,,1915000000.0,6536000000.0,4783000000.0,1979000000.0,141000000.0,866000000.0,88000000.0,,8000000.0,-1115000000.0,,5000000.0,-207000000.0,588000000.0,56000000.0
2010-12-31,10046000000.0,,,,,8382000000.0,,,,334000000.0,1097000000.0,4.26,4.18,257400000.0,262300000.0,,,,,-278000000.0,,,,,693000000.0,,,,131192000000.0,,,,,,,,,119907000000.0,6190000000.0,565000000.0,10725000000.0,131192000000.0,110000000.0,158000000.0,513000000.0,484000000.0,,,,,,,2035000000.0,7502000000.0,6404000000.0,1519000000.0,290000000.0,866000000.0,131000000.0,,8000000.0,-922000000.0,,9000000.0,-1343000000.0,-236000000.0,61000000.0
2011-03-31,2667000000.0,,,,,2383000000.0,,,,48000000.0,241000000.0,0.96,0.94,251600000.0,257700000.0,2460000000.0,,,,,,,,,,,,,133832000000.0,,,,,,,,,122643000000.0,6385000000.0,542000000.0,10551000000.0,133832000000.0,30000000.0,42000000.0,-19000000.0,348000000.0,,,,,,,15000000.0,2379000000.0,1516000000.0,538000000.0,80000000.0,,47000000.0,,2000000.0,-73000000.0,,14000000.0,-347000000.0,-401000000.0,10000000.0
2011-06-30,5179000000.0,,,,,4369000000.0,,,,207000000.0,550000000.0,2.21,2.16,248500000.0,254300000.0,2553000000.0,,,,,,,,,,,,,135138000000.0,,,,,,,,,123910000000.0,6629000000.0,633000000.0,10548000000.0,135138000000.0,67000000.0,80000000.0,45000000.0,157000000.0,,,,,,,658000000.0,4111000000.0,3025000000.0,644000000.0,151000000.0,,89000000.0,,2000000.0,-596000000.0,,37000000.0,-374000000.0,-308000000.0,223000000.0
2011-09-30,7646000000.0,,,,,6577000000.0,,,,288000000.0,,3.36,3.29,245000000.0,250200000.0,2693000000.0,,,,,,,,,,,,,130380000000.0,,,,,,,,,119393000000.0,6842000000.0,636000000.0,10271000000.0,130380000000.0,61000000.0,101000000.0,120000000.0,139000000.0,,,,,,,1451000000.0,5469000000.0,4107000000.0,656000000.0,257000000.0,,149000000.0,,3000000.0,-1059000000.0,,89000000.0,-559000000.0,-168000000.0,355000000.0
2011-12-31,10239000000.0,,,,,8807000000.0,,,,355000000.0,,4.46,4.37,241400000.0,246300000.0,2781000000.0,,,,-342000000.0,,,,,774000000.0,,,,133986000000.0,,,,,,,,,123025000000.0,6983000000.0,638000000.0,10255000000.0,133986000000.0,110000000.0,145000000.0,61000000.0,260000000.0,,,,,,,2178000000.0,7236000000.0,5206000000.0,888000000.0,422000000.0,,250000000.0,,7000000.0,-1146000000.0,,90000000.0,-1111000000.0,-80000000.0,370000000.0
2012-03-31,2572000000.0,,,,,2239000000.0,,,,73000000.0,,1.07,1.05,227300000.0,231700000.0,2312000000.0,,,,,,,,,,,,,136757000000.0,,,,,,,,,127008000000.0,5845000000.0,851000000.0,9115000000.0,136757000000.0,56000000.0,32000000.0,-56000000.0,7000000.0,,,,,,,175000000.0,1529000000.0,1174000000.0,100000000.0,76000000.0,,61000000.0,,-1000000.0,-234000000.0,,15000000.0,-417000000.0,-469000000.0,-79000000.0
