Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,24509000000.0,18978000000.0,5531000000.0,,,4402000000.0,1129000000.0,32000000.0,1161000000.0,253000000.0,902000000.0,2.08,2.04,433000000.0,442000000.0,3444000000.0,2922000000.0,988000000.0,2171000000.0,272000000.0,,,9797000000.0,,1290000000.0,1234000000.0,,1474000000.0,13813000000.0,5605000000.0,1759000000.0,,7364000000.0,,,,1083000000.0,,172000000.0,-56000000.0,5257000000.0,13813000000.0,,341000000.0,81000000.0,481000000.0,531000000.0,,,1859000000.0,,,3293000000.0,,,,,,373000000.0,,,-2337000000.0,,105000000.0,-280000000.0,675000000.0,
2010-03-31,7131000000.0,5501000000.0,,,,6737000000.0,394000000.0,7000000.0,401000000.0,100000000.0,1024000000.0,0.67,0.66,445000000.0,454000000.0,1844000000.0,3219000000.0,815000000.0,1820000000.0,266000000.0,,,7964000000.0,,1436000000.0,1234000000.0,,1392000000.0,12042000000.0,3619000000.0,1574000000.0,,5193000000.0,,,,1100000000.0,,471000000.0,-145000000.0,5618000000.0,12042000000.0,,360000000.0,63000000.0,-454000000.0,-321000000.0,,,-1892000000.0,,,2780000000.0,,,,,,458000000.0,,,-2732000000.0,,141000000.0,97000000.0,-1600000000.0,
2010-06-30,13697000000.0,10458000000.0,,,,13032000000.0,665000000.0,34000000.0,699000000.0,189000000.0,1088000000.0,1.13,1.11,447000000.0,455000000.0,1629000000.0,3479000000.0,805000000.0,1940000000.0,265000000.0,,,8118000000.0,,1704000000.0,1229000000.0,,1317000000.0,12397000000.0,3545000000.0,1705000000.0,,5250000000.0,,,,1158000000.0,,678000000.0,-282000000.0,5857000000.0,12397000000.0,,386000000.0,49000000.0,-412000000.0,435000000.0,,,-1972000000.0,,,2561000000.0,,,,,,575000000.0,,,-2927000000.0,,196000000.0,143000000.0,-1815000000.0,
2010-09-30,21257000000.0,16244000000.0,,,,20325000000.0,932000000.0,58000000.0,990000000.0,267000000.0,1120000000.0,1.65,1.62,448000000.0,456000000.0,1539000000.0,4346000000.0,959000000.0,2515000000.0,200000000.0,,,9559000000.0,,2099000000.0,1277000000.0,,1184000000.0,14162000000.0,4614000000.0,1761000000.0,,6375000000.0,,,,1226000000.0,,908000000.0,-131000000.0,6397000000.0,14162000000.0,,404000000.0,-44000000.0,-348000000.0,666000000.0,,,1152000000.0,,,2617000000.0,,,,,,788000000.0,,,-3753000000.0,,288000000.0,224000000.0,-1905000000.0,
2010-12-31,34204000000.0,26561000000.0,,,,32798000000.0,1406000000.0,91000000.0,1497000000.0,352000000.0,1152000000.0,2.58,2.53,447000000.0,456000000.0,3777000000.0,4985000000.0,1587000000.0,3202000000.0,40000000.0,,,13747000000.0,,2414000000.0,1349000000.0,,1265000000.0,18797000000.0,8051000000.0,2321000000.0,461000000.0,10372000000.0,34000000.0,,,1561000000.0,,1324000000.0,-190000000.0,6864000000.0,18797000000.0,552000000.0,424000000.0,4000000.0,295000000.0,1019000000.0,,,2373000000.0,,,3495000000.0,,,,,,979000000.0,,,-3360000000.0,,259000000.0,181000000.0,333000000.0,75000000.0
2011-03-31,9857000000.0,7608000000.0,,,,9535000000.0,322000000.0,-15000000.0,307000000.0,89000000.0,1054000000.0,0.44,0.44,451000000.0,459000000.0,2641000000.0,4240000000.0,1304000000.0,2888000000.0,215000000.0,,,11288000000.0,,2902000000.0,1513000000.0,,1151000000.0,16882000000.0,5540000000.0,2190000000.0,,7730000000.0,,,,,,1525000000.0,-66000000.0,7347000000.0,16882000000.0,,448000000.0,38000000.0,-359000000.0,997000000.0,,,-2649000000.0,,,3033000000.0,,,,,,1138000000.0,,,-2428000000.0,,219000000.0,92000000.0,-1136000000.0,
2011-06-30,19770000000.0,15133000000.0,,,,19247000000.0,523000000.0,24000000.0,531000000.0,138000000.0,1038000000.0,0.87,0.85,453000000.0,460000000.0,2047000000.0,4308000000.0,1438000000.0,3229000000.0,257000000.0,,,11279000000.0,,3470000000.0,1909000000.0,,1253000000.0,17941000000.0,5721000000.0,2324000000.0,,8045000000.0,,,,,,1715000000.0,-30000000.0,7765000000.0,17941000000.0,,481000000.0,67000000.0,304000000.0,1130000000.0,,,-2535000000.0,,,3205000000.0,,,,,,1374000000.0,,,-2903000000.0,,159000000.0,-91000000.0,-1730000000.0,35000000.0
2011-09-30,30646000000.0,23457000000.0,,,,30044000000.0,602000000.0,59000000.0,661000000.0,205000000.0,871000000.0,1.0,0.99,454000000.0,461000000.0,2823000000.0,3503000000.0,1496000000.0,3770000000.0,312000000.0,,,11904000000.0,,3999000000.0,1934000000.0,,1190000000.0,19054000000.0,6552000000.0,2426000000.0,,8978000000.0,,,,,,1778000000.0,-241000000.0,7766000000.0,19054000000.0,,518000000.0,116000000.0,320000000.0,1211000000.0,,,1755000000.0,,,3114000000.0,,,,,,1589000000.0,,,-1676000000.0,,84000000.0,-183000000.0,1284000000.0,31000000.0
2011-12-31,48077000000.0,37288000000.0,,,,47215000000.0,862000000.0,72000000.0,934000000.0,291000000.0,631000000.0,1.39,1.37,453000000.0,461000000.0,5269000000.0,4307000000.0,2571000000.0,4992000000.0,-95000000.0,,,17490000000.0,,4417000000.0,1955000000.0,,1388000000.0,25278000000.0,11145000000.0,3751000000.0,462000000.0,14896000000.0,87000000.0,,,887000000.0,,1955000000.0,-316000000.0,7757000000.0,25278000000.0,1034000000.0,557000000.0,136000000.0,866000000.0,1777000000.0,,,2997000000.0,,,3903000000.0,,,,,,1811000000.0,,,-1930000000.0,,62000000.0,-482000000.0,1492000000.0,33000000.0
2012-03-31,13185000000.0,10027000000.0,,,,12993000000.0,192000000.0,-108000000.0,84000000.0,43000000.0,561000000.0,0.29,0.28,453000000.0,460000000.0,2288000000.0,3427000000.0,1813000000.0,4255000000.0,371000000.0,,,12154000000.0,,4653000000.0,1970000000.0,,1535000000.0,20339000000.0,6886000000.0,3602000000.0,,10488000000.0,,,,,,2085000000.0,-174000000.0,7271000000.0,20339000000.0,,605000000.0,83000000.0,-746000000.0,1374000000.0,,,-4258000000.0,,,3051000000.0,,,,,,1899000000.0,,,-1870000000.0,,56000000.0,-1510000000.0,-2981000000.0,45000000.0
