Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-06-30,255154000.0,80460000.0,174694000.0,68334000.0,,122057000.0,52637000.0,-1498000.0,51139000.0,17192000.0,33947000.0,0.59,0.54,38491000.0,44057000.0,397198000.0,,67946000.0,71068000.0,8696000.0,,,562676000.0,,68799000.0,,,3806000.0,642778000.0,20000000.0,28016000.0,37888000.0,97694000.0,23795000.0,,15072000.0,25718000.0,181592000.0,76911000.0,15000.0,461186000.0,642778000.0,4713000.0,11487000.0,703000.0,-9678000.0,-2291000.0,,,4789000.0,2779000.0,2616000.0,63946000.0,,,,,,8579000.0,,,-4539000.0,,459000.0,224064000.0,283534000.0,
2014-09-30,410617000.0,134966000.0,275651000.0,104565000.0,,189140000.0,86511000.0,-3086000.0,83425000.0,27612000.0,55813000.0,0.93,0.85,62402000.0,69737000.0,408596000.0,,84063000.0,62587000.0,8696000.0,,,588351000.0,,66991000.0,,,27559000.0,691883000.0,19845000.0,32246000.0,40277000.0,101796000.0,37415000.0,,15022000.0,39312000.0,198961000.0,98777000.0,-48000.0,492922000.0,691883000.0,7366000.0,19569000.0,-782000.0,6657000.0,-4507000.0,,,5600000.0,18787000.0,1165000.0,98704000.0,,,,,,10789000.0,,19451000.0,-26200000.0,,841000.0,222508000.0,294932000.0,
2014-12-31,584106000.0,192015000.0,392091000.0,148909000.0,,266578000.0,125513000.0,-4005000.0,121508000.0,34658000.0,86850000.0,1.42,1.29,48427000.0,54590000.0,240031000.0,209426000.0,96982000.0,80519000.0,23642000.0,,9820000.0,679479000.0,,71558000.0,,,11840000.0,811023000.0,32428000.0,40369000.0,60327000.0,144373000.0,46141000.0,120000.0,17323000.0,4981000.0,255365000.0,129814000.0,-334000.0,555658000.0,811023000.0,10021000.0,27619000.0,-7455000.0,19844000.0,13425000.0,,,14007000.0,47564000.0,2105000.0,114516000.0,,,,,,13134000.0,,38249000.0,-249362000.0,,17436000.0,261337000.0,126367000.0,
2015-03-31,179045000.0,61291000.0,117754000.0,43340000.0,,81999000.0,35755000.0,-1289000.0,34466000.0,9974000.0,24492000.0,0.37,0.34,64635000.0,70722000.0,275186000.0,209153000.0,113057000.0,91225000.0,9801000.0,,5323000.0,736044000.0,,72787000.0,,,17334000.0,875092000.0,29123000.0,28920000.0,81826000.0,148331000.0,50998000.0,,17502000.0,5558000.0,264621000.0,154306000.0,-351000.0,610471000.0,875092000.0,2893000.0,8839000.0,1670000.0,16276000.0,10706000.0,,,-1936000.0,26356000.0,-422000.0,20767000.0,,,,,,5136000.0,,667000.0,-5803000.0,,10569000.0,20231000.0,35155000.0,
2015-06-30,374597000.0,128953000.0,245644000.0,93287000.0,,177030000.0,68614000.0,-1704000.0,66910000.0,18422000.0,48488000.0,0.73,0.67,65524000.0,71215000.0,342958000.0,208805000.0,122342000.0,100304000.0,12268000.0,,27808000.0,850212000.0,,73178000.0,,,17053000.0,990839000.0,43831000.0,43347000.0,107245000.0,202498000.0,57198000.0,,17850000.0,5839000.0,325297000.0,178302000.0,-143000.0,665542000.0,990839000.0,6246000.0,20047000.0,-2266000.0,25841000.0,22297000.0,,,11822000.0,57975000.0,-114000.0,73373000.0,,,,,,8768000.0,705000.0,,-9473000.0,,22975000.0,39047000.0,102927000.0,
2015-09-30,592145000.0,204753000.0,387392000.0,152035000.0,,287481000.0,99911000.0,-2444000.0,97467000.0,20289000.0,77178000.0,1.16,1.07,66629000.0,71887000.0,418500000.0,150117000.0,160230000.0,109921000.0,20197000.0,,36765000.0,921100000.0,,75248000.0,,,20861000.0,1072892000.0,31487000.0,58979000.0,124740000.0,224966000.0,65966000.0,,11188000.0,6011000.0,349718000.0,206991000.0,-431000.0,723174000.0,1072892000.0,9724000.0,32325000.0,-15483000.0,63898000.0,31915000.0,,,-145000.0,84238000.0,1980000.0,84022000.0,,,,,,13974000.0,743000.0,,39444000.0,,32381000.0,55270000.0,178469000.0,
2015-12-31,837591000.0,294031000.0,543560000.0,209448000.0,,394252000.0,149308000.0,-3299000.0,146009000.0,24907000.0,121102000.0,1.81,1.67,65964000.0,71411000.0,687326000.0,0.0,144263000.0,92129000.0,47960000.0,,29270000.0,974328000.0,,79706000.0,,,20791000.0,1159890000.0,43966000.0,60971000.0,122049000.0,235011000.0,74759000.0,469000.0,14060000.0,6698000.0,371738000.0,250916000.0,-675000.0,788152000.0,1159890000.0,13671000.0,45303000.0,-25887000.0,47281000.0,14123000.0,,,9037000.0,90340000.0,1171000.0,200533000.0,,,,,,19989000.0,,0.0,184170000.0,,37251000.0,63105000.0,447295000.0,
2016-03-31,242196000.0,87106000.0,155090000.0,62515000.0,,105355000.0,49735000.0,-414000.0,49321000.0,14100000.0,35245000.0,0.52,0.48,67737000.0,72214000.0,710663000.0,51589000.0,135119000.0,84030000.0,,,27766000.0,1023133000.0,,79944000.0,,,20208000.0,1209947000.0,24808000.0,46113000.0,135524000.0,214264000.0,83696000.0,,14918000.0,6385000.0,360090000.0,286161000.0,-653000.0,849857000.0,1209947000.0,4779000.0,13360000.0,-1597000.0,-9144000.0,-8099000.0,,,-16123000.0,22412000.0,464000.0,71116000.0,,,,,,7962000.0,670000.0,,-60270000.0,,6012000.0,12448000.0,23337000.0,
2016-06-30,510937000.0,184396000.0,326541000.0,131535000.0,,223648000.0,102893000.0,-730000.0,102163000.0,28014000.0,74149000.0,1.08,1.01,68275000.0,72817000.0,531058000.0,292760000.0,146659000.0,118130000.0,,,27513000.0,1142054000.0,,79681000.0,,,18812000.0,1334988000.0,60097000.0,55110000.0,138885000.0,263439000.0,91439000.0,,16086000.0,6754000.0,418156000.0,325065000.0,-705000.0,916832000.0,1334988000.0,9662000.0,27592000.0,-6876000.0,2396000.0,26001000.0,,,18501000.0,33516000.0,1779000.0,126029000.0,,,,,,12042000.0,697000.0,,-308177000.0,,15967000.0,25939000.0,-156268000.0,
2016-09-30,801198000.0,288237000.0,512961000.0,202183000.0,,347047000.0,165914000.0,-826000.0,165088000.0,39700000.0,125406000.0,1.82,1.71,69076000.0,73453000.0,500481000.0,299667000.0,210243000.0,162128000.0,,,55363000.0,1324178000.0,,78147000.0,,,18398000.0,1519080000.0,77048000.0,77163000.0,191094000.0,355082000.0,93741000.0,,11896000.0,6900000.0,507660000.0,376322000.0,-983000.0,1011420000.0,1519080000.0,14807000.0,42708000.0,-13720000.0,65980000.0,69998000.0,,,35510000.0,88027000.0,2628000.0,78685000.0,,,,,,15787000.0,697000.0,,-319551000.0,,30043000.0,54154000.0,-186845000.0,
