Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,273820000.0,48793000.0,225027000.0,43977000.0,71207000.0,123021000.0,102006000.0,,99634000.0,31772000.0,67862000.0,0.75,0.73,90614000.0,93146000.0,415488000.0,,63522000.0,,16905000.0,,81730000.0,578742000.0,,33565000.0,1034738000.0,295886000.0,5253000.0,1953550000.0,3767000.0,,190410000.0,273267000.0,,95154000.0,,33740000.0,,570063000.0,3568000.0,1402550000.0,1953550000.0,,9160000.0,-11895000.0,-246000.0,,,-3000.0,,26752000.0,-1238000.0,119886000.0,,,,,,4419000.0,,0.0,2505000.0,,6553000.0,-36751000.0,79610000.0,
2010-09-30,413663000.0,74072000.0,339591000.0,65673000.0,108161000.0,185708000.0,153883000.0,,150526000.0,46534000.0,103992000.0,1.15,1.12,90880000.0,93212000.0,494716000.0,,54042000.0,,19828000.0,,116686000.0,686392000.0,,34715000.0,1035613000.0,289795000.0,65542000.0,2118482000.0,3554000.0,,179272000.0,355543000.0,,92368000.0,,72231000.0,,606193000.0,16345000.0,1460140000.0,2118482000.0,,13903000.0,-20651000.0,-11965000.0,,,59757000.0,,8716000.0,36832000.0,192149000.0,,,,,,9155000.0,,0.0,-2209000.0,,7801000.0,-38091000.0,158838000.0,
2010-12-31,580236000.0,100879000.0,479357000.0,88990000.0,155096000.0,260089000.0,219268000.0,,216394000.0,63262000.0,153132000.0,1.69,1.64,90684000.0,93209000.0,472479000.0,,76604000.0,,17693000.0,,147402000.0,714633000.0,,36921000.0,1035083000.0,278320000.0,56123000.0,2126876000.0,2241000.0,,199805000.0,311369000.0,,75026000.0,,82989000.0,,655333000.0,16962000.0,1529929000.0,2126876000.0,,19019000.0,-26719000.0,11149000.0,,,60365000.0,,28817000.0,47539000.0,166884000.0,,,,,0.0,14260000.0,,0.0,-6648000.0,,11753000.0,-29639000.0,136601000.0,
2011-03-31,158047000.0,26582000.0,131465000.0,24698000.0,40476000.0,69191000.0,62274000.0,,61652000.0,19411000.0,42241000.0,0.46,0.45,91767000.0,94171000.0,549934000.0,,71049000.0,,16780000.0,,146447000.0,784745000.0,,37436000.0,1035342000.0,267392000.0,51485000.0,2178360000.0,4321000.0,,226426000.0,330526000.0,,70474000.0,,83797000.0,,697574000.0,20101000.0,1576633000.0,2178360000.0,,5147000.0,3038000.0,-6804000.0,,,341000.0,,23945000.0,691000.0,84859000.0,,,,,,3341000.0,,,-3418000.0,,1712000.0,-9229000.0,77455000.0,
2011-06-30,320305000.0,54645000.0,265660000.0,49880000.0,80606000.0,138573000.0,127087000.0,,126295000.0,38623000.0,87672000.0,0.95,0.93,91940000.0,94188000.0,629712000.0,,68807000.0,,20623000.0,,134561000.0,854251000.0,,38529000.0,1035583000.0,257388000.0,49265000.0,2237975000.0,4537000.0,,231719000.0,347457000.0,,69702000.0,,74224000.0,,743005000.0,23330000.0,1640294000.0,2237975000.0,,10466000.0,861000.0,-9628000.0,,,391000.0,,26882000.0,-9037000.0,163769000.0,,,,,,7605000.0,,,-7698000.0,,4903000.0,-4991000.0,157233000.0,
2011-09-30,493240000.0,85672000.0,407568000.0,78779000.0,123786000.0,215152000.0,192416000.0,,191738000.0,58520000.0,133218000.0,1.45,1.41,92277000.0,94445000.0,406298000.0,,65084000.0,,20272000.0,,134191000.0,626427000.0,,40251000.0,1229872000.0,396645000.0,48858000.0,2347905000.0,4423000.0,,225729000.0,371479000.0,,109691000.0,,93995000.0,,788551000.0,15477000.0,1693017000.0,2347905000.0,,16574000.0,-3035000.0,-12072000.0,,,1580000.0,,14153000.0,-7315000.0,230047000.0,,,,,269753000.0,12524000.0,,,-282332000.0,,7030000.0,-10008000.0,-66181000.0,
2011-12-31,691449000.0,119014000.0,572435000.0,108530000.0,180357000.0,306876000.0,265559000.0,,264858000.0,84183000.0,180675000.0,1.96,1.91,92120000.0,94381000.0,471828000.0,,84602000.0,,-74825000.0,,163296000.0,740033000.0,,45638000.0,1225375000.0,383420000.0,46942000.0,2448470000.0,6987000.0,,259155000.0,438751000.0,,101618000.0,,100479000.0,,836008000.0,11876000.0,1754473000.0,2448470000.0,,23088000.0,-3021000.0,8086000.0,,,1390000.0,,49973000.0,-1035000.0,307661000.0,,,,,269486000.0,22063000.0,,,-291643000.0,,10046000.0,-9676000.0,-651000.0,
2012-03-31,185345000.0,34342000.0,151003000.0,31501000.0,45249000.0,83175000.0,67828000.0,,67295000.0,21756000.0,45539000.0,0.49,0.48,92817000.0,95190000.0,557846000.0,,79506000.0,,17195000.0,,175656000.0,830802000.0,,46809000.0,1229629000.0,365622000.0,34863000.0,2517058000.0,5572000.0,,281689000.0,457016000.0,,105042000.0,,107533000.0,,881547000.0,11804000.0,1820893000.0,2517058000.0,,7802000.0,1789000.0,-5632000.0,,,-5365000.0,,28916000.0,926000.0,83597000.0,,,,,,4743000.0,,,-4744000.0,,3872000.0,2402000.0,86018000.0,
2012-06-30,380361000.0,69079000.0,311282000.0,64916000.0,94229000.0,172320000.0,138962000.0,,138554000.0,42753000.0,95801000.0,1.03,1.01,92722000.0,95059000.0,551484000.0,,83935000.0,,18026000.0,,187240000.0,841153000.0,,51659000.0,1228068000.0,348723000.0,31942000.0,2513222000.0,3892000.0,,293563000.0,463917000.0,,94959000.0,,106923000.0,,931809000.0,7324000.0,1820849000.0,2513222000.0,,15826000.0,-5896000.0,-355000.0,,,-5490000.0,,36115000.0,7908000.0,158466000.0,,,,,,14330000.0,,,-14254000.0,,5943000.0,-62112000.0,79656000.0,
2012-09-30,577270000.0,102835000.0,474435000.0,98422000.0,143424000.0,261821000.0,212614000.0,,211993000.0,64573000.0,147420000.0,1.59,1.55,92631000.0,94958000.0,554887000.0,,77861000.0,,21392000.0,,171237000.0,825831000.0,,51178000.0,1252706000.0,368980000.0,45813000.0,2558304000.0,4054000.0,,273636000.0,453107000.0,,97169000.0,,111538000.0,,983428000.0,14373000.0,1896490000.0,2558304000.0,,23930000.0,-12679000.0,-10584000.0,,,11336000.0,,13033000.0,9599000.0,228827000.0,,,,,46395000.0,17882000.0,,,-64165000.0,,7901000.0,-83084000.0,83059000.0,
