Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2021-03-31,,,,,,1472000000.0,592000000.0,,620000000.0,,,1.02,1.02,378000000.0,379000000.0,538000000.0,,,502000000.0,,,736000000.0,2345000000.0,,8718000000.0,,,,13127000000.0,524000000.0,812000000.0,,1338000000.0,,,,581000000.0,,-10073000000.0,15000000.0,-1258000000.0,13127000000.0,342000000.0,,21000000.0,168000000.0,3000000.0,,,75000000.0,,,671000000.0,,,,,,,,-7000000.0,-267000000.0,,,-128000000.0,276000000.0,124000000.0
2021-06-30,,,,,,2759000000.0,1258000000.0,,1115000000.0,,,1.86,1.86,378000000.0,379000000.0,1249000000.0,,,479000000.0,,,628000000.0,2945000000.0,,8501000000.0,,,,13512000000.0,603000000.0,955000000.0,,1773000000.0,,,,539000000.0,,-9757000000.0,15000000.0,-964000000.0,13512000000.0,693000000.0,,-44000000.0,165000000.0,-20000000.0,,,157000000.0,,,1640000000.0,,,,,,,,-12000000.0,-393000000.0,,,-260000000.0,987000000.0,231000000.0
2021-09-30,,,,,,4288000000.0,2067000000.0,,1237000000.0,,,1.56,1.53,379000000.0,379000000.0,377000000.0,,,476000000.0,,,634000000.0,2181000000.0,,8336000000.0,,,,13310000000.0,687000000.0,937000000.0,,1839000000.0,,,,529000000.0,,-9870000000.0,15000000.0,-1095000000.0,13310000000.0,1028000000.0,,-54000000.0,265000000.0,19000000.0,,,219000000.0,,,2411000000.0,,,,,,,,-44000000.0,-542000000.0,,,-1754000000.0,115000000.0,415000000.0
2021-12-31,,,,,,6037000000.0,2860000000.0,,1891000000.0,578000000.0,,2.6,2.59,374000000.0,375000000.0,302000000.0,,,473000000.0,942000000.0,,684000000.0,2380000000.0,,,,,,13303000000.0,731000000.0,1171000000.0,,2117000000.0,,,,573000000.0,,-9488000000.0,22000000.0,-1595000000.0,13303000000.0,1360000000.0,175000000.0,-74000000.0,386000000.0,9000000.0,,,245000000.0,,,3496000000.0,,,,,,,,-52000000.0,-833000000.0,,,-2623000000.0,40000000.0,633000000.0
2022-03-31,,,,,,1530000000.0,1461000000.0,,2298000000.0,,,5.44,5.43,346000000.0,347000000.0,234000000.0,,,529000000.0,,,729000000.0,2593000000.0,,,,,,12476000000.0,735000000.0,1254000000.0,,2114000000.0,,,,511000000.0,,-7605000000.0,21000000.0,-18000000.0,12476000000.0,291000000.0,,-40000000.0,255000000.0,43000000.0,,,18000000.0,,,891000000.0,,,,,,,,1000000.0,466000000.0,,,-1425000000.0,-68000000.0,305000000.0
2022-06-30,,,,,,3120000000.0,3086000000.0,,3760000000.0,,,8.18,8.15,344000000.0,344000000.0,282000000.0,,,473000000.0,,,907000000.0,3083000000.0,,,,,,12924000000.0,925000000.0,1763000000.0,,2813000000.0,,,,471000000.0,,-6679000000.0,21000000.0,584000000.0,12924000000.0,569000000.0,,-60000000.0,519000000.0,18000000.0,,,206000000.0,,,2426000000.0,,,,,,,,49000000.0,16000000.0,,,-2462000000.0,-20000000.0,637000000.0
2022-09-30,,,,,,4820000000.0,4421000000.0,,4932000000.0,,,9.54,9.51,339000000.0,340000000.0,268000000.0,,,491000000.0,,,939000000.0,3135000000.0,,,,,,13629000000.0,954000000.0,1905000000.0,,2984000000.0,,,,427000000.0,,-6257000000.0,21000000.0,600000000.0,13629000000.0,879000000.0,,285000000.0,554000000.0,81000000.0,,,175000000.0,,,3530000000.0,,,,,,,,-8000000.0,-894000000.0,,,-2670000000.0,-34000000.0,1029000000.0
2022-12-31,,,,,,6398000000.0,5565000000.0,,5734000000.0,1652000000.0,,11.05,11.02,332000000.0,333000000.0,245000000.0,,,427000000.0,1097000000.0,,997000000.0,2708000000.0,,,0.0,,,13147000000.0,771000000.0,2143000000.0,,2916000000.0,,,,443000000.0,,-5814000000.0,14000000.0,423000000.0,13147000000.0,1233000000.0,348000000.0,145000000.0,93000000.0,1000000.0,,,-4000000.0,,,4943000000.0,,,,,,,,-28000000.0,-1511000000.0,,,-3489000000.0,-57000000.0,1431000000.0
2023-03-31,,,,,,1220000000.0,929000000.0,,810000000.0,,,0.78,0.78,311000000.0,312000000.0,154000000.0,,,488000000.0,,,1060000000.0,2732000000.0,,,,,,13213000000.0,658000000.0,1794000000.0,,2454000000.0,,,,451000000.0,,-5572000000.0,17000000.0,444000000.0,13213000000.0,332000000.0,,138000000.0,53000000.0,31000000.0,,,-110000000.0,,,335000000.0,,,,,,,,4000000.0,-532000000.0,,,106000000.0,-91000000.0,286000000.0
2023-06-30,,,,,,2481000000.0,1620000000.0,,1510000000.0,,,2.01,2.01,310000000.0,310000000.0,142000000.0,,1364000000.0,488000000.0,,,1093000000.0,2599000000.0,,,,,,13244000000.0,656000000.0,1972000000.0,,2630000000.0,,,,439000000.0,,-5191000000.0,17000000.0,709000000.0,13244000000.0,699000000.0,,122000000.0,-100000000.0,45000000.0,,,-112000000.0,,,1335000000.0,,,,,,,,14000000.0,-1115000000.0,,,-323000000.0,-103000000.0,476000000.0
2023-09-30,,,,,,3957000000.0,2677000000.0,,2343000000.0,,,3.5,3.5,309000000.0,309000000.0,95000000.0,,1753000000.0,443000000.0,,,952000000.0,2800000000.0,,,,,,13545000000.0,741000000.0,1892000000.0,,2635000000.0,,,,440000000.0,,-4732000000.0,17000000.0,1078000000.0,13545000000.0,1117000000.0,,-144000000.0,289000000.0,-19000000.0,,,-2000000.0,,,2099000000.0,,,,,,,,29000000.0,-1782000000.0,,,-467000000.0,-150000000.0,867000000.0
2023-12-31,,,,,,5309000000.0,3648000000.0,,2883000000.0,-324000000.0,,9.26,9.25,308000000.0,309000000.0,87000000.0,,1610000000.0,453000000.0,1387000000.0,,765000000.0,2462000000.0,,,,,,15244000000.0,658000000.0,1744000000.0,,2404000000.0,,,,466000000.0,,-2959000000.0,15000000.0,2655000000.0,15244000000.0,1540000000.0,,-1662000000.0,157000000.0,-13000000.0,,,-84000000.0,,,3129000000.0,,,,,,,,38000000.0,-2138000000.0,,,-1149000000.0,-158000000.0,1271000000.0
2024-03-31,,,,,,1456000000.0,691000000.0,,447000000.0,,,0.44,0.44,302000000.0,302000000.0,102000000.0,,1597000000.0,472000000.0,,,807000000.0,2506000000.0,,,,,,14952000000.0,694000000.0,1456000000.0,,2152000000.0,,,,462000000.0,,-2827000000.0,15000000.0,2607000000.0,14952000000.0,430000000.0,,-65000000.0,-18000000.0,17000000.0,,,37000000.0,,,368000000.0,,,,,,,,13000000.0,-88000000.0,,,-265000000.0,15000000.0,366000000.0
