Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2012-03-31,,,,,228000000.0,3628000000.0,464000000.0,7000000.0,436000000.0,77000000.0,342000000.0,1.04,1.04,328240000.0,328470000.0,1412000000.0,,2854000000.0,1137000000.0,,,600000000.0,6016000000.0,,2403000000.0,,,480000000.0,9688000000.0,2469000000.0,1330000000.0,,3888000000.0,,,,465000000.0,7043000000.0,452000000.0,-55000000.0,2162000000.0,9688000000.0,,-4000000.0,3000000.0,395000000.0,83000000.0,,,201000000.0,,,293000000.0,,,,,,260000000.0,,,-240000000.0,,,-23000000.0,49000000.0,
2012-06-30,,,,,458000000.0,7157000000.0,932000000.0,12000000.0,876000000.0,175000000.0,672000000.0,2.05,2.05,327060000.0,327300000.0,1523000000.0,,2635000000.0,1106000000.0,,,574000000.0,5850000000.0,,2367000000.0,,,461000000.0,9437000000.0,2356000000.0,1271000000.0,,3696000000.0,,141000000.0,37000000.0,412000000.0,6774000000.0,660000000.0,-220000000.0,2185000000.0,9437000000.0,,-12000000.0,7000000.0,186000000.0,57000000.0,,,79000000.0,,,754000000.0,,,,,0.0,400000000.0,,0.0,-366000000.0,,,-193000000.0,160000000.0,
2012-09-30,,,,,673000000.0,10453000000.0,1299000000.0,15000000.0,1214000000.0,227000000.0,941000000.0,2.89,2.89,325000000.0,325280000.0,1634000000.0,,2540000000.0,1121000000.0,,,591000000.0,5897000000.0,,2466000000.0,,,506000000.0,9639000000.0,2244000000.0,1334000000.0,,3670000000.0,,172000000.0,50000000.0,407000000.0,6769000000.0,796000000.0,-114000000.0,2406000000.0,9639000000.0,,-20000000.0,18000000.0,87000000.0,69000000.0,,,-22000000.0,,,1168000000.0,,,,,0.0,563000000.0,,,-526000000.0,,,-360000000.0,271000000.0,
2012-12-31,,,2658000000.0,1200000000.0,927000000.0,14043000000.0,1476000000.0,5000000.0,1345000000.0,212000000.0,1077000000.0,3.34,3.33,322940000.0,323290000.0,1105000000.0,,2425000000.0,1066000000.0,232000000.0,,623000000.0,5227000000.0,,2860000000.0,473000000.0,803000000.0,582000000.0,10176000000.0,2278000000.0,1241000000.0,,3659000000.0,,185000000.0,38000000.0,434000000.0,7346000000.0,856000000.0,-237000000.0,2345000000.0,10176000000.0,,-21000000.0,-63000000.0,-198000000.0,-49000000.0,,,-153000000.0,,,1478000000.0,,,,,980000000.0,705000000.0,,2000000.0,-1631000000.0,,,-105000000.0,-258000000.0,
2013-03-31,,,,,230000000.0,3627000000.0,397000000.0,-34000000.0,327000000.0,37000000.0,276000000.0,0.88,0.88,314680000.0,315360000.0,830000000.0,,2795000000.0,1148000000.0,,,610000000.0,5387000000.0,,2843000000.0,466000000.0,766000000.0,588000000.0,10273000000.0,2386000000.0,1185000000.0,,3674000000.0,,202000000.0,38000000.0,439000000.0,7376000000.0,971000000.0,-292000000.0,2398000000.0,10273000000.0,,10000000.0,-2000000.0,370000000.0,82000000.0,,,194000000.0,,,149000000.0,,,,,-2000000.0,213000000.0,,,-205000000.0,,,-216000000.0,-275000000.0,
2013-06-30,,,,,471000000.0,7384000000.0,880000000.0,-29000000.0,779000000.0,110000000.0,643000000.0,2.05,2.05,313300000.0,314020000.0,1001000000.0,,2868000000.0,1162000000.0,,,597000000.0,5633000000.0,,2875000000.0,467000000.0,757000000.0,611000000.0,10551000000.0,2501000000.0,1249000000.0,,3809000000.0,,201000000.0,35000000.0,445000000.0,7509000000.0,1177000000.0,-377000000.0,2521000000.0,10551000000.0,,24000000.0,3000000.0,443000000.0,96000000.0,,,296000000.0,,,672000000.0,,,,,-2000000.0,336000000.0,,,-327000000.0,,,-440000000.0,-104000000.0,
2013-09-30,,,,,699000000.0,11014000000.0,1267000000.0,-25000000.0,1136000000.0,182000000.0,914000000.0,2.93,2.92,312080000.0,312870000.0,1053000000.0,,2856000000.0,1233000000.0,,,640000000.0,5787000000.0,,2982000000.0,485000000.0,742000000.0,598000000.0,10811000000.0,2504000000.0,1294000000.0,,3857000000.0,,210000000.0,32000000.0,463000000.0,7588000000.0,1287000000.0,-262000000.0,2746000000.0,10811000000.0,,36000000.0,23000000.0,431000000.0,167000000.0,,,306000000.0,,,1070000000.0,,,,,10000000.0,512000000.0,,,-495000000.0,,,-632000000.0,-52000000.0,
2013-12-31,,,2896000000.0,1300000000.0,963000000.0,14779000000.0,1684000000.0,-18000000.0,1523000000.0,256000000.0,1212000000.0,3.9,3.89,310820000.0,311800000.0,1389000000.0,,2662000000.0,1093000000.0,264000000.0,,604000000.0,5752000000.0,,3216000000.0,496000000.0,723000000.0,626000000.0,11047000000.0,2595000000.0,1238000000.0,,3894000000.0,,151000000.0,34000000.0,409000000.0,7613000000.0,1446000000.0,-237000000.0,2911000000.0,11047000000.0,,47000000.0,-50000000.0,237000000.0,27000000.0,,,254000000.0,,,1750000000.0,,,,,10000000.0,682000000.0,,0.0,-655000000.0,,,-822000000.0,284000000.0,
2014-03-31,,,,,261000000.0,3817000000.0,459000000.0,-16000000.0,408000000.0,75000000.0,320000000.0,1.05,1.04,305850000.0,306890000.0,978000000.0,,3066000000.0,1235000000.0,,,594000000.0,5880000000.0,,3251000000.0,494000000.0,696000000.0,632000000.0,11182000000.0,2681000000.0,1218000000.0,,3930000000.0,,160000000.0,35000000.0,382000000.0,7688000000.0,1544000000.0,-279000000.0,2961000000.0,11182000000.0,,14000000.0,8000000.0,404000000.0,142000000.0,,,218000000.0,,,136000000.0,,,,,0.0,298000000.0,,,-300000000.0,,,-241000000.0,-411000000.0,
2014-06-30,,,,,533000000.0,7780000000.0,947000000.0,-13000000.0,866000000.0,137000000.0,702000000.0,2.31,2.3,304260000.0,305300000.0,1166000000.0,,3049000000.0,1262000000.0,,,600000000.0,6082000000.0,,3311000000.0,489000000.0,669000000.0,653000000.0,11452000000.0,2696000000.0,1270000000.0,,3998000000.0,,170000000.0,30000000.0,385000000.0,7768000000.0,1646000000.0,-219000000.0,3125000000.0,11452000000.0,,33000000.0,3000000.0,387000000.0,169000000.0,,,225000000.0,,,763000000.0,,,,,0.0,470000000.0,,,-466000000.0,,,-519000000.0,-223000000.0,
