Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,176167000.0,,,,,,-0.45,-0.45,,,73254000.0,,,,,,,,,,,,,5565159000.0,,,,,,,,,3008129000.0,,-40377000.0,2498348000.0,5565159000.0,60077000.0,5389000.0,,,,,11806000.0,,,,121268000.0,,,,,,,,,-202995000.0,,,84353000.0,2626000.0,
2010-09-30,,,,,,266035000.0,,,,,,0.49,0.49,,,110811000.0,,,,,,,,,,,,,5748625000.0,,,,,,,,,2839850000.0,,-33348000.0,2851204000.0,5748625000.0,,8049000.0,,,,,27972000.0,,,,161955000.0,,,,,,,,,-342558000.0,342342000.0,,220786000.0,40183000.0,
2010-12-31,,,,,,362849000.0,,,,,,2.19,2.19,,,91232000.0,,,,,,,,,,,,,5905861000.0,,,,,,,,,2919533000.0,734000.0,-18335000.0,2928825000.0,5905861000.0,,10816000.0,,,,,39598000.0,,,,219346000.0,,,,,,,,,-436654000.0,342342000.0,,237912000.0,20604000.0,
2011-03-31,,,,,,105130000.0,,,,,,0.44,0.44,,,78196000.0,,,,,,,,,,,,,5983343000.0,,,,,,,,,2983651000.0,360000.0,-7193000.0,2942332000.0,5983343000.0,,2356000.0,,,,,8024000.0,,,,45789000.0,,,,,,,,,-88526000.0,,,29701000.0,-13036000.0,
2011-09-30,,,,,,318935000.0,,,,,,1.29,1.29,61295659.0,61303969.0,73056000.0,,,,,,,,,,,,,6455556000.0,,,,,,,,,3024697000.0,,-32202000.0,3373494000.0,6455556000.0,,8449000.0,,,,,54348000.0,,,,185841000.0,,,,,,,,,-601346000.0,451539000.0,,397329000.0,-18176000.0,
2011-12-31,,,,,,430723000.0,,,,,132306000.0,1.73,1.73,59066812.0,59077610.0,78539000.0,,,,,,,,,,,,,6574129000.0,,,,,,,,,3141236000.0,,-34511000.0,3374301000.0,6574129000.0,,11755000.0,,,,,22359000.0,,,,246960000.0,,,,,,,,,-733579000.0,451539000.0,,479156000.0,-12693000.0,
2012-03-31,,,,,,113403000.0,,,,,32093000.0,0.3,0.3,61507807000.0,61508967000.0,77361000.0,,,,,,,,,,,,,6718091000.0,,,,,,,,,3279089000.0,,-23088000.0,3379770000.0,6718091000.0,,3293000.0,,,,,2411000.0,,,,49685000.0,,,,,,,,,-124248000.0,,,71351000.0,-1178000.0,
2012-06-30,,,,,,240404000.0,,,,,56513000.0,0.58,0.58,61663367.0,61663540.0,80937000.0,,,,,,,,,,,,,6841739000.0,,,,,,,,,3385154000.0,,-37370000.0,3396521000.0,6841739000.0,,6567000.0,,,,,9331000.0,,,,142620000.0,,,,,,,,,-291824000.0,37385000.0,,148568000.0,2398000.0,
2012-09-30,,,,,,355057000.0,,,,,74095000.0,0.75,0.75,62364210.0,62364210.0,94904000.0,,,,,,,,,,,,,6965017000.0,,,,,,,,,3448397000.0,,-19729000.0,3455890000.0,6965017000.0,,10412000.0,,,,,3230000.0,,,,227490000.0,,,,,,,,,-408395000.0,98443000.0,,196204000.0,16365000.0,
2012-12-31,,,,,,484627000.0,,,,,99908000.0,1.09,1.09,62159913.0,62160244.0,140971000.0,,,,,,,,,,,,,7150116000.0,,,,,,,,,3647058000.0,,-24833000.0,3441851000.0,7150116000.0,,14160000.0,,,,,4069000.0,,,,305533000.0,,,,,,,,,-558100000.0,97890000.0,,314860000.0,62432000.0,
