Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2018-05-06,10341000000.0,,5179000000.0,1861000000.0,585000000.0,3035000000.0,2144000000.0,,1894000000.0,-8423000000.0,9948000000.0,23.97,22.99,421000000.0,448000000.0,8187000000.0,,2749000000.0,1235000000.0,,,303000000.0,12474000000.0,,2720000000.0,26908000000.0,12346000000.0,488000000.0,54936000000.0,836000000.0,754000000.0,,2124000000.0,,266000000.0,,3264000000.0,22869000000.0,7868000000.0,-106000000.0,32067000000.0,54936000000.0,2148000000.0,595000000.0,,78000000.0,-306000000.0,,,-312000000.0,,,3998000000.0,,,,,4786000000.0,409000000.0,,12000000.0,-4382000000.0,112000000.0,,-2633000000.0,-3017000000.0,196000000.0
2018-08-05,15404000000.0,7606000000.0,7798000000.0,2820000000.0,819000000.0,4315000000.0,3483000000.0,,3123000000.0,-8391000000.0,11144000000.0,26.53,25.74,430000000.0,441000000.0,4136000000.0,,3010000000.0,1216000000.0,,,333000000.0,8695000000.0,,2695000000.0,26920000000.0,11598000000.0,464000000.0,50372000000.0,785000000.0,257000000.0,183000000.0,2187000000.0,,178000000.0,,3246000000.0,22920000000.0,4267000000.0,-106000000.0,27452000000.0,50372000000.0,,910000000.0,,340000000.0,-325000000.0,,,-353000000.0,,,6245000000.0,,,,,4793000000.0,529000000.0,,59000000.0,-4556000000.0,,,-8757000000.0,-7068000000.0,323000000.0
2018-11-04,20848000000.0,10115000000.0,10733000000.0,3768000000.0,1056000000.0,5598000000.0,5135000000.0,,4545000000.0,-8084000000.0,12259000000.0,29.33,28.44,418000000.0,431000000.0,4292000000.0,,3325000000.0,1124000000.0,459000000.0,,366000000.0,9107000000.0,,2635000000.0,26913000000.0,10762000000.0,707000000.0,50124000000.0,811000000.0,160000000.0,164000000.0,2338000000.0,,,,3636000000.0,23467000000.0,3487000000.0,-115000000.0,26657000000.0,50124000000.0,,1227000000.0,-8548000000.0,652000000.0,-417000000.0,,,-325000000.0,,,8880000000.0,,,,,4800000000.0,635000000.0,,56000000.0,-4674000000.0,,0.0,-11118000000.0,-6912000000.0,512000000.0
2019-02-03,5789000000.0,2581000000.0,3208000000.0,1133000000.0,471000000.0,2653000000.0,555000000.0,,278000000.0,-203000000.0,471000000.0,1.17,1.12,401000000.0,419000000.0,5093000000.0,,3677000000.0,1074000000.0,,,760000000.0,10604000000.0,,2684000000.0,36647000000.0,21493000000.0,682000000.0,72110000000.0,738000000.0,714000000.0,1692000000.0,8349000000.0,,,,6433000000.0,48886000000.0,259000000.0,-116000000.0,23224000000.0,72110000000.0,,465000000.0,,-68000000.0,-50000000.0,,,-169000000.0,,,2132000000.0,,,,,16027000000.0,99000000.0,,24000000.0,-15193000000.0,62000000.0,,13862000000.0,801000000.0,95000000.0
2019-05-05,11306000000.0,5009000000.0,6297000000.0,2284000000.0,890000000.0,4772000000.0,1525000000.0,,935000000.0,-239000000.0,1162000000.0,2.91,2.77,399000000.0,422000000.0,5328000000.0,,3484000000.0,1034000000.0,,,831000000.0,10677000000.0,,2654000000.0,36662000000.0,20188000000.0,735000000.0,70916000000.0,759000000.0,815000000.0,2028000000.0,8503000000.0,,,,6230000000.0,48744000000.0,0.0,-116000000.0,22172000000.0,70916000000.0,,1009000000.0,,-261000000.0,-90000000.0,,,-139000000.0,,,4799000000.0,,,,,16027000000.0,224000000.0,,3000000.0,-15299000000.0,183000000.0,,11536000000.0,1036000000.0,520000000.0
2019-08-04,16821000000.0,7490000000.0,9331000000.0,3519000000.0,1300000000.0,6941000000.0,2390000000.0,,1479000000.0,-410000000.0,1877000000.0,4.7,4.47,399000000.0,420000000.0,5462000000.0,,3539000000.0,1091000000.0,,,806000000.0,10898000000.0,,2611000000.0,36686000000.0,18879000000.0,693000000.0,69767000000.0,996000000.0,666000000.0,1872000000.0,8282000000.0,,,,5954000000.0,48264000000.0,0.0,-116000000.0,21503000000.0,69767000000.0,,1641000000.0,,-201000000.0,-33000000.0,,,105000000.0,,,7218000000.0,,,,,16033000000.0,336000000.0,,4000000.0,-15334000000.0,194000000.0,,9286000000.0,1170000000.0,618000000.0
2019-11-03,22597000000.0,10114000000.0,12483000000.0,4696000000.0,1709000000.0,9039000000.0,3444000000.0,,2226000000.0,-510000000.0,,6.77,6.43,398000000.0,419000000.0,5055000000.0,,3259000000.0,874000000.0,1017000000.0,,729000000.0,9917000000.0,,2565000000.0,36714000000.0,17554000000.0,743000000.0,67493000000.0,855000000.0,577000000.0,1501000000.0,6899000000.0,,,,5613000000.0,42523000000.0,0.0,-140000000.0,24941000000.0,67493000000.0,,2185000000.0,-787000000.0,-486000000.0,-250000000.0,,,-42000000.0,,,9697000000.0,,,,,16033000000.0,432000000.0,,2000000.0,-15422000000.0,253000000.0,,6488000000.0,763000000.0,741000000.0
2020-02-02,5858000000.0,2594000000.0,3264000000.0,1289000000.0,601000000.0,2550000000.0,714000000.0,,304000000.0,-76000000.0,,0.78,0.74,398000000.0,420000000.0,6444000000.0,,3651000000.0,944000000.0,,,1070000000.0,12109000000.0,,2616000000.0,43472000000.0,21465000000.0,1344000000.0,81006000000.0,985000000.0,1128000000.0,2880000000.0,7739000000.0,,,,6464000000.0,56610000000.0,0.0,-132000000.0,,81006000000.0,,545000000.0,,392000000.0,-40000000.0,,,117000000.0,,,2322000000.0,,,,,10870000000.0,108000000.0,,9000000.0,-10987000000.0,37000000.0,,10054000000.0,1389000000.0,131000000.0
2020-05-03,11600000000.0,5147000000.0,6453000000.0,2558000000.0,1102000000.0,4973000000.0,1480000000.0,,713000000.0,-235000000.0,,2.0,1.91,401000000.0,419000000.0,9207000000.0,,3211000000.0,953000000.0,,,851000000.0,14222000000.0,,2618000000.0,43457000000.0,19909000000.0,1342000000.0,81548000000.0,1230000000.0,993000000.0,3065000000.0,6601000000.0,,,,5933000000.0,57578000000.0,0.0,-131000000.0,,81548000000.0,,1062000000.0,,-48000000.0,-30000000.0,,,350000000.0,,,5535000000.0,,,,,10870000000.0,256000000.0,,5000000.0,-10963000000.0,128000000.0,,9580000000.0,4152000000.0,255000000.0
2020-08-02,17421000000.0,7652000000.0,9769000000.0,3786000000.0,1530000000.0,7281000000.0,2488000000.0,,1306000000.0,-331000000.0,,3.52,3.36,403000000.0,422000000.0,8857000000.0,,2684000000.0,1081000000.0,,,1059000000.0,13681000000.0,,2567000000.0,43447000000.0,18357000000.0,1246000000.0,79298000000.0,1092000000.0,876000000.0,2793000000.0,6702000000.0,,,,5810000000.0,55713000000.0,0.0,-131000000.0,,79298000000.0,,1527000000.0,,-590000000.0,98000000.0,,,227000000.0,,,8713000000.0,,,,,10872000000.0,361000000.0,,4000000.0,-11009000000.0,174000000.0,,6098000000.0,3802000000.0,299000000.0
