Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-27,3599800000.0,,,,156900000.0,3245100000.0,354700000.0,,276100000.0,81700000.0,148300000.0,1.6,1.58,,,75000000.0,,,876200000.0,,,135800000.0,2549900000.0,,1656300000.0,1887600000.0,,461400000.0,6618300000.0,766400000.0,227700000.0,,1880800000.0,,,,120600000.0,5171900000.0,2526900000.0,-192700000.0,1444800000.0,6618300000.0,125100000.0,,-11400000.0,,,,,,,,30700000.0,,,,,,69100000.0,,10500000.0,-175900000.0,21800000.0,,12000000.0,-135600000.0,
2010-09-26,5634800000.0,,,,249900000.0,5047000000.0,587800000.0,,473000000.0,142200000.0,375800000.0,4.1,4.05,,,168700000.0,,,898900000.0,,,113200000.0,2358100000.0,,1996100000.0,2111500000.0,,431600000.0,6979100000.0,811400000.0,246600000.0,,1935300000.0,,,,221700000.0,5238700000.0,2745300000.0,-88200000.0,1605800000.0,6979100000.0,192200000.0,,-51200000.0,,,,,,,,371400000.0,,,,,60000000.0,131100000.0,,10200000.0,5800000.0,35000000.0,,-416600000.0,-41900000.0,
2010-12-31,7630000000.0,,,,356800000.0,6865400000.0,764600000.0,,606400000.0,175800000.0,468000000.0,2.59,2.55,180746.0,183538.0,152000000.0,,,1083900000.0,,,117500000.0,2305700000.0,,2048200000.0,2105300000.0,,417600000.0,6927700000.0,700300000.0,254800000.0,,1383300000.0,,,,218800000.0,5269600000.0,2829800000.0,-82100000.0,1658100000.0,6927700000.0,265500000.0,,-28700000.0,-287000000.0,-153100000.0,,49200000.0,68800000.0,,7100000.0,515200000.0,,,,,62000000.0,250200000.0,,-13400000.0,-110200000.0,47500000.0,,-459600000.0,-58600000.0,
2011-04-03,2011200000.0,,,,-99400000.0,1817200000.0,194000000.0,,147500000.0,48000000.0,91300000.0,0.54,0.53,,,193100000.0,,,1245700000.0,,,196000000.0,2714400000.0,,2217000000.0,2320200000.0,,531400000.0,7783000000.0,854000000.0,303900000.0,,1683400000.0,,,,239200000.0,6100700000.0,2909200000.0,-9400000.0,1527900000.0,7783000000.0,-73600000.0,,4300000.0,,,,,,,,-74400000.0,,,,,295200000.0,95000000.0,,-6000000.0,-384200000.0,13700000.0,,498000000.0,41100000.0,
2011-07-03,4320900000.0,,,,192500000.0,3872800000.0,448100000.0,,356400000.0,112600000.0,234400000.0,1.39,1.37,168204000.0,171541000.0,144800000.0,,1134400000.0,1196700000.0,,,,2724600000.0,,2263000000.0,2372000000.0,197600000.0,490800000.0,7850400000.0,868700000.0,308300000.0,,1751800000.0,,,,,6115600000.0,3040400000.0,-6000000.0,1579400000.0,7850400000.0,147700000.0,,14000000.0,,,,,,,,161200000.0,,,,,295200000.0,213500000.0,,600000.0,-509300000.0,22800000.0,,339700000.0,-7200000.0,
2011-10-02,6579200000.0,,,,282200000.0,5902500000.0,676700000.0,,542000000.0,160200000.0,,2.2,2.15,166779000.0,170248000.0,190100000.0,,1043100000.0,1094600000.0,,,,2573900000.0,,2242500000.0,2283100000.0,189400000.0,438900000.0,7538400000.0,776800000.0,274200000.0,,1785600000.0,,,,,5970400000.0,3162000000.0,-164900000.0,1407700000.0,7538400000.0,222200000.0,,14300000.0,,,,,,,,441000000.0,,,,,295200000.0,323800000.0,,7300000.0,-626300000.0,31800000.0,,216300000.0,38100000.0,
2011-12-31,8630900000.0,,1281100000.0,22300000.0,381400000.0,7794000000.0,836900000.0,,659800000.0,201300000.0,444000000.0,2.69,2.63,165275000.0,168590000.0,165800000.0,,840600000.0,1072500000.0,50300000.0,,,2321900000.0,,2265400000.0,2247100000.0,180600000.0,450200000.0,7284600000.0,847300000.0,313100000.0,,1856100000.0,,80200000.0,,,5906600000.0,3228300000.0,-335200000.0,1219100000.0,7284600000.0,301100000.0,,28400000.0,4100000.0,-27500000.0,,,111100000.0,,,948400000.0,,,,,295200000.0,443800000.0,,-1000000.0,-738000000.0,39300000.0,,-216800000.0,13800000.0,150300000.0
2012-04-01,2042700000.0,,,,99600000.0,1860700000.0,182000000.0,,121600000.0,28000000.0,,0.56,0.55,157530000.0,160945000.0,106800000.0,,1028300000.0,1124500000.0,,,,2516800000.0,,2255600000.0,2281000000.0,177000000.0,506000000.0,7559400000.0,832600000.0,278600000.0,,1812500000.0,,,,,6210700000.0,3300900000.0,-272000000.0,1185800000.0,7559400000.0,69000000.0,,,,,,,,,,-218300000.0,,,,,,76000000.0,,10700000.0,-86700000.0,19700000.0,,251500000.0,-59000000.0,
2012-07-01,4339000000.0,,,,198200000.0,3919400000.0,419600000.0,,314500000.0,78000000.0,,1.46,1.42,156534000.0,159943000.0,123500000.0,,1074000000.0,1035600000.0,,,,2511700000.0,,2203700000.0,2222300000.0,169400000.0,501800000.0,7439500000.0,852500000.0,320300000.0,,1888500000.0,,,,,6098100000.0,3424700000.0,-353100000.0,1175200000.0,7439500000.0,135500000.0,,,,,,,,,,74700000.0,,,,,,138500000.0,,16200000.0,-154700000.0,29700000.0,,34500000.0,-42300000.0,
2012-09-30,6621500000.0,,,,284500000.0,5983300000.0,638200000.0,,488900000.0,129700000.0,,2.2,2.16,155561000.0,158963000.0,181200000.0,,1147700000.0,993000000.0,,,189800000.0,2570300000.0,,2220200000.0,2249100000.0,167000000.0,484400000.0,7524000000.0,906300000.0,278400000.0,,1830100000.0,,,,229800000.0,6053900000.0,3525600000.0,-291200000.0,1298200000.0,7524000000.0,210200000.0,,,,,,,,,,388300000.0,,,,,15300000.0,206900000.0,,-18000000.0,-204200000.0,40800000.0,,-169800000.0,15400000.0,
2012-12-31,8735700000.0,,1318600000.0,26800000.0,385500000.0,7945200000.0,790500000.0,,595600000.0,165000000.0,,2.61,2.55,154648000.0,158084000.0,174100000.0,,864600000.0,1044400000.0,60800000.0,,190800000.0,2339400000.0,,2288600000.0,2359400000.0,162900000.0,519700000.0,7507100000.0,946900000.0,240700000.0,,1685800000.0,,55500000.0,,207900000.0,6217100000.0,3580800000.0,-352400000.0,1114600000.0,7507100000.0,282900000.0,,14000000.0,-600000.0,-29100000.0,,,55900000.0,,,853200000.0,,,,,71200000.0,305000000.0,,-20200000.0,-356000000.0,53100000.0,,-486900000.0,8300000.0,143900000.0
2013-03-31,1991000000.0,,,,109300000.0,1848000000.0,143000000.0,,98200000.0,18100000.0,,0.48,0.47,148976000.0,152316000.0,208000000.0,,973100000.0,1143600000.0,,,213400000.0,2622700000.0,,2293500000.0,2319500000.0,176300000.0,540300000.0,7776000000.0,915800000.0,204300000.0,,1742900000.0,,,,221400000.0,6518500000.0,3633900000.0,-399100000.0,1074900000.0,7776000000.0,72500000.0,,,,,,,,,,-324600000.0,,,,,12600000.0,88700000.0,,8000000.0,-109300000.0,3400000.0,,469000000.0,33900000.0,
