Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,12562000000.0,6037000000.0,6525000000.0,917000000.0,2731000000.0,,,,2734000000.0,519000000.0,2205000000.0,3.63,3.59,607000000.0,614000000.0,2786000000.0,,,2557000000.0,226000000.0,,400000000.0,8271000000.0,,5159000000.0,1825000000.0,513000000.0,1586000000.0,17354000000.0,,,,4464000000.0,,,,2030000000.0,,7343000000.0,-1777000000.0,7191000000.0,17354000000.0,638000000.0,140000000.0,267000000.0,-167000000.0,-60000000.0,,,,,,2909000000.0,,,,,,1014000000.0,,-24000000.0,-1146000000.0,,,-1012000000.0,655000000.0,246000000.0
2010-03-31,2927000000.0,1884000000.0,1043000000.0,227000000.0,683000000.0,,,,112000000.0,172000000.0,-63000000.0,-0.11,-0.11,602000000.0,602000000.0,2673000000.0,,,2477000000.0,,,611000000.0,8015000000.0,,5064000000.0,2002000000.0,556000000.0,1529000000.0,17166000000.0,,,,4284000000.0,,,,2167000000.0,,7030000000.0,-2033000000.0,6429000000.0,17166000000.0,166000000.0,30000000.0,91000000.0,-33000000.0,-94000000.0,,,,,,279000000.0,,,,,,230000000.0,,,-464000000.0,,,119000000.0,-113000000.0,
2010-06-30,6121000000.0,3440000000.0,2681000000.0,446000000.0,1404000000.0,,,,782000000.0,305000000.0,535000000.0,0.9,0.9,597000000.0,602000000.0,2300000000.0,,,2384000000.0,,,619000000.0,7375000000.0,,4983000000.0,1956000000.0,522000000.0,1651000000.0,16487000000.0,,,,4085000000.0,,,,2149000000.0,,7376000000.0,-2348000000.0,5898000000.0,16487000000.0,335000000.0,63000000.0,120000000.0,38000000.0,119000000.0,,,,,,1062000000.0,,,,,,467000000.0,,,-721000000.0,,,-670000000.0,-486000000.0,
2010-09-30,9345000000.0,5005000000.0,4340000000.0,653000000.0,2074000000.0,,,,1423000000.0,422000000.0,997000000.0,1.68,1.67,593000000.0,597000000.0,2788000000.0,,,2500000000.0,,,647000000.0,8140000000.0,,5208000000.0,2027000000.0,518000000.0,1670000000.0,17563000000.0,,,,4199000000.0,,,,2241000000.0,,7717000000.0,-1971000000.0,6531000000.0,17563000000.0,506000000.0,92000000.0,169000000.0,27000000.0,94000000.0,,,,,,2068000000.0,,,,,,699000000.0,,,-973000000.0,,,-978000000.0,2000000.0,
2010-12-31,12843000000.0,6885000000.0,5958000000.0,915000000.0,2907000000.0,,,,1890000000.0,463000000.0,1420000000.0,2.41,2.39,590000000.0,594000000.0,2685000000.0,,,2371000000.0,709000000.0,,345000000.0,7989000000.0,,5260000000.0,2015000000.0,500000000.0,1725000000.0,17489000000.0,,,,4041000000.0,,,,2289000000.0,,7925000000.0,-2139000000.0,6567000000.0,17489000000.0,685000000.0,120000000.0,76000000.0,122000000.0,-20000000.0,,,,,,3003000000.0,,,,,,963000000.0,,-18000000.0,-1264000000.0,,,-1716000000.0,-101000000.0,
2011-03-31,3284000000.0,1609000000.0,1675000000.0,214000000.0,716000000.0,,,,731000000.0,154000000.0,570000000.0,0.99,0.98,577000000.0,581000000.0,2168000000.0,,,2517000000.0,,,677000000.0,7761000000.0,,5419000000.0,2060000000.0,500000000.0,1673000000.0,17413000000.0,,,,3889000000.0,,,,2202000000.0,,8316000000.0,-1875000000.0,6734000000.0,17413000000.0,158000000.0,28000000.0,91000000.0,68000000.0,61000000.0,,,,,,371000000.0,,,,,,198000000.0,,,-212000000.0,,,-688000000.0,-517000000.0,
2011-06-30,6820000000.0,3310000000.0,3510000000.0,453000000.0,1481000000.0,,,,1954000000.0,328000000.0,1185000000.0,2.07,2.05,573000000.0,578000000.0,2018000000.0,,,2648000000.0,,,,7809000000.0,,5481000000.0,2168000000.0,702000000.0,1581000000.0,17741000000.0,,,,4031000000.0,,,,2088000000.0,,8754000000.0,-1772000000.0,6997000000.0,17741000000.0,327000000.0,61000000.0,160000000.0,157000000.0,214000000.0,,,,,,1003000000.0,,,,,202000000.0,408000000.0,,,-504000000.0,,,-1186000000.0,-667000000.0,
2011-09-30,10299000000.0,5018000000.0,5281000000.0,692000000.0,2268000000.0,,,,2941000000.0,477000000.0,1761000000.0,3.08,3.06,571000000.0,575000000.0,2338000000.0,,,2621000000.0,,,,8002000000.0,,5426000000.0,2119000000.0,710000000.0,1586000000.0,17843000000.0,,,,4165000000.0,,,,2041000000.0,,9154000000.0,-2049000000.0,6952000000.0,17843000000.0,503000000.0,94000000.0,218000000.0,102000000.0,272000000.0,,,,,,1925000000.0,,,,,229000000.0,643000000.0,,,-766000000.0,,,-1492000000.0,-347000000.0,
2011-12-31,13893000000.0,6847000000.0,7046000000.0,946000000.0,3154000000.0,,,,2809000000.0,553000000.0,2224000000.0,3.91,3.88,569000000.0,573000000.0,2905000000.0,,,2628000000.0,564000000.0,,,8650000000.0,,5525000000.0,2317000000.0,826000000.0,1755000000.0,19073000000.0,,,,4857000000.0,,,,2639000000.0,,9429000000.0,-2591000000.0,6585000000.0,19073000000.0,670000000.0,119000000.0,172000000.0,229000000.0,315000000.0,,,,,,2817000000.0,,,,,590000000.0,960000000.0,,,-1427000000.0,,,-1137000000.0,220000000.0,
2012-03-31,3388000000.0,1674000000.0,1714000000.0,269000000.0,752000000.0,,,,908000000.0,144000000.0,588000000.0,1.05,1.04,559000000.0,563000000.0,2272000000.0,,,2737000000.0,,,,8117000000.0,,5637000000.0,2488000000.0,917000000.0,1625000000.0,18784000000.0,,,,4857000000.0,,,,2552000000.0,,9831000000.0,-2449000000.0,6725000000.0,18784000000.0,175000000.0,28000000.0,54000000.0,-24000000.0,72000000.0,,,,,,413000000.0,,,,,304000000.0,239000000.0,,-43000000.0,-500000000.0,,,-548000000.0,-633000000.0,
2012-06-30,6960000000.0,3374000000.0,3586000000.0,575000000.0,1541000000.0,,,,1894000000.0,300000000.0,1249000000.0,2.25,2.24,554000000.0,558000000.0,2353000000.0,,,2730000000.0,,,,8048000000.0,,5623000000.0,2467000000.0,887000000.0,1421000000.0,18446000000.0,,,,4870000000.0,,,,2532000000.0,,10306000000.0,-2737000000.0,6551000000.0,18446000000.0,355000000.0,63000000.0,119000000.0,-114000000.0,100000000.0,,,,,,1356000000.0,,,,,321000000.0,503000000.0,,,-750000000.0,,,-1124000000.0,-552000000.0,
2012-09-30,10437000000.0,5041000000.0,5396000000.0,865000000.0,2284000000.0,,,,2819000000.0,483000000.0,1832000000.0,3.32,3.29,552000000.0,556000000.0,3191000000.0,,,2831000000.0,,,,9105000000.0,,5862000000.0,2498000000.0,867000000.0,1493000000.0,19825000000.0,,,,4458000000.0,,,,2563000000.0,,10642000000.0,-2549000000.0,7129000000.0,19825000000.0,534000000.0,97000000.0,197000000.0,-72000000.0,136000000.0,,,,,,2161000000.0,,,,,495000000.0,762000000.0,,,-1171000000.0,,,-664000000.0,286000000.0,
2012-12-31,14190000000.0,6889000000.0,7301000000.0,1156000000.0,3324000000.0,,,,2889000000.0,563000000.0,2326000000.0,4.22,4.18,551000000.0,556000000.0,3270000000.0,,,2803000000.0,524000000.0,,,9260000000.0,,6098000000.0,2502000000.0,814000000.0,1716000000.0,20390000000.0,,,,4759000000.0,,,,3073000000.0,,10888000000.0,-2810000000.0,6938000000.0,20390000000.0,712000000.0,130000000.0,-17000000.0,41000000.0,129000000.0,,,,,,3106000000.0,,,,,515000000.0,1161000000.0,,,-1569000000.0,,,-1115000000.0,365000000.0,415000000.0
2013-03-31,3448000000.0,1692000000.0,1756000000.0,246000000.0,795000000.0,,,,912000000.0,141000000.0,552000000.0,1.01,1.0,545000000.0,551000000.0,2689000000.0,,,2963000000.0,,,,8814000000.0,,6205000000.0,2506000000.0,1131000000.0,1662000000.0,20318000000.0,,,,4778000000.0,,,,3382000000.0,,11194000000.0,-2757000000.0,6961000000.0,20318000000.0,183000000.0,32000000.0,38000000.0,-85000000.0,181000000.0,,,,,,386000000.0,,,,,67000000.0,292000000.0,,-10000000.0,-349000000.0,,,-600000000.0,-581000000.0,
2013-06-30,7117000000.0,3422000000.0,3695000000.0,519000000.0,1633000000.0,,,,1931000000.0,294000000.0,1142000000.0,2.1,2.07,543000000.0,550000000.0,5989000000.0,,,3069000000.0,,,,12185000000.0,,6361000000.0,2498000000.0,1053000000.0,1654000000.0,23751000000.0,,,,4516000000.0,,,,3296000000.0,,11517000000.0,-2765000000.0,7282000000.0,23751000000.0,366000000.0,72000000.0,-63000000.0,-12000000.0,306000000.0,,,,,,1149000000.0,,,,,87000000.0,639000000.0,,-10000000.0,-716000000.0,,,2295000000.0,2719000000.0,
2013-09-30,10891000000.0,5250000000.0,5641000000.0,809000000.0,2617000000.0,,,,2889000000.0,432000000.0,1686000000.0,3.1,3.06,543000000.0,550000000.0,2376000000.0,,,3581000000.0,,,,9597000000.0,,7518000000.0,3780000000.0,2682000000.0,1673000000.0,25250000000.0,,,,4996000000.0,,,,3856000000.0,,11792000000.0,-2600000000.0,7749000000.0,25250000000.0,573000000.0,111000000.0,85000000.0,-70000000.0,412000000.0,,,,,,2115000000.0,,,,,3772000000.0,1037000000.0,,-14000000.0,-4795000000.0,,,1795000000.0,-894000000.0,
2013-12-31,15259000000.0,7664000000.0,7595000000.0,1246000000.0,3681000000.0,,,,2549000000.0,537000000.0,2012000000.0,3.7,3.66,543000000.0,549000000.0,2733000000.0,,,3499000000.0,270000000.0,,,10004000000.0,,7832000000.0,4205000000.0,2294000000.0,1534000000.0,25869000000.0,,,,5906000000.0,,,,3351000000.0,,11852000000.0,-1976000000.0,8463000000.0,25869000000.0,823000000.0,150000000.0,-224000000.0,36000000.0,311000000.0,,,,,,3198000000.0,,,,,3851000000.0,1525000000.0,,,-5362000000.0,,,1645000000.0,-537000000.0,648000000.0
2014-03-31,3951000000.0,1990000000.0,1961000000.0,313000000.0,920000000.0,,,,890000000.0,153000000.0,,1.02,1.01,542000000.0,548000000.0,2049000000.0,,,3748000000.0,,,,9388000000.0,,7962000000.0,4227000000.0,2268000000.0,1416000000.0,25261000000.0,,,,5645000000.0,,,,3406000000.0,,12142000000.0,-1946000000.0,8671000000.0,25261000000.0,236000000.0,31000000.0,-17000000.0,-233000000.0,233000000.0,,,,,,559000000.0,,,,,59000000.0,421000000.0,,,-384000000.0,,,-852000000.0,-684000000.0,
