Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,68281000000.0,56540000000.0,11741000000.0,6506000000.0,,,2096000000.0,,1731000000.0,396000000.0,1312000000.0,1.86,1.84,,,9215000000.0,,5785000000.0,,966000000.0,,,35275000000.0,,8784000000.0,4319000000.0,2877000000.0,1224000000.0,62053000000.0,7096000000.0,12822000000.0,,32883000000.0,,,827000000.0,537000000.0,,22746000000.0,-11877000000.0,2128000000.0,62053000000.0,,238000000.0,,391000000.0,1525000000.0,,,1141000000.0,,-12000000.0,5603000000.0,,,,,639000000.0,1186000000.0,0.0,,-3794000000.0,,5000000.0,4094000000.0,5947000000.0,
2010-03-31,15216000000.0,12144000000.0,3072000000.0,1000000000.0,,,1174000000.0,,1050000000.0,531000000.0,519000000.0,0.71,0.7,,740100000.0,4517000000.0,,6359000000.0,,1030000000.0,,,36798000000.0,,8693000000.0,4317000000.0,2878000000.0,1206000000.0,62970000000.0,7469000000.0,12267000000.0,,33484000000.0,,,896000000.0,652000000.0,,23265000000.0,-11747000000.0,2942000000.0,62970000000.0,,66000000.0,,572000000.0,1833000000.0,,,225000000.0,,246000000.0,-285000000.0,,,,,24000000.0,186000000.0,,,-4041000000.0,,8000000.0,-347000000.0,-4698000000.0,
2010-06-30,30789000000.0,24684000000.0,6105000000.0,2001000000.0,,,2481000000.0,,2260000000.0,952000000.0,1306000000.0,1.78,1.76,737200000.0,742900000.0,4468000000.0,,6565000000.0,,1052000000.0,,,38327000000.0,,8584000000.0,4302000000.0,2821000000.0,1223000000.0,63755000000.0,6960000000.0,12899000000.0,,34088000000.0,,,860000000.0,661000000.0,60582000000.0,23409000000.0,-11744000000.0,3077000000.0,63755000000.0,,130000000.0,,827000000.0,3425000000.0,,,-129000000.0,,255000000.0,-19000000.0,,,,,24000000.0,443000000.0,,,-3892000000.0,,15000000.0,-778000000.0,-4747000000.0,
2010-09-30,47756000000.0,38430000000.0,9326000000.0,2987000000.0,,,3868000000.0,,3504000000.0,1359000000.0,2143000000.0,2.91,2.89,739100000.0,744600000.0,2864000000.0,,6445000000.0,,1066000000.0,,,39454000000.0,,8671000000.0,4871000000.0,3027000000.0,1220000000.0,65222000000.0,7563000000.0,12760000000.0,,34238000000.0,,,838000000.0,544000000.0,60670000000.0,24244000000.0,-11375000000.0,4454000000.0,65222000000.0,,172000000.0,,701000000.0,4686000000.0,,,235000000.0,,276000000.0,1836000000.0,,,,,867000000.0,725000000.0,,,-6480000000.0,,17000000.0,-1645000000.0,-6351000000.0,
2010-12-31,64306000000.0,51843000000.0,12463000000.0,4121000000.0,,,4971000000.0,,4507000000.0,1196000000.0,3307000000.0,4.49,4.45,738100000.0,744300000.0,5359000000.0,,5422000000.0,,3542000000.0,,,40572000000.0,,8931000000.0,4937000000.0,2979000000.0,1603000000.0,68565000000.0,7715000000.0,13802000000.0,,35395000000.0,,,418000000.0,592000000.0,,24784000000.0,-13758000000.0,2766000000.0,68565000000.0,1096000000.0,215000000.0,1240000000.0,-8000000.0,7387000000.0,,,313000000.0,,328000000.0,2952000000.0,,,,,932000000.0,1125000000.0,,,-4831000000.0,,19000000.0,-1962000000.0,-3856000000.0,360000000.0
2011-03-31,14910000000.0,12049000000.0,2861000000.0,1057000000.0,,,1000000000.0,,883000000.0,295000000.0,586000000.0,0.79,0.78,742900000.0,749000000.0,5670000000.0,,6036000000.0,,37000000.0,,,41009000000.0,,8973000000.0,4944000000.0,2933000000.0,1624000000.0,68760000000.0,8304000000.0,12835000000.0,,35257000000.0,,,427000000.0,333000000.0,,25370000000.0,-13401000000.0,3912000000.0,68760000000.0,,51000000.0,,633000000.0,2622000000.0,,,969000000.0,,-66000000.0,-953000000.0,,,,,16000000.0,417000000.0,,,2707000000.0,,22000000.0,-1468000000.0,311000000.0,
2011-06-30,31453000000.0,25249000000.0,6204000000.0,2104000000.0,,,2534000000.0,,2308000000.0,778000000.0,1527000000.0,2.06,2.04,745500000.0,752600000.0,5050000000.0,,6162000000.0,,35000000.0,,,44353000000.0,,9044000000.0,4949000000.0,3141000000.0,1596000000.0,72119000000.0,8262000000.0,13570000000.0,,37370000000.0,,,383000000.0,1027000000.0,67295000000.0,25681000000.0,-13095000000.0,4733000000.0,72119000000.0,,96000000.0,,747000000.0,4889000000.0,,,1134000000.0,,54000000.0,643000000.0,,,,,16000000.0,762000000.0,,,758000000.0,,32000000.0,-1747000000.0,-309000000.0,
2011-09-30,49180000000.0,39606000000.0,9574000000.0,3005000000.0,,,4247000000.0,,3949000000.0,1325000000.0,2625000000.0,3.52,3.49,748000000.0,753900000.0,5954000000.0,,6296000000.0,,31000000.0,,,46347000000.0,,9190000000.0,4939000000.0,3095000000.0,1455000000.0,74163000000.0,8502000000.0,11213000000.0,,37593000000.0,,,390000000.0,1159000000.0,68102000000.0,26779000000.0,-13146000000.0,5967000000.0,74163000000.0,,141000000.0,,911000000.0,8245000000.0,,,1447000000.0,,,1092000000.0,,,,,42000000.0,1142000000.0,,,856000000.0,,35000000.0,-1354000000.0,595000000.0,
2011-12-31,68735000000.0,55867000000.0,12868000000.0,3918000000.0,,,5844000000.0,,5393000000.0,1382000000.0,4018000000.0,5.39,5.34,746600000.0,753100000.0,10049000000.0,,5793000000.0,,3141000000.0,,,49810000000.0,,9313000000.0,4945000000.0,3044000000.0,1643000000.0,79986000000.0,8406000000.0,12239000000.0,,41274000000.0,,,122000000.0,907000000.0,76378000000.0,27524000000.0,-16500000000.0,3515000000.0,79986000000.0,1119000000.0,186000000.0,1916000000.0,292000000.0,10012000000.0,,,1164000000.0,,,4023000000.0,,,,,42000000.0,1713000000.0,,,2369000000.0,,36000000.0,-1700000000.0,4690000000.0,57000000.0
2012-03-31,19383000000.0,16069000000.0,3314000000.0,835000000.0,,,1570000000.0,,1463000000.0,539000000.0,923000000.0,1.23,1.22,752500000.0,759600000.0,6718000000.0,,6475000000.0,,30000000.0,,,50131000000.0,,9399000000.0,4950000000.0,2993000000.0,1765000000.0,80205000000.0,9041000000.0,10943000000.0,,41305000000.0,,,192000000.0,543000000.0,75085000000.0,28447000000.0,-16094000000.0,5027000000.0,80205000000.0,426000000.0,50000000.0,,729000000.0,497000000.0,,,506000000.0,,,837000000.0,,,,,,424000000.0,,,-3003000000.0,,40000000.0,-1187000000.0,-3331000000.0,
