Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-11-28,33141000000.0,,8183000000.0,,7179000000.0,,952000000.0,,922000000.0,338000000.0,538000000.0,1.29,1.27,417100000.0,428600000.0,564000000.0,,,8978000000.0,,,1002000000.0,13267000000.0,,4123000000.0,2421000000.0,,502000000.0,21100000000.0,9083000000.0,1856000000.0,,12678000000.0,,,,1194000000.0,,5076000000.0,7000000.0,5529000000.0,21100000000.0,,88000000.0,-41000000.0,691000000.0,,,5000000.0,3936000000.0,,374000000.0,679000000.0,,,,,,469000000.0,,18000000.0,-405000000.0,,3000000.0,-208000000.0,66000000.0,
2010-02-27,49694000000.0,,12160000000.0,,9873000000.0,,2235000000.0,,2195000000.0,802000000.0,1317000000.0,3.16,3.1,416800000.0,427500000.0,1826000000.0,,,5486000000.0,,,1144000000.0,10566000000.0,,4070000000.0,2452000000.0,,452000000.0,18302000000.0,5276000000.0,1681000000.0,,8978000000.0,,,,1256000000.0,,5797000000.0,40000000.0,6320000000.0,18302000000.0,,118000000.0,-30000000.0,63000000.0,,,98000000.0,141000000.0,,279000000.0,2206000000.0,,,,,7000000.0,615000000.0,,16000000.0,-540000000.0,,7000000.0,-348000000.0,1328000000.0,732000000.0
2010-05-29,10787000000.0,,2793000000.0,,2480000000.0,,313000000.0,,302000000.0,121000000.0,155000000.0,0.37,0.36,420300000.0,431700000.0,1239000000.0,,,6335000000.0,,,1030000000.0,10388000000.0,,3982000000.0,2386000000.0,,477000000.0,17956000000.0,5860000000.0,1601000000.0,,8603000000.0,,,,1253000000.0,,5892000000.0,-40000000.0,6368000000.0,17956000000.0,,29000000.0,3000000.0,-388000000.0,,,-49000000.0,620000000.0,,-208000000.0,169000000.0,,,,,,161000000.0,,1000000.0,-254000000.0,,10000000.0,-494000000.0,-587000000.0,
2010-08-28,22126000000.0,,5711000000.0,,4987000000.0,,724000000.0,,705000000.0,267000000.0,409000000.0,0.98,0.96,416900000.0,427700000.0,843000000.0,,,6346000000.0,,,1048000000.0,9959000000.0,,3915000000.0,2365000000.0,,456000000.0,17362000000.0,5573000000.0,1589000000.0,,8471000000.0,,,,1181000000.0,,6000000000.0,-25000000.0,6015000000.0,17362000000.0,,58000000.0,50000000.0,-197000000.0,,,-75000000.0,361000000.0,,-225000000.0,84000000.0,,,,,,342000000.0,,1000000.0,-160000000.0,,10000000.0,-905000000.0,-983000000.0,
2010-11-27,34016000000.0,,8694000000.0,,7585000000.0,,1109000000.0,,1078000000.0,400000000.0,626000000.0,1.53,1.5,410300000.0,420700000.0,925000000.0,,,10064000000.0,,,1045000000.0,14829000000.0,,3994000000.0,2441000000.0,,380000000.0,22352000000.0,9858000000.0,1920000000.0,,13420000000.0,,,,1166000000.0,,5824000000.0,138000000.0,6001000000.0,22352000000.0,,87000000.0,-6000000.0,805000000.0,,,-80000000.0,4492000000.0,,159000000.0,545000000.0,,,,,,529000000.0,,2000000.0,-361000000.0,,13000000.0,-1093000000.0,-901000000.0,
2011-02-26,50272000000.0,,12637000000.0,,10325000000.0,,2114000000.0,,2078000000.0,714000000.0,1277000000.0,3.14,3.08,406100000.0,416500000.0,1103000000.0,,,5897000000.0,291000000.0,,1103000000.0,10473000000.0,,3823000000.0,2454000000.0,,435000000.0,17849000000.0,4894000000.0,1471000000.0,,8663000000.0,,68000000.0,,1183000000.0,,6372000000.0,173000000.0,6602000000.0,17849000000.0,,121000000.0,-134000000.0,371000000.0,,,-40000000.0,-443000000.0,,-156000000.0,1190000000.0,,,,,,744000000.0,,4000000.0,-569000000.0,,11000000.0,-1357000000.0,-723000000.0,882000000.0
2011-05-28,10940000000.0,,2768000000.0,,2484000000.0,,282000000.0,,263000000.0,99000000.0,136000000.0,0.35,0.35,387700000.0,397200000.0,2208000000.0,,,6356000000.0,,,967000000.0,11293000000.0,,3767000000.0,2488000000.0,,479000000.0,18673000000.0,5714000000.0,1544000000.0,,8736000000.0,,,,1184000000.0,,6045000000.0,236000000.0,6319000000.0,18673000000.0,,31000000.0,63000000.0,-651000000.0,,,-26000000.0,844000000.0,,-86000000.0,1324000000.0,,,,,,202000000.0,,,-186000000.0,,1000000.0,-37000000.0,1105000000.0,
2012-03-03,50705000000.0,,12573000000.0,,10242000000.0,,1085000000.0,,1043000000.0,709000000.0,-1698000000.0,-3.36,-4.89,366300000.0,366300000.0,1199000000.0,,,5731000000.0,263000000.0,,1079000000.0,10297000000.0,,3471000000.0,1335000000.0,,403000000.0,16005000000.0,5364000000.0,1685000000.0,,8855000000.0,,16000000.0,,1099000000.0,,3621000000.0,90000000.0,3745000000.0,16005000000.0,,120000000.0,28000000.0,-41000000.0,,,24000000.0,574000000.0,,-23000000.0,3293000000.0,,,,,174000000.0,766000000.0,,2000000.0,-724000000.0,,0.0,-2478000000.0,96000000.0,568000000.0
2012-05-05,11610000000.0,,2907000000.0,,2518000000.0,,262000000.0,,235000000.0,72000000.0,158000000.0,0.46,0.46,342200000.0,342800000.0,1386000000.0,,,6065000000.0,,,1019000000.0,10316000000.0,,3407000000.0,1335000000.0,,471000000.0,16011000000.0,5731000000.0,1595000000.0,,9001000000.0,,,,1025000000.0,,3520000000.0,98000000.0,3672000000.0,16011000000.0,,33000000.0,-98000000.0,-623000000.0,,,96000000.0,-1153000000.0,,-264000000.0,379000000.0,,,,,10000000.0,141000000.0,,,-94000000.0,,,-305000000.0,-15000000.0,
2012-08-04,22157000000.0,,5471000000.0,,4958000000.0,,295000000.0,,244000000.0,86000000.0,170000000.0,0.5,0.5,340300000.0,341000000.0,680000000.0,,,6299000000.0,,,1070000000.0,10184000000.0,,3407000000.0,1342000000.0,,474000000.0,15849000000.0,6055000000.0,1476000000.0,,9448000000.0,,,,1125000000.0,,3395000000.0,86000000.0,3515000000.0,15849000000.0,,64000000.0,-88000000.0,-300000000.0,,,139000000.0,-834000000.0,,-575000000.0,-222000000.0,,,,,,316000000.0,,5000000.0,-195000000.0,,,-334000000.0,-721000000.0,
