Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,4377348000.0,382104000.0,,1283068000.0,911034000.0,3081921000.0,1295427000.0,,1332679000.0,355617000.0,970132000.0,3.37,3.35,287356000.0,289476000.0,581889000.0,681835000.0,551208000.0,293950000.0,,,177924000.0,2480595000.0,1194080000.0,1637083000.0,1138621000.0,1871078000.0,230397000.0,8551854000.0,118534000.0,500755000.0,,714942000.0,,240618000.0,,254205000.0,2289972000.0,1068890000.0,50496000.0,6221530000.0,8551854000.0,,160902000.0,-137351000.0,-100442000.0,-42772000.0,,22271000.0,,,-194733000.0,1074898000.0,,,,44086000.0,0.0,165646000.0,,,-395031000.0,,3436000.0,-724151000.0,-44284000.0,745402000.0
2010-03-31,1108860000.0,97055000.0,,307030000.0,248664000.0,805171000.0,303689000.0,,295303000.0,75310000.0,217442000.0,0.8,0.8,269922000.0,272703000.0,639559000.0,513115000.0,560777000.0,280038000.0,,,210295000.0,2409012000.0,1032223000.0,1604573000.0,1138621000.0,1822133000.0,210761000.0,8217323000.0,121356000.0,432887000.0,,682330000.0,,248898000.0,,259300000.0,2266729000.0,1131523000.0,22872000.0,5909372000.0,8217323000.0,,51006000.0,8042000.0,-20201000.0,12264000.0,,-13463000.0,,,38043000.0,336895000.0,,,,1708000.0,39976000.0,38209000.0,,,249737000.0,,4379000.0,-523460000.0,63172000.0,
2010-06-30,2321562000.0,204040000.0,,638705000.0,510987000.0,1621994000.0,699568000.0,,692195000.0,177553000.0,510880000.0,1.92,1.91,265018000.0,267272000.0,720962000.0,248710000.0,548893000.0,267878000.0,,,218645000.0,2255231000.0,566118000.0,1571521000.0,1138621000.0,1768929000.0,201730000.0,7502150000.0,144476000.0,487803000.0,,755658000.0,,207492000.0,,257985000.0,2290860000.0,1405340000.0,-28422000.0,5170806000.0,7502150000.0,,95370000.0,-30317000.0,22955000.0,-21447000.0,,-3637000.0,,,40856000.0,765376000.0,,,,2338000.0,39976000.0,85260000.0,,,933701000.0,,5598000.0,-1549586000.0,149491000.0,
2010-09-30,3497351000.0,299958000.0,,957759000.0,755147000.0,2603648000.0,893703000.0,,879385000.0,252564000.0,764995000.0,2.98,2.95,256586000.0,258906000.0,626757000.0,197835000.0,616697000.0,,,,198911000.0,2131131000.0,560006000.0,1641791000.0,1138621000.0,1715342000.0,207256000.0,7394147000.0,143699000.0,553796000.0,,824480000.0,,174615000.0,,256075000.0,2323946000.0,1646852000.0,-9161000.0,5030695000.0,7394147000.0,,134594000.0,-61244000.0,72719000.0,-16311000.0,,22435000.0,,,41564000.0,1193617000.0,,,,5499000.0,39976000.0,124220000.0,,,863947000.0,,6284000.0,-2010845000.0,46719000.0,
2010-12-31,4716423000.0,400262000.0,4316200000.0,1248604000.0,1031540000.0,3467534000.0,1248889000.0,,1229906000.0,331333000.0,1005273000.0,3.98,3.94,252307000.0,254867000.0,759598000.0,448146000.0,605329000.0,,478400000.0,,215822000.0,2540420000.0,743101000.0,1641634000.0,1146314000.0,1772826000.0,248198000.0,8092493000.0,162529000.0,665923000.0,41300000.0,1050122000.0,,200950000.0,,325599000.0,2643050000.0,1872481000.0,-21610000.0,5396506000.0,8092493000.0,,167826000.0,-81410000.0,99227000.0,4527000.0,,12584000.0,,,17692000.0,1624673000.0,,,,4492000.0,72476000.0,173055000.0,,,345325000.0,,13136000.0,-1784919000.0,185079000.0,394700000.0
2011-03-31,1203342000.0,103113000.0,,293633000.0,244516000.0,787059000.0,416283000.0,,426234000.0,117468000.0,294331000.0,1.22,1.2,241536000.0,244551000.0,790675000.0,437870000.0,687609000.0,,66800000.0,,186291000.0,2628315000.0,885444000.0,1673502000.0,1146314000.0,1731844000.0,228105000.0,8293524000.0,159136000.0,591448000.0,47400000.0,978846000.0,,218504000.0,,356261000.0,2619224000.0,2166813000.0,-992000.0,5604159000.0,8293524000.0,,33119000.0,71974000.0,90712000.0,6498000.0,,17154000.0,,,38441000.0,253578000.0,,,,2878000.0,,32143000.0,,,-126795000.0,,10060000.0,-99832000.0,26951000.0,
2011-06-30,2411990000.0,203616000.0,,579277000.0,510819000.0,1584895000.0,827095000.0,,825318000.0,212504000.0,582364000.0,2.4,2.38,242375000.0,244966000.0,697526000.0,629218000.0,666960000.0,308254000.0,66900000.0,,201794000.0,2688623000.0,1183559000.0,1712869000.0,1146314000.0,1678867000.0,211747000.0,8621979000.0,170746000.0,641273000.0,59100000.0,954330000.0,,196784000.0,,351685000.0,2565785000.0,2454848000.0,25713000.0,5977050000.0,8621979000.0,,57399000.0,48626000.0,54909000.0,24708000.0,,30354000.0,,,-51784000.0,683244000.0,,,,3954000.0,,86229000.0,,,-673585000.0,,37827000.0,-77925000.0,-68266000.0,
2011-09-30,3721924000.0,327143000.0,,880668000.0,772217000.0,2406336000.0,1315588000.0,,1306084000.0,339608000.0,934190000.0,3.85,3.81,242883000.0,245366000.0,575140000.0,944381000.0,581052000.0,310934000.0,38200000.0,,194199000.0,2837288000.0,1349359000.0,1572259000.0,1146314000.0,1659114000.0,237870000.0,8802204000.0,159197000.0,674743000.0,59900000.0,885346000.0,,238175000.0,,384450000.0,2568610000.0,2806523000.0,7571000.0,6229148000.0,8802204000.0,,86625000.0,115698000.0,17334000.0,35767000.0,,31115000.0,,,-19675000.0,1253767000.0,,,,6514000.0,,137578000.0,,,-1260762000.0,,43545000.0,-177053000.0,-184048000.0,
2011-12-31,5048634000.0,466780000.0,4581900000.0,1219602000.0,1056133000.0,3323943000.0,1724691000.0,,1711214000.0,444528000.0,1234428000.0,5.09,5.04,242395000.0,245033000.0,514542000.0,1176115000.0,584603000.0,326843000.0,357700000.0,,144600000.0,2975427000.0,1416737000.0,1571387000.0,1146314000.0,1608191000.0,331548000.0,9049604000.0,186448000.0,677210000.0,69600000.0,912889000.0,,248644000.0,,400276000.0,2622617000.0,3106761000.0,-26535000.0,6425499000.0,9049604000.0,,113005000.0,153576000.0,73374000.0,59219000.0,,43241000.0,,,-36235000.0,1727741000.0,,,,16324000.0,5000000.0,208020000.0,44155000.0,,-1650294000.0,,50586000.0,-319862000.0,-242415000.0,332700000.0
2012-03-31,1292014000.0,133197000.0,,355962000.0,300089000.0,922644000.0,369370000.0,,384514000.0,82148000.0,302661000.0,1.26,1.25,239754000.0,241828000.0,298139000.0,978473000.0,684242000.0,337619000.0,,,122126000.0,2677950000.0,1471943000.0,1617459000.0,1193279000.0,1783981000.0,368937000.0,9113549000.0,173330000.0,660562000.0,96000000.0,1337319000.0,,324264000.0,,517406000.0,2805001000.0,3409308000.0,-17710000.0,6305901000.0,9113549000.0,,32396000.0,-3876000.0,89066000.0,,,,,,,194625000.0,,,,,72401000.0,54551000.0,,19772000.0,618000.0,,,-416264000.0,-221021000.0,
