Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2017-06-30,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,
2017-09-30,11496000000.0,,,343000000.0,1750000000.0,11511000000.0,-122000000.0,,-167000000.0,122000000.0,-104000000.0,,,,,4777000000.0,,,5309000000.0,,,1301000000.0,16581000000.0,,6255000000.0,20395000000.0,6826000000.0,1668000000.0,54810000000.0,3203000000.0,2120000000.0,,8732000000.0,,633000000.0,,996000000.0,,-104000000.0,-627000000.0,14985000000.0,54810000000.0,716000000.0,,,249000000.0,-162000000.0,,,,,,-585000000.0,,,,,3365000000.0,417000000.0,,173000000.0,-3879000000.0,,,8212000000.0,3796000000.0,122000000.0
2017-12-31,17259000000.0,,3213000000.0,501000000.0,2535000000.0,17366000000.0,-107000000.0,,-171000000.0,71000000.0,-73000000.0,-0.17,-0.17,,,7023000000.0,,,4590000000.0,211000000.0,,872000000.0,18499000000.0,,6959000000.0,19927000000.0,6358000000.0,2080000000.0,57050000000.0,3377000000.0,2102000000.0,,8897000000.0,,524000000.0,,972000000.0,,-73000000.0,-701000000.0,14709000000.0,57050000000.0,1103000000.0,,-304000000.0,1190000000.0,-392000000.0,,,,,,-799000000.0,,,,,3365000000.0,665000000.0,,292000000.0,-4130000000.0,,,10919000000.0,6042000000.0,230000000.0
2018-06-30,,,,,1336000000.0,10910000000.0,78000000.0,,58000000.0,62000000.0,51000000.0,0.12,0.12,,,,,,4675000000.0,,,850000000.0,16442000000.0,,6335000000.0,20758000000.0,5973000000.0,1484000000.0,54090000000.0,3574000000.0,2362000000.0,1630000000.0,8633000000.0,,148000000.0,,1073000000.0,,-27000000.0,-787000000.0,13811000000.0,54090000000.0,780000000.0,,,35000000.0,282000000.0,,,,,,433000000.0,,,,,,411000000.0,,-68000000.0,-162000000.0,,,-2372000000.0,-2151000000.0,218000000.0
2018-09-30,,,,,1944000000.0,16293000000.0,319000000.0,,233000000.0,110000000.0,64000000.0,0.15,0.15,,,,,,4681000000.0,,,863000000.0,16118000000.0,,6226000000.0,20790000000.0,5831000000.0,1422000000.0,53600000000.0,3686000000.0,2184000000.0,1587000000.0,8457000000.0,,181000000.0,,1024000000.0,,-14000000.0,-821000000.0,13740000000.0,53600000000.0,1133000000.0,,,36000000.0,335000000.0,,,,,,673000000.0,,,,,20000000.0,653000000.0,,-139000000.0,-204000000.0,,,-2647000000.0,-2265000000.0,305000000.0
2018-12-31,22877000000.0,,3986000000.0,700000000.0,2699000000.0,22176000000.0,701000000.0,,541000000.0,258000000.0,195000000.0,0.46,0.45,,,,,,4620000000.0,929000000.0,,659000000.0,14971000000.0,,6228000000.0,20717000000.0,5719000000.0,1838000000.0,52439000000.0,4025000000.0,2288000000.0,1765000000.0,9020000000.0,,,,960000000.0,,25000000.0,-1219000000.0,17465000000.0,52439000000.0,1486000000.0,,-249000000.0,204000000.0,339000000.0,,,,-27000000.0,,1762000000.0,,,,,89000000.0,995000000.0,,-100000000.0,-578000000.0,,,-4363000000.0,-3307000000.0,424000000.0
2019-03-31,5615000000.0,,,,704000000.0,5439000000.0,176000000.0,,138000000.0,67000000.0,32000000.0,,,,,,,,4871000000.0,,,649000000.0,14912000000.0,,6218000000.0,20762000000.0,5663000000.0,2769000000.0,53129000000.0,3918000000.0,2305000000.0,1923000000.0,9052000000.0,,89000000.0,,1599000000.0,,0.0,-1134000000.0,17512000000.0,53129000000.0,350000000.0,,,204000000.0,220000000.0,,,,62000000.0,,-184000000.0,,,,,,294000000.0,,21000000.0,-256000000.0,,,-232000000.0,-650000000.0,76000000.0
2019-06-30,11608000000.0,,,,1404000000.0,11161000000.0,447000000.0,,222000000.0,162000000.0,23000000.0,,,,,,,,4807000000.0,,,730000000.0,14985000000.0,,6130000000.0,20705000000.0,5510000000.0,2799000000.0,52876000000.0,3966000000.0,2269000000.0,2214000000.0,9341000000.0,,,,1426000000.0,,-9000000.0,-1271000000.0,17388000000.0,52876000000.0,709000000.0,,,227000000.0,303000000.0,,,,422000000.0,,409000000.0,,,,,69000000.0,594000000.0,,21000000.0,-563000000.0,,,-427000000.0,-585000000.0,183000000.0
2019-09-30,17490000000.0,,,,2083000000.0,16746000000.0,744000000.0,,446000000.0,269000000.0,80000000.0,,,,,,,,4739000000.0,,,1057000000.0,14769000000.0,,6141000000.0,20654000000.0,5431000000.0,2760000000.0,52549000000.0,3870000000.0,2332000000.0,2436000000.0,9332000000.0,,,,1417000000.0,,0.0,-1694000000.0,21876000000.0,52549000000.0,1065000000.0,,,375000000.0,324000000.0,,,,710000000.0,,769000000.0,,,,,69000000.0,873000000.0,,-82000000.0,-659000000.0,,,-996000000.0,-915000000.0,286000000.0
2019-12-31,23838000000.0,,4432000000.0,687000000.0,2832000000.0,22764000000.0,1074000000.0,,753000000.0,482000000.0,128000000.0,0.23,0.23,,,,,,4608000000.0,903000000.0,,949000000.0,15222000000.0,,6240000000.0,20690000000.0,5381000000.0,3001000000.0,53369000000.0,4268000000.0,2555000000.0,2870000000.0,10014000000.0,,,,1425000000.0,,0.0,-1636000000.0,21929000000.0,53369000000.0,1418000000.0,,51000000.0,583000000.0,200000000.0,,,,1147000000.0,,2126000000.0,,,,,0.0,1240000000.0,,-30000000.0,-1045000000.0,,,-1534000000.0,-474000000.0,438000000.0
