Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,,-1395000000.0,-814000000.0,-1.16,-1.16,1178907000.0,1178907000.0,3732000000.0,,,,,,,,,1602000000.0,16249000000.0,5588000000.0,,212224000000.0,,,,,,,,,183221000000.0,8912000000.0,-1835000000.0,28977000000.0,212224000000.0,711000000.0,,-1970000000.0,,,,,,,1192000000.0,3781000000.0,28665000000.0,6361000000.0,3204000000.0,,,318000000.0,,987000000.0,23088000000.0,1371000000.0,4000000.0,-27973000000.0,-1157000000.0,
2010-03-31,,,,,,,,,,258000000.0,,0.46,0.46,1202533000.0,1206286000.0,3307000000.0,,,,,,,,,,,,,220551000000.0,,,,,,,,,190096000000.0,9340000000.0,-1614000000.0,29683000000.0,220551000000.0,113000000.0,,-3000000.0,,,,,,,704000000.0,1191000000.0,2294000000.0,1554000000.0,877000000.0,,,44000000.0,,123000000.0,512000000.0,5000000.0,,-2126000000.0,-425000000.0,
2010-06-30,6680000000.0,,,,,,,,,562000000.0,1217000000.0,1.0,1.0,1204557000.0,1208830000.0,3569000000.0,,,,,,,,,,,,,235693000000.0,,,,,,,,,204588000000.0,9875000000.0,-1509000000.0,30396000000.0,235693000000.0,257000000.0,,-39000000.0,,,,,,,132000000.0,-142000000.0,5460000000.0,3496000000.0,3495000000.0,,,82000000.0,,577000000.0,-14345000000.0,10000000.0,,14345000000.0,-163000000.0,
2010-09-30,10079000000.0,,,,,,,,,782000000.0,1839000000.0,1.51,1.51,1210534000.0,1212684000.0,3693000000.0,,,,,,,,,,,,,254157000000.0,,,,,,,,,221266000000.0,10386000000.0,-969000000.0,32153000000.0,254157000000.0,413000000.0,,797000000.0,,,,,,,437000000.0,2889000000.0,12802000000.0,5395000000.0,3609000000.0,,,120000000.0,,35000000.0,-16251000000.0,692000000.0,1000000.0,13292000000.0,-39000000.0,
2010-12-31,13816000000.0,,,,,,,,,1047000000.0,,2.06,2.05,1212630000.0,1216214000.0,3675000000.0,,,,,,,,,,18042000000.0,5696000000.0,,247259000000.0,,,,,,,,,214102000000.0,10898000000.0,-1355000000.0,32354000000.0,247259000000.0,629000000.0,,1199000000.0,,,,,,,-115000000.0,4050000000.0,23585000000.0,7944000000.0,5981000000.0,,,230000000.0,,591000000.0,-14937000000.0,697000000.0,1000000.0,10790000000.0,-57000000.0,
2011-03-31,3602000000.0,,,,,,,,,279000000.0,,0.5,0.5,1234076000.0,1238284000.0,4058000000.0,,,,,,,,,,18156000000.0,5617000000.0,,266444000000.0,,,,,,,,,232304000000.0,11405000000.0,-1003000000.0,33258000000.0,266444000000.0,183000000.0,,39000000.0,,,,,,,292000000.0,426000000.0,5260000000.0,2673000000.0,1839000000.0,,,164000000.0,,64000000.0,-16480000000.0,5000000.0,,16430000000.0,383000000.0,
2011-06-30,7431000000.0,,,,,,,,1918000000.0,556000000.0,,1.09,1.08,1232232000.0,1236016000.0,5560000000.0,,,,,,,,,,18191000000.0,5514000000.0,,304706000000.0,,,,,,,,,269983000000.0,11977000000.0,-751000000.0,33851000000.0,304706000000.0,366000000.0,,251000000.0,,,,,,,-929000000.0,997000000.0,12885000000.0,4451000000.0,5315000000.0,,,367000000.0,,663000000.0,-52024000000.0,12000000.0,2000000.0,52900000000.0,1885000000.0,
2011-09-30,11112000000.0,,,,,,,,2850000000.0,837000000.0,,1.61,1.61,1226132000.0,1229042000.0,6691000000.0,,,,,,,,,,18045000000.0,5380000000.0,,322187000000.0,,,,,,,,,287658000000.0,12464000000.0,-1004000000.0,33695000000.0,322187000000.0,557000000.0,,174000000.0,,,,,,,-873000000.0,-683000000.0,26897000000.0,6281000000.0,6959000000.0,,,580000000.0,,487000000.0,-69132000000.0,18000000.0,,73125000000.0,3016000000.0,
2011-12-31,14680000000.0,,,,,,,,3567000000.0,1048000000.0,,2.03,2.03,1220804000.0,1223026000.0,4175000000.0,,,,-2556000000.0,,,,,,17904000000.0,5152000000.0,,325266000000.0,,,,,,,,,291065000000.0,12812000000.0,-1627000000.0,33417000000.0,325266000000.0,776000000.0,,12000000.0,,,,,,,-533000000.0,2211000000.0,42367000000.0,8332000000.0,9507000000.0,,,642000000.0,,1234000000.0,-80178000000.0,25000000.0,,78765000000.0,500000000.0,
2012-03-31,3635000000.0,,,,,,,,874000000.0,254000000.0,,0.52,0.52,1193931000.0,1195558000.0,4333000000.0,,,,,,,,,,18002000000.0,5072000000.0,,300169000000.0,,,,,,,,,265340000000.0,13277000000.0,-1229000000.0,34000000000.0,300169000000.0,299000000.0,,31000000.0,,,,,,,-961000000.0,114000000.0,13227000000.0,2182000000.0,4582000000.0,,,129000000.0,,356000000.0,24367000000.0,6000000.0,,-24352000000.0,158000000.0,
2012-06-30,7223000000.0,,,,,,,,1434000000.0,347000000.0,,0.91,0.9,1187649000.0,1189264000.0,4522000000.0,,,,,,,,,,17909000000.0,4962000000.0,,330283000000.0,,,,,,,,,294898000000.0,13588000000.0,-1280000000.0,34533000000.0,330283000000.0,598000000.0,,-285000000.0,,,,,,,-736000000.0,374000000.0,24126000000.0,4784000000.0,5577000000.0,,,276000000.0,,-133000000.0,-5793000000.0,13000000.0,,5781000000.0,347000000.0,
2012-09-30,10873000000.0,,,,,,,,2384000000.0,572000000.0,1810000000.0,1.51,1.51,1181614000.0,1183309000.0,4991000000.0,,,,,,,,,,17984000000.0,4882000000.0,,339944000000.0,,,,,,,,,302805000000.0,14153000000.0,-471000000.0,36218000000.0,339944000000.0,911000000.0,,-87000000.0,,,,,,,421000000.0,1273000000.0,37158000000.0,7253000000.0,6180000000.0,,,453000000.0,,-312000000.0,-10375000000.0,19000000.0,,9906000000.0,816000000.0,
2012-12-31,14479000000.0,,,,,,,,3226000000.0,779000000.0,2445000000.0,2.04,2.03,1176485000.0,1178430000.0,4727000000.0,,,,-3373000000.0,,,,,,18075000000.0,4809000000.0,,358990000000.0,,,,,,,,,321548000000.0,14622000000.0,-643000000.0,36431000000.0,358990000000.0,1246000000.0,,252000000.0,,,,,,,-211000000.0,1629000000.0,43788000000.0,9769000000.0,10265000000.0,,,652000000.0,,409000000.0,-29387000000.0,25000000.0,,28288000000.0,552000000.0,
2013-03-31,3597000000.0,,,,,,,,793000000.0,1046000000.0,-253000000.0,-0.23,-0.23,1158819000.0,1158819000.0,4440000000.0,,,,,,,,,,17920000000.0,4696000000.0,,355942000000.0,,,,,,,,,319268000000.0,14202000000.0,-915000000.0,35690000000.0,355942000000.0,333000000.0,,150000000.0,,,,,,,-634000000.0,-2744000000.0,10486000000.0,2450000000.0,3817000000.0,,,126000000.0,,449000000.0,7261000000.0,6000000.0,,-4755000000.0,-287000000.0,
2013-06-30,7567000000.0,,,,,,,,1960000000.0,1367000000.0,845000000.0,0.71,0.71,1155667000.0,1159169000.0,6940000000.0,,,,,,,,,,17919000000.0,4588000000.0,,360505000000.0,,,,,,,,,323574000000.0,14859000000.0,-1651000000.0,35882000000.0,360505000000.0,706000000.0,,-34000000.0,,,,,,,-383000000.0,-959000000.0,17468000000.0,5266000000.0,9218000000.0,,,258000000.0,,1313000000.0,-632000000.0,12000000.0,,3931000000.0,2213000000.0,
2013-09-30,11326000000.0,,,,,,,,2938000000.0,1365000000.0,1572000000.0,1.31,1.3,1153327000.0,1156951000.0,7304000000.0,,,,,,,,,,18025000000.0,4527000000.0,,371952000000.0,,,,,,,,,333969000000.0,15639000000.0,-1339000000.0,36959000000.0,371952000000.0,1051000000.0,,315000000.0,,,,,,,-953000000.0,-55000000.0,19787000000.0,7854000000.0,14824000000.0,,,372000000.0,,227000000.0,-8537000000.0,19000000.0,,11244000000.0,2577000000.0,
2013-12-31,14903000000.0,,,,,,,,3632000000.0,1520000000.0,2111000000.0,1.75,1.74,1150689000.0,1154441000.0,6460000000.0,,,,-3613000000.0,,,,,,18073000000.0,4452000000.0,,374310000000.0,,,,,,,,,335776000000.0,15976000000.0,-892000000.0,37521000000.0,374310000000.0,1389000000.0,,533000000.0,,,,,,,-479000000.0,-642000000.0,28622000000.0,9621000000.0,19455000000.0,,,609000000.0,,560000000.0,-13200000000.0,25000000.0,,15621000000.0,1733000000.0,
2014-03-31,3627000000.0,,,,,,,,906000000.0,232000000.0,674000000.0,0.57,0.57,1138645000.0,1144510000.0,6092000000.0,,,,,,,,,,18100000000.0,4380000000.0,,368241000000.0,,,,,,,,,329272000000.0,16439000000.0,-689000000.0,37986000000.0,368241000000.0,333000000.0,,-52000000.0,,,,,,,-2182000000.0,-1055000000.0,12499000000.0,1755000000.0,8091000000.0,,,201000000.0,,76000000.0,7401000000.0,6000000.0,,-6717000000.0,-368000000.0,
2014-06-30,7355000000.0,,,,,,,,1700000000.0,449000000.0,1251000000.0,1.05,1.04,1136086000.0,1141948000.0,6173000000.0,,,,,,,,,,18196000000.0,4314000000.0,,400740000000.0,,,,,,,,,361266000000.0,16796000000.0,-402000000.0,38326000000.0,400740000000.0,646000000.0,,-101000000.0,,,,,,,-340000000.0,2385000000.0,32071000000.0,3480000000.0,20806000000.0,,,380000000.0,,-9000000.0,-26318000000.0,13000000.0,,23635000000.0,-287000000.0,
2014-09-30,11943000000.0,,,,,,,,3339000000.0,1005000000.0,2334000000.0,1.98,1.97,1133006000.0,1139718000.0,6410000000.0,,,,,,,,,,17992000000.0,4215000000.0,,386296000000.0,,,,,,,,,346698000000.0,17670000000.0,-916000000.0,38451000000.0,386296000000.0,976000000.0,,-510000000.0,,,,,,,-505000000.0,3298000000.0,51428000000.0,5424000000.0,25253000000.0,,,595000000.0,,-3543000000.0,-10659000000.0,20000000.0,,7411000000.0,-50000000.0,
2014-12-31,15608000000.0,,,,,,,,3479000000.0,912000000.0,2567000000.0,2.17,2.15,1129897000.0,1137480000.0,6970000000.0,,,,-2782000000.0,,,,,,17869000000.0,4127000000.0,,385303000000.0,,,,,,,,,346600000000.0,17683000000.0,-1634000000.0,37441000000.0,385303000000.0,1292000000.0,,-853000000.0,,,,,,,-941000000.0,4484000000.0,69101000000.0,7253000000.0,31254000000.0,,,791000000.0,,-4887000000.0,-11675000000.0,26000000.0,,7829000000.0,510000000.0,
2015-03-31,3761000000.0,,,,,,,,1059000000.0,280000000.0,779000000.0,0.67,0.67,1118602000.0,1126306000.0,7167000000.0,,,,,,,,,,17663000000.0,4047000000.0,,399088000000.0,,,,,,,,,360208000000.0,18257000000.0,-2182000000.0,37328000000.0,399088000000.0,340000000.0,,-107000000.0,,,,,,,-1327000000.0,-64000000.0,11759000000.0,2008000000.0,8679000000.0,,,162000000.0,,-995000000.0,-10303000000.0,6000000.0,,10587000000.0,197000000.0,
2015-06-30,7610000000.0,,,,,,,,2188000000.0,556000000.0,1632000000.0,1.41,1.4,1116183000.0,1124154000.0,8353000000.0,,,,,,,,,,17807000000.0,4000000000.0,,395254000000.0,,,,,,,,,355830000000.0,18895000000.0,-2225000000.0,38270000000.0,395254000000.0,708000000.0,,-13000000.0,,,,,,,81000000.0,2634000000.0,21009000000.0,4245000000.0,14684000000.0,,,312000000.0,,-444000000.0,-18050000000.0,13000000.0,,16829000000.0,1383000000.0,
2015-09-30,11405000000.0,,,,,,,,3303000000.0,838000000.0,2465000000.0,2.15,2.13,1110056000.0,1117975000.0,8234000000.0,,,,,,,,,,17679000000.0,3914000000.0,,377371000000.0,,,,,,,,,338172000000.0,19525000000.0,-2355000000.0,38170000000.0,377371000000.0,1084000000.0,,-179000000.0,,,,,,,211000000.0,3985000000.0,26795000000.0,6712000000.0,16085000000.0,,,427000000.0,,-1307000000.0,-248000000.0,20000000.0,,-2515000000.0,1264000000.0,
2015-12-31,15126000000.0,,,,,,,,4171000000.0,1013000000.0,3158000000.0,2.73,2.71,1104719000.0,1112511000.0,6537000000.0,,,,,,,,,,17618000000.0,3842000000.0,,393780000000.0,,,,,,,,,354805000000.0,19974000000.0,-2600000000.0,38037000000.0,393780000000.0,1457000000.0,,47000000.0,,,,,,,254000000.0,4127000000.0,33785000000.0,8776000000.0,19016000000.0,,,601000000.0,,-3583000000.0,-19787000000.0,26000000.0,,15185000000.0,-433000000.0,
