Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,18808000000.0,,,3647000000.0,3946000000.0,13206000000.0,,,5602000000.0,1182000000.0,10612000000.0,5.35,5.34,,,7683000000.0,831000000.0,,1413000000.0,611000000.0,,,13958000000.0,1369000000.0,5055000000.0,5218000000.0,2865000000.0,907000000.0,31008000000.0,1711000000.0,2785000000.0,237000000.0,6313000000.0,949000000.0,,751000000.0,422000000.0,16223000000.0,30760000000.0,-2541000000.0,14843000000.0,31008000000.0,,183000000.0,163000000.0,-227000000.0,-82000000.0,,,472000000.0,135000000.0,,4065000000.0,,,,,2232000000.0,730000000.0,,,-4380000000.0,,,-17000000.0,-293000000.0,
2010-03-31,4807000000.0,,,910000000.0,900000000.0,3355000000.0,,,1452000000.0,351000000.0,743000000.0,0.43,0.43,,,5135000000.0,1641000000.0,,1284000000.0,745000000.0,,,12532000000.0,2997000000.0,4822000000.0,5218000000.0,2813000000.0,976000000.0,30753000000.0,1752000000.0,2477000000.0,265000000.0,6017000000.0,961000000.0,,745000000.0,416000000.0,15520000000.0,30949000000.0,-2425000000.0,15249000000.0,30753000000.0,,47000000.0,90000000.0,309000000.0,-25000000.0,,,119000000.0,35000000.0,,464000000.0,,,,,,129000000.0,,,-2519000000.0,,,-486000000.0,-2548000000.0,
2010-06-30,9575000000.0,,,1732000000.0,1794000000.0,6531000000.0,,,3044000000.0,675000000.0,1670000000.0,0.97,0.96,,,5918000000.0,1536000000.0,1805000000.0,1265000000.0,796000000.0,,,12983000000.0,2795000000.0,4745000000.0,5218000000.0,2763000000.0,1216000000.0,31051000000.0,1681000000.0,2386000000.0,275000000.0,5908000000.0,915000000.0,,749000000.0,409000000.0,15477000000.0,31322000000.0,-2300000000.0,15668000000.0,31051000000.0,,96000000.0,97000000.0,-54000000.0,12000000.0,,,54000000.0,9000000.0,,1513000000.0,,,,,,210000000.0,,,-2281000000.0,,,-981000000.0,-1765000000.0,
2010-12-31,19484000000.0,,14207000000.0,3566000000.0,3686000000.0,13413000000.0,,,6071000000.0,1558000000.0,3102000000.0,1.8,1.79,,,5033000000.0,2268000000.0,1985000000.0,1204000000.0,1827000000.0,,,13273000000.0,2681000000.0,4664000000.0,5233000000.0,3370000000.0,1005000000.0,31076000000.0,1983000000.0,2740000000.0,,6739000000.0,,54000000.0,755000000.0,424000000.0,15438000000.0,31636000000.0,-2371000000.0,15713000000.0,31076000000.0,,193000000.0,422000000.0,270000000.0,-156000000.0,,,315000000.0,117000000.0,,4491000000.0,,,,,829000000.0,424000000.0,,,-3812000000.0,,,-3343000000.0,-2650000000.0,672000000.0
2011-03-31,5011000000.0,,,935000000.0,928000000.0,3244000000.0,,,1767000000.0,400000000.0,986000000.0,0.58,0.57,1702000000.0,1714000000.0,3405000000.0,3388000000.0,2046000000.0,1322000000.0,1143000000.0,,,13296000000.0,3065000000.0,4604000000.0,5233000000.0,3299000000.0,767000000.0,30851000000.0,2036000000.0,2661000000.0,,6755000000.0,,,660000000.0,438000000.0,14950000000.0,32055000000.0,-2414000000.0,15998000000.0,30851000000.0,,38000000.0,177000000.0,91000000.0,84000000.0,,,62000000.0,-57000000.0,,481000000.0,,,,,,75000000.0,,,-1437000000.0,,,-692000000.0,-1628000000.0,
2011-06-30,10445000000.0,,,1858000000.0,1968000000.0,6888000000.0,,,3557000000.0,883000000.0,1888000000.0,1.11,1.1,1707000000.0,1722000000.0,3665000000.0,4005000000.0,2116000000.0,1492000000.0,1134000000.0,,,14775000000.0,2734000000.0,4554000000.0,5233000000.0,3222000000.0,794000000.0,31833000000.0,2401000000.0,2828000000.0,,7410000000.0,,,710000000.0,443000000.0,15688000000.0,32392000000.0,-2389000000.0,16353000000.0,31833000000.0,,81000000.0,243000000.0,328000000.0,246000000.0,,,412000000.0,-98000000.0,,1574000000.0,,,,,,149000000.0,,-122000000.0,-1769000000.0,,,-1199000000.0,-1368000000.0,
2011-09-30,15790000000.0,,,2831000000.0,2987000000.0,10403000000.0,,,5387000000.0,1358000000.0,2857000000.0,1.67,1.66,1703000000.0,1717000000.0,4471000000.0,3722000000.0,2181000000.0,1357000000.0,1276000000.0,,,14869000000.0,2819000000.0,4492000000.0,5564000000.0,3196000000.0,741000000.0,32014000000.0,2292000000.0,2699000000.0,,7313000000.0,,,690000000.0,467000000.0,15578000000.0,32797000000.0,-2282000000.0,16572000000.0,32014000000.0,,120000000.0,273000000.0,152000000.0,150000000.0,,,309000000.0,-119000000.0,,3272000000.0,,,,,310000000.0,233000000.0,,-147000000.0,-1932000000.0,,,-1903000000.0,-562000000.0,
2011-12-31,21244000000.0,,15646000000.0,3839000000.0,4203000000.0,14263000000.0,,,6981000000.0,1721000000.0,3709000000.0,2.18,2.16,1700000000.0,1717000000.0,5776000000.0,2957000000.0,2250000000.0,1384000000.0,1775000000.0,,,15318000000.0,2909000000.0,4521000000.0,5586000000.0,3124000000.0,824000000.0,32970000000.0,2603000000.0,2791000000.0,,7780000000.0,,-107000000.0,573000000.0,491000000.0,17103000000.0,33069000000.0,-3045000000.0,15956000000.0,32970000000.0,,161000000.0,415000000.0,220000000.0,193000000.0,,,593000000.0,-115000000.0,,4840000000.0,,,,,360000000.0,367000000.0,,-149000000.0,-1437000000.0,,,-2657000000.0,743000000.0,597000000.0
2012-03-31,5251000000.0,,,909000000.0,1002000000.0,3224000000.0,1402000000.0,,2027000000.0,545000000.0,1101000000.0,0.65,0.64,1687000000.0,1706000000.0,2307000000.0,2722000000.0,2251000000.0,1463000000.0,1160000000.0,,,11765000000.0,3585000000.0,4512000000.0,6799000000.0,4816000000.0,823000000.0,32408000000.0,2385000000.0,2566000000.0,,7211000000.0,,,573000000.0,656000000.0,16162000000.0,33595000000.0,-3018000000.0,16337000000.0,32408000000.0,,42000000.0,204000000.0,108000000.0,68000000.0,,,32000000.0,-91000000.0,,387000000.0,,,,,2491000000.0,123000000.0,,,-3027000000.0,,,-836000000.0,-3469000000.0,
2012-06-30,9694000000.0,,,1871000000.0,2006000000.0,6608000000.0,,,3086000000.0,796000000.0,1746000000.0,1.04,1.02,1685000000.0,1704000000.0,2801000000.0,2236000000.0,1623000000.0,1521000000.0,1175000000.0,,,11013000000.0,3732000000.0,4478000000.0,6799000000.0,4569000000.0,875000000.0,31667000000.0,2134000000.0,2467000000.0,,6991000000.0,,,604000000.0,703000000.0,15855000000.0,33661000000.0,-2967000000.0,16098000000.0,31667000000.0,,82000000.0,80000000.0,-544000000.0,170000000.0,,,-222000000.0,-48000000.0,,1521000000.0,,,,,2491000000.0,236000000.0,,-15000000.0,-2801000000.0,,,-1686000000.0,-2975000000.0,
