Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,743554000.0,,,,,529423000.0,,,214131000.0,84525000.0,129606000.0,0.91,0.9,138093000.0,139507000.0,257151000.0,,,,,,19284000.0,669721000.0,,59721000.0,1167199000.0,478985000.0,12185000.0,2387811000.0,21303000.0,87626000.0,,594326000.0,,130905000.0,,31151000.0,,1184328000.0,5000.0,1481362000.0,2387811000.0,,5230000.0,27087000.0,,,,7399000.0,3631000.0,,1649000.0,226205000.0,,,,,119373000.0,7248000.0,,,-124968000.0,,264000.0,-41199000.0,60038000.0,
2010-12-31,973492000.0,,,,,707394000.0,,,266098000.0,104346000.0,161752000.0,1.14,1.12,137924000.0,139318000.0,272984000.0,,,,20076000.0,,14031000.0,652809000.0,,59713000.0,1194827000.0,481900000.0,11565000.0,2400814000.0,33693000.0,94947000.0,,470157000.0,,146482000.0,,27764000.0,,1205061000.0,7000.0,1506344000.0,2400814000.0,,6845000.0,22587000.0,,,,-14529000.0,28246000.0,,-5233000.0,296052000.0,,,,,157637000.0,10454000.0,,,-166491000.0,,11391000.0,-53690000.0,75871000.0,
2011-03-31,262228000.0,,,,,185558000.0,,,76670000.0,30377000.0,46293000.0,0.32,0.32,138351000.0,140648000.0,265682000.0,,,,8235000.0,,25242000.0,654963000.0,,59574000.0,1225357000.0,485530000.0,18572000.0,2443996000.0,31627000.0,64709000.0,,459848000.0,,153160000.0,,36509000.0,,1239954000.0,6000.0,1544412000.0,2443996000.0,,2773000.0,18520000.0,,,,12106000.0,-1871000.0,,-97000.0,51604000.0,,,,,43855000.0,2917000.0,,,-46452000.0,,91000.0,-12454000.0,-7302000.0,
2011-06-30,509044000.0,,,,,370906000.0,,,138138000.0,54810000.0,83328000.0,0.58,0.57,138379000.0,140950000.0,278866000.0,,,,8143000.0,,34524000.0,697061000.0,,60039000.0,1261627000.0,488367000.0,17778000.0,2524872000.0,31805000.0,85637000.0,,502971000.0,,159900000.0,,39003000.0,,1265553000.0,5000.0,1572931000.0,2524872000.0,,5482000.0,24444000.0,,,,-20560000.0,241000.0,,-4042000.0,123598000.0,,,,,85610000.0,6513000.0,,,-91275000.0,,132000.0,-26441000.0,5882000.0,
2011-09-30,769445000.0,,,,,558615000.0,,,210830000.0,83329000.0,127501000.0,0.89,0.88,138690000.0,140443000.0,334497000.0,,,,8837000.0,,23664000.0,732694000.0,,59807000.0,1268957000.0,481930000.0,17915000.0,2561303000.0,24062000.0,90641000.0,,488281000.0,,167074000.0,,38784000.0,,1298256000.0,1000.0,1616561000.0,2561303000.0,,8338000.0,30927000.0,,,,9150000.0,-5157000.0,,-5099000.0,201223000.0,,,,,99060000.0,9507000.0,,,-106984000.0,,228000.0,-32726000.0,61513000.0,
2011-12-31,1013542000.0,,,,,743021000.0,,,270521000.0,106526000.0,163995000.0,1.15,1.13,138582000.0,140264000.0,286305000.0,,,,19863000.0,,23540000.0,708127000.0,,61360000.0,1323469000.0,496182000.0,17873000.0,2607011000.0,22384000.0,100865000.0,,481620000.0,,178052000.0,,53343000.0,,1322562000.0,7000.0,1643963000.0,2607011000.0,,11194000.0,30328000.0,,,,7322000.0,-2807000.0,,-5811000.0,237531000.0,,,,,166055000.0,13608000.0,,,-175725000.0,,916000.0,-48485000.0,13321000.0,
2012-03-31,302486000.0,,,,,219696000.0,,,82790000.0,33357000.0,49433000.0,0.34,0.34,139001000.0,141500000.0,155714000.0,,,,15579000.0,,35341000.0,697791000.0,,68298000.0,1649420000.0,581267000.0,20671000.0,3017447000.0,46479000.0,85522000.0,,601222000.0,,215349000.0,,65783000.0,,1359817000.0,,1685050000.0,3017447000.0,,3747000.0,18435000.0,,,,-1858000.0,22484000.0,,-13275000.0,25788000.0,,,,,341758000.0,5905000.0,,,-343540000.0,,29000.0,187161000.0,-130591000.0,
2012-06-30,593402000.0,,,,,439467000.0,,,153935000.0,62031000.0,91904000.0,0.64,0.63,139086000.0,141828000.0,193712000.0,,,,16281000.0,,45018000.0,751038000.0,,70986000.0,1674903000.0,577203000.0,23161000.0,3097291000.0,55802000.0,94546000.0,,641279000.0,,222773000.0,,64959000.0,,1390109000.0,,1718247000.0,3097291000.0,,7485000.0,25385000.0,,,,9747000.0,33269000.0,,-23903000.0,112749000.0,,,,,369733000.0,12677000.0,,,-377969000.0,,55000.0,172627000.0,-92593000.0,
2012-09-30,897202000.0,,,,,661618000.0,,,235584000.0,94176000.0,141408000.0,0.99,0.97,139465000.0,142097000.0,244637000.0,,,,18792000.0,,32794000.0,785508000.0,,73191000.0,1686460000.0,567489000.0,22081000.0,3134729000.0,57046000.0,120667000.0,,623599000.0,,229458000.0,,62858000.0,,1427379000.0,,1768814000.0,3134729000.0,,11393000.0,30233000.0,,,,-3400000.0,23677000.0,,-19083000.0,188976000.0,,,,,384596000.0,18915000.0,,,-398779000.0,,279000.0,168135000.0,-41668000.0,
2012-12-31,1200032000.0,,,,,895221000.0,,,304811000.0,120766000.0,184045000.0,1.28,1.26,139364000.0,142010000.0,219821000.0,,,,24408000.0,,39811000.0,759512000.0,,74337000.0,1711514000.0,566538000.0,16157000.0,3128058000.0,48524000.0,79593000.0,,567781000.0,,237630000.0,,65314000.0,,1457073000.0,,1807333000.0,3128058000.0,,15865000.0,32723000.0,,,,-2145000.0,36505000.0,,-23937000.0,220315000.0,,,,,425054000.0,24028000.0,,,-435500000.0,,8659000.0,148701000.0,-66484000.0,
