Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1522249000.0,,,,,1271568000.0,250681000.0,,,,231014000.0,1.76,1.76,131050000.0,131512000.0,1448933000.0,,,,,,,,,,,,,12348703000.0,,,,,,,,,7223992000.0,95433000.0,-21777000.0,4446002000.0,12348703000.0,321681000.0,26636000.0,,-1844000.0,,,,,,-9452000.0,617376000.0,,,,,,,,,-446601000.0,,,1036648000.0,1207423000.0,
2010-03-31,379781000.0,,,,,326949000.0,52832000.0,,,,52714000.0,0.38,0.38,138931000.0,139597000.0,1220392000.0,,,,,,,,,,,,,12251342000.0,,,,,,,,,7130209000.0,78645000.0,-21145000.0,4437243000.0,12251342000.0,83075000.0,14011000.0,,267000.0,,,,,,-10018000.0,60094000.0,,,,,,,,,-152946000.0,,,-135689000.0,-228541000.0,
2010-06-30,775739000.0,,,,,658854000.0,116885000.0,,,,114132000.0,0.82,0.82,139113000.0,139826000.0,1703448000.0,,,,,,,,,,,,,12787701000.0,,,,,,,,,7663109000.0,70426000.0,-20155000.0,4443377000.0,12787701000.0,164475000.0,20345000.0,,-10548000.0,,,,,,-29489000.0,210504000.0,,,,,,,,,-285566000.0,,,329577000.0,254515000.0,
2010-09-30,1163963000.0,,,,,990554000.0,173409000.0,,,,171786000.0,1.23,1.23,139595.0,140193.0,1270074000.0,,,,,,,,,,,,,13048836000.0,,,,,,,,,7915091000.0,58051000.0,-19530000.0,4461911000.0,13048836000.0,245608000.0,26725000.0,,-2922000.0,,,,,,-19998000.0,332854000.0,,,,-22500000.0,,,,,-775706000.0,,,263993000.0,-178859000.0,
2010-12-31,1550804000.0,,,,,940290000.0,610514000.0,,,,159072000.0,1.14,1.14,139440000.0,140057000.0,478948000.0,,,,,,,,,,,,,13348263000.0,,,,,,,,,8328418000.0,-24763000.0,-18436000.0,4372643000.0,13348263000.0,338371000.0,32852000.0,,5115000.0,,,,,,-9393000.0,375893000.0,,,,22500000.0,,,,,-1161274000.0,,,-184604000.0,-969985000.0,
2011-03-31,417875000.0,,,,,279853000.0,138022000.0,,,,40813000.0,0.29,0.29,142095000.0,142504000.0,747305000.0,,,,,,,,,,,,,13835473000.0,,,,,,,,,8490362000.0,-56479000.0,-17867000.0,4696042000.0,13835473000.0,109428000.0,11856000.0,,-6073000.0,,,,,,-5940000.0,132284000.0,,,,,,,,,-121029000.0,,,257102000.0,268357000.0,
2011-06-30,854326000.0,,,,,562171000.0,292155000.0,,,,100949000.0,0.7,0.7,145864000.0,146695000.0,780584000.0,,,,,,,,,,,,,13884212000.0,,,,,,,,,8492017000.0,-69537000.0,-17294000.0,4757914000.0,13884212000.0,220508000.0,17765000.0,,-16346000.0,,,,,,-28517000.0,290101000.0,,,,,,,,,-190106000.0,,,201641000.0,301636000.0,
2011-09-30,1306739000.0,,,,,850074000.0,456665000.0,,,,171359000.0,1.18,1.18,147006000.0,147622000.0,1063024000.0,,,,,,,,,,,,,13980798000.0,,,,,,,,,8540985000.0,-72941000.0,-16717000.0,4825536000.0,13980798000.0,330003000.0,23702000.0,,-13097000.0,,,,,,-15664000.0,442859000.0,,,,,,,,,-30402000.0,,,171619000.0,584076000.0,
2011-12-31,1759526000.0,,,,,1140886000.0,618640000.0,,,,272679000.0,1.87,1.86,145693000.0,146218000.0,1823208000.0,,,,,,,,,,,,,14782966000.0,,,,,,,,,9313798000.0,-53080000.0,-16138000.0,4865998000.0,14782966000.0,439184000.0,29672000.0,,19396000.0,,,,,,6569000.0,606328000.0,,,,,,,,,-90096000.0,,,828028000.0,1344260000.0,
2012-03-31,447662000.0,,,,,303001000.0,144661000.0,,,,64632000.0,0.44,0.43,148343000.0,148746000.0,591196000.0,,,,,,,,,,,,,14212857000.0,,,,,,,,,8641505000.0,-70609000.0,-15558000.0,4963152000.0,14212857000.0,109737000.0,11358000.0,,-22686000.0,,,,,,8883000.0,169261000.0,,,,,,,,,-760110000.0,,,-641163000.0,-1232012000.0,
