Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1251327000.0,,,,,2228480000.0,,,-864599000.0,29027000.0,,,-0.91,,,506739000.0,,,,1086168000.0,,,,,,1703602000.0,,,16473309000.0,,,,,,,,,9346729000.0,,1610000.0,,16473309000.0,,1466979000.0,,-45883000.0,,,-104221000.0,,,,26840000.0,,,,,21492000.0,18807000.0,,,-40273000.0,,,-431924000.0,-445357000.0,
2010-09-30,2035327000.0,,,,,3154249000.0,,,-721297000.0,24802000.0,,,-1.02,,,1016229000.0,,,,1117316000.0,,,,,,1703602000.0,,,17740891000.0,,,,,,,,,10085097000.0,,5999000.0,,17740891000.0,,1924358000.0,,-79622000.0,,,-100385000.0,,,,316115000.0,,,,,21898000.0,30587000.0,,,-52450000.0,,,-175240000.0,64133000.0,
2010-12-31,3119342000.0,,,,,4143990000.0,,,-522654000.0,84669000.0,,,-1.02,,,588621000.0,,,,1242293000.0,,,,,,1703602000.0,,,18844605000.0,,,,,,,,,10591248000.0,,4302000.0,,18844605000.0,,2440148000.0,,108162000.0,,,46606000.0,,,,-371885000.0,,,,,21886000.0,54160000.0,,,-76189000.0,,,84624000.0,-363475000.0,
2011-03-31,1153269000.0,,,,,990864000.0,,,117214000.0,38850000.0,,0.1,0.09,447742389.0,457652916.0,455811000.0,,,,1394158000.0,,,,,,1703602000.0,,,19248767000.0,,,,,,,,,10817952000.0,,3101000.0,,19248767000.0,,426280000.0,,-130920000.0,,,-32723000.0,,,,441507000.0,,,,,,5710000.0,,,-5389000.0,,,-568928000.0,-132810000.0,
2011-06-30,2461550000.0,,,,,1975695000.0,,,366010000.0,103049000.0,,0.28,0.28,476289647.0,483643646.0,434803000.0,,,,1437947000.0,,,,,,1703602000.0,,,22331131000.0,,,,,,,,,13049899000.0,,2630000.0,,22331131000.0,,834923000.0,,-3059000.0,,,-68269000.0,,,,372694000.0,,,,,23247000.0,17170000.0,,,-40085000.0,,,-486435000.0,-153818000.0,
2011-09-30,2337471000.0,,,,,2516629000.0,,,-994412000.0,95412000.0,,,,,,592982000.0,,,,1467717000.0,,,,,,1703602000.0,,,22068796000.0,,,,,,,,,13496537000.0,,1845000.0,,22068796000.0,,1075012000.0,,-87655000.0,,,-53585000.0,,,,758439000.0,,,,,23744000.0,25963000.0,,,-49376000.0,,,-704686000.0,4361000.0,
2011-12-31,3252576000.0,,,,,3388069000.0,,,77258000.0,345711000.0,,-0.35,,,,754744000.0,,,,1258699000.0,,,,,149690000.0,1703602000.0,,,21909129000.0,,,,,,,,,12656843000.0,,1958000.0,,21909129000.0,,1396062000.0,309464000.0,-116714000.0,,,19233000.0,,,,1099613000.0,,,,,23744000.0,36484000.0,,,-59898000.0,,,-873515000.0,166123000.0,
2012-03-31,952036000.0,,,,,783793000.0,,,456385000.0,38753000.0,417632000.0,0.12,0.11,506985529.0,517389558.0,391304000.0,,,,1290570000.0,,,,,,1703602000.0,,,26546361000.0,,,,,,,,,16521512000.0,,3297000.0,,26546361000.0,,222444000.0,,131943000.0,,,-80161000.0,,,,134228000.0,,,,,156972000.0,13086000.0,,,-170224000.0,,,-327439000.0,-363440000.0,
2012-06-30,1579239000.0,,,,,1523612000.0,,,591999000.0,80090000.0,-74964000.0,-0.14,-0.14,528778977.0,528778977.0,412545000.0,,,,1229835000.0,,,,,,1703602000.0,,,26142570000.0,,,,,,,,,15878830000.0,,1932000.0,,26142570000.0,,467005000.0,,130775000.0,,,8051000.0,,,,346332000.0,,,,,156972000.0,20948000.0,,,-178096000.0,,,-510320000.0,-342199000.0,
2012-09-30,2802328000.0,,,,,2375002000.0,,,827738000.0,119327000.0,128824000.0,0.24,0.24,544716399.0,546923603.0,833515000.0,,,,1215254000.0,,,,,,1703602000.0,,,27800439000.0,,,,,,,,,16958709000.0,,1403000.0,,27800439000.0,,690617000.0,,-2286000.0,,,-62117000.0,,,,356350000.0,,,,,156972000.0,26973000.0,,,-181604000.0,,,-95962000.0,78771000.0,
