Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,49700400000.0,,1866500000.0,,1191300000.0,,606700000.0,,540000000.0,371600000.0,234500000.0,0.65,0.65,359100000.0,361100000.0,1746800000.0,,,7961000000.0,,,,15458300000.0,897400000.0,1423200000.0,,,747900000.0,20821500000.0,10543100000.0,,,12203000000.0,,,,,,2306500000.0,200400000.0,5226100000.0,20821500000.0,,42100000.0,,-269200000.0,1127200000.0,,,1499200000.0,,,930600000.0,,,,,,79900000.0,,,17500000.0,27900000.0,-6100000.0,-422900000.0,525200000.0,
2010-03-31,74043200000.0,,2876600000.0,,1819800000.0,,973000000.0,,903200000.0,510000000.0,418700000.0,1.17,1.16,359000000.0,361800000.0,2638800000.0,,,7214900000.0,,,,16077300000.0,805200000.0,1406100000.0,,,719800000.0,21270200000.0,10766600000.0,,,12747400000.0,,,,,,2463900000.0,172200000.0,5360900000.0,21270200000.0,,79000000.0,,365400000.0,381100000.0,,,1722700000.0,,,1809900000.0,,,,,,141800000.0,,,105600000.0,24500000.0,-14800000.0,-498300000.0,1417200000.0,
2010-09-30,24437500000.0,,962200000.0,,591900000.0,,363900000.0,,424200000.0,129800000.0,294800000.0,0.84,0.84,348900000.0,351900000.0,2712200000.0,,,7087500000.0,,,,15918200000.0,0.0,1475300000.0,2611800000.0,285100000.0,682100000.0,20972500000.0,10532300000.0,,,12451600000.0,,,,,,2876000000.0,37200000.0,5239000000.0,20972500000.0,,21400000.0,,272300000.0,731800000.0,,,1033100000.0,,,217000000.0,,,,,559900000.0,62000000.0,,,84100000.0,8400000.0,2000000.0,-344200000.0,-43100000.0,
2010-12-31,49809300000.0,,1956400000.0,,1213800000.0,,707800000.0,,751900000.0,242600000.0,510200000.0,1.46,1.45,348200000.0,351300000.0,1348000000.0,,,8314200000.0,,,789500000.0,16277000000.0,0.0,1484800000.0,3824100000.0,458500000.0,805300000.0,22849700000.0,11778800000.0,,,13631100000.0,,,,,,3023700000.0,39400000.0,5421400000.0,22849700000.0,,42400000.0,,108500000.0,1600300000.0,,,1762800000.0,,,360800000.0,,,,,2295000000.0,126100000.0,,,-1853400000.0,10900000.0,-2900000.0,85300000.0,-1407300000.0,
2011-03-31,75880700000.0,,3118700000.0,,1911100000.0,,1155100000.0,,1177000000.0,418200000.0,756300000.0,2.17,2.15,348500000.0,352900000.0,1961800000.0,,,7717700000.0,,,723400000.0,16685400000.0,0.0,1469800000.0,3851500000.0,414200000.0,775900000.0,23196800000.0,11961500000.0,,,13761100000.0,,,,,,3189800000.0,67100000.0,5656800000.0,23196800000.0,,60400000.0,,578900000.0,1048100000.0,,,1986400000.0,,,1274800000.0,,,,,2295000000.0,186000000.0,,,-1927800000.0,36000000.0,-8700000.0,-140500000.0,-793500000.0,
2011-06-30,102644200000.0,,4162000000.0,,2594800000.0,,1514000000.0,,1518300000.0,552100000.0,959000000.0,2.75,2.72,348600000.0,352500000.0,1929300000.0,,,7334200000.0,-809200000.0,,896700000.0,16315900000.0,0.0,1512200000.0,3845600000.0,413400000.0,758800000.0,22845900000.0,11331500000.0,,,13369500000.0,,85000000.0,,,,3331400000.0,76700000.0,5848600000.0,22845900000.0,,79500000.0,128000000.0,457200000.0,664700000.0,,,1356500000.0,,,1394600000.0,,,,,2299500000.0,291300000.0,,,-2028000000.0,63000000.0,-13700000.0,-192600000.0,-826000000.0,587600000.0
2011-09-30,26792000000.0,,1084500000.0,,643300000.0,,412300000.0,,385000000.0,147900000.0,236800000.0,0.69,0.68,344800000.0,349400000.0,2010600000.0,,,7497200000.0,,,982800000.0,16723200000.0,,1494000000.0,3853900000.0,395400000.0,716500000.0,23183000000.0,11748900000.0,,,13796600000.0,,,,,,3492600000.0,60000000.0,5713900000.0,23183000000.0,,19800000.0,,69300000.0,160900000.0,,,409800000.0,,,504200000.0,,,,,7300000.0,44300000.0,,,-41600000.0,18100000.0,-21600000.0,-381300000.0,81300000.0,
2011-12-31,53870000000.0,,2198300000.0,,1282800000.0,,861600000.0,,810600000.0,309200000.0,498800000.0,1.44,1.43,345000000.0,349100000.0,1797700000.0,,,8888900000.0,,,1097100000.0,17779100000.0,,1514100000.0,3866500000.0,377800000.0,725700000.0,24263200000.0,12456700000.0,,,14623700000.0,,,,,,3679800000.0,55100000.0,5927700000.0,24263200000.0,,41500000.0,,-167100000.0,1552600000.0,,,1117600000.0,,,389700000.0,,,,,7300000.0,101300000.0,,,-84100000.0,11000000.0,300000.0,-437200000.0,-131600000.0,
2012-03-31,80787500000.0,,3405000000.0,,1965600000.0,,1388200000.0,,1321000000.0,487100000.0,832200000.0,2.41,2.38,345300000.0,349500000.0,2410400000.0,,,8220100000.0,,,944300000.0,18070200000.0,,1517400000.0,3966300000.0,404500000.0,683700000.0,24642100000.0,12572500000.0,,,14846100000.0,,,,,,3938800000.0,71700000.0,6240100000.0,24642100000.0,,63100000.0,,310500000.0,869900000.0,,,1212200000.0,,,1282900000.0,,,,,142600000.0,159000000.0,,,-266100000.0,22900000.0,3600000.0,-535700000.0,481100000.0,
2012-06-30,107552000000.0,,4541000000.0,,2677000000.0,,1792000000.0,,1698000000.0,628000000.0,1069000000.0,3.1,3.06,345000000.0,349000000.0,2274000000.0,,,7864000000.0,480000000.0,,1017000000.0,17510000000.0,,1551000000.0,3978000000.0,414000000.0,807000000.0,24260000000.0,11726000000.0,,,14174000000.0,,157000000.0,,,,4093000000.0,37000000.0,6244000000.0,24260000000.0,325000000.0,85000000.0,158000000.0,129000000.0,495000000.0,,,319000000.0,,,1176000000.0,,,,,174000000.0,263000000.0,,,-377000000.0,,-4000000.0,-454000000.0,345000000.0,513000000.0
