Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,32396000000.0,,,1421000000.0,3645000000.0,31819000000.0,577000000.0,,569000000.0,-270000000.0,895000000.0,1.45,1.43,615200000.0,626000000.0,4867000000.0,,5611000000.0,6360000000.0,,,,26789000000.0,,12386000000.0,2269000000.0,465000000.0,2060000000.0,60038000000.0,,888000000.0,,19292000000.0,,,,2179000000.0,50738000000.0,19711000000.0,-3764000000.0,,60038000000.0,2336000000.0,,,4014000000.0,2501000000.0,,235000000.0,-2034000000.0,,-522000000.0,6343000000.0,349000000.0,,291000000.0,,,1348000000.0,,128000000.0,1002000000.0,,21000000.0,-5215000000.0,2131000000.0,
2010-03-31,8238000000.0,,,402000000.0,932000000.0,7730000000.0,508000000.0,,469000000.0,231000000.0,233000000.0,0.37,0.36,626400000.0,643500000.0,3538000000.0,,6068000000.0,6990000000.0,,,,26412000000.0,,12057000000.0,2284000000.0,488000000.0,2025000000.0,58836000000.0,,881000000.0,,18417000000.0,,,,2116000000.0,49362000000.0,19941000000.0,-3886000000.0,,58836000000.0,554000000.0,,,-373000000.0,-644000000.0,,109000000.0,533000000.0,,-33000000.0,551000000.0,46000000.0,,45000000.0,,,204000000.0,,-33000000.0,110000000.0,,13000000.0,-1936000000.0,-1329000000.0,
2010-09-30,29781000000.0,,,1362000000.0,3139000000.0,27109000000.0,2672000000.0,,2518000000.0,735000000.0,1732000000.0,2.75,2.68,632600000.0,651600000.0,,,7395000000.0,9006000000.0,,,,28577000000.0,,12065000000.0,2634000000.0,824000000.0,1551000000.0,61642000000.0,4970000000.0,2633000000.0,,20178000000.0,,,,2678000000.0,51310000000.0,20955000000.0,-4412000000.0,,61642000000.0,1681000000.0,,,1337000000.0,2086000000.0,,-131000000.0,1851000000.0,,287000000.0,2832000000.0,129000000.0,,141000000.0,,,842000000.0,,-130000000.0,-1102000000.0,,89000000.0,-4272000000.0,-2602000000.0,
2010-12-31,42588000000.0,,,1905000000.0,4248000000.0,38625000000.0,3963000000.0,,3750000000.0,968000000.0,2700000000.0,4.28,4.15,631500000.0,650400000.0,,,8494000000.0,9587000000.0,3169000000.0,,,31810000000.0,,12539000000.0,2614000000.0,805000000.0,1538000000.0,64020000000.0,5856000000.0,2880000000.0,,22020000000.0,,141000000.0,,2654000000.0,52695000000.0,21384000000.0,-4051000000.0,,64020000000.0,2296000000.0,,32000000.0,2320000000.0,2667000000.0,,-358000000.0,2570000000.0,,-23000000.0,5009000000.0,217000000.0,,228000000.0,,,1575000000.0,,-132000000.0,-1595000000.0,,153000000.0,-4613000000.0,-1275000000.0,
2011-03-31,12949000000.0,,,525000000.0,1099000000.0,11116000000.0,1833000000.0,,1763000000.0,512000000.0,1225000000.0,1.91,1.84,641400000.0,664900000.0,,,8830000000.0,10676000000.0,,,,34608000000.0,,12219000000.0,2608000000.0,794000000.0,1546000000.0,66387000000.0,5990000000.0,2863000000.0,,23147000000.0,,,,2700000000.0,53256000000.0,22640000000.0,-3724000000.0,,66387000000.0,575000000.0,,,17000000.0,1185000000.0,,-63000000.0,364000000.0,,233000000.0,765000000.0,72000000.0,,66000000.0,,,543000000.0,,-30000000.0,-434000000.0,,123000000.0,890000000.0,1277000000.0,
2011-06-30,27179000000.0,,,1109000000.0,2356000000.0,23745000000.0,3434000000.0,,3113000000.0,830000000.0,2240000000.0,3.48,3.36,645500000.0,667200000.0,,,8916000000.0,11359000000.0,,,,40755000000.0,,12430000000.0,2610000000.0,775000000.0,1567000000.0,73611000000.0,6858000000.0,2850000000.0,,23510000000.0,,,,2841000000.0,59715000000.0,23081000000.0,-3544000000.0,,73611000000.0,1174000000.0,,,-45000000.0,1850000000.0,,-28000000.0,1056000000.0,,357000000.0,3294000000.0,131000000.0,,122000000.0,,,924000000.0,,38000000.0,-1186000000.0,,159000000.0,4928000000.0,7123000000.0,
2011-09-30,42895000000.0,,,1693000000.0,3716000000.0,37702000000.0,5193000000.0,,4747000000.0,1304000000.0,3381000000.0,5.25,5.08,646600000.0,666100000.0,,,9386000000.0,14412000000.0,,,,36864000000.0,,13397000000.0,7778000000.0,4529000000.0,1544000000.0,77767000000.0,7524000000.0,3186000000.0,,25218000000.0,,,,3570000000.0,63063000000.0,24251000000.0,-4019000000.0,,77767000000.0,1832000000.0,,,254000000.0,2716000000.0,,74000000.0,1308000000.0,,700000000.0,5515000000.0,216000000.0,,180000000.0,,,1515000000.0,,-37000000.0,-9450000000.0,,169000000.0,3612000000.0,,
2011-12-31,60138000000.0,,,2297000000.0,5203000000.0,52985000000.0,7153000000.0,,6725000000.0,1720000000.0,,7.64,7.4,645000000.0,666100000.0,,,10285000000.0,14544000000.0,2913000000.0,,,38128000000.0,,14395000000.0,7080000000.0,4368000000.0,2107000000.0,81446000000.0,8161000000.0,3386000000.0,,28561000000.0,,559000000.0,,3583000000.0,68044000000.0,25219000000.0,-6328000000.0,,81446000000.0,2527000000.0,,-116000000.0,1345000000.0,2927000000.0,,91000000.0,1555000000.0,,753000000.0,7010000000.0,336000000.0,,247000000.0,,,2515000000.0,,40000000.0,-11427000000.0,,189000000.0,3966000000.0,,
2012-03-31,15981000000.0,,,587000000.0,1340000000.0,13658000000.0,2323000000.0,,2298000000.0,689000000.0,,2.44,2.37,650000000.0,670200000.0,,,10370000000.0,16511000000.0,,,,40209000000.0,,14571000000.0,7081000000.0,4287000000.0,2208000000.0,83908000000.0,8360000000.0,3427000000.0,,28849000000.0,,,,3582000000.0,68437000000.0,26815000000.0,-6033000000.0,,83908000000.0,661000000.0,,,-150000000.0,2038000000.0,,-160000000.0,517000000.0,,79000000.0,330000000.0,123000000.0,,112000000.0,,,844000000.0,,-38000000.0,-1536000000.0,,141000000.0,976000000.0,-193000000.0,
2012-06-30,33355000000.0,,,1219000000.0,2857000000.0,28416000000.0,4939000000.0,,4874000000.0,1561000000.0,,5.04,4.9,652900000.0,669900000.0,,,10443000000.0,17344000000.0,,,,44294000000.0,,14928000000.0,7320000000.0,4236000000.0,2146000000.0,88838000000.0,8470000000.0,3532000000.0,,31273000000.0,,,,3697000000.0,72857000000.0,27842000000.0,-6150000000.0,,88838000000.0,1350000000.0,,,-37000000.0,2939000000.0,,-63000000.0,299000000.0,,140000000.0,2007000000.0,199000000.0,,177000000.0,,,1508000000.0,,-38000000.0,-3504000000.0,,156000000.0,3672000000.0,2046000000.0,
2012-09-30,49800000000.0,,,1853000000.0,4328000000.0,42265000000.0,7535000000.0,,7324000000.0,2314000000.0,,7.64,7.44,653600000.0,669700000.0,,,9814000000.0,17550000000.0,,,,44639000000.0,,15509000000.0,7372000000.0,4166000000.0,2205000000.0,90541000000.0,7978000000.0,3568000000.0,,31746000000.0,,,,3625000000.0,72605000000.0,29541000000.0,-5988000000.0,,90541000000.0,2070000000.0,,,-136000000.0,3118000000.0,,20000000.0,-334000000.0,,34000000.0,3262000000.0,299000000.0,,243000000.0,,,2270000000.0,,-82000000.0,-4352000000.0,,165000000.0,3847000000.0,2632000000.0,
2012-12-31,65875000000.0,,,2466000000.0,5919000000.0,57302000000.0,8573000000.0,,8236000000.0,2528000000.0,,8.71,8.48,652600000.0,669600000.0,,,10092000000.0,15547000000.0,2292000000.0,,,42524000000.0,,16461000000.0,6942000000.0,4016000000.0,1785000000.0,89356000000.0,6753000000.0,3667000000.0,,29755000000.0,,484000000.0,,3182000000.0,71774000000.0,29558000000.0,-6433000000.0,,89356000000.0,2813000000.0,,251000000.0,173000000.0,1149000000.0,,-252000000.0,-1868000000.0,,-679000000.0,5241000000.0,402000000.0,,306000000.0,,618000000.0,3350000000.0,,-167000000.0,-6190000000.0,,192000000.0,3549000000.0,2433000000.0,
2013-03-31,13210000000.0,,,562000000.0,1390000000.0,11992000000.0,1218000000.0,,1127000000.0,246000000.0,,1.34,1.31,656200000.0,671600000.0,,,9843000000.0,15074000000.0,,,,42145000000.0,,16276000000.0,6840000000.0,3875000000.0,1734000000.0,88743000000.0,6221000000.0,3572000000.0,,28974000000.0,,,,3212000000.0,70425000000.0,30438000000.0,-6669000000.0,,88743000000.0,723000000.0,,,-223000000.0,-308000000.0,,-41000000.0,118000000.0,,-45000000.0,1424000000.0,123000000.0,,98000000.0,,0.0,896000000.0,,46000000.0,-1459000000.0,,41000000.0,545000000.0,492000000.0,
2013-06-30,27831000000.0,,,1110000000.0,2811000000.0,25056000000.0,2775000000.0,,2480000000.0,633000000.0,,2.82,2.76,652400000.0,666600000.0,,,9396000000.0,13889000000.0,,,,40805000000.0,,16352000000.0,6814000000.0,3764000000.0,1729000000.0,87375000000.0,6343000000.0,3501000000.0,,29919000000.0,,,,3232000000.0,69697000000.0,30668000000.0,-6698000000.0,,87375000000.0,1484000000.0,,,-431000000.0,-1364000000.0,,100000000.0,222000000.0,,30000000.0,4593000000.0,267000000.0,,207000000.0,,26000000.0,1387000000.0,,68000000.0,-2800000000.0,,62000000.0,-1132000000.0,620000000.0,
2013-09-30,41254000000.0,,,1579000000.0,4130000000.0,37078000000.0,4176000000.0,,3741000000.0,943000000.0,,4.3,4.21,647600000.0,661300000.0,,,8649000000.0,13392000000.0,,,,40088000000.0,,16588000000.0,6968000000.0,3718000000.0,1733000000.0,87272000000.0,6280000000.0,3373000000.0,,29119000000.0,,,,3176000000.0,69095000000.0,31614000000.0,-6247000000.0,,87272000000.0,2263000000.0,,,-1165000000.0,-1911000000.0,,74000000.0,41000000.0,,145000000.0,7611000000.0,312000000.0,,297000000.0,,193000000.0,1862000000.0,,29000000.0,-4078000000.0,,70000000.0,-2628000000.0,867000000.0,
2013-12-31,55656000000.0,,,2046000000.0,5547000000.0,50028000000.0,5628000000.0,,5128000000.0,1319000000.0,,5.87,5.75,645200000.0,658600000.0,,,8413000000.0,12625000000.0,800000000.0,,,38335000000.0,,17075000000.0,6956000000.0,3596000000.0,1745000000.0,84896000000.0,6560000000.0,3493000000.0,,27297000000.0,,447000000.0,,3029000000.0,64018000000.0,31854000000.0,-3898000000.0,,84896000000.0,3087000000.0,,74000000.0,-835000000.0,-2658000000.0,,49000000.0,134000000.0,,-71000000.0,10191000000.0,402000000.0,,449000000.0,,195000000.0,2522000000.0,,26000000.0,-5046000000.0,,96000000.0,-4511000000.0,591000000.0,
2014-03-31,13241000000.0,,,508000000.0,1292000000.0,11843000000.0,1398000000.0,,1342000000.0,418000000.0,,1.47,1.44,626700000.0,639300000.0,,,8565000000.0,12888000000.0,,,,37968000000.0,,16716000000.0,6986000000.0,3509000000.0,1762000000.0,84397000000.0,6731000000.0,3454000000.0,,27295000000.0,,,,3217000000.0,64028000000.0,32775000000.0,-3801000000.0,,84397000000.0,781000000.0,,,37000000.0,270000000.0,,-26000000.0,403000000.0,,-66000000.0,1897000000.0,105000000.0,,115000000.0,,5000000.0,454000000.0,,12000000.0,-948000000.0,,69000000.0,-1651000000.0,-736000000.0,
2014-06-30,27391000000.0,,,1024000000.0,2729000000.0,24518000000.0,2873000000.0,,2762000000.0,837000000.0,,3.06,3.0,626800000.0,639300000.0,,,8057000000.0,13055000000.0,,,,41276000000.0,,16690000000.0,6969000000.0,3398000000.0,1832000000.0,87827000000.0,6860000000.0,3473000000.0,,29741000000.0,,,,3259000000.0,66904000000.0,32961000000.0,-3683000000.0,,87827000000.0,1570000000.0,,,-138000000.0,439000000.0,,105000000.0,551000000.0,,-24000000.0,4134000000.0,,,222000000.0,,15000000.0,710000000.0,,25000000.0,-2382000000.0,,131000000.0,181000000.0,1846000000.0,
2014-09-30,40940000000.0,,,1557000000.0,4175000000.0,36675000000.0,4265000000.0,,4143000000.0,1201000000.0,,4.73,4.64,620600000.0,632700000.0,,,7705000000.0,13328000000.0,,,,39042000000.0,,16431000000.0,6801000000.0,3210000000.0,1814000000.0,84488000000.0,6778000000.0,3466000000.0,,27589000000.0,,,,3284000000.0,65592000000.0,33977000000.0,-4357000000.0,,84488000000.0,2368000000.0,,,-244000000.0,859000000.0,,104000000.0,667000000.0,,123000000.0,6186000000.0,,,347000000.0,,18000000.0,1072000000.0,,12000000.0,-3003000000.0,,162000000.0,-3059000000.0,1000000.0,
2014-12-31,55184000000.0,,,2135000000.0,5697000000.0,49856000000.0,5328000000.0,,5083000000.0,1380000000.0,,5.99,5.88,617200000.0,628900000.0,,,7737000000.0,12205000000.0,1783000000.0,,,38867000000.0,,16577000000.0,6694000000.0,3076000000.0,1798000000.0,84681000000.0,6515000000.0,3548000000.0,,27877000000.0,,414000000.0,,3231000000.0,67855000000.0,33887000000.0,-6431000000.0,,84681000000.0,3163000000.0,,-266000000.0,-163000000.0,-101000000.0,,300000000.0,222000000.0,,146000000.0,8057000000.0,,,434000000.0,,30000000.0,1539000000.0,,46000000.0,-3627000000.0,,182000000.0,-2996000000.0,1260000000.0,
2015-03-31,12702000000.0,,,546000000.0,1318000000.0,11175000000.0,1527000000.0,,1555000000.0,443000000.0,,1.84,1.81,604900000.0,612700000.0,,,7586000000.0,12099000000.0,,,,38491000000.0,,16277000000.0,6493000000.0,2890000000.0,1802000000.0,82490000000.0,6328000000.0,3531000000.0,,26566000000.0,,,,3206000000.0,65452000000.0,34998000000.0,-7101000000.0,,82490000000.0,753000000.0,,,-6000000.0,89000000.0,,-288000000.0,228000000.0,,-12000000.0,1270000000.0,,,83000000.0,,29000000.0,437000000.0,,38000000.0,-384000000.0,,17000000.0,-622000000.0,222000000.0,
2015-06-30,25019000000.0,,,1078000000.0,2707000000.0,22362000000.0,2657000000.0,,2547000000.0,726000000.0,,3.01,2.98,604100000.0,611800000.0,,,7212000000.0,11681000000.0,,,,38227000000.0,,16136000000.0,6550000000.0,2863000000.0,1776000000.0,82242000000.0,5862000000.0,3311000000.0,,25606000000.0,,,,3271000000.0,65081000000.0,34823000000.0,-6729000000.0,,82242000000.0,1514000000.0,,,-383000000.0,-332000000.0,,-85000000.0,-326000000.0,,199000000.0,3358000000.0,,,128000000.0,,63000000.0,656000000.0,,75000000.0,-1091000000.0,,18000000.0,-1753000000.0,480000000.0,
2015-09-30,35981000000.0,,,1612000000.0,3932000000.0,32611000000.0,3370000000.0,,3065000000.0,870000000.0,,3.66,3.62,597900000.0,605300000.0,,,6783000000.0,11150000000.0,,,,35280000000.0,,15955000000.0,6546000000.0,2841000000.0,1740000000.0,78969000000.0,5206000000.0,3306000000.0,,25833000000.0,,,,3322000000.0,63001000000.0,35191000000.0,-6843000000.0,,78969000000.0,2272000000.0,,,-614000000.0,-840000000.0,,108000000.0,-893000000.0,,354000000.0,4864000000.0,,,238000000.0,,140000000.0,946000000.0,,76000000.0,-1973000000.0,,20000000.0,-4055000000.0,-1295000000.0,
