Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2012-03-31,121392000.0,,,,,63977000.0,57415000.0,,,23545000.0,,0.37,0.37,88146000.0,88146000.0,148629000.0,,48438000.0,,,,941000.0,214874000.0,,76627000.0,,,,353441000.0,2615000.0,8130000.0,20405000.0,82639000.0,,,13574000.0,3881000.0,122239000.0,254793000.0,-936000.0,,353441000.0,,2939000.0,-1152000.0,10860000.0,,,-124000.0,,20029000.0,,63343000.0,,,,,,,,0.0,-8263000.0,,,-41387000.0,13693000.0,67000.0
2012-06-30,253941000.0,,,,,130456000.0,123485000.0,,,50706000.0,,0.81,0.81,87649000.0,87649000.0,127137000.0,,48429000.0,,,,728000.0,201947000.0,,79256000.0,,,,343806000.0,3665000.0,8059000.0,17365000.0,63908000.0,,,14335000.0,3990000.0,103899000.0,282686000.0,-922000.0,,343806000.0,,5966000.0,-1661000.0,10851000.0,,,-337000.0,,17098000.0,,86734000.0,,,,,,,,0.0,-20314000.0,,,-74219000.0,-7799000.0,52473000.0
2012-09-30,382261000.0,,,,,197915000.0,184346000.0,,,65482000.0,,1.33,1.33,87523000.0,87523000.0,160281000.0,,45379000.0,,,,786000.0,238448000.0,,77527000.0,,,,377526000.0,2084000.0,7118000.0,8713000.0,56089000.0,,,18206000.0,3968000.0,102005000.0,315203000.0,-907000.0,,377526000.0,,9048000.0,387000.0,7801000.0,,,-279000.0,,8424000.0,,140868000.0,,,,,,,,0.0,-28063000.0,,,-87460000.0,25345000.0,69423000.0
2013-03-31,142705000.0,,,,,73275000.0,69430000.0,,,26336000.0,,0.48,0.48,87272000.0,87272000.0,210486000.0,,51136000.0,,,,735000.0,275424000.0,,72277000.0,,,,409625000.0,3120000.0,6616000.0,23780000.0,85752000.0,,,22708000.0,3924000.0,134899000.0,304567000.0,-1101000.0,,409625000.0,,6739000.0,-515000.0,5470000.0,,,168000.0,,22674000.0,,95297000.0,,,,,,,,-8000.0,-7108000.0,,,-13300000.0,74889000.0,1910000.0
2013-06-30,293477000.0,,,,,148689000.0,144788000.0,,143593000.0,55060000.0,,1.0,1.0,87341000.0,87341000.0,207766000.0,,55733000.0,,,,565000.0,296676000.0,,71281000.0,,,,429862000.0,3709000.0,8329000.0,16641000.0,70271000.0,,,24227000.0,3900000.0,119956000.0,337420000.0,-1084000.0,,429862000.0,,12949000.0,-1506000.0,10067000.0,,,,,15511000.0,,116860000.0,,,,,,,,-8000.0,-14184000.0,,2206000.0,-30507000.0,72169000.0,54730000.0
2013-12-31,572050000.0,,,,,286236000.0,285814000.0,,283656000.0,107657000.0,175999000.0,1.99,1.99,87331000.0,87331000.0,221341000.0,,49888000.0,,25144000.0,,2717000.0,308861000.0,,67294000.0,,,,441589000.0,4219000.0,8451000.0,1100000.0,107458000.0,,13745000.0,29903000.0,3856000.0,157072000.0,349290000.0,-1050000.0,284517000.0,441589000.0,,20823000.0,-7145000.0,4222000.0,,,,,-75000.0,,224380000.0,,,,,,,,-8000.0,-31197000.0,,2356000.0,-107439000.0,,
2014-03-31,157885000.0,,,,,75847000.0,82038000.0,,81543000.0,32519000.0,49024000.0,0.56,0.56,86453000.0,86453000.0,199065000.0,,57856000.0,,,,922000.0,276022000.0,,69180000.0,,,,412844000.0,2816000.0,10468000.0,14167000.0,74457000.0,,,32249000.0,3833000.0,126164000.0,382587000.0,-735000.0,,412844000.0,,6913000.0,25000.0,7968000.0,,,,,13045000.0,,88316000.0,,,,,,,,0.0,-12672000.0,,765000.0,-97920000.0,-22276000.0,10000.0
2014-06-30,301827000.0,,,,,150073000.0,151754000.0,,150938000.0,58933000.0,,1.06,1.06,86140000.0,86140000.0,145111000.0,,55474000.0,,,,1501000.0,243935000.0,,70228000.0,,,,385781000.0,4144000.0,8776000.0,11712000.0,69029000.0,,,33718000.0,3967000.0,121890000.0,409988000.0,-712000.0,,385781000.0,,11370000.0,-451000.0,5586000.0,,,,,10723000.0,,121236000.0,,,,,,,,-3000.0,-29296000.0,,3531000.0,-168170000.0,-76230000.0,53530000.0
2014-09-30,450737000.0,,,,,223898000.0,226839000.0,,225751000.0,85379000.0,,1.62,1.62,85773000.0,85773000.0,126519000.0,,55121000.0,,,,667000.0,222726000.0,,70379000.0,,,,367086000.0,1899000.0,8745000.0,7211000.0,68283000.0,,,35136000.0,4082000.0,121962000.0,440441000.0,-708000.0,,367086000.0,,13480000.0,-1192000.0,5233000.0,,,,,6337000.0,,184066000.0,,,,,,,,-3000.0,-41470000.0,,3554000.0,-237418000.0,-94822000.0,78336000.0
2014-12-31,617225000.0,,,,,303424000.0,313801000.0,,309697000.0,119983000.0,189714000.0,2.21,2.21,85406000.0,85406000.0,147927000.0,,58386000.0,,26962000.0,,972000.0,244107000.0,,66856000.0,,,,383901000.0,2779000.0,9492000.0,1988000.0,73665000.0,,13677000.0,40683000.0,4197000.0,133834000.0,472005000.0,-689000.0,250067000.0,383901000.0,,15577000.0,-290000.0,8498000.0,,,,,1229000.0,,262657000.0,,,,,,,,-3000.0,-52138000.0,,3557000.0,-283933000.0,,
2015-03-31,142839000.0,,,,,73286000.0,69553000.0,,69277000.0,27018000.0,,0.5,0.5,83956000.0,83956000.0,137558000.0,,51986000.0,,,,1344000.0,209385000.0,,62725000.0,,,,375797000.0,2800000.0,7382000.0,14073000.0,70712000.0,,,41932000.0,3312000.0,132062000.0,496539000.0,-870000.0,,375797000.0,,2655000.0,601000.0,-6154000.0,,,,,11200000.0,,78455000.0,,,,,,,,-246000.0,-37759000.0,,1194000.0,-51065000.0,-10369000.0,2695000.0
