Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-09-30,7123100000.0,5949000000.0,1174100000.0,,727600000.0,,359600000.0,,54700000.0,17600000.0,37100000.0,,,,,25900000.0,,1257000000.0,315100000.0,29300000.0,,,1862100000.0,,147900000.0,2207500000.0,1672800000.0,2200000.0,5965000000.0,,,39000000.0,1172800000.0,,698300000.0,,44700000.0,,-2210100000.0,-4400000.0,-35500000.0,5965000000.0,153600000.0,12300000.0,-8600000.0,168600000.0,22500000.0,,6300000.0,27100000.0,,,171500000.0,,,,,,25900000.0,,,-36200000.0,,,-144900000.0,-10700000.0,-41800000.0
2011-12-31,9602400000.0,8015000000.0,1587400000.0,,994000000.0,,470700000.0,,28300000.0,11200000.0,17100000.0,,,,,99900000.0,,1254900000.0,321700000.0,24600000.0,,,1879400000.0,,154300000.0,2208400000.0,1636000000.0,2300000.0,5949600000.0,,,27800000.0,1341300000.0,,692000000.0,,45600000.0,,-2191300000.0,-2100000.0,-7300000.0,5949600000.0,204900000.0,19500000.0,-10200000.0,165300000.0,29000000.0,,-50300000.0,-19800000.0,,,214700000.0,,,,,,45700000.0,,,-56000000.0,,,-95400000.0,63300000.0,-20900000.0
2012-03-31,2319200000.0,1934600000.0,384600000.0,,251600000.0,,103600000.0,,15100000.0,4200000.0,10900000.0,,,,,36500000.0,,1093600000.0,346800000.0,23100000.0,,,1701300000.0,,146100000.0,2209000000.0,1599400000.0,2100000.0,5721400000.0,,,34900000.0,1107700000.0,,673800000.0,,57700000.0,,-2180700000.0,-200000.0,10600000.0,5721400000.0,52500000.0,5700000.0,-16600000.0,-162300000.0,25000000.0,,22300000.0,3000000.0,,,223000000.0,,,,,,8300000.0,,,-8300000.0,,,-278400000.0,-63400000.0,300000.0
2012-06-30,4903900000.0,4092400000.0,811500000.0,,511100000.0,,240000000.0,,74800000.0,27100000.0,47700000.0,,,,,158700000.0,,1238300000.0,321600000.0,21500000.0,,,1964300000.0,,142300000.0,2208500000.0,1557700000.0,2000000.0,5935500000.0,,,66100000.0,1297500000.0,,656700000.0,,58800000.0,,-2143900000.0,-1800000.0,51100000.0,5935500000.0,105700000.0,11500000.0,-32000000.0,-16900000.0,-100000.0,,45300000.0,170500000.0,,,304700000.0,,,,,,15700000.0,,,-15700000.0,,,-230100000.0,58800000.0,38400000.0
2012-09-30,7527200000.0,6283000000.0,1244200000.0,,768100000.0,,379700000.0,,138000000.0,52300000.0,85700000.0,,,,,193000000.0,,1277200000.0,346900000.0,20200000.0,,,2060000000.0,,139300000.0,2209600000.0,1516900000.0,1600000.0,5985100000.0,,,49900000.0,1316200000.0,,639000000.0,,60500000.0,,-2106000000.0,1300000.0,98200000.0,5985100000.0,159100000.0,18000000.0,-48100000.0,20200000.0,25100000.0,,43200000.0,172700000.0,,,367100000.0,,,,,,25400000.0,,,-25400000.0,,,-249300000.0,93100000.0,81900000.0
2012-12-31,10128200000.0,8458600000.0,1669600000.0,,1029500000.0,,510600000.0,,186100000.0,67100000.0,119000000.0,,,,,37900000.0,,1265100000.0,314600000.0,14100000.0,,,1814800000.0,,142700000.0,2209300000.0,1478500000.0,1600000.0,5700100000.0,,,37900000.0,1148300000.0,,624300000.0,,52000000.0,,-2073000000.0,400000.0,136500000.0,5700100000.0,210200000.0,22100000.0,-56300000.0,8600000.0,-7100000.0,,3800000.0,800000.0,,,317400000.0,,,,,,41400000.0,,,-41700000.0,,,-338000000.0,-62000000.0,123200000.0
2013-03-31,2411700000.0,2009700000.0,402000000.0,,251500000.0,,120100000.0,,44500000.0,16200000.0,28300000.0,,,,,147100000.0,,1264500000.0,358400000.0,13100000.0,,,1986100000.0,,134000000.0,2208500000.0,1443600000.0,1200000.0,5822700000.0,,,66000000.0,1312900000.0,,609000000.0,,49300000.0,,-2044800000.0,-2000000.0,163800000.0,5822700000.0,52000000.0,1900000.0,-14100000.0,-18800000.0,43900000.0,,19600000.0,124200000.0,,,208000000.0,,,,,,8800000.0,,,-8800000.0,,,-89500000.0,109200000.0,1700000.0
2013-06-30,5191000000.0,4337400000.0,853600000.0,,517900000.0,,273700000.0,,117700000.0,42700000.0,75000000.0,0.52,0.51,145300000.0,146700000.0,179300000.0,,1390500000.0,378500000.0,12100000.0,,,2233700000.0,,132700000.0,2207400000.0,1403700000.0,1600000.0,6020500000.0,,,96900000.0,1445200000.0,,598300000.0,,50700000.0,,-1998100000.0,-5300000.0,209000000.0,6020500000.0,104300000.0,4000000.0,-23500000.0,108900000.0,64000000.0,,67200000.0,253800000.0,,,207100000.0,,,,,,20000000.0,,,-20000000.0,,,-44300000.0,141400000.0,50900000.0
2013-09-30,8055300000.0,6743300000.0,1312000000.0,,850300000.0,,366600000.0,,112900000.0,40100000.0,72800000.0,0.48,0.47,166800000.0,166800000.0,350200000.0,,1310600000.0,353800000.0,10900000.0,,,2285700000.0,,129600000.0,2222900000.0,1365500000.0,1400000.0,6038800000.0,,,82500000.0,1496500000.0,,599400000.0,,40900000.0,,-2024400000.0,-3300000.0,659800000.0,6038800000.0,156300000.0,44300000.0,-21300000.0,27900000.0,39200000.0,,72200000.0,154800000.0,,,370800000.0,,,,,,30500000.0,,,-30500000.0,424700000.0,,-27400000.0,312300000.0,64300000.0
2013-12-31,10768600000.0,9008300000.0,1760300000.0,,1120900000.0,,508600000.0,,195500000.0,62700000.0,132800000.0,0.85,0.84,156600000.0,158700000.0,188100000.0,,1451000000.0,382000000.0,0.0,,,2213500000.0,,131100000.0,2220300000.0,1328000000.0,1600000.0,5924600000.0,,,94800000.0,1402600000.0,,563500000.0,,41000000.0,,-1971800000.0,-6300000.0,711700000.0,5924600000.0,208200000.0,46600000.0,-48700000.0,170800000.0,67500000.0,,10100000.0,146100000.0,,,366300000.0,,,,,,47100000.0,,,-47100000.0,424700000.0,600000.0,-168300000.0,150200000.0,82500000.0
