Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2021-12-31,,,,,,,,,,,,,,,,,,,,,241000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,5591000000.0,,,,,5172000000.0,435000000.0,-374000000.0,61000000.0,-53000000.0,106000000.0,0.32,0.32,327000000.0,328000000.0,1605000000.0,,1936000000.0,,,,1238000000.0,8767000000.0,,19837000000.0,,,2152000000.0,46846000000.0,1847000000.0,803000000.0,,6434000000.0,,,,1300000000.0,35341000000.0,-91000000.0,-2016000000.0,11105000000.0,46846000000.0,602000000.0,,,78000000.0,-82000000.0,,,,,,1351000000.0,,,,1193000000.0,,410000000.0,,4000000.0,404000000.0,,,-635000000.0,,
2022-06-30,11056000000.0,,,,,10361000000.0,708000000.0,-1085000000.0,-438000000.0,-381000000.0,-111000000.0,-0.34,-0.34,327000000.0,328000000.0,806000000.0,,1734000000.0,,,,1317000000.0,8090000000.0,,19739000000.0,,,2137000000.0,45333000000.0,2160000000.0,749000000.0,,5878000000.0,,,,1210000000.0,33944000000.0,-249000000.0,-1992000000.0,11000000000.0,45333000000.0,1207000000.0,,,-60000000.0,88000000.0,,,,,,1263000000.0,,,,2323000000.0,,800000000.0,,-2000000.0,701000000.0,,,-1614000000.0,,
2022-09-30,17107000000.0,,,,,16453000000.0,667000000.0,-1356000000.0,-689000000.0,-504000000.0,-194000000.0,-0.59,-0.59,327000000.0,328000000.0,1192000000.0,,1819000000.0,,,,1607000000.0,9853000000.0,,19705000000.0,,,2137000000.0,46616000000.0,2597000000.0,933000000.0,,7887000000.0,,,,1251000000.0,35447000000.0,-483000000.0,-1969000000.0,10803000000.0,46616000000.0,1810000000.0,,,150000000.0,166000000.0,,,,,,69000000.0,,,,3212000000.0,,1090000000.0,,-3000000.0,1871000000.0,,,-1213000000.0,,
2022-12-31,24440000000.0,,,,,23946000000.0,495000000.0,-1037000000.0,-542000000.0,-388000000.0,-160000000.0,-0.49,-0.49,328000000.0,329000000.0,422000000.0,,2585000000.0,,,125000000.0,1026000000.0,9360000000.0,,19822000000.0,,,2106000000.0,46909000000.0,2828000000.0,906000000.0,,7839000000.0,,,,1178000000.0,35537000000.0,-496000000.0,-1760000000.0,11018000000.0,46909000000.0,2427000000.0,,,868000000.0,228000000.0,,,,,,-2353000000.0,,,,4271000000.0,,1689000000.0,,2000000.0,3104000000.0,,,-799000000.0,,287000000.0
2023-03-31,7565000000.0,,,,,7560000000.0,31000000.0,207000000.0,238000000.0,131000000.0,96000000.0,0.29,0.29,328000000.0,328000000.0,237000000.0,,2147000000.0,,,,1067000000.0,8108000000.0,,20074000000.0,,,1977000000.0,46158000000.0,1558000000.0,743000000.0,,5947000000.0,,,,1258000000.0,35072000000.0,-493000000.0,-1808000000.0,10728000000.0,46158000000.0,605000000.0,,,-513000000.0,-168000000.0,,,,,,-934000000.0,,,,2030000000.0,,660000000.0,,18000000.0,219000000.0,,,523000000.0,,
2023-06-30,13011000000.0,,,,,12337000000.0,700000000.0,709000000.0,1409000000.0,472000000.0,929000000.0,2.85,2.84,326000000.0,327000000.0,269000000.0,,1306000000.0,,,,1742000000.0,7575000000.0,,20239000000.0,,,2167000000.0,46559000000.0,1260000000.0,744000000.0,,5225000000.0,,,,1123000000.0,34947000000.0,248000000.0,-1800000000.0,11256000000.0,46559000000.0,1219000000.0,,,-1298000000.0,-124000000.0,,,,,,-1126000000.0,,,,3203000000.0,,1336000000.0,,12000000.0,171000000.0,,,752000000.0,,
2023-09-30,19122000000.0,,,,,17473000000.0,1677000000.0,627000000.0,2304000000.0,677000000.0,1660000000.0,5.12,5.11,324000000.0,325000000.0,1889000000.0,,1541000000.0,,,,2179000000.0,9902000000.0,,20849000000.0,,,1901000000.0,48965000000.0,1317000000.0,403000000.0,,5263000000.0,,,,1196000000.0,36965000000.0,887000000.0,-1797000000.0,11666000000.0,48965000000.0,1840000000.0,,,-942000000.0,-90000000.0,,,,,,-2119000000.0,,,,4374000000.0,,1735000000.0,,15000000.0,2179000000.0,,,1389000000.0,,
2023-12-31,20841000000.0,,,,,23335000000.0,1610000000.0,837000000.0,2447000000.0,859000000.0,1623000000.0,5.02,5.01,323000000.0,324000000.0,368000000.0,,1934000000.0,,,229000000.0,1655000000.0,8299000000.0,,22116000000.0,425000000.0,,1910000000.0,50758000000.0,1302000000.0,338000000.0,,6319000000.0,,,,1125000000.0,39472000000.0,761000000.0,-2191000000.0,10925000000.0,50758000000.0,2514000000.0,,,-396000000.0,-60000000.0,,,,,,-5301000000.0,,,,6050000000.0,1690000000.0,2422000000.0,,-7000000.0,3031000000.0,,,2196000000.0,,466000000.0
2024-03-31,5260000000.0,,,,,5348000000.0,813000000.0,235000000.0,1048000000.0,165000000.0,883000000.0,2.79,2.78,317000000.0,318000000.0,562000000.0,,1855000000.0,,,,2066000000.0,8460000000.0,,22446000000.0,425000000.0,,2332000000.0,52014000000.0,1309000000.0,312000000.0,,5922000000.0,,,,1393000000.0,40454000000.0,1532000000.0,-2180000000.0,11199000000.0,52014000000.0,694000000.0,,,-464000000.0,-114000000.0,,,,,,-723000000.0,,,,1847000000.0,14000000.0,738000000.0,,1000000.0,830000000.0,,,84000000.0,,
