Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5082000000.0,4079000000.0,1003000000.0,75000000.0,469000000.0,,290000000.0,,,-243000000.0,488000000.0,3.33,3.11,143688749.0,157115521.0,1254000000.0,3000000.0,721000000.0,522000000.0,42000000.0,255000000.0,57000000.0,2856000000.0,80000000.0,2797000000.0,798000000.0,294000000.0,311000000.0,8410000000.0,649000000.0,611000000.0,,1607000000.0,,137000000.0,,1306000000.0,,1502000000.0,-659000000.0,584000000.0,8410000000.0,319000000.0,,-402000000.0,79000000.0,-30000000.0,,-9000000.0,104000000.0,,74000000.0,596000000.0,,,,,9000000.0,176000000.0,,31000000.0,31000000.0,,,-112000000.0,578000000.0,
2010-03-31,1388000000.0,1170000000.0,218000000.0,19000000.0,123000000.0,,-14000000.0,,,-20000000.0,18000000.0,0.1,0.1,150272227.0,152642371.0,1139000000.0,4000000.0,801000000.0,545000000.0,41000000.0,276000000.0,42000000.0,2851000000.0,79000000.0,2723000000.0,765000000.0,266000000.0,266000000.0,8202000000.0,626000000.0,552000000.0,,1540000000.0,,129000000.0,,1224000000.0,,1511000000.0,-686000000.0,574000000.0,8202000000.0,93000000.0,,-7000000.0,82000000.0,38000000.0,,-23000000.0,32000000.0,,-58000000.0,55000000.0,,,,,,44000000.0,,8000000.0,-132000000.0,,,-15000000.0,-115000000.0,
2010-06-30,2905000000.0,2384000000.0,521000000.0,37000000.0,246000000.0,,156000000.0,,,61000000.0,174000000.0,1.12,1.1,156326226.0,158674073.0,1081000000.0,2000000.0,862000000.0,522000000.0,41000000.0,244000000.0,70000000.0,2822000000.0,75000000.0,2676000000.0,736000000.0,269000000.0,273000000.0,8105000000.0,607000000.0,532000000.0,,1510000000.0,43000000.0,121000000.0,34000000.0,1139000000.0,,1664000000.0,-709000000.0,689000000.0,8105000000.0,159000000.0,,-10000000.0,150000000.0,32000000.0,,-24000000.0,28000000.0,,-26000000.0,219000000.0,,,,,46000000.0,78000000.0,,20000000.0,-275000000.0,,,-78000000.0,-173000000.0,
2010-09-30,4411000000.0,3544000000.0,867000000.0,56000000.0,369000000.0,,363000000.0,,,85000000.0,319000000.0,2.05,2.01,155859508.0,158408403.0,884000000.0,2000000.0,897000000.0,578000000.0,42000000.0,264000000.0,91000000.0,2767000000.0,79000000.0,2884000000.0,785000000.0,271000000.0,292000000.0,8394000000.0,640000000.0,589000000.0,,1637000000.0,43000000.0,132000000.0,32000000.0,1175000000.0,,1801000000.0,-606000000.0,917000000.0,8394000000.0,226000000.0,,-24000000.0,162000000.0,63000000.0,,-11000000.0,15000000.0,,-7000000.0,363000000.0,,,,,46000000.0,122000000.0,,16000000.0,-381000000.0,,,-332000000.0,-370000000.0,
2010-12-31,5918000000.0,4738000000.0,1180000000.0,70000000.0,505000000.0,,503000000.0,,,112000000.0,377000000.0,2.42,2.38,154564136.0,158372192.0,740000000.0,78000000.0,827000000.0,610000000.0,92000000.0,253000000.0,59000000.0,2668000000.0,0.0,3017000000.0,774000000.0,252000000.0,289000000.0,8281000000.0,673000000.0,596000000.0,,1542000000.0,41000000.0,116000000.0,4000000.0,1075000000.0,,1851000000.0,-670000000.0,926000000.0,8281000000.0,300000000.0,,15000000.0,90000000.0,98000000.0,,-9000000.0,19000000.0,,-102000000.0,452000000.0,,,,,46000000.0,201000000.0,,27000000.0,-560000000.0,,,-388000000.0,-514000000.0,
2011-03-31,1589000000.0,1238000000.0,351000000.0,23000000.0,128000000.0,,188000000.0,,180000000.0,42000000.0,142000000.0,0.91,0.9,155966259.0,158666687.0,722000000.0,74000000.0,950000000.0,688000000.0,94000000.0,269000000.0,45000000.0,2851000000.0,,3153000000.0,804000000.0,252000000.0,302000000.0,8622000000.0,740000000.0,554000000.0,,1610000000.0,40000000.0,122000000.0,4000000.0,1114000000.0,,1985000000.0,-600000000.0,1136000000.0,8622000000.0,75000000.0,,-2000000.0,108000000.0,60000000.0,,18000000.0,75000000.0,,1000000.0,132000000.0,,,,,8000000.0,77000000.0,,16000000.0,-151000000.0,,,-11000000.0,-18000000.0,
2011-06-30,3342000000.0,2581000000.0,761000000.0,48000000.0,268000000.0,,397000000.0,,460000000.0,117000000.0,345000000.0,2.21,2.17,156280721.0,159186077.0,741000000.0,70000000.0,1027000000.0,779000000.0,95000000.0,239000000.0,63000000.0,3014000000.0,,3273000000.0,813000000.0,238000000.0,309000000.0,8919000000.0,786000000.0,575000000.0,,1641000000.0,38000000.0,124000000.0,5000000.0,1277000000.0,,2180000000.0,-566000000.0,1373000000.0,8919000000.0,151000000.0,,-2000000.0,195000000.0,145000000.0,,11000000.0,102000000.0,,17000000.0,316000000.0,,,,,8000000.0,151000000.0,,23000000.0,-133000000.0,,,-198000000.0,1000000.0,
2011-12-31,6763000000.0,5329000000.0,1434000000.0,96000000.0,536000000.0,,690000000.0,,755000000.0,149000000.0,607000000.0,3.89,3.82,156204077.0,158947834.0,682000000.0,64000000.0,871000000.0,712000000.0,416000000.0,235000000.0,35000000.0,2703000000.0,,3269000000.0,760000000.0,197000000.0,344000000.0,8518000000.0,673000000.0,539000000.0,,1385000000.0,40000000.0,92000000.0,2000000.0,1153000000.0,,2424000000.0,-850000000.0,1341000000.0,8518000000.0,311000000.0,,93000000.0,83000000.0,112000000.0,,-17000000.0,22000000.0,,-262000000.0,638000000.0,,,,,8000000.0,349000000.0,,45000000.0,-441000000.0,,,-253000000.0,-58000000.0,94000000.0
2012-03-31,1633000000.0,1363000000.0,270000000.0,26000000.0,134000000.0,,98000000.0,,107000000.0,-76000000.0,183000000.0,1.17,1.15,156542424.0,159080760.0,727000000.0,63000000.0,928000000.0,753000000.0,104000000.0,207000000.0,35000000.0,2817000000.0,,3329000000.0,783000000.0,202000000.0,368000000.0,8823000000.0,758000000.0,517000000.0,,1471000000.0,39000000.0,138000000.0,3000000.0,1187000000.0,,2597000000.0,-817000000.0,1541000000.0,8823000000.0,77000000.0,,-94000000.0,47000000.0,32000000.0,,-19000000.0,123000000.0,,-82000000.0,215000000.0,,,,,23000000.0,106000000.0,,5000000.0,-155000000.0,,,-21000000.0,45000000.0,
2012-06-30,3308000000.0,2707000000.0,601000000.0,52000000.0,258000000.0,,262000000.0,,371000000.0,54000000.0,393000000.0,2.5,2.47,158128906.0,159740453.0,800000000.0,60000000.0,957000000.0,726000000.0,106000000.0,177000000.0,40000000.0,2866000000.0,,3265000000.0,756000000.0,184000000.0,390000000.0,8779000000.0,688000000.0,466000000.0,,1340000000.0,37000000.0,130000000.0,2000000.0,1123000000.0,,2798000000.0,-858000000.0,1777000000.0,8779000000.0,155000000.0,,-116000000.0,96000000.0,24000000.0,,-26000000.0,61000000.0,,-84000000.0,402000000.0,,,,,23000000.0,183000000.0,,43000000.0,-283000000.0,,,4000000.0,118000000.0,
