Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-09-30,3800000000.0,,,,,,,,985000000.0,317000000.0,668000000.0,1.19,1.19,559998324.0,560243747.0,2889000000.0,,,,,,,,,541000000.0,6876000000.0,,,131341000000.0,,,,,,,,,111958000000.0,1152000000.0,-435000000.0,,131341000000.0,313000000.0,,31000000.0,,,,2040000000.0,,,2256000000.0,1200000000.0,5642000000.0,2238000000.0,1265000000.0,72000000.0,,48000000.0,,,-7400000000.0,,,6332000000.0,132000000.0,
2014-12-31,4979000000.0,,,,,,,,1268000000.0,403000000.0,865000000.0,1.55,1.55,556674146.0,557724936.0,3276000000.0,,,,936000000.0,,,,,595000000.0,6876000000.0,,,132857000000.0,,,,,,,,,113589000000.0,1294000000.0,-372000000.0,,132857000000.0,386000000.0,,141000000.0,,,,295000000.0,,,239000000.0,1390000000.0,8315000000.0,2999000000.0,3325000000.0,84000000.0,,141000000.0,,,-10274000000.0,,,9403000000.0,519000000.0,
2015-03-31,1183000000.0,,,,,,,,315000000.0,106000000.0,209000000.0,0.38,0.38,546291363.0,549798717.0,5004000000.0,,,,,,,,,584000000.0,6876000000.0,,,136535000000.0,,,,,,,,,116971000000.0,1448000000.0,-240000000.0,,136535000000.0,113000000.0,,14000000.0,,,,136000000.0,,,-101000000.0,98000000.0,2190000000.0,865000000.0,1101000000.0,6000000.0,,18000000.0,,,-1740000000.0,,,3370000000.0,1728000000.0,
2015-06-30,2383000000.0,,,,,,,,597000000.0,198000000.0,399000000.0,0.74,0.73,541986653.0,544804268.0,2869000000.0,,,,,,,,,580000000.0,6876000000.0,,,137251000000.0,,,,,,,,,117665000000.0,1585000000.0,-359000000.0,,137251000000.0,234000000.0,,56000000.0,,,,138000000.0,,,-62000000.0,515000000.0,4089000000.0,1804000000.0,1251000000.0,14000000.0,,43000000.0,,,-4970000000.0,,,4048000000.0,-407000000.0,
2015-09-30,3592000000.0,,,,,,,,932000000.0,313000000.0,619000000.0,1.14,1.13,538279222.0,540926361.0,1756000000.0,,,,,,,,,560000000.0,6876000000.0,,,135447000000.0,,,,,,,,,115847000000.0,1745000000.0,-259000000.0,,135447000000.0,350000000.0,,76000000.0,,,,306000000.0,,,-5000000.0,831000000.0,5418000000.0,2660000000.0,3180000000.0,33000000.0,,54000000.0,,,-4196000000.0,,,1845000000.0,-1520000000.0,
2015-12-31,4824000000.0,,,,,,,,1263000000.0,423000000.0,840000000.0,1.55,1.55,535599731.0,538220898.0,3085000000.0,,,,936000000.0,,,,,595000000.0,6876000000.0,,,138208000000.0,,,,,,,,,118562000000.0,1913000000.0,-387000000.0,,138208000000.0,471000000.0,,249000000.0,,,,467000000.0,,,-161000000.0,1229000000.0,6783000000.0,3420000000.0,3916000000.0,91000000.0,,121000000.0,,,-5905000000.0,,,4485000000.0,-191000000.0,
2016-03-31,1234000000.0,,,,,,,,332000000.0,109000000.0,223000000.0,0.41,0.41,528070648.0,530446188.0,1855000000.0,,,,,,,,,570000000.0,6876000000.0,,,140077000000.0,,,,,,,,,120112000000.0,2076000000.0,-236000000.0,,140077000000.0,112000000.0,,30000000.0,,,,339000000.0,,,265000000.0,374000000.0,706000000.0,709000000.0,217000000.0,37000000.0,,8000000.0,,,-2321000000.0,,,717000000.0,-1230000000.0,
2016-06-30,2512000000.0,,,,,,,,693000000.0,227000000.0,466000000.0,0.87,0.87,528968330.0,530396871.0,3655000000.0,,,,,,,,,551000000.0,6876000000.0,,,145183000000.0,,,,,,,,,124957000000.0,2255000000.0,-159000000.0,20226000000.0,145183000000.0,245000000.0,,94000000.0,,,,450000000.0,,,253000000.0,704000000.0,2355000000.0,1611000000.0,375000000.0,62000000.0,,22000000.0,,,-5637000000.0,,,5503000000.0,570000000.0,
2016-09-30,3892000000.0,,,,,,,,1120000000.0,357000000.0,763000000.0,1.43,1.42,525477273.0,527261384.0,2915000000.0,,,,,,,,,540000000.0,6876000000.0,,,147015000000.0,,,,,,,,,126834000000.0,2483000000.0,-187000000.0,20181000000.0,147015000000.0,387000000.0,,143000000.0,,,,305000000.0,,,62000000.0,1198000000.0,4774000000.0,2658000000.0,785000000.0,84000000.0,,44000000.0,,,-8699000000.0,,,7331000000.0,-170000000.0,
2016-12-31,5255000000.0,,,,,,,,1534000000.0,489000000.0,1045000000.0,1.97,1.97,522093545.0,523930718.0,3704000000.0,,,,1091000000.0,,,,,601000000.0,6876000000.0,,,149520000000.0,,,,,,,,,129773000000.0,2703000000.0,-668000000.0,19747000000.0,149520000000.0,523000000.0,,153000000.0,,,,274000000.0,,,-59000000.0,1490000000.0,7664000000.0,3785000000.0,1966000000.0,166000000.0,,138000000.0,,,-11326000000.0,,,10455000000.0,619000000.0,
2017-03-31,1384000000.0,,,,,,,,434000000.0,114000000.0,320000000.0,0.61,0.61,509451450.0,511348200.0,3993000000.0,,,,,,,,,582000000.0,6876000000.0,,,150285000000.0,,,,,,,,,130438000000.0,2944000000.0,-683000000.0,19847000000.0,150285000000.0,125000000.0,,39000000.0,,,,-282000000.0,,,-179000000.0,853000000.0,1705000000.0,809000000.0,404000000.0,98000000.0,,14000000.0,,,-1143000000.0,,,579000000.0,289000000.0,
2017-06-30,2780000000.0,,,,,,,,896000000.0,258000000.0,638000000.0,1.24,1.24,507903141.0,509362055.0,4167000000.0,,,,,,,,,600000000.0,6887000000.0,,,151407000000.0,,,,,,,,,131343000000.0,3191000000.0,-593000000.0,20064000000.0,151407000000.0,257000000.0,,-20000000.0,,,,-32000000.0,,,-655000000.0,537000000.0,2282000000.0,1670000000.0,407000000.0,243000000.0,,64000000.0,,,-1885000000.0,,,1811000000.0,463000000.0,
2017-09-30,4223000000.0,,,,,,,,1409000000.0,423000000.0,986000000.0,1.92,1.92,505529991.0,507062805.0,2120000000.0,,,,,,,,,618000000.0,6887000000.0,,,151356000000.0,,,,,,,,,131247000000.0,3442000000.0,-581000000.0,20109000000.0,151356000000.0,388000000.0,,-23000000.0,,,,155000000.0,,,-138000000.0,1450000000.0,4088000000.0,2564000000.0,914000000.0,307000000.0,,115000000.0,,,-3924000000.0,,,890000000.0,-1584000000.0,
2017-12-31,5707000000.0,,,,,,,,1912000000.0,260000000.0,1652000000.0,3.26,3.25,502157440.0,503685091.0,3032000000.0,,,,696000000.0,,,,,685000000.0,6887000000.0,,,152336000000.0,,,,,,,,,132066000000.0,4164000000.0,-820000000.0,20270000000.0,152336000000.0,502000000.0,,-136000000.0,,,,502000000.0,,,-119000000.0,1883000000.0,5394000000.0,3470000000.0,1257000000.0,400000000.0,,253000000.0,,,-3984000000.0,,,1429000000.0,-672000000.0,
2018-03-31,1462000000.0,,,,,,,,501000000.0,113000000.0,388000000.0,0.78,0.78,487500618.0,489266826.0,3859000000.0,,,,,,,,,687000000.0,6887000000.0,,,153453000000.0,,,,,,,,,133394000000.0,4437000000.0,-1145000000.0,20059000000.0,153453000000.0,122000000.0,,8000000.0,,,,-331000000.0,,,-255000000.0,704000000.0,1099000000.0,806000000.0,145000000.0,157000000.0,,32000000.0,,,-1118000000.0,,,1241000000.0,827000000.0,
2018-06-30,2971000000.0,,,,,,,,1050000000.0,237000000.0,813000000.0,1.66,1.65,486114872.0,487683216.0,3865000000.0,,,,,,,,,720000000.0,6887000000.0,,,155431000000.0,,,,,,,,,134964000000.0,4755000000.0,-1210000000.0,20467000000.0,155431000000.0,243000000.0,,10000000.0,,,,-283000000.0,,,-109000000.0,1415000000.0,2343000000.0,1636000000.0,273000000.0,334000000.0,,94000000.0,,,-3373000000.0,,,2791000000.0,833000000.0,
2018-09-30,4535000000.0,,,,,,,,1626000000.0,370000000.0,1256000000.0,2.57,2.57,482691884.0,484250843.0,3991000000.0,,,,,,,,,753000000.0,6946000000.0,,,158598000000.0,,,,,,,,,138322000000.0,5062000000.0,-1318000000.0,20276000000.0,158598000000.0,357000000.0,,23000000.0,,,,918000000.0,,,339000000.0,1207000000.0,3084000000.0,2512000000.0,405000000.0,568000000.0,533000000.0,157000000.0,,,-5063000000.0,,,4815000000.0,959000000.0,
