Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,2608400000.0,,839400000.0,,62900000.0,,679800000.0,,695600000.0,246000000.0,365600000.0,7.54,7.42,48500000.0,49200000.0,697100000.0,,,207800000.0,,,11100000.0,1283100000.0,,793800000.0,900000.0,,40900000.0,2494900000.0,,3100000.0,,479800000.0,,68300000.0,,197200000.0,,1048100000.0,-43200000.0,1728900000.0,2494900000.0,,6600000.0,45700000.0,-21300000.0,-440300000.0,,,,,,681800000.0,,,,,,235700000.0,,2500000.0,-487700000.0,,4600000.0,-123900000.0,72100000.0,
2010-03-31,502400000.0,,129000000.0,,16200000.0,,-26500000.0,,1700000.0,-4400000.0,-4400000.0,-0.09,-0.09,48600000.0,48600000.0,1010500000.0,,,287200000.0,,,6400000.0,1549800000.0,,789700000.0,900000.0,,73900000.0,2633100000.0,,16700000.0,,633300000.0,,56000000.0,,199900000.0,,1038900000.0,-54200000.0,1711200000.0,2633100000.0,,1800000.0,100000.0,26400000.0,78800000.0,,,,,,47500000.0,,,,,,29000000.0,,-200000.0,302200000.0,,400000.0,-36200000.0,313400000.0,
2010-06-30,1810300000.0,,525800000.0,,44500000.0,,350400000.0,,223400000.0,89900000.0,105100000.0,1.73,1.71,67400000.0,68200000.0,601400000.0,,,287300000.0,,,23700000.0,1267400000.0,,3907600000.0,2096400000.0,,219000000.0,8595300000.0,,10700000.0,,580600000.0,,935300000.0,,301700000.0,,1136800000.0,-85300000.0,3771000000.0,8595300000.0,,3800000.0,-6300000.0,44900000.0,-100700000.0,,,,,,46000000.0,,,,,3177800000.0,104300000.0,,-30200000.0,-2885700000.0,,600000.0,2744000000.0,-95700000.0,
2010-09-30,2727400000.0,,695600000.0,,73300000.0,,460700000.0,,302700000.0,104400000.0,148900000.0,2.38,2.35,71100000.0,71900000.0,648400000.0,,,271100000.0,,,22100000.0,1199000000.0,,3928800000.0,2096400000.0,,242200000.0,8617500000.0,,31200000.0,,725300000.0,,1031600000.0,,303100000.0,,1177600000.0,-36100000.0,3863700000.0,8617500000.0,,5800000.0,41500000.0,-77600000.0,-76300000.0,,,,,,634000000.0,,,,,3177800000.0,188500000.0,,-31000000.0,-2965200000.0,,1200000.0,2282200000.0,-48700000.0,
2010-12-31,3965000000.0,,1179500000.0,,106100000.0,,895700000.0,,687700000.0,273700000.0,349200000.0,5.4,5.34,64700000.0,65400000.0,797700000.0,,,270300000.0,,,31400000.0,1341400000.0,,3925600000.0,2085700000.0,,230900000.0,8758500000.0,,10200000.0,,946600000.0,,1081200000.0,,343200000.0,,1370800000.0,-53300000.0,4050400000.0,8758500000.0,,8300000.0,88600000.0,-70600000.0,-79800000.0,,,,,,1194400000.0,,,,,3177800000.0,258100000.0,,-31000000.0,-3070200000.0,1150000000.0,5800000.0,1977000000.0,100600000.0,
2011-03-31,1174000000.0,,525000000.0,,31000000.0,2100000.0,534400000.0,,482900000.0,158800000.0,282000000.0,3.95,3.91,71300000.0,72100000.0,1134100000.0,,,395200000.0,,,16000000.0,1808800000.0,,3924100000.0,2064500000.0,,213100000.0,9189900000.0,,2700000.0,,1383900000.0,,1053200000.0,,348200000.0,,1645700000.0,-26800000.0,4363100000.0,9189900000.0,,2400000.0,16600000.0,18300000.0,123400000.0,,,,,,671200000.0,,,,,,54900000.0,,-31300000.0,16100000.0,,6000000.0,-350500000.0,336400000.0,
2011-06-30,2975700000.0,,1392400000.0,,62700000.0,,1379100000.0,,1297900000.0,439800000.0,769400000.0,10.77,10.66,71600000.0,72200000.0,1355600000.0,,,277000000.0,,,20100000.0,2080400000.0,,3869500000.0,2064500000.0,,225300000.0,9420000000.0,,19300000.0,,1094600000.0,,1030500000.0,,350100000.0,,2125900000.0,-22200000.0,4868500000.0,9420000000.0,,5100000.0,25800000.0,178700000.0,3900000.0,,,,,,922100000.0,,,,,,105500000.0,,-31300000.0,-2100000.0,,18600000.0,-361700000.0,557900000.0,
2011-09-30,4379500000.0,,2030400000.0,,93200000.0,,1961400000.0,,1848500000.0,624700000.0,1100300000.0,15.55,15.41,70700000.0,71400000.0,1426100000.0,,,341600000.0,,,21600000.0,2057900000.0,,3739300000.0,2064500000.0,,232100000.0,9245800000.0,,27700000.0,,1502500000.0,,1029400000.0,,351100000.0,,2428200000.0,-67400000.0,4262800000.0,9245800000.0,,8000000.0,16400000.0,33700000.0,75100000.0,,,,,,1955100000.0,,,,,,169200000.0,,-31200000.0,-49800000.0,,25700000.0,-1279200000.0,628400000.0,
2011-12-31,6097900000.0,,2895600000.0,,130000000.0,,2790500000.0,,2645600000.0,926500000.0,1539200000.0,22.18,21.98,69400000.0,70000000.0,1207000000.0,,,304200000.0,-1046900000.0,,18000000.0,1798600000.0,,3736000000.0,2064500000.0,,230500000.0,8974500000.0,99500000.0,78000000.0,,1031200000.0,,956800000.0,74800000.0,435800000.0,,2841000000.0,-99300000.0,4547000000.0,8974500000.0,,10600000.0,-32900000.0,35500000.0,38500000.0,,,,,,2078900000.0,,,,,,247200000.0,,-31200000.0,-173800000.0,,47200000.0,-1499400000.0,,819200000.0
2012-03-31,1527600000.0,,711800000.0,,33800000.0,,671200000.0,,640800000.0,206800000.0,368400000.0,5.62,5.54,65500000.0,66500000.0,1713300000.0,,,265500000.0,,,14700000.0,2458400000.0,,3712500000.0,2064500000.0,,228100000.0,9616900000.0,,131800000.0,,1250500000.0,,948200000.0,,439400000.0,,3183200000.0,-72000000.0,4931900000.0,9616900000.0,,3200000.0,,191700000.0,-43500000.0,,,,,,603200000.0,,,,,,64300000.0,,,-62600000.0,,9400000.0,-34200000.0,,
