Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-02,,,576380000.0,,172711000.0,,251944000.0,,,87518000.0,154246000.0,2.18,2.14,71006000.0,72213000.0,364265000.0,,242074000.0,230616000.0,19549000.0,,18880000.0,875384000.0,,451352000.0,855917000.0,828057000.0,87524000.0,3110882000.0,,,,465635000.0,,208382000.0,,114556000.0,1367693000.0,1409523000.0,-7120000.0,1742998000.0,3110882000.0,,8062000.0,8643000.0,30121000.0,16496000.0,,2387000.0,,,3948000.0,123840000.0,,,,,70000000.0,20537000.0,,-270000.0,-80809000.0,,4511000.0,-120979000.0,-82878000.0,
2010-10-01,,,865319000.0,,258480000.0,,364899000.0,,,123875000.0,223724000.0,3.15,3.1,71109000.0,72228000.0,453515000.0,,250623000.0,215395000.0,19869000.0,,25244000.0,964646000.0,,455711000.0,851141000.0,838949000.0,79359000.0,3200006000.0,,,,507623000.0,,239899000.0,,81999000.0,1381492000.0,1466912000.0,6130000.0,1818325000.0,3200006000.0,,10061000.0,27793000.0,33266000.0,-1589000.0,,-1698000.0,,,1071000.0,288700000.0,,,,,80025000.0,37399000.0,,173000.0,-108170000.0,,6476000.0,-172290000.0,6372000.0,
2010-12-31,,,1157765000.0,,374834000.0,,444953000.0,,,147562000.0,270717000.0,3.81,3.75,71031000.0,72201000.0,189202000.0,,231055000.0,195401000.0,16298000.0,,17525000.0,649481000.0,,468324000.0,857361000.0,872460000.0,88376000.0,2945194000.0,,,,447092000.0,,254261000.0,,85256000.0,1074335000.0,1501795000.0,16307000.0,1870689000.0,2945194000.0,,11846000.0,38853000.0,12702000.0,-24052000.0,,-1947000.0,,,3173000.0,428482000.0,,,,,126025000.0,63833000.0,,44000.0,-180448000.0,,7261000.0,-503724000.0,-257941000.0,
2011-04-01,,,288100000.0,,87800000.0,,131100000.0,,,48000000.0,83600000.0,1.17,1.15,71400000.0,72600000.0,159100000.0,,248500000.0,213100000.0,16100000.0,,26400000.0,663200000.0,,468200000.0,857300000.0,868700000.0,85400000.0,2952500000.0,,,,360500000.0,,267700000.0,,86500000.0,1001500000.0,1561100000.0,26000000.0,1950800000.0,2952500000.0,,1800000.0,13300000.0,15000000.0,14900000.0,,6600000.0,,,-500000.0,79500000.0,,,,,,6800000.0,,300000.0,-6100000.0,,2200000.0,-106400000.0,-30100000.0,
2011-07-01,,,588100000.0,25600000.0,182500000.0,,248900000.0,,,84400000.0,166200000.0,1.16,1.14,143300000.0,145900000.0,163400000.0,,272800000.0,215800000.0,15700000.0,,34900000.0,702600000.0,,473700000.0,868300000.0,917100000.0,83900000.0,3055400000.0,,,,371000000.0,,274200000.0,,85600000.0,1017500000.0,1619400000.0,31200000.0,2037700000.0,3055400000.0,25600000.0,8400000.0,20800000.0,34700000.0,15500000.0,,4200000.0,,,-1000000.0,171700000.0,,,,,64800000.0,23600000.0,,-200000.0,-87200000.0,,5300000.0,-116700000.0,-25800000.0,
2011-09-30,,,898000000.0,39700000.0,274300000.0,,375200000.0,,,130800000.0,245800000.0,1.72,1.68,143700000.0,146300000.0,275000000.0,,262000000.0,225400000.0,15000000.0,,21400000.0,798800000.0,,476800000.0,868400000.0,908600000.0,81400000.0,3143700000.0,,,,393600000.0,,291000000.0,,88800000.0,1058200000.0,1674500000.0,16900000.0,2085300000.0,3143700000.0,38300000.0,9700000.0,37600000.0,29000000.0,29300000.0,,1800000.0,,,-2200000.0,319200000.0,,,,,64800000.0,40800000.0,,400000.0,-104900000.0,,10700000.0,-129100000.0,85800000.0,
2011-12-31,,,1214500000.0,55100000.0,367800000.0,,492600000.0,,,185000000.0,309600000.0,2.16,2.12,143200000.0,145800000.0,251400000.0,,264600000.0,200700000.0,-283000000.0,,32500000.0,755200000.0,,506000000.0,868400000.0,904100000.0,71900000.0,3117600000.0,,,,383600000.0,,292300000.0,,106200000.0,1076800000.0,1714000000.0,2900000.0,2040600000.0,3117600000.0,77100000.0,11000000.0,59400000.0,35300000.0,9000000.0,,6100000.0,,,-7100000.0,437800000.0,,,,,69100000.0,76600000.0,,0.0,-147800000.0,,12100000.0,-226500000.0,62200000.0,
2012-03-31,,,302500000.0,12600000.0,91800000.0,,142700000.0,,,47400000.0,95800000.0,0.67,0.66,142300000.0,144900000.0,232400000.0,,270600000.0,212600000.0,5900000.0,,37800000.0,759300000.0,,517600000.0,868400000.0,899500000.0,75400000.0,3135300000.0,,,,405100000.0,,291800000.0,,113900000.0,1105100000.0,1775600000.0,9600000.0,2030000000.0,3135300000.0,,1500000.0,1500000.0,4700000.0,11300000.0,,1100000.0,,,-6500000.0,113900000.0,,,,,,15100000.0,,500000.0,-18500000.0,,4200000.0,-117400000.0,-19000000.0,
2012-06-30,,,605500000.0,26500000.0,184000000.0,,265100000.0,,266300000.0,91200000.0,175100000.0,1.24,1.22,140900000.0,143600000.0,184200000.0,,272400000.0,225900000.0,5800000.0,,43300000.0,731600000.0,,532800000.0,868400000.0,891600000.0,74500000.0,3116300000.0,,,,419000000.0,,296600000.0,,122100000.0,1131100000.0,1821600000.0,200000.0,1985000000.0,3116300000.0,,8900000.0,7800000.0,11900000.0,26500000.0,,-2400000.0,,,-6100000.0,189200000.0,,,,,0.0,40000000.0,,1700000.0,-48200000.0,,12500000.0,-207900000.0,-67200000.0,
2012-09-30,,,933000000.0,40200000.0,273900000.0,,410500000.0,,412300000.0,143300000.0,269000000.0,1.92,1.88,140400000.0,143100000.0,241200000.0,,278300000.0,225100000.0,6000000.0,,35300000.0,1435900000.0,,542400000.0,868400000.0,886600000.0,86200000.0,3839800000.0,,,,652400000.0,,302800000.0,,132600000.0,1781600000.0,1882000000.0,6700000.0,2058000000.0,3839800000.0,,10600000.0,14000000.0,16500000.0,22700000.0,,-2000000.0,,,,315900000.0,,,,,0.0,49700000.0,,2000000.0,-711000000.0,,14000000.0,381300000.0,-10200000.0,
