Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,7577189000.0,,,,,6992378000.0,584811000.0,,587061000.0,226231000.0,360830000.0,2.15,2.13,167695000.0,169194000.0,337308000.0,48310000.0,,,6454000.0,,,1307269000.0,,117699000.0,361666000.0,18371000.0,14821000.0,1834248000.0,529256000.0,,,731807000.0,,,10546000.0,11995000.0,754348000.0,1402306000.0,-1636000.0,1079900000.0,1834248000.0,,21267000.0,-630000.0,57855000.0,,,,21854000.0,,,372571000.0,52437000.0,,,,41145000.0,34466000.0,,-185000.0,-123888000.0,,9966000.0,-402064000.0,-157435000.0,
2010-03-31,2074617000.0,,,,,1938610000.0,136007000.0,,136481000.0,52469000.0,84012000.0,0.51,0.5,165440000.0,166575000.0,229645000.0,52716000.0,,,4785000.0,,,1323438000.0,,115543000.0,359266000.0,30178000.0,,1842207000.0,643235000.0,75571000.0,,756060000.0,,,11539000.0,11513000.0,779112000.0,1444152000.0,-5764000.0,1063095000.0,1842207000.0,,4664000.0,3111000.0,119117000.0,,,,36964000.0,,,3925000.0,8541000.0,,,,,4368000.0,,25000.0,-6453000.0,,2391000.0,-102865000.0,-107663000.0,
2010-06-30,4528599000.0,,,,,4236137000.0,292462000.0,,293299000.0,112061000.0,181238000.0,1.1,1.09,165087000.0,166163000.0,166125000.0,49397000.0,,,3151000.0,,,1410856000.0,,115438000.0,357094000.0,,,1921894000.0,697375000.0,39605000.0,,792173000.0,,,12195000.0,12654000.0,817022000.0,1499271000.0,-11032000.0,1104872000.0,1921894000.0,,12381000.0,10592000.0,271091000.0,,,,91224000.0,,,9873000.0,10752000.0,,,,0.0,7988000.0,,27000.0,-15534000.0,,4297000.0,-160571000.0,-171183000.0,
2010-09-30,6948956000.0,,,,,6490161000.0,458795000.0,,459781000.0,175916000.0,283865000.0,1.72,1.71,164968000.0,165985000.0,249433000.0,34123000.0,,,4142000.0,,,1466940000.0,,116259000.0,359713000.0,,,1982084000.0,670910000.0,41483000.0,,789485000.0,,,13286000.0,8733000.0,811504000.0,1559738000.0,-4551000.0,1170580000.0,1982084000.0,,22568000.0,10782000.0,267873000.0,,,,64882000.0,,,137136000.0,10752000.0,,,,0.0,14000000.0,,12000.0,-9249000.0,,9497000.0,-214034000.0,-87875000.0,
2010-12-31,9274305000.0,,,,,8651445000.0,622860000.0,,624102000.0,237076000.0,387026000.0,2.35,2.33,164909000.0,165972000.0,398607000.0,9290000.0,,,13302000.0,,,1481768000.0,,114333000.0,359116000.0,13495000.0,19151000.0,1995699000.0,567961000.0,,,771607000.0,,,10667000.0,9357000.0,791631000.0,1613912000.0,-6425000.0,1204068000.0,1995699000.0,,37047000.0,7574000.0,164114000.0,,,,14684000.0,,,344779000.0,10752000.0,,,,0.0,17718000.0,,84000.0,8598000.0,,13092000.0,-289134000.0,61299000.0,
2011-03-31,2365472000.0,,,,,2208757000.0,156715000.0,,156940000.0,59912000.0,97028000.0,0.59,0.59,165124000.0,165764000.0,359335000.0,982000.0,,,9386000.0,,,1582071000.0,,114779000.0,358660000.0,,,2096334000.0,709124000.0,,,851759000.0,,,10769000.0,6280000.0,868808000.0,1662227000.0,-7525000.0,1227526000.0,2096334000.0,,12510000.0,-1822000.0,142121000.0,,,,81701000.0,,,52613000.0,0.0,,,,,5663000.0,,-18000.0,-1285000.0,,7511000.0,-89476000.0,-39272000.0,
2011-06-30,5073134000.0,,,,,4736324000.0,336810000.0,,337361000.0,129310000.0,208051000.0,1.26,1.26,164847000.0,165461000.0,315897000.0,0.0,,,7854000.0,,,1676081000.0,,114872000.0,358791000.0,,,2193797000.0,758023000.0,,,889887000.0,,,11588000.0,3896000.0,905371000.0,1724632000.0,-6890000.0,1288426000.0,2193797000.0,,22609000.0,-618000.0,279205000.0,,,,130693000.0,,,78854000.0,0.0,,,,,11733000.0,,-5000.0,-10469000.0,,11053000.0,-150410000.0,-82710000.0,
2011-09-30,7768062000.0,,,,,7247287000.0,520775000.0,,521376000.0,198978000.0,322398000.0,1.96,1.95,164512000.0,165094000.0,382737000.0,0.0,,,5247000.0,,,1656748000.0,,114806000.0,360208000.0,,,2179438000.0,740977000.0,,,896709000.0,,,12261000.0,2244000.0,911214000.0,1790600000.0,-9063000.0,1268224000.0,2179438000.0,,32074000.0,94000.0,208994000.0,,,,110685000.0,,,293555000.0,0.0,,,,,17402000.0,,-161000.0,-14609000.0,,12967000.0,-292651000.0,-15870000.0,
2011-12-31,10336346000.0,,,,,9643616000.0,692730000.0,,694704000.0,263092000.0,431612000.0,2.63,2.62,164114000.0,164741000.0,373669000.0,0.0,,,7552000.0,,,1611543000.0,,126830000.0,359688000.0,10029000.0,29951000.0,2138041000.0,642672000.0,,,876632000.0,,,11343000.0,1592000.0,889567000.0,1845032000.0,-9115000.0,1248474000.0,2138041000.0,,38601000.0,5750000.0,162688000.0,,,,68039000.0,,,429712000.0,0.0,,,,0.0,35932000.0,,-182000.0,-38313000.0,,15255000.0,-415098000.0,-24938000.0,
2012-03-31,2552114000.0,,,,,2382569000.0,169545000.0,,169759000.0,63259000.0,106500000.0,0.65,0.65,162693000.0,163023000.0,311365000.0,,,,6134000.0,,,1601131000.0,,130761000.0,360042000.0,,,2134285000.0,747638000.0,,,871867000.0,,,13336000.0,969000.0,886172000.0,1897041000.0,-8888000.0,1248113000.0,2134285000.0,,9766000.0,4362000.0,60588000.0,,,,43138000.0,,,77084000.0,,,,,,9888000.0,,-4000.0,-13816000.0,,5999000.0,-125330000.0,-62304000.0,
2012-06-30,5507828000.0,,,,,5153369000.0,354459000.0,,355359000.0,134277000.0,221082000.0,1.36,1.36,162290000.0,162643000.0,240627000.0,,,,6743000.0,,,1707601000.0,,132255000.0,359372000.0,,,2239999000.0,834692000.0,,,949341000.0,,,11506000.0,962000.0,961809000.0,1957462000.0,-11745000.0,1278190000.0,2239999000.0,,16559000.0,5957000.0,229361000.0,,,,130457000.0,,,110028000.0,,,,,,17403000.0,,-192000.0,-24778000.0,,7654000.0,-215877000.0,-133042000.0,
2012-09-30,8388237000.0,,,,,7846521000.0,541716000.0,,542692000.0,205280000.0,337412000.0,2.09,2.08,161784000.0,162042000.0,272955000.0,,,,6639000.0,,,1726166000.0,,134437000.0,359606000.0,,,2243267000.0,729744000.0,,,938055000.0,,,13411000.0,926000.0,952392000.0,2020112000.0,-9878000.0,1290875000.0,2243267000.0,,21077000.0,6346000.0,203361000.0,,,,111628000.0,,,267156000.0,,,,,,28096000.0,,-206000.0,-38685000.0,,9831000.0,-328467000.0,-100714000.0,
2012-12-31,11359113000.0,,,,,10683793000.0,675320000.0,,958462000.0,364658000.0,593804000.0,3.68,3.67,161557000.0,161946000.0,210019000.0,,,,-33333000.0,,,1672290000.0,,149851000.0,822215000.0,137411000.0,22458000.0,2804225000.0,639460000.0,,,1232217000.0,,45113000.0,20590000.0,1933000.0,1299853000.0,2218229000.0,-9345000.0,1504372000.0,2804225000.0,,59381000.0,-14442000.0,88107000.0,,,,61732000.0,,,460342000.0,0.0,,,,583631000.0,36096000.0,,-419000.0,-359066000.0,,12294000.0,-264338000.0,-163650000.0,
2013-03-31,2994267000.0,,,,74371000.0,2825561000.0,168706000.0,,168646000.0,65303000.0,103343000.0,0.64,0.64,160637000.0,160690000.0,159900000.0,,,,9465000.0,,,1690579000.0,,150896000.0,825201000.0,132248000.0,31636000.0,2830560000.0,701770000.0,,,1249427000.0,,70101000.0,20402000.0,945000.0,1340875000.0,2265084000.0,-11574000.0,1489685000.0,2830560000.0,,5115000.0,27303000.0,74267000.0,,,,51238000.0,,,-58050000.0,,,,,,8745000.0,,-43000.0,-10134000.0,,23554000.0,18627000.0,-50119000.0,
2013-06-30,6282529000.0,,,,158488000.0,5931347000.0,351182000.0,,350533000.0,135318000.0,215215000.0,1.34,1.34,160137000.0,160198000.0,150017000.0,,,,10602000.0,,,1782968000.0,,153327000.0,826288000.0,127254000.0,31708000.0,2921545000.0,747022000.0,,,1330987000.0,,69928000.0,20621000.0,944000.0,1422480000.0,2320398000.0,-14979000.0,1499065000.0,2921545000.0,,9885000.0,25993000.0,198669000.0,,,,100481000.0,,,58271000.0,,,,,-19126000.0,18316000.0,,-107000.0,-3344000.0,,24755000.0,-111240000.0,-60002000.0,
2013-09-30,9599194000.0,,,,241051000.0,9071657000.0,527537000.0,,524253000.0,201301000.0,322952000.0,2.03,2.03,158820000.0,158884000.0,129723000.0,,,,8889000.0,,,1753441000.0,,155693000.0,828214000.0,122340000.0,31880000.0,2891568000.0,757558000.0,,,1306231000.0,,74691000.0,21196000.0,887000.0,1903005000.0,2374011000.0,-11895000.0,988563000.0,2891568000.0,,10856000.0,28696000.0,197468000.0,,,,103226000.0,,,182929000.0,,,,,-19126000.0,27861000.0,,-221000.0,-14889000.0,,26180000.0,-246154000.0,-80296000.0,
2013-12-31,12752076000.0,,,,,12069426000.0,682650000.0,,673361000.0,257457000.0,415904000.0,2.65,2.65,156915000.0,157080000.0,162047000.0,,,,-62332000.0,,,1664485000.0,,160703000.0,829073000.0,117467000.0,31090000.0,2802818000.0,685890000.0,,,1269981000.0,,70618000.0,21584000.0,911000.0,1863094000.0,2413833000.0,-10620000.0,939724000.0,2802818000.0,,9094000.0,25226000.0,87316000.0,,,,47488000.0,,,347777000.0,,,,,-19126000.0,40354000.0,,-221000.0,-28859000.0,,27209000.0,-364904000.0,-47972000.0,
2014-03-31,3142585000.0,,,,79967000.0,2985614000.0,156971000.0,,150840000.0,57653000.0,93187000.0,0.63,0.63,148517000.0,149008000.0,142813000.0,,,,7378000.0,,,1823082000.0,,163957000.0,829097000.0,112584000.0,31448000.0,2960168000.0,782913000.0,,,1380489000.0,,76587000.0,20583000.0,912000.0,1978571000.0,2454598000.0,-10957000.0,981597000.0,2960168000.0,,4793000.0,6757000.0,168723000.0,,,,88052000.0,,,14440000.0,,,,,,11124000.0,,-268000.0,-12327000.0,,4253000.0,-21431000.0,-19234000.0,
