Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2018-12-31,48650000000.0,4793000000.0,,,11934000000.0,,4160000000.0,,3581000000.0,935000000.0,,10.69,10.54,,250225000.0,3855000000.0,,,2821000000.0,-9453000000.0,,1236000000.0,20430000000.0,,4562000000.0,44505000000.0,39003000000.0,1630000000.0,153226000000.0,4366000000.0,,,31895000000.0,,9453000000.0,,3470000000.0,112154000000.0,15088000000.0,-1711000000.0,41028000000.0,153226000000.0,695000000.0,,-101000000.0,,107000000.0,,,,,,3770000000.0,5637000000.0,2151000000.0,2655000000.0,1189000000.0,24455000000.0,528000000.0,,12000000.0,-26378000000.0,68000000.0,,23515000000.0,883000000.0,1019000000.0
2019-03-31,37946000000.0,24050000000.0,,,3303000000.0,,2230000000.0,,1788000000.0,416000000.0,,3.61,3.56,,384024000.0,4976000000.0,,,2382000000.0,,,1175000000.0,21136000000.0,,4523000000.0,44537000000.0,38338000000.0,2276000000.0,154348000000.0,4488000000.0,,,32969000000.0,,9403000000.0,,3832000000.0,111897000000.0,16426000000.0,-1282000000.0,42408000000.0,154348000000.0,897000000.0,,,,-440000000.0,,,,,,3192000000.0,1088000000.0,,1086000000.0,388000000.0,6000000.0,194000000.0,,,475000000.0,53000000.0,,-2534000000.0,1121000000.0,29000000.0
2019-06-30,76765000000.0,49013000000.0,,,6683000000.0,,4393000000.0,,3546000000.0,764000000.0,,7.33,7.26,,382496000.0,3610000000.0,,,2298000000.0,,,1436000000.0,20709000000.0,,4538000000.0,44449000000.0,37717000000.0,2318000000.0,154401000000.0,4517000000.0,,,31867000000.0,,9407000000.0,,3930000000.0,110552000000.0,17834000000.0,-965000000.0,43815000000.0,154401000000.0,1811000000.0,,,,-524000000.0,,,,,,4231000000.0,2212000000.0,,1651000000.0,847000000.0,6000000.0,497000000.0,,6000000.0,-159000000.0,70000000.0,,-4307000000.0,-245000000.0,1190000000.0
2019-09-30,115321000000.0,73565000000.0,,,10096000000.0,,6516000000.0,,5309000000.0,1173000000.0,,10.94,10.83,,381091000.0,4577000000.0,,,2160000000.0,,,1341000000.0,21168000000.0,,4448000000.0,44462000000.0,37084000000.0,2379000000.0,154847000000.0,4502000000.0,,,34447000000.0,,9284000000.0,,3919000000.0,110114000000.0,19185000000.0,-858000000.0,44696000000.0,154847000000.0,2724000000.0,,,,-661000000.0,,,,,,6692000000.0,3347000000.0,,2242000000.0,1214000000.0,6000000.0,740000000.0,,7000000.0,-463000000.0,101000000.0,,-5480000000.0,722000000.0,1607000000.0
2019-12-31,153566000000.0,97668000000.0,,,14053000000.0,,8077000000.0,,6570000000.0,1450000000.0,,13.58,13.44,,379817000.0,4619000000.0,,,2661000000.0,1258000000.0,,1400000000.0,29845000000.0,,4417000000.0,44602000000.0,36562000000.0,2283000000.0,155774000000.0,5090000000.0,,,40138000000.0,,,,4460000000.0,110395000000.0,20162000000.0,-941000000.0,45338000000.0,155774000000.0,3651000000.0,,-313000000.0,,-149000000.0,,,,,,9485000000.0,4282000000.0,,3077000000.0,1753000000.0,153000000.0,1050000000.0,,11000000.0,-734000000.0,224000000.0,,-7187000000.0,1556000000.0,1776000000.0
2020-03-31,38469000000.0,24190000000.0,,,3398000000.0,,2061000000.0,,1397000000.0,208000000.0,,3.19,3.15,,374639000.0,4452000000.0,,,2565000000.0,,,1733000000.0,30877000000.0,,,44584000000.0,36162000000.0,2517000000.0,154711000000.0,5585000000.0,,,40380000000.0,,,,4519000000.0,109590000000.0,21298000000.0,-1527000000.0,45079000000.0,154711000000.0,693000000.0,,,,-96000000.0,,,,,,1887000000.0,,,743000000.0,380000000.0,0.0,,,-37000000.0,-269000000.0,153000000.0,,-1818000000.0,-237000000.0,81000000.0
2020-06-30,77734000000.0,49801000000.0,,,6805000000.0,,4700000000.0,,3686000000.0,737000000.0,,7.96,7.88,,372668000.0,7185000000.0,,,2712000000.0,,,1311000000.0,34880000000.0,,,44590000000.0,35791000000.0,2529000000.0,159628000000.0,5413000000.0,,,42179000000.0,,,,4775000000.0,112223000000.0,23052000000.0,-788000000.0,47366000000.0,159628000000.0,1387000000.0,,,,50000000.0,,,,,,5161000000.0,,,1623000000.0,934000000.0,0.0,,,-37000000.0,-506000000.0,229000000.0,,-2130000000.0,2510000000.0,190000000.0
2020-09-30,118689000000.0,76425000000.0,,,10106000000.0,,6808000000.0,,5490000000.0,1143000000.0,,11.77,11.66,,370831000.0,5344000000.0,,,2657000000.0,,,1722000000.0,34557000000.0,,,44685000000.0,35492000000.0,2480000000.0,160044000000.0,5327000000.0,,,43886000000.0,,,,4552000000.0,111946000000.0,24440000000.0,-541000000.0,48032000000.0,160044000000.0,2089000000.0,,,,-5000000.0,,,,,,6056000000.0,,,2003000000.0,1434000000.0,135000000.0,,,-37000000.0,-1444000000.0,239000000.0,,-3812000000.0,793000000.0,1408000000.0
2020-12-31,160401000000.0,103484000000.0,,,14072000000.0,,8153000000.0,,10868000000.0,2379000000.0,,23.17,22.96,,368389000.0,10182000000.0,,,3165000000.0,1292000000.0,,930000000.0,27799000000.0,,4205000000.0,44648000000.0,35179000000.0,2687000000.0,155451000000.0,5478000000.0,,,36022000000.0,,,,4629000000.0,105065000000.0,28575000000.0,-861000000.0,50321000000.0,155451000000.0,2802000000.0,,-386000000.0,,504000000.0,,,,,,10350000000.0,,,2186000000.0,1924000000.0,139000000.0,,,-23000000.0,2976000000.0,376000000.0,,-8533000000.0,4834000000.0,1837000000.0
2021-03-31,40971000000.0,27235000000.0,,,3279000000.0,,1957000000.0,,1513000000.0,342000000.0,,3.33,3.3,,351976000.0,6505000000.0,,,2919000000.0,,,1065000000.0,25554000000.0,,,44635000000.0,34792000000.0,2551000000.0,152081000000.0,5640000000.0,,,33470000000.0,,,,4485000000.0,103867000000.0,29389000000.0,-1231000000.0,48149000000.0,152081000000.0,715000000.0,,,,-247000000.0,,,,,,1093000000.0,,,377000000.0,637000000.0,,,,0.0,-717000000.0,204000000.0,,-4051000000.0,-3701000000.0,122000000.0
