Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,15327000000.0,6319000000.0,9008000000.0,,5282000000.0,,3615000000.0,,,1141000000.0,2291000000.0,4.53,4.37,,,600000000.0,,1626000000.0,1209000000.0,,,375000000.0,3810000000.0,,3516000000.0,2302000000.0,821000000.0,685000000.0,11134000000.0,1172000000.0,,,3599000000.0,,82000000.0,,1375000000.0,7877000000.0,13157000000.0,-2096000000.0,3116000000.0,11134000000.0,351000000.0,,,57000000.0,44000000.0,,,,,,3277000000.0,,,,,0.0,575000000.0,,-6000000.0,-841000000.0,,,-2270000000.0,45000000.0,
2010-03-31,3829000000.0,1561000000.0,2268000000.0,,1355000000.0,,678000000.0,,,275000000.0,357000000.0,0.71,0.69,,,561000000.0,,1709000000.0,1259000000.0,,,402000000.0,3931000000.0,,3466000000.0,2257000000.0,808000000.0,361000000.0,10823000000.0,1129000000.0,,,3818000000.0,,124000000.0,,1362000000.0,,13032000000.0,-2131000000.0,2595000000.0,10823000000.0,92000000.0,,,-99000000.0,-56000000.0,,,,,,733000000.0,,,,,,81000000.0,,,-87000000.0,,,-677000000.0,-39000000.0,
2010-06-30,7643000000.0,3133000000.0,4510000000.0,,2647000000.0,,1626000000.0,,,579000000.0,960000000.0,1.92,1.86,491900000.0,516700000.0,555000000.0,,1594000000.0,1246000000.0,,,416000000.0,3811000000.0,,3410000000.0,2207000000.0,796000000.0,362000000.0,10586000000.0,1105000000.0,,,2955000000.0,,165000000.0,,1331000000.0,,13622000000.0,-2275000000.0,2632000000.0,10586000000.0,185000000.0,,,-35000000.0,-85000000.0,,,,,,1302000000.0,,,,,,204000000.0,,0.0,-215000000.0,,,-1114000000.0,-45000000.0,
2010-09-30,11586000000.0,4732000000.0,6854000000.0,,4038000000.0,,2584000000.0,,,879000000.0,1579000000.0,3.17,3.07,489900000.0,514700000.0,654000000.0,,1690000000.0,1278000000.0,,,469000000.0,4091000000.0,,3572000000.0,2336000000.0,818000000.0,573000000.0,11390000000.0,1096000000.0,,,3176000000.0,,112000000.0,,1927000000.0,,13980000000.0,-2308000000.0,2672000000.0,11390000000.0,278000000.0,,,-56000000.0,-63000000.0,,,,,,2243000000.0,,,,,,318000000.0,,3000000.0,-438000000.0,,,-1745000000.0,54000000.0,
2010-12-31,15564000000.0,6360000000.0,9204000000.0,256000000.0,5414000000.0,,3489000000.0,,,1117000000.0,2203000000.0,4.45,4.31,487800000.0,510900000.0,490000000.0,,1610000000.0,1222000000.0,93000000.0,,408000000.0,3730000000.0,,3693000000.0,2362000000.0,831000000.0,556000000.0,11172000000.0,1165000000.0,,,3728000000.0,,108000000.0,,1704000000.0,8355000000.0,14329000000.0,-2115000000.0,2675000000.0,11172000000.0,376000000.0,,,40000000.0,-10000000.0,,,,,,3211000000.0,,,,,,550000000.0,,9000000.0,-658000000.0,,31000000.0,-2624000000.0,-110000000.0,
2011-03-31,3994000000.0,1663000000.0,2331000000.0,,1404000000.0,,915000000.0,,,292000000.0,576000000.0,1.17,1.16,493400000.0,496600000.0,686000000.0,,1787000000.0,1331000000.0,,,470000000.0,4274000000.0,,3734000000.0,2411000000.0,832000000.0,579000000.0,11931000000.0,1181000000.0,,,4282000000.0,,159000000.0,,1733000000.0,,14360000000.0,-1941000000.0,2419000000.0,11931000000.0,99000000.0,,,-157000000.0,-85000000.0,,,,,,680000000.0,,,,,,78000000.0,,-20000000.0,-71000000.0,,,-417000000.0,196000000.0,
2011-06-30,8179000000.0,3444000000.0,4735000000.0,,2825000000.0,,1883000000.0,,,603000000.0,1198000000.0,2.44,2.42,491500000.0,494900000.0,739000000.0,,1819000000.0,1417000000.0,,,495000000.0,4470000000.0,,3831000000.0,2920000000.0,1457000000.0,476000000.0,13244000000.0,1236000000.0,,,4249000000.0,,180000000.0,,1651000000.0,,14983000000.0,-1748000000.0,2969000000.0,13244000000.0,202000000.0,,,153000000.0,148000000.0,,,,,,1154000000.0,,,,,960000000.0,225000000.0,,17000000.0,-1111000000.0,,,199000000.0,249000000.0,
2011-12-31,16734000000.0,7144000000.0,9590000000.0,262000000.0,5758000000.0,,3841000000.0,,3789000000.0,1235000000.0,2431000000.0,4.98,4.94,488300000.0,492000000.0,878000000.0,,1675000000.0,1327000000.0,67000000.0,,522000000.0,4402000000.0,,3668000000.0,2657000000.0,1341000000.0,541000000.0,12724000000.0,1244000000.0,,,3716000000.0,,252000000.0,,1785000000.0,10183000000.0,15649000000.0,-2475000000.0,2375000000.0,12724000000.0,421000000.0,122000000.0,38000000.0,130000000.0,130000000.0,,,,,,2896000000.0,,,,,966000000.0,537000000.0,,40000000.0,-1213000000.0,,,-1242000000.0,388000000.0,
2012-03-31,4200000000.0,1763000000.0,2437000000.0,,1478000000.0,,938000000.0,,928000000.0,295000000.0,593000000.0,1.24,1.23,480100000.0,483900000.0,1044000000.0,,1827000000.0,1400000000.0,,,578000000.0,4849000000.0,,3702000000.0,2721000000.0,1360000000.0,535000000.0,13254000000.0,1187000000.0,,,4107000000.0,,248000000.0,,1808000000.0,,15670000000.0,-2269000000.0,2290000000.0,13254000000.0,106000000.0,29000000.0,,90000000.0,38000000.0,,,,,,662000000.0,,,,,,60000000.0,,-38000000.0,-41000000.0,,,-465000000.0,166000000.0,
2012-06-30,8467000000.0,3569000000.0,4898000000.0,,2942000000.0,,1920000000.0,,1904000000.0,606000000.0,1220000000.0,2.55,2.53,478700000.0,482600000.0,995000000.0,,1785000000.0,1368000000.0,,,687000000.0,4835000000.0,,3625000000.0,2611000000.0,1316000000.0,682000000.0,13153000000.0,1226000000.0,,,3566000000.0,,272000000.0,,1737000000.0,,16294000000.0,-2554000000.0,2306000000.0,13153000000.0,211000000.0,48000000.0,,119000000.0,46000000.0,,,,,,1193000000.0,,,,,29000000.0,189000000.0,,-45000000.0,-321000000.0,,,-730000000.0,117000000.0,
