Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,740272000.0,136255000.0,,136793000.0,52485000.0,84308000.0,2.68,2.65,31428000.0,31808000.0,202042000.0,105000000.0,3787000.0,6358000.0,3759000.0,,,339348000.0,,641600000.0,21939000.0,,6235000.0,1009122000.0,30211000.0,29204000.0,,100574000.0,,32121000.0,,8570000.0,259108000.0,361841000.0,,750014000.0,1009122000.0,33787000.0,11689000.0,-7367000.0,1048000.0,-744000.0,,-534000.0,5326000.0,,1719000.0,128956000.0,80000000.0,,,,,41653000.0,,,-96653000.0,,3340000.0,-49827000.0,-17524000.0,
2010-09-30,,,,,,1139562000.0,213839000.0,,214758000.0,82222000.0,132536000.0,4.24,4.18,31278000.0,31731000.0,210996000.0,90000000.0,4446000.0,7175000.0,3758000.0,,,345399000.0,,658423000.0,21939000.0,,6610000.0,1032371000.0,35641000.0,28590000.0,,103433000.0,,36448000.0,,9374000.0,271342000.0,410069000.0,,761029000.0,1032371000.0,51106000.0,17846000.0,-3039000.0,545000.0,-1560000.0,,-903000.0,4883000.0,,2523000.0,196196000.0,90000000.0,,,,,71179000.0,,,-111179000.0,,5887000.0,-94366000.0,-8570000.0,
2010-12-31,,,,,,1548091000.0,287831000.0,,289061000.0,110080000.0,178981000.0,5.73,5.64,31234000.0,31735000.0,224838000.0,,5658000.0,7098000.0,4317000.0,,,406221000.0,,676881000.0,21939000.0,,16564000.0,1121605000.0,33705000.0,38892000.0,,123054000.0,,50525000.0,,9825000.0,310732000.0,456514000.0,,810873000.0,1121605000.0,68921000.0,21381000.0,10064000.0,743000.0,1481000.0,,8956000.0,6989000.0,,2974000.0,289191000.0,125000000.0,,,,,113215000.0,,,-189881000.0,,14526000.0,-94522000.0,5272000.0,
2011-03-31,,,,,,434563000.0,74821000.0,,75108000.0,28726000.0,46382000.0,1.49,1.46,31082000.0,31717000.0,282939000.0,,7623000.0,8738000.0,4697000.0,,,377160000.0,,683392000.0,21939000.0,,16108000.0,1158055000.0,35929000.0,32143000.0,,99344000.0,,53608000.0,,11341000.0,295309000.0,502896000.0,,862746000.0,1158055000.0,18494000.0,8923000.0,2703000.0,1968000.0,1639000.0,,-456000.0,2501000.0,,1516000.0,68305000.0,,,,,,26438000.0,,,-6124000.0,,8700000.0,-4480000.0,58101000.0,
2011-06-30,,,,,,922261000.0,158684000.0,,156965000.0,59926000.0,97039000.0,3.12,3.06,31167000.0,31761000.0,349801000.0,,6179000.0,8447000.0,5114000.0,,,441712000.0,,695609000.0,21939000.0,,14609000.0,1263581000.0,40258000.0,31647000.0,,117416000.0,,60023000.0,,11892000.0,324519000.0,553553000.0,,939062000.0,1263581000.0,36999000.0,21978000.0,8701000.0,524000.0,1347000.0,,-64000.0,6369000.0,,2067000.0,174716000.0,,,,,,57681000.0,,,-57962000.0,,29673000.0,7588000.0,124963000.0,
2011-09-30,,,,,,1416105000.0,256694000.0,,255423000.0,97951000.0,157472000.0,5.05,4.96,31331000.0,31832000.0,409875000.0,,5765000.0,8768000.0,5883000.0,,,487729000.0,,719346000.0,21939000.0,,14641000.0,1343373000.0,49011000.0,33382000.0,,128443000.0,,63561000.0,,11769000.0,343932000.0,613986000.0,,999441000.0,1343373000.0,55740000.0,32621000.0,11470000.0,136000.0,1670000.0,,-9000.0,6738000.0,,1943000.0,290869000.0,,,,,,92867000.0,,,-103148000.0,,38483000.0,-2881000.0,185037000.0,
2011-12-31,,,,,,1918986000.0,350562000.0,,349705000.0,134760000.0,214945000.0,6.89,6.76,31217000.0,31775000.0,401243000.0,,8389000.0,8913000.0,-58143000.0,,,501192000.0,,751951000.0,21939000.0,,21985000.0,1425308000.0,46382000.0,46456000.0,,157453000.0,,128696000.0,,12435000.0,381082000.0,671459000.0,,1044226000.0,1425308000.0,74938000.0,41382000.0,11319000.0,2970000.0,1816000.0,,7350000.0,9432000.0,,2609000.0,411096000.0,,,,,,151147000.0,,,-210218000.0,,38786000.0,-24268000.0,176405000.0,
2012-03-31,,,,,,538379000.0,102224000.0,,102658000.0,39994000.0,62664000.0,2.0,1.97,31410000.0,31846000.0,370191000.0,,9087000.0,10017000.0,6662000.0,,,551487000.0,,773116000.0,21939000.0,,31954000.0,1527568000.0,49154000.0,38098000.0,,124547000.0,,,,14705000.0,357773000.0,734123000.0,,1169795000.0,1527568000.0,20084000.0,20240000.0,1803000.0,710000.0,1102000.0,,9946000.0,2909000.0,,2269000.0,29376000.0,,,,,,41864000.0,,,-102246000.0,,68392000.0,41429000.0,-31052000.0,
2012-06-30,,,,,,1095521000.0,236014000.0,,236825000.0,92478000.0,144347000.0,4.57,4.53,31696000.0,31951000.0,404797000.0,,10351000.0,10504000.0,7310000.0,,,620442000.0,,804655000.0,21939000.0,,32196000.0,1648409000.0,55960000.0,37812000.0,,150109000.0,,63794000.0,,15096000.0,387184000.0,815806000.0,,1261225000.0,1648409000.0,40627000.0,37677000.0,-1659000.0,2147000.0,1593000.0,,10213000.0,4899000.0,,2660000.0,170875000.0,,,,,,90332000.0,,,-201202000.0,,73652000.0,34157000.0,3554000.0,
2012-09-30,,,,,,1678386000.0,353677000.0,,355035000.0,138388000.0,216647000.0,6.86,6.8,31643000.0,31881000.0,421149000.0,,14566000.0,9964000.0,7394000.0,,,656679000.0,,835654000.0,21939000.0,,32922000.0,1706205000.0,65094000.0,44031000.0,,159333000.0,,59742000.0,,15959000.0,398589000.0,888106000.0,,1307616000.0,1706205000.0,61989000.0,52252000.0,-5792000.0,7059000.0,1047000.0,,10867000.0,8368000.0,,3523000.0,293937000.0,,,,,,137505000.0,,,-266375000.0,,74576000.0,-7835000.0,19906000.0,
