Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,10800000000.0,8631000000.0,2169000000.0,362000000.0,1239000000.0,,682000000.0,,,156000000.0,428000000.0,2.17,2.16,,,930000000.0,190000000.0,,1341000000.0,295000000.0,,,5003000000.0,,1886000000.0,364000000.0,228000000.0,325000000.0,8816000000.0,957000000.0,,128000000.0,2432000000.0,,,,,4796000000.0,3575000000.0,-895000000.0,3773000000.0,8816000000.0,,20000000.0,,,,,,,,155000000.0,1137000000.0,,,,62000000.0,2000000.0,310000000.0,,-7000000.0,-509000000.0,,-1000000.0,-141000000.0,504000000.0,
2010-03-28,2478000000.0,1877000000.0,601000000.0,92000000.0,335000000.0,,246000000.0,,,87000000.0,149000000.0,0.75,0.75,198400000.0,198700000.0,885000000.0,217000000.0,,1549000000.0,302000000.0,,,4920000000.0,,1862000000.0,365000000.0,239000000.0,332000000.0,8769000000.0,1030000000.0,,144000000.0,2486000000.0,,,,,4717000000.0,3689000000.0,-955000000.0,3791000000.0,8769000000.0,,6000000.0,,,189000000.0,,-3000000.0,54000000.0,,29000000.0,126000000.0,,,,,71000000.0,47000000.0,,,-144000000.0,,,-7000000.0,-45000000.0,
2010-06-27,5686000000.0,4332000000.0,1354000000.0,188000000.0,689000000.0,,642000000.0,,,209000000.0,395000000.0,2.0,2.0,197600000.0,197900000.0,924000000.0,269000000.0,,1652000000.0,312000000.0,,,5445000000.0,,1838000000.0,363000000.0,225000000.0,340000000.0,9210000000.0,1213000000.0,,142000000.0,2807000000.0,,,,,5050000000.0,3900000000.0,-960000000.0,3883000000.0,9210000000.0,,11000000.0,,,301000000.0,,-1000000.0,239000000.0,,66000000.0,427000000.0,,,,,71000000.0,91000000.0,,2000000.0,-243000000.0,,,-173000000.0,-6000000.0,
2010-09-26,9087000000.0,6903000000.0,2184000000.0,291000000.0,1064000000.0,,1077000000.0,,,338000000.0,678000000.0,3.44,3.43,197000000.0,197400000.0,937000000.0,308000000.0,,1910000000.0,328000000.0,,,5978000000.0,,1891000000.0,365000000.0,219000000.0,417000000.0,9872000000.0,1339000000.0,,166000000.0,3071000000.0,,,,,5378000000.0,4135000000.0,-864000000.0,4199000000.0,9872000000.0,,17000000.0,,,524000000.0,,16000000.0,336000000.0,,97000000.0,619000000.0,,,,54000000.0,77000000.0,170000000.0,,,-406000000.0,,,-210000000.0,7000000.0,
2010-12-31,13226000000.0,10058000000.0,3168000000.0,414000000.0,1487000000.0,,1602000000.0,,,477000000.0,1040000000.0,5.29,5.28,196699155.0,197148407.0,1023000000.0,,,1977000000.0,511000000.0,,,6289000000.0,,2041000000.0,367000000.0,222000000.0,546000000.0,10402000000.0,1362000000.0,,182000000.0,3260000000.0,231000000.0,6000000.0,,148000000.0,5406000000.0,4445000000.0,-720000000.0,4670000000.0,10402000000.0,,22000000.0,56000000.0,,574000000.0,,54000000.0,345000000.0,,,1006000000.0,,,,62000000.0,104000000.0,364000000.0,,,-651000000.0,,10000000.0,-267000000.0,93000000.0,312000000.0
2011-03-27,3860000000.0,2903000000.0,957000000.0,129000000.0,389000000.0,,529000000.0,,,157000000.0,343000000.0,1.75,1.75,195500000.0,196100000.0,779000000.0,,,2202000000.0,307000000.0,,,6494000000.0,,2064000000.0,368000000.0,217000000.0,574000000.0,10726000000.0,1626000000.0,,189000000.0,3451000000.0,,,,,5527000000.0,4737000000.0,-642000000.0,4867000000.0,10726000000.0,,5000000.0,,,210000000.0,,2000000.0,251000000.0,,,88000000.0,,,,,,91000000.0,,-2000000.0,-78000000.0,,2000000.0,-262000000.0,-244000000.0,
2011-06-26,8501000000.0,6341000000.0,2160000000.0,286000000.0,852000000.0,,1297000000.0,,1284000000.0,382000000.0,848000000.0,4.36,4.34,194600000.0,195200000.0,1111000000.0,,,2275000000.0,305000000.0,,,7137000000.0,,2117000000.0,348000000.0,216000000.0,619000000.0,11313000000.0,1686000000.0,,202000000.0,3713000000.0,,,,,5796000000.0,5191000000.0,-645000000.0,5158000000.0,11313000000.0,159000000.0,18000000.0,,,290000000.0,,-11000000.0,307000000.0,,,744000000.0,,,,,,215000000.0,,-2000000.0,-151000000.0,,4000000.0,-513000000.0,88000000.0,
2011-09-25,13127000000.0,9779000000.0,3348000000.0,450000000.0,1341000000.0,,1936000000.0,,1913000000.0,539000000.0,,6.71,6.69,193800000.0,194400000.0,1165000000.0,,,2295000000.0,277000000.0,,,7026000000.0,,2168000000.0,346000000.0,215000000.0,628000000.0,11338000000.0,1659000000.0,,208000000.0,3742000000.0,,,,,5794000000.0,5567000000.0,-811000000.0,5211000000.0,11338000000.0,243000000.0,28000000.0,,,367000000.0,,5000000.0,317000000.0,,,1368000000.0,,,,,,377000000.0,,-2000000.0,-356000000.0,,4000000.0,-840000000.0,,
2011-12-31,18048000000.0,13459000000.0,4589000000.0,629000000.0,1837000000.0,,2681000000.0,,2671000000.0,725000000.0,,9.58,9.55,192972211.0,193597878.0,1484000000.0,,,2141000000.0,417000000.0,,,7091000000.0,,2288000000.0,339000000.0,227000000.0,885000000.0,11668000000.0,1546000000.0,,208000000.0,3657000000.0,252000000.0,18000000.0,,189000000.0,5837000000.0,6038000000.0,-938000000.0,5492000000.0,11668000000.0,325000000.0,42000000.0,85000000.0,,225000000.0,,21000000.0,208000000.0,,,2073000000.0,,,,,,622000000.0,,-1000000.0,-552000000.0,,5000000.0,-1025000000.0,,532000000.0
2012-04-01,4472000000.0,3274000000.0,1198000000.0,181000000.0,475000000.0,,648000000.0,,650000000.0,175000000.0,,2.39,2.38,190400000.0,190800000.0,1317000000.0,,,2382000000.0,,,,7317000000.0,,2391000000.0,342000000.0,250000000.0,916000000.0,12119000000.0,1731000000.0,,211000000.0,3630000000.0,,,,,5761000000.0,6416000000.0,-813000000.0,6010000000.0,12119000000.0,85000000.0,7000000.0,,,209000000.0,,28000000.0,148000000.0,,,21000000.0,,,,,5000000.0,126000000.0,,-1000000.0,-102000000.0,,11000000.0,-113000000.0,,
