Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,8281000000.0,,,,,7157000000.0,1124000000.0,-576000000.0,548000000.0,176000000.0,372000000.0,1.02,1.01,,,740000000.0,300000000.0,790000000.0,327000000.0,,,223000000.0,2904000000.0,,10788000000.0,1696000000.0,,230000000.0,19773000000.0,,445000000.0,,3038000000.0,,2776000000.0,,361000000.0,,,,2639000000.0,19773000000.0,,,269000000.0,,236000000.0,,,-237000000.0,,,1841000000.0,,,,,,1160000000.0,,-30000000.0,-896000000.0,504000000.0,,-372000000.0,573000000.0,-9000000.0
2010-03-31,3023000000.0,,,,,2666000000.0,357000000.0,-141000000.0,216000000.0,102000000.0,114000000.0,0.29,0.29,393000000.0,395000000.0,329000000.0,338000000.0,933000000.0,,,,262000000.0,2384000000.0,,10928000000.0,1696000000.0,,228000000.0,19351000000.0,,497000000.0,,3202000000.0,,2799000000.0,,375000000.0,,-875000000.0,-121000000.0,2709000000.0,19351000000.0,,,-34000000.0,,161000000.0,,,-125000000.0,,,435000000.0,,,,,,258000000.0,,26000000.0,-303000000.0,29000000.0,,-543000000.0,-411000000.0,-8000000.0
2010-06-30,4779000000.0,,,,,4159000000.0,620000000.0,-278000000.0,342000000.0,147000000.0,195000000.0,0.49,0.49,400.0,402.0,583000000.0,316000000.0,716000000.0,,,,219000000.0,2352000000.0,,11217000000.0,1696000000.0,,220000000.0,19521000000.0,,450000000.0,,3032000000.0,,2773000000.0,,374000000.0,,-871000000.0,-119000000.0,3061000000.0,19521000000.0,,,-37000000.0,,24000000.0,,,-215000000.0,,,818000000.0,,,,,,727000000.0,,4000000.0,-719000000.0,370000000.0,,-256000000.0,-157000000.0,144000000.0
2010-09-30,6687000000.0,,,,,5740000000.0,947000000.0,-406000000.0,541000000.0,223000000.0,318000000.0,0.79,0.78,422.0,425.0,99000000.0,335000000.0,691000000.0,,,,277000000.0,2143000000.0,,11420000000.0,1696000000.0,,194000000.0,19399000000.0,,464000000.0,,2881000000.0,,2839000000.0,,405000000.0,,-830000000.0,-116000000.0,3129000000.0,19399000000.0,,,112000000.0,,-83000000.0,,,-283000000.0,,,983000000.0,,,,,,1053000000.0,,-3000000.0,-1014000000.0,392000000.0,,-610000000.0,-641000000.0,210000000.0
2011-03-31,2587000000.0,,,,,2223000000.0,364000000.0,-129000000.0,235000000.0,87000000.0,148000000.0,0.35,0.35,425018000.0,427415000.0,95000000.0,399000000.0,852000000.0,,,,199000000.0,2014000000.0,,11857000000.0,1696000000.0,,157000000.0,19594000000.0,449000000.0,350000000.0,,2201000000.0,,,,473000000.0,,-725000000.0,-115000000.0,3266000000.0,19594000000.0,,,80000000.0,,-181000000.0,,,-168000000.0,,,627000000.0,,,,,,333000000.0,,4000000.0,-308000000.0,2000000.0,,-423000000.0,-104000000.0,-160000000.0
2011-06-30,4424000000.0,,,,,3757000000.0,667000000.0,-242000000.0,425000000.0,158000000.0,267000000.0,0.63,0.62,425638000.0,428284000.0,190000000.0,417000000.0,750000000.0,,,,181000000.0,2042000000.0,,11981000000.0,1696000000.0,,158000000.0,19677000000.0,394000000.0,322000000.0,,2361000000.0,,,,407000000.0,,-690000000.0,-112000000.0,3313000000.0,19677000000.0,,,209000000.0,,-66000000.0,,,-220000000.0,,,1137000000.0,,,,,,633000000.0,,8000000.0,-572000000.0,4000000.0,,-574000000.0,-9000000.0,-206000000.0
2011-12-31,8450000000.0,,,,,7152000000.0,1298000000.0,-124000000.0,1174000000.0,404000000.0,1357000000.0,3.19,3.17,425636000.0,428724000.0,220000000.0,386000000.0,773000000.0,353000000.0,-4339000000.0,,192000000.0,2337000000.0,,12402000000.0,1696000000.0,,157000000.0,21703000000.0,560000000.0,366000000.0,,2593000000.0,,4473000000.0,,305000000.0,,,,4222000000.0,21703000000.0,,,443000000.0,,-11000000.0,,9000000.0,-81000000.0,,-33000000.0,1888000000.0,,,,,,1303000000.0,,-2000000.0,-1206000000.0,6000000.0,,-661000000.0,21000000.0,-205000000.0
2012-03-31,2084000000.0,,,,,1746000000.0,338000000.0,-119000000.0,219000000.0,72000000.0,147000000.0,0.34,0.34,426499000.0,428492000.0,1096000000.0,432000000.0,713000000.0,,,,,2968000000.0,,12512000000.0,1696000000.0,,159000000.0,22351000000.0,366000000.0,281000000.0,,2735000000.0,,3944000000.0,,239000000.0,,291000000.0,-131000000.0,4286000000.0,22351000000.0,,,64000000.0,,-94000000.0,,,-172000000.0,,,424000000.0,,,,,,264000000.0,,9000000.0,-292000000.0,2000000.0,,744000000.0,876000000.0,-8000000.0
2012-06-30,3609000000.0,,,,,2969000000.0,640000000.0,-221000000.0,419000000.0,146000000.0,273000000.0,0.64,0.64,427349000.0,429629000.0,1123000000.0,445000000.0,643000000.0,,,,,2955000000.0,,12739000000.0,1696000000.0,,193000000.0,22475000000.0,331000000.0,327000000.0,,3206000000.0,,3974000000.0,,263000000.0,,331000000.0,-128000000.0,4332000000.0,22475000000.0,,,128000000.0,,-80000000.0,,,-217000000.0,,,927000000.0,,,,,,524000000.0,,27000000.0,-657000000.0,2000000.0,,633000000.0,903000000.0,39000000.0
2012-09-30,5314000000.0,,,,,4586000000.0,728000000.0,-181000000.0,547000000.0,264000000.0,283000000.0,0.66,0.66,427406000.0,429983000.0,722000000.0,522000000.0,698000000.0,,,,,2752000000.0,,13337000000.0,1468000000.0,,183000000.0,22477000000.0,371000000.0,347000000.0,,3364000000.0,,4070000000.0,,276000000.0,,255000000.0,-125000000.0,4257000000.0,22477000000.0,,,237000000.0,,3000000.0,,,-186000000.0,,,1379000000.0,,,,,,818000000.0,,25000000.0,-1209000000.0,3000000.0,,332000000.0,502000000.0,46000000.0
