Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,1336102000.0,349485000.0,883781000.0,0.75,0.74,,,,,,,,,,,,2735623000.0,13596368000.0,,,169646363000.0,,,,,,,,,143056953000.0,10727368000.0,82654000.0,26589410000.0,169646363000.0,,145831000.0,,,,,-572820000.0,,,-1955446000.0,2796947000.0,27827065000.0,9540958000.0,13410010000.0,,,231624000.0,,,10446422000.0,1537363000.0,,-12050088000.0,1193281000.0,
2010-03-31,,,,,,,,,963810000.0,244359000.0,636263000.0,1.41,1.4,,,,,,,,,,,,2735192000.0,13589339000.0,,,200707587000.0,,,,,,,,,176333205000.0,8417819000.0,158916000.0,24374382000.0,200707587000.0,,46550000.0,,,,,-1139504000.0,,,-948461000.0,2023968000.0,9402805000.0,2850816000.0,7428829000.0,,,73473000.0,,,6141452000.0,7168000.0,,-9351678000.0,-1186258000.0,
2010-06-30,,,,,,,,,2145000000.0,613000000.0,1244000000.0,2.75,2.73,452000000.0,456000000.0,,,,,,,,,,2730000000.0,13588000000.0,,,197489000000.0,,,,,,,,,172219000000.0,8969000000.0,467000000.0,25270000000.0,197489000000.0,,87000000.0,,,,,1647000000.0,,,-286000000.0,4811000000.0,14982000000.0,6085000000.0,9061000000.0,,,150000000.0,,,6472000000.0,15000000.0,,-14769000000.0,-3486000000.0,
2010-09-30,,,,,,,,,3297000000.0,948000000.0,2046000000.0,4.53,4.49,453000000.0,457000000.0,,,,,,,,,,2722000000.0,13593000000.0,,,196933000000.0,,,,,,,,,170872000000.0,9730000000.0,469000000.0,26061000000.0,196933000000.0,,117000000.0,,,,,1473000000.0,,,1215000000.0,8020000000.0,20561000000.0,8710000000.0,11483000000.0,,,225000000.0,,,5950000000.0,22000000.0,,-17713000000.0,-3743000000.0,
2011-03-31,,,,,,,,,1386000000.0,354000000.0,1016000000.0,2.24,2.21,454000000.0,460000000.0,,,,,,,,,,2739000000.0,13597000000.0,,,199300000000.0,,,,,,,,,171750000000.0,11399000000.0,245000000.0,27550000000.0,199300000000.0,,75000000.0,,,,,474000000.0,,,-506000000.0,1869000000.0,3582000000.0,2597000000.0,846000000.0,,1444000000.0,67000000.0,,,-456000000.0,8000000.0,,1309000000.0,2722000000.0,
2011-06-30,,,,,,,,,2781000000.0,804000000.0,1927000000.0,4.24,4.18,456000000.0,462000000.0,,,,,,,,,,2754000000.0,13596000000.0,,,199753000000.0,,,,,,,,,171072000000.0,12287000000.0,442000000.0,28681000000.0,199753000000.0,,117000000.0,,,,,-792000000.0,,,127000000.0,4361000000.0,5085000000.0,4715000000.0,2570000000.0,,1444000000.0,159000000.0,,,-2777000000.0,18000000.0,,-190000000.0,1394000000.0,
2011-09-30,,,,,,,,,4016000000.0,1174000000.0,2740000000.0,6.02,5.95,456000000.0,461000000.0,,,,,,,,,,2785000000.0,13593000000.0,,,200148000000.0,,,,,,,,,170770000000.0,13091000000.0,291000000.0,29378000000.0,200148000000.0,,135000000.0,,,,,-222000000.0,,,1096000000.0,5916000000.0,12689000000.0,7065000000.0,8980000000.0,,,269000000.0,,,-3149000000.0,28000000.0,,-1658000000.0,1109000000.0,
2011-12-31,16279000000.0,,,,,,,,4587000000.0,1334000000.0,3147000000.0,6.85,6.8,456000000.0,459000000.0,,,,,2316000000.0,,,,,2748000000.0,13592000000.0,,,206019000000.0,,,,,,,,,176353000000.0,13462000000.0,169000000.0,29666000000.0,206019000000.0,317000000.0,189000000.0,491000000.0,,,,150000000.0,,,1403000000.0,7455000000.0,16060000000.0,9710000000.0,9169000000.0,,,315000000.0,,,-10363000000.0,40000000.0,,3497000000.0,589000000.0,
2012-03-31,,,,,,,,,1858000000.0,353000000.0,1403000000.0,2.74,2.72,509000000.0,513000000.0,,,,,,,,,,3062000000.0,13595000000.0,,,294481000000.0,,,,,,,,,257531000000.0,14841000000.0,253000000.0,36950000000.0,294481000000.0,,63000000.0,,,,,-686000000.0,,,-572000000.0,1466000000.0,4007000000.0,4839000000.0,7337000000.0,,,156000000.0,,,23135000000.0,3188000000.0,,217000000.0,24818000000.0,
2012-06-30,,,,,,,,,2094000000.0,396000000.0,1496000000.0,2.74,2.72,578000000.0,583000000.0,,,,,,,,,,3556000000.0,13864000000.0,,,296572000000.0,,,,,,,,,259380000000.0,14905000000.0,350000000.0,37192000000.0,296572000000.0,,116000000.0,,,,,-24000000.0,,,458000000.0,3152000000.0,9095000000.0,8651000000.0,14258000000.0,,,262000000.0,,,-3500000000.0,3200000000.0,,489000000.0,141000000.0,
