Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-31,845165000.0,355923000.0,489242000.0,24788000.0,323183000.0,,127408000.0,-1174000.0,70550000.0,5945000.0,64605000.0,1.42,1.4,45605000.0,46402000.0,3240000.0,,190055000.0,234315000.0,29906000.0,,,491270000.0,,569748000.0,1256488000.0,118528000.0,41281000.0,2503040000.0,41951000.0,2904000.0,,224176000.0,,15205000.0,,,908929000.0,552324000.0,-33528000.0,1594111000.0,2503040000.0,70785000.0,,,,,,,,,,203053000.0,,,,,,40988000.0,,32442000.0,-73430000.0,,407000.0,-130319000.0,-692000.0,
2010-10-31,1158517000.0,481794000.0,676723000.0,35274000.0,433057000.0,,189912000.0,-1068000.0,124426000.0,11623000.0,112803000.0,2.48,2.43,45530000.0,46505000.0,3573000.0,,197490000.0,227902000.0,28828000.0,,,491340000.0,,593887000.0,1261976000.0,114177000.0,40566000.0,2525018000.0,51792000.0,2379000.0,,199520000.0,,20202000.0,,,858242000.0,600522000.0,-17334000.0,1666776000.0,2525018000.0,94001000.0,9638000.0,-1755000.0,-24789000.0,34978000.0,,16078000.0,8644000.0,,8116000.0,267663000.0,,,,,,73757000.0,,32847000.0,-106604000.0,,407000.0,-161567000.0,-359000.0,8603000.0
2011-01-31,293229000.0,116623000.0,176606000.0,9727000.0,113453000.0,,54793000.0,-734000.0,47108000.0,1813000.0,45295000.0,0.99,0.96,45986000.0,47391000.0,3320000.0,,189462000.0,239996000.0,27002000.0,,,503343000.0,,595825000.0,1268734000.0,130380000.0,48167000.0,2571938000.0,48341000.0,86536000.0,,186074000.0,,20202000.0,,,849639000.0,644432000.0,-17011000.0,1722299000.0,2571938000.0,22894000.0,,,,,,,,,,72931000.0,,,,,,28785000.0,,32449000.0,-61234000.0,,0.0,-11945000.0,-253000.0,
2011-04-30,618530000.0,240162000.0,378368000.0,20117000.0,239835000.0,,115049000.0,-514000.0,86829000.0,6174000.0,80655000.0,1.74,1.69,46506000.0,48239000.0,8430000.0,,203764000.0,249382000.0,28989000.0,,,538435000.0,,606005000.0,1277904000.0,127949000.0,45169000.0,2625192000.0,51641000.0,79483000.0,,206150000.0,,20958000.0,,,814866000.0,679793000.0,2075000.0,1810326000.0,2625192000.0,46405000.0,,,,,,,,,,137822000.0,,,,,,52016000.0,,36599000.0,-88615000.0,,0.0,-44746000.0,4857000.0,
2011-07-31,969926000.0,388755000.0,581171000.0,31843000.0,373453000.0,,160935000.0,386000.0,129884000.0,11092000.0,118792000.0,2.55,2.46,47322000.0,49009000.0,7872000.0,,218416000.0,243370000.0,33061000.0,,,543636000.0,,601094000.0,1270300000.0,125840000.0,47256000.0,2615334000.0,58905000.0,91063000.0,,237693000.0,,18964000.0,,,727656000.0,716498000.0,-4540000.0,1887678000.0,2615334000.0,71810000.0,13000000.0,,,,,,,,,225291000.0,,,,,,71156000.0,,40966000.0,-112122000.0,,2895000.0,-109193000.0,4299000.0,
2011-10-31,1330835000.0,526031000.0,804804000.0,43581000.0,513138000.0,,227556000.0,-963000.0,192764000.0,17334000.0,175430000.0,3.74,3.63,46904000.0,48309000.0,5175000.0,,214779000.0,253584000.0,35135000.0,,,540347000.0,,609205000.0,1276567000.0,128341000.0,48230000.0,2624518000.0,61755000.0,100854000.0,,267206000.0,,20127000.0,,,687030000.0,773136000.0,-18110000.0,1937488000.0,2624518000.0,98149000.0,13876000.0,-4420000.0,2684000.0,17205000.0,,-196000.0,5185000.0,,12898000.0,336281000.0,,,,,,103665000.0,,58010000.0,-161675000.0,,2895000.0,-172873000.0,1602000.0,12207000.0
2012-01-31,326060000.0,115607000.0,210453000.0,11425000.0,131748000.0,,61728000.0,681000.0,58747000.0,4124000.0,54623000.0,1.15,1.12,47674000.0,48792000.0,7681000.0,,200160000.0,272774000.0,29113000.0,,,555263000.0,,583239000.0,1272030000.0,122873000.0,44649000.0,2599267000.0,48205000.0,78461000.0,,206392000.0,,18628000.0,,,661910000.0,826338000.0,-29980000.0,1937357000.0,2599267000.0,25816000.0,,,,,,,,,,41550000.0,,,,,,19953000.0,,398000.0,-18785000.0,,,-20197000.0,2506000.0,
2012-04-30,670649000.0,239500000.0,431149000.0,24455000.0,268710000.0,,127168000.0,992000.0,121427000.0,11883000.0,109544000.0,2.3,2.24,47708000.0,49007000.0,7745000.0,,202882000.0,286069000.0,33226000.0,,,576283000.0,,593603000.0,1275444000.0,118077000.0,44917000.0,2628561000.0,54926000.0,84096000.0,,228125000.0,,19008000.0,,,590605000.0,881259000.0,-21068000.0,2037956000.0,2628561000.0,52570000.0,,,,,,,,,,122191000.0,,,,,,43057000.0,,647000.0,-38964000.0,,5576000.0,-80569000.0,2570000.0,
2012-07-31,1048835000.0,377589000.0,671246000.0,37611000.0,412540000.0,,204418000.0,-2223000.0,192735000.0,16316000.0,176419000.0,3.69,3.6,48110000.0,49302000.0,12732000.0,,228593000.0,301686000.0,37140000.0,,,628106000.0,,617615000.0,1360504000.0,220347000.0,44903000.0,2883918000.0,66251000.0,89287000.0,,232075000.0,,30748000.0,,,787272000.0,946698000.0,-38631000.0,2096646000.0,2883918000.0,80395000.0,,,,,,,,,,200304000.0,,,,,,67141000.0,,144969000.0,-205486000.0,,10760000.0,13809000.0,7557000.0,
2012-10-31,1445136000.0,521126000.0,924010000.0,51730000.0,564903000.0,,283398000.0,229000.0,275452000.0,26808000.0,248339000.0,5.18,5.05,47913000.0,49152000.0,12840000.0,,234297000.0,320199000.0,22617000.0,,,657860000.0,,640255000.0,1370247000.0,214783000.0,43805000.0,2941384000.0,85056000.0,89131000.0,,262552000.0,,30971000.0,,,728226000.0,1018618000.0,-31261000.0,2192751000.0,2941384000.0,111214000.0,21540000.0,-6806000.0,4956000.0,58094000.0,,7924000.0,13575000.0,,5040000.0,315121000.0,,,,,,99779000.0,,145319000.0,-238474000.0,,10760000.0,-68443000.0,7665000.0,15781000.0
