Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,19335859000.0,,563370000.0,,280239000.0,,262382000.0,-277000.0,244838000.0,93531000.0,151307000.0,0.53,0.52,286955000.0,291287000.0,979567000.0,,3540919000.0,5361851000.0,,,33794000.0,9916131000.0,,641909000.0,,,140989000.0,13556271000.0,8225557000.0,355830000.0,,9243448000.0,,,,196706000.0,,3047918000.0,-42818000.0,2740861000.0,13556271000.0,,7176000.0,17511000.0,371936000.0,-391153000.0,,,,,-3648000.0,-41689000.0,,,,,,42574000.0,,-127000.0,-42447000.0,,5050000.0,54335000.0,-29801000.0,
2010-03-31,38636486000.0,,1175438000.0,,559730000.0,,573609000.0,-545000.0,536518000.0,204203000.0,332315000.0,1.17,1.15,284478000.0,289262000.0,1199872000.0,,3948478000.0,4980895000.0,,,37785000.0,10167030000.0,,665801000.0,,,134820000.0,13822288000.0,8434934000.0,312169000.0,,9426398000.0,,,,205463000.0,,3206322000.0,-38293000.0,2831922000.0,13822288000.0,,16791000.0,41475000.0,-21006000.0,-22943000.0,,,,,66000.0,346393000.0,,,,,,88037000.0,,-134000.0,-87903000.0,,9454000.0,-67986000.0,190504000.0,
2010-06-30,58238606000.0,,1763808000.0,,849018000.0,,855463000.0,-1033000.0,799983000.0,304463000.0,495520000.0,1.75,1.72,283390000.0,288412000.0,1310716000.0,,3887827000.0,5096601000.0,,,42859000.0,10338003000.0,,688184000.0,2539889000.0,306412000.0,131297000.0,14003785000.0,8452112000.0,331067000.0,,9486687000.0,,,,226226000.0,,3346975000.0,-50159000.0,2931191000.0,14003785000.0,,24119000.0,60688000.0,3453000.0,-127927000.0,,,,,-445000.0,559391000.0,,,,,0.0,132302000.0,,-143000.0,-132159000.0,,19996000.0,-125884000.0,301348000.0,
2010-09-30,77953979000.0,,2356642000.0,,1167828000.0,,1103635000.0,-3372000.0,1027769000.0,391021000.0,636748000.0,2.26,2.22,282258000.0,287246000.0,1658182000.0,,3827484000.0,5210098000.0,835982000.0,,52586000.0,10748350000.0,,711712000.0,2544367000.0,300976000.0,129438000.0,14434843000.0,8833285000.0,369016000.0,,9906344000.0,,,,231044000.0,,3465886000.0,-42536000.0,2954297000.0,14434843000.0,,30844000.0,85478000.0,-61160000.0,242967000.0,,,,,-21995000.0,1108624000.0,,,,,,184635000.0,,,-184371000.0,,21036000.0,-275439000.0,648814000.0,257800000.0
2010-12-31,19888609000.0,,580232000.0,,278033000.0,,276766000.0,1667000.0,259289000.0,98789000.0,160500000.0,0.58,0.57,275605000.0,280693000.0,1400895000.0,,3551315000.0,5440751000.0,,,35212000.0,10428173000.0,,736812000.0,2546837000.0,298586000.0,121911000.0,14132319000.0,8467004000.0,338461000.0,,9640905000.0,,,,241998000.0,,3598651000.0,-35834000.0,2962006000.0,14132319000.0,,6780000.0,20296000.0,275792000.0,-227739000.0,,,,,5931000.0,-99200000.0,,,,,,50091000.0,,0.0,-50091000.0,,10508000.0,-107996000.0,-257287000.0,
2011-03-31,39648866000.0,,1267568000.0,,574165000.0,,642015000.0,1809000.0,605624000.0,230743000.0,374881000.0,1.36,1.34,274980000.0,280247000.0,1912436000.0,,3802240000.0,5195946000.0,,,45624000.0,10956246000.0,,755155000.0,2550287000.0,295919000.0,123409000.0,14681016000.0,8909481000.0,300683000.0,,9950172000.0,,,,255233000.0,,3786274000.0,-26707000.0,3133030000.0,14681016000.0,,12122000.0,50599000.0,6819000.0,30462000.0,,,,,7799000.0,577204000.0,,,,,,93773000.0,,0.0,-93773000.0,,20846000.0,-229177000.0,254254000.0,
2011-06-30,59809888000.0,,1921149000.0,,882971000.0,,959174000.0,1747000.0,904116000.0,344816000.0,559300000.0,2.04,2.0,274484000.0,279837000.0,2000453000.0,,3907112000.0,5157796000.0,,,55944000.0,11121305000.0,,761988000.0,2551030000.0,292901000.0,128505000.0,14855729000.0,8893332000.0,332426000.0,,10007785000.0,,,,282975000.0,,3939044000.0,-22488000.0,3203080000.0,14855729000.0,,21608000.0,122233000.0,-93630000.0,55899000.0,,,,,-6049000.0,807845000.0,,,,,,127473000.0,,-876000.0,-126597000.0,,34585000.0,-338977000.0,342271000.0,
2011-09-30,80217558000.0,,2539096000.0,,1197969000.0,,1202745000.0,4617000.0,1130641000.0,424017000.0,706624000.0,2.59,2.54,272471000.0,277717000.0,1825990000.0,,3837203000.0,5466534000.0,1044510000.0,,87896000.0,11217623000.0,,772916000.0,2565227000.0,297857000.0,129048000.0,14982671000.0,9202115000.0,422917000.0,,10855120000.0,,,,287830000.0,,4055664000.0,-50868000.0,2866858000.0,14982671000.0,,28365000.0,194997000.0,35457000.0,272294000.0,,,,,-3800000.0,1167948000.0,,,,,45380000.0,167954000.0,,,-212418000.0,,39711000.0,-787722000.0,167808000.0,214600000.0
2011-12-31,20360645000.0,,593093000.0,,273865000.0,,284914000.0,1000.0,262324000.0,100208000.0,162116000.0,0.63,0.62,258461000.0,263084000.0,2370335000.0,,3724456000.0,5824358000.0,,,36631000.0,11955780000.0,,793604000.0,2740507000.0,362504000.0,125871000.0,15978266000.0,9589019000.0,418964000.0,,11301377000.0,,,,290351000.0,,812605000.0,-44381000.0,2904599000.0,15978266000.0,,6400000.0,6591000.0,243393000.0,-326715000.0,,,,,-11388000.0,431703000.0,,,,,250501000.0,48138000.0,,,-298639000.0,,4275000.0,411281000.0,544345000.0,
2015-03-31,66257869000.0,,1664275000.0,,858934000.0,,-452646000.0,-12719000.0,-505653000.0,207684000.0,-713337000.0,-3.24,-3.24,220243000.0,220243000.0,2336979000.0,,7560122000.0,9517312000.0,,,,19556823000.0,,955558000.0,4136421000.0,1985716000.0,371012000.0,27005530000.0,18395154000.0,649637000.0,,20225906000.0,,,,920852000.0,,728973000.0,-75585000.0,1916255000.0,27005530000.0,,33408000.0,-5717000.0,810902000.0,611235000.0,,,,,-1880000.0,1638684000.0,,,,,2603918000.0,105201000.0,,-1168000.0,-2689453000.0,,66032000.0,1579235000.0,528466000.0,
2015-06-30,100491425000.0,,2555739000.0,,1361678000.0,,332565000.0,,304306000.0,297827000.0,-499174000.0,-2.27,-2.27,219689000.0,240236000.0,2555183000.0,,7596558000.0,9639961000.0,,,,19902034000.0,,958687000.0,4116805000.0,1998694000.0,357284000.0,27333504000.0,19348994000.0,633050000.0,,21117291000.0,,,,897808000.0,,879201000.0,-69006000.0,1575624000.0,27333504000.0,,46496000.0,-15799000.0,868708000.0,700331000.0,,,,,-339000.0,2760265000.0,,,,,2606524000.0,157089000.0,,-1790000.0,-2744639000.0,,82345000.0,731044000.0,746670000.0,
