Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-14,36041000000.0,,,,3650000000.0,,898000000.0,,,321000000.0,565000000.0,1.29,1.27,439786000.0,446918000.0,4134000000.0,,,5365000000.0,,,,11501000000.0,,11105000000.0,,,760000000.0,23366000000.0,5598000000.0,1350000000.0,,9865000000.0,,,,,12623000000.0,6495000000.0,145000000.0,10651000000.0,23366000000.0,369000000.0,100000000.0,,,-63000000.0,,,104000000.0,,,1360000000.0,,,,,,506000000.0,,-2000000.0,-506000000.0,,6000000.0,111000000.0,977000000.0,
2010-05-09,53821000000.0,,,,5439000000.0,,1389000000.0,,,484000000.0,871000000.0,1.98,1.95,440973000.0,448391000.0,4413000000.0,,,5546000000.0,,,,12057000000.0,,11058000000.0,,,784000000.0,23899000000.0,5975000000.0,1477000000.0,,10189000000.0,,,,,12927000000.0,6614000000.0,151000000.0,10874000000.0,23899000000.0,549000000.0,139000000.0,,,120000000.0,,,432000000.0,,,2169000000.0,,,,,,644000000.0,,-2000000.0,-912000000.0,,9000000.0,-12000000.0,1256000000.0,
2010-08-29,77946000000.0,,,,7840000000.0,,2077000000.0,,,731000000.0,1303000000.0,2.97,2.92,438611000.0,445970000.0,3214000000.0,,,5638000000.0,73000000.0,,,11708000000.0,,11314000000.0,71000000.0,,793000000.0,23815000000.0,5947000000.0,1328000000.0,,10063000000.0,,244000000.0,,,12885000000.0,6590000000.0,122000000.0,10829000000.0,23815000000.0,795000000.0,190000000.0,,,213000000.0,,,445000000.0,,,2780000000.0,,,309000000.0,,,1055000000.0,,8000000.0,-2015000000.0,,10000000.0,-719000000.0,57000000.0,
2010-11-21,19239000000.0,,,,1941000000.0,,525000000.0,,,172000000.0,312000000.0,0.72,0.71,434099000.0,441360000.0,3739000000.0,,,6852000000.0,,,,13558000000.0,,12019000000.0,,,466000000.0,26043000000.0,7205000000.0,1410000000.0,,11502000000.0,,,,,14336000000.0,6685000000.0,270000000.0,11199000000.0,26043000000.0,191000000.0,57000000.0,,,912000000.0,,,961000000.0,,,720000000.0,,,237000000.0,,,306000000.0,,0.0,-137000000.0,,17000000.0,-87000000.0,525000000.0,
2011-02-13,40114000000.0,,,,3979000000.0,,1121000000.0,,,376000000.0,660000000.0,1.52,1.49,436682000.0,443186000.0,3355000000.0,,,6127000000.0,,,,13138000000.0,,12102000000.0,,,476000000.0,25716000000.0,5970000000.0,1688000000.0,,10746000000.0,,,,,13592000000.0,6863000000.0,340000000.0,11583000000.0,25716000000.0,386000000.0,109000000.0,,,151000000.0,,,100000000.0,,,1446000000.0,,,414000000.0,,,540000000.0,,5000000.0,-861000000.0,,28000000.0,-503000000.0,141000000.0,
2011-05-08,60737000000.0,,,,5970000000.0,,1677000000.0,,,569000000.0,984000000.0,2.26,2.22,436977000.0,443570000.0,4082000000.0,,,6396000000.0,,,,14069000000.0,,12300000000.0,,,605000000.0,26974000000.0,6800000000.0,1808000000.0,,12494000000.0,,,,,14433000000.0,6994000000.0,484000000.0,11963000000.0,26974000000.0,582000000.0,152000000.0,,,357000000.0,,,518000000.0,,,2257000000.0,,,465000000.0,,,818000000.0,,5000000.0,-1238000000.0,,43000000.0,-262000000.0,868000000.0,
2011-08-28,88915000000.0,,,,8682000000.0,,2439000000.0,,2383000000.0,841000000.0,1462000000.0,3.35,3.3,436119000.0,443094000.0,4009000000.0,,,6638000000.0,26000000.0,,,13706000000.0,,12432000000.0,74000000.0,,623000000.0,26761000000.0,6544000000.0,1540000000.0,,12050000000.0,,387000000.0,,,14188000000.0,7111000000.0,373000000.0,12002000000.0,26761000000.0,855000000.0,207000000.0,,,642000000.0,,,804000000.0,,,3198000000.0,,,602000000.0,,,1290000000.0,,11000000.0,-1180000000.0,,45000000.0,-1277000000.0,795000000.0,
2011-11-20,21628000000.0,,,,2145000000.0,,543000000.0,,553000000.0,225000000.0,320000000.0,0.74,0.73,434222000.0,440615000.0,4319000000.0,,,7618000000.0,,,,14993000000.0,,12381000000.0,,,630000000.0,28004000000.0,7576000000.0,1666000000.0,,13311000000.0,,,,,15557000000.0,7175000000.0,205000000.0,11909000000.0,28004000000.0,205000000.0,76000000.0,,,1062000000.0,,,991000000.0,,,664000000.0,,,95000000.0,,,343000000.0,,5000000.0,-352000000.0,,36000000.0,67000000.0,310000000.0,
2012-02-12,44595000000.0,,,,4321000000.0,,1187000000.0,,1180000000.0,440000000.0,714000000.0,1.64,1.62,434535000.0,440036000.0,4389000000.0,,,6934000000.0,,,,14360000000.0,,12519000000.0,,,632000000.0,27511000000.0,6334000000.0,1824000000.0,,12409000000.0,,,,,14692000000.0,7339000000.0,306000000.0,12232000000.0,27511000000.0,414000000.0,134000000.0,,,327000000.0,,,-75000000.0,,,1244000000.0,,,191000000.0,,,632000000.0,,17000000.0,-452000000.0,,40000000.0,-392000000.0,380000000.0,
2012-05-06,66919000000.0,,,,6472000000.0,,1810000000.0,,1802000000.0,657000000.0,1100000000.0,2.53,2.5,434180000.0,439748000.0,4791000000.0,,,7044000000.0,,,,14591000000.0,,12596000000.0,,,649000000.0,27836000000.0,7302000000.0,1799000000.0,,12366000000.0,,,,,14653000000.0,7611000000.0,319000000.0,12585000000.0,27836000000.0,616000000.0,179000000.0,,,434000000.0,,,394000000.0,,,2327000000.0,,,303000000.0,,,900000000.0,,20000000.0,-517000000.0,,50000000.0,-1011000000.0,782000000.0,
