Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-06-30,,,127574000.0,,,,110379000.0,-9393000.0,100986000.0,31937000.0,69049000.0,0.86,0.83,80151.0,83548.0,101200000.0,,387800000.0,,4414000.0,,,755272000.0,,27799000.0,602802000.0,185593000.0,47443000.0,1618909000.0,234873000.0,51641000.0,,541988000.0,,78600000.0,,,,456212000.0,-3761000.0,713030000.0,1618909000.0,,11983000.0,-765000.0,154408000.0,,,1114000.0,,,,2454000.0,,,,,785000.0,5916000.0,,,-6701000.0,855000.0,1821000.0,-18704000.0,-13604000.0,20284000.0
2011-09-30,,,198349000.0,,,,172102000.0,-12005000.0,160097000.0,50534000.0,109563000.0,1.36,1.31,80819.0,83649.0,137284000.0,,419530000.0,,4594000.0,,,786933000.0,,30366000.0,642799000.0,234135000.0,45310000.0,1739543000.0,241423000.0,29192000.0,,604117000.0,,92121000.0,,,,496726000.0,-8646000.0,761824000.0,1739543000.0,,15622000.0,-863000.0,140491000.0,,,81000.0,,,,70517000.0,,,,,21933000.0,8408000.0,,,-30341000.0,5066000.0,8170000.0,-23997000.0,22480000.0,35171000.0
2011-12-31,519591000.0,,,,,,226334000.0,-15457000.0,210877000.0,63542000.0,147335000.0,1.83,1.76,80610.0,83654.0,285159000.0,,481791000.0,,-108083000.0,,,1122925000.0,,32724000.0,823549000.0,299460000.0,45834000.0,2324492000.0,478882000.0,42242000.0,,1121747000.0,,112880000.0,,,,534498000.0,-13716000.0,811436000.0,2324492000.0,,21743000.0,-2920000.0,80024000.0,,,1935000.0,,,,279625000.0,,,,,333763000.0,13454000.0,,,-347217000.0,8477000.0,13727000.0,236221000.0,170355000.0,49205000.0
2012-03-31,146165000.0,,,,,,64475000.0,-4151000.0,60324000.0,18245000.0,42079000.0,0.51,0.49,82565.0,85164.0,287119000.0,,599810000.0,,4337000.0,,,1306780000.0,,34227000.0,763487000.0,373412000.0,83010000.0,2560916000.0,534111000.0,40237000.0,,1269682000.0,,133310000.0,,,,576577000.0,-4644000.0,883041000.0,2560916000.0,,3834000.0,-17000.0,183976000.0,,,37821000.0,,,,-113934000.0,,,,,10000.0,3563000.0,,,-3573000.0,7737000.0,8883000.0,112149000.0,1960000.0,6004000.0
2012-06-30,317985000.0,,,,,,145923000.0,-6903000.0,139020000.0,42540000.0,96480000.0,1.16,1.13,83294000.0,85737000.0,255579000.0,,545796000.0,,4310000.0,,,1198317000.0,,35677000.0,775749000.0,408731000.0,86215000.0,2504689000.0,474837000.0,34857000.0,,1135207000.0,,141612000.0,,,,630978000.0,-13841000.0,941920000.0,2504689000.0,,7793000.0,-167000.0,117325000.0,,,42268000.0,,,,-36798000.0,,,,,35490000.0,8431000.0,,,-43921000.0,11584000.0,14750000.0,49901000.0,-29580000.0,24164000.0
2012-09-30,504917000.0,,,,,,231757000.0,,221611000.0,65483000.0,156128000.0,1.88,1.82,84002000.0,86224000.0,300061000.0,,578818000.0,,6296000.0,,,1317969000.0,,46542000.0,923715000.0,465785000.0,88110000.0,2842121000.0,533113000.0,60697000.0,,1355401000.0,,172789000.0,,,,690626000.0,-5067000.0,1035068000.0,2842121000.0,,14287000.0,2501000.0,178715000.0,,,45291000.0,,,,33131000.0,,,,,189819000.0,13634000.0,,,-203453000.0,21391000.0,23177000.0,176151000.0,14902000.0,29428000.0
2012-12-31,707534000.0,,,,,,324928000.0,,310790000.0,94591000.0,216199000.0,2.59,2.52,83328.0,85736.0,283649000.0,,525441000.0,,-174145000.0,,,1195354000.0,,45196000.0,926609000.0,463864000.0,90847000.0,2721870000.0,418609000.0,75812000.0,,1142222000.0,,180609000.0,,,,750697000.0,-3346000.0,913822000.0,2721870000.0,,19275000.0,-3337000.0,71102000.0,,,46553000.0,,,,135460000.0,,,,,190447000.0,19111000.0,,,-209558000.0,27187000.0,29355000.0,61988000.0,-1510000.0,38169000.0
2013-03-31,193651000.0,,,,,,94253000.0,,90513000.0,25851000.0,64662000.0,0.8,0.77,81222000.0,83960000.0,224613000.0,,626464000.0,,7710000.0,,,1318066000.0,,45892000.0,973335000.0,502103000.0,50988000.0,2890384000.0,501036000.0,61383000.0,,1239829000.0,,175554000.0,,,,815359000.0,-14078000.0,983013000.0,2890384000.0,,4162000.0,-1012000.0,192483000.0,,,-40113000.0,,,,-13690000.0,,,,,94773000.0,4762000.0,,,-99535000.0,5256000.0,5843000.0,63591000.0,-59036000.0,38426000.0
2013-06-30,414520000.0,,,,,,203327000.0,,195837000.0,58076000.0,137761000.0,1.69,1.64,81573000.0,84461000.0,292905000.0,,627675000.0,,7642000.0,,,1405818000.0,,46654000.0,994648000.0,515702000.0,50267000.0,3013089000.0,528161000.0,65865000.0,,1300576000.0,,176502000.0,,,,888458000.0,-37500000.0,1050014000.0,3013089000.0,,8059000.0,-2598000.0,190998000.0,,,-39322000.0,,,,82712000.0,,,,,156956000.0,10108000.0,,,-167064000.0,12511000.0,12016000.0,110084000.0,9256000.0,60120000.0
2013-09-30,639670000.0,,,,,,314582000.0,,303492000.0,87111000.0,216381000.0,2.65,2.56,81974000.0,84905000.0,345689000.0,,661901000.0,,5938000.0,,,1490524000.0,,48797000.0,1241969000.0,643938000.0,49877000.0,3475105000.0,567420000.0,69054000.0,,1596960000.0,,225161000.0,,,,967078000.0,-19207000.0,1173902000.0,3475105000.0,,12441000.0,-4524000.0,184367000.0,,,-38580000.0,,,,208011000.0,,,,,376971000.0,15348000.0,,,-392319000.0,22800000.0,24319000.0,253605000.0,62040000.0,84695000.0
2013-12-31,895171000.0,,,,,,420632000.0,,403569000.0,119068000.0,284501000.0,3.48,3.36,81793000.0,84655000.0,338105000.0,,573351000.0,,-244754000.0,,,1353512000.0,,53956000.0,1552725000.0,871263000.0,100779000.0,3932235000.0,467202000.0,114870000.0,,1908898000.0,,249504000.0,,55001000.0,,1035198000.0,-47426000.0,1243893000.0,3932235000.0,,26676000.0,-5453000.0,45005000.0,,,-38906000.0,,,,375685000.0,,,,,728343000.0,20785000.0,,,-749128000.0,30438000.0,32535000.0,435725000.0,54456000.0,99308000.0
