Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-31,,,,,,3487000000.0,869000000.0,,816000000.0,253000000.0,563000000.0,1.62,1.61,342000000.0,345000000.0,113000000.0,,,700000000.0,,,140000000.0,1632000000.0,,1969000000.0,1926000000.0,516000000.0,109000000.0,6152000000.0,512000000.0,576000000.0,,1633000000.0,,289000000.0,,954000000.0,5126000000.0,8668000000.0,-655000000.0,1023000000.0,6152000000.0,122000000.0,45000000.0,58000000.0,,126000000.0,,,,,,496000000.0,,,,,,103000000.0,,-2000000.0,-96000000.0,,4000000.0,-340000000.0,62000000.0,
2010-05-02,,,,,,4997000000.0,1161000000.0,,1081000000.0,350000000.0,731000000.0,2.11,2.09,341000000.0,344000000.0,80000000.0,,,639000000.0,,,169000000.0,1431000000.0,,1995000000.0,1945000000.0,512000000.0,103000000.0,5986000000.0,430000000.0,568000000.0,,2114000000.0,,297000000.0,,937000000.0,4890000000.0,8742000000.0,-620000000.0,1093000000.0,5986000000.0,185000000.0,68000000.0,44000000.0,,193000000.0,,,,,,859000000.0,,,,,,177000000.0,,-3000000.0,-169000000.0,,6000000.0,-665000000.0,29000000.0,
2010-10-31,,,,,,1728000000.0,444000000.0,,414000000.0,135000000.0,279000000.0,0.82,0.82,335000000.0,338000000.0,291000000.0,,,838000000.0,,,190000000.0,2124000000.0,,2042000000.0,2016000000.0,522000000.0,114000000.0,6818000000.0,577000000.0,573000000.0,,2479000000.0,,300000000.0,,989000000.0,5714000000.0,8945000000.0,-613000000.0,1101000000.0,6818000000.0,65000000.0,21000000.0,30000000.0,,-101000000.0,,,,,,-29000000.0,,,,,,27000000.0,,,-20000000.0,,3000000.0,69000000.0,37000000.0,
2011-01-30,,,,,,3496000000.0,803000000.0,,742000000.0,224000000.0,518000000.0,1.54,1.53,332000000.0,335000000.0,325000000.0,,,703000000.0,,,174000000.0,1914000000.0,,2018000000.0,2015000000.0,520000000.0,113000000.0,6580000000.0,538000000.0,573000000.0,,2415000000.0,,347000000.0,,989000000.0,5688000000.0,9087000000.0,-595000000.0,889000000.0,6580000000.0,129000000.0,46000000.0,77000000.0,,32000000.0,,,,,,483000000.0,,,,,,74000000.0,,,-65000000.0,,6000000.0,-366000000.0,71000000.0,
2011-05-01,,,,,,5002000000.0,1110000000.0,,1025000000.0,321000000.0,705000000.0,2.13,2.11,328000000.0,331000000.0,449000000.0,,,639000000.0,,,150000000.0,1842000000.0,,2060000000.0,2147000000.0,537000000.0,114000000.0,6700000000.0,431000000.0,564000000.0,,1837000000.0,,352000000.0,,1009000000.0,5629000000.0,9180000000.0,-433000000.0,1062000000.0,6700000000.0,194000000.0,69000000.0,66000000.0,,-116000000.0,,,,,,858000000.0,,,,,,133000000.0,,-1000000.0,-123000000.0,,7000000.0,-591000000.0,195000000.0,
2011-07-31,,,,,,6440000000.0,1279000000.0,,1168000000.0,366000000.0,805000000.0,2.44,2.42,326000000.0,329000000.0,484000000.0,,519000000.0,767000000.0,-208000000.0,41000000.0,152000000.0,1963000000.0,,2103000000.0,2133000000.0,527000000.0,136000000.0,6862000000.0,585000000.0,619000000.0,,1989000000.0,,367000000.0,,983000000.0,5766000000.0,9185000000.0,-427000000.0,1088000000.0,6862000000.0,268000000.0,87000000.0,46000000.0,,14000000.0,,,,,,1142000000.0,,,,,,272000000.0,,-2000000.0,-261000000.0,,11000000.0,-700000000.0,230000000.0,304000000.0
2011-10-30,,,,,,1745000000.0,416000000.0,,388000000.0,125000000.0,265000000.0,0.82,0.82,320000000.0,322000000.0,285000000.0,,,889000000.0,,,161000000.0,2123000000.0,,2057000000.0,2096000000.0,523000000.0,149000000.0,6948000000.0,661000000.0,606000000.0,,2033000000.0,,402000000.0,,924000000.0,5781000000.0,9355000000.0,-466000000.0,1161000000.0,6948000000.0,63000000.0,22000000.0,27000000.0,,131000000.0,,,,,,73000000.0,,,,,,40000000.0,,-1000000.0,-34000000.0,,,-229000000.0,-199000000.0,
2012-01-29,,,,,,3528000000.0,745000000.0,,691000000.0,227000000.0,470000000.0,1.46,1.45,319000000.0,321000000.0,322000000.0,,683000000.0,746000000.0,,,167000000.0,1918000000.0,,2047000000.0,2058000000.0,511000000.0,131000000.0,6665000000.0,551000000.0,598000000.0,,2152000000.0,,425000000.0,,883000000.0,5468000000.0,9466000000.0,-485000000.0,1195000000.0,6665000000.0,124000000.0,45000000.0,46000000.0,,-6000000.0,,,,,,478000000.0,,,,,,40000000.0,,-1000000.0,-95000000.0,,0.0,-529000000.0,-162000000.0,
2012-04-29,,,,,,5085000000.0,1009000000.0,,928000000.0,289000000.0,647000000.0,2.03,2.01,318000000.0,320000000.0,383000000.0,,564000000.0,673000000.0,,,147000000.0,1767000000.0,,2054000000.0,2047000000.0,511000000.0,113000000.0,6492000000.0,507000000.0,547000000.0,,1908000000.0,,439000000.0,,867000000.0,5220000000.0,9550000000.0,-485000000.0,1272000000.0,6492000000.0,189000000.0,62000000.0,64000000.0,,-80000000.0,,,,,,838000000.0,,,,,,40000000.0,,-6000000.0,-166000000.0,,6000000.0,-755000000.0,-101000000.0,
2012-07-29,,,,,,6495000000.0,1212000000.0,,1106000000.0,342000000.0,774000000.0,2.43,2.41,317000000.0,319000000.0,335000000.0,,513000000.0,714000000.0,-145000000.0,40000000.0,169000000.0,1771000000.0,,2127000000.0,2013000000.0,496000000.0,123000000.0,6530000000.0,571000000.0,598000000.0,,2070000000.0,,298000000.0,,1260000000.0,5632000000.0,9584000000.0,-776000000.0,898000000.0,6530000000.0,262000000.0,79000000.0,45000000.0,,-32000000.0,,,,,,1120000000.0,,,,,,40000000.0,,1000000.0,-323000000.0,,8000000.0,-920000000.0,-149000000.0,300000000.0
