Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,,,,,,,0.06,0.06,68090000.0,68386000.0,128155000.0,,,,,,,,,,,,,4594980000.0,,,,,,,,,2835477000.0,,-43718000.0,1586776000.0,4594980000.0,85987000.0,5767000.0,,,,,,,,,99975000.0,,,,,,,,556000.0,-28370000.0,106422000.0,,-7606000.0,63999000.0,
2010-09-30,,,,,,,,,,,,0.09,0.09,69100000.0,69441000.0,91071000.0,,,,,,,,,,,,,4606735000.0,,,,,,,,,2843844000.0,,-41302000.0,1591807000.0,4606735000.0,129419000.0,8502000.0,,,,,,,,,178461000.0,,,,,,,,1464000.0,-50059000.0,134617000.0,,-101487000.0,26915000.0,
2010-12-31,,,,,,,,,,,,0.33,0.33,68608000.0,68957000.0,170575000.0,,,,,,,,,,,,,4699737000.0,,,,,,,,,2844439000.0,,-33458000.0,1686419000.0,4699737000.0,174465000.0,11306000.0,,,,,,,,,224036000.0,,,,,,,,-3048000.0,35150000.0,231651000.0,,-152767000.0,106419000.0,
2011-03-31,,,,,,,,,,,,0.1,0.1,71906000.0,72783000.0,98771000.0,,,,,,,,,,,,,4583293000.0,,,,,,,,,2746347000.0,,-31504000.0,1668737000.0,4583293000.0,46593000.0,2777000.0,,,,,,,,,54407000.0,,,4510000.0,,,,,622000.0,-7776000.0,3795000.0,,-118435000.0,-71804000.0,
2011-06-30,,,,,,,,,,,,-0.23,-0.23,72343000.0,72343000.0,63148000.0,,,,,,,,,,,,,4559059000.0,,,,,,,,,2702746000.0,,93000.0,1689116000.0,4559059000.0,92170000.0,6003000.0,,,,,5047000.0,,,4591000.0,114754000.0,,,4510000.0,,,,,2232000.0,-57527000.0,37126000.0,,-164654000.0,-107427000.0,
2011-09-30,,,,,,,,,,,11840000.0,0.16,0.16,73242000.0,74274000.0,56099000.0,,,,,,,,,,,,,4594574000.0,,,,,,,,,2718800000.0,,201000.0,1709038000.0,4594574000.0,136733000.0,9254000.0,,,,,-3046000.0,,,-13131000.0,200797000.0,,,4510000.0,,,,,4464000.0,-146174000.0,69863000.0,,-169099000.0,-114476000.0,
2011-12-31,,,,,,,,,,,49379000.0,0.67,0.66,72756000.0,73701000.0,55159000.0,,,,,,,,,,,,,4622075000.0,,,,,,,,,2696382000.0,,-683000.0,1758717000.0,4622075000.0,181791000.0,12039000.0,,,,,-5183000.0,,,-17152000.0,244834000.0,,,4510000.0,,,,,3859000.0,-187364000.0,106571000.0,,-172886000.0,-115416000.0,
2012-03-31,,,,,,,,,,,88758000.0,1.1,1.07,79885000.0,82855000.0,49702000.0,,,,,,,,,,,,,5004015000.0,,,,,,,,,2692484000.0,,-675000.0,2242916000.0,5004015000.0,50304000.0,3005000.0,,,,,62000.0,,,-4912000.0,75779000.0,,,0.0,,,,,183000.0,-105469000.0,435911000.0,,24233000.0,-5457000.0,
2012-06-30,,,,,,,,,,,110521000.0,1.34,1.32,83223000.0,84461000.0,52126000.0,,,,,,,,,,,,,5112574000.0,,,,,,,,,2647666000.0,,-667000.0,2396453000.0,5112574000.0,103614000.0,6478000.0,,,,,4884000.0,,,-9477000.0,140866000.0,,,0.0,,,,,1250000.0,-260997000.0,604459000.0,,117098000.0,-3033000.0,
2012-09-30,,,,,,,,,,,141224000.0,1.69,1.66,85631000.0,86293000.0,5590000.0,,,,,,,,,,,,,5217960000.0,,,,,,,,,2684852000.0,,-660000.0,2462836000.0,5217960000.0,156423000.0,9950000.0,,,,,8765000.0,,,-16322000.0,249995000.0,,,0.0,,,,,7104000.0,-458443000.0,693375000.0,,158879000.0,-49569000.0,
