Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-26,589449000.0,,,,129368000.0,,57706000.0,,44106000.0,13011000.0,31836000.0,0.49,0.48,,,219077000.0,,218695000.0,96571000.0,,,73705000.0,608048000.0,,837580000.0,500585000.0,144025000.0,53473000.0,2156637000.0,29681000.0,59570000.0,61651000.0,246060000.0,,,,107119000.0,762620000.0,-206657000.0,20200000.0,1396468000.0,2156637000.0,47851000.0,14672000.0,1755000.0,29654000.0,-3843000.0,,4163000.0,410000.0,-10739000.0,3865000.0,83796000.0,,,,,,17725000.0,,-2172000.0,23488000.0,,,-63204000.0,36503000.0,
2010-09-25,865530000.0,,,,178589000.0,,62819000.0,,35174000.0,29313000.0,-24941000.0,-0.4,-0.4,,,137433000.0,,216740000.0,100759000.0,,,72365000.0,527297000.0,,838559000.0,504772000.0,140003000.0,64730000.0,2080273000.0,33067000.0,62580000.0,62145000.0,237379000.0,,,,103651000.0,1042105000.0,-231598000.0,36254000.0,1040972000.0,2080273000.0,71999000.0,21443000.0,1647000.0,21790000.0,-1804000.0,,7299000.0,3355000.0,-10245000.0,4117000.0,101422000.0,,,,,,26853000.0,,-2405000.0,17382000.0,,,-153540000.0,-45141000.0,
2010-12-25,1133416000.0,,,,232489000.0,,-298512000.0,,-334082000.0,23000.0,-336669000.0,-5.38,-5.38,,,179160000.0,,192972000.0,100297000.0,,,76603000.0,552894000.0,,752657000.0,198438000.0,121236000.0,62323000.0,1733373000.0,30627000.0,59369000.0,66905000.0,259780000.0,,,,114596000.0,1044646000.0,-575162000.0,33635000.0,687423000.0,1733373000.0,93649000.0,25526000.0,-42342000.0,5640000.0,-1989000.0,,2131000.0,71000.0,-4209000.0,7493000.0,168236000.0,,,,,,42860000.0,,-950000.0,2954000.0,,,-167958000.0,-3414000.0,
2011-03-26,285843000.0,,,,55007000.0,,42251000.0,,32662000.0,-2715000.0,31335000.0,0.58,0.57,,,158745000.0,,215304000.0,97594000.0,,,88941000.0,560584000.0,,753612000.0,202059000.0,118950000.0,65353000.0,1744620000.0,33379000.0,59368000.0,58832000.0,307808000.0,,,,111188000.0,1180289000.0,-543827000.0,41855000.0,562918000.0,1744620000.0,21265000.0,5919000.0,3422000.0,17166000.0,-4336000.0,,406000.0,2170000.0,-8073000.0,-1007000.0,21393000.0,,,,,,6789000.0,,-146000.0,-12536000.0,,,-29261000.0,-20415000.0,
2011-06-25,574106000.0,,,,102216000.0,,95565000.0,,75467000.0,8649000.0,63653000.0,1.21,1.2,52464839.0,53152005.0,145831000.0,11780000.0,212422000.0,100533000.0,23293000.0,,,548252000.0,11239000.0,743450000.0,202429000.0,113028000.0,56304000.0,1705425000.0,33092000.0,58567000.0,59045000.0,277103000.0,,22992000.0,,106277000.0,1114798000.0,-511509000.0,39128000.0,589090000.0,1705425000.0,43081000.0,11348000.0,,14218000.0,-1562000.0,,-759000.0,-397000.0,-8882000.0,-5319000.0,86697000.0,,,,,,13450000.0,,-988000.0,-7879000.0,,,-109637000.0,-33329000.0,
2011-09-24,851685000.0,,,,152561000.0,,132659000.0,,100008000.0,11564000.0,,1.6,1.58,51671559.0,52238427.0,81220000.0,6188000.0,202379000.0,94391000.0,28521000.0,,,456329000.0,11070000.0,728887000.0,199799000.0,105941000.0,57053000.0,1585373000.0,34622000.0,56565000.0,54570000.0,223842000.0,,19591000.0,,99679000.0,1044004000.0,-492711000.0,25979000.0,539711000.0,1585373000.0,64249000.0,16919000.0,,8467000.0,-7090000.0,,-1834000.0,459000.0,-12400000.0,-6993000.0,134945000.0,,,,,,21672000.0,,-1620000.0,-12049000.0,,,-215777000.0,-97940000.0,
2011-12-31,1142647000.0,,,,198648000.0,,174306000.0,,132662000.0,17140000.0,,2.16,2.14,50823063.0,51318242.0,68905000.0,5359000.0,184810000.0,92969000.0,58245000.0,,,425843000.0,11051000.0,738030000.0,197561000.0,93437000.0,57659000.0,1558320000.0,34332000.0,54377000.0,56530000.0,216797000.0,,16074000.0,,108451000.0,1030957000.0,-465596000.0,4593000.0,525583000.0,1558320000.0,85230000.0,21706000.0,-8668000.0,-7669000.0,-3766000.0,,-505000.0,2208000.0,-9515000.0,-9098000.0,206842000.0,,,,,0.0,49143000.0,,-5447000.0,-36645000.0,,,-271786000.0,-110255000.0,
2012-03-31,285981000.0,,,,55977000.0,,43740000.0,,35146000.0,8676000.0,,0.55,0.54,48254950.0,48771743.0,61031000.0,6136000.0,205893000.0,89347000.0,26608000.0,,,437270000.0,0.0,740225000.0,198882000.0,90454000.0,47045000.0,1555358000.0,32353000.0,47889000.0,58195000.0,223835000.0,,13602000.0,,99823000.0,1000853000.0,-439157000.0,12676000.0,552599000.0,1555358000.0,20002000.0,5266000.0,,19881000.0,-3312000.0,,462000.0,-2187000.0,963000.0,-5733000.0,25277000.0,,,,,,14112000.0,,-973000.0,-3278000.0,,,-30635000.0,-7874000.0,
2012-06-30,570704000.0,,,,105877000.0,,93014000.0,,75146000.0,18129000.0,,1.18,1.17,48142347.0,48582191.0,76076000.0,6623000.0,208046000.0,92283000.0,26265000.0,,,451559000.0,0.0,727405000.0,196225000.0,84570000.0,41399000.0,1546073000.0,34487000.0,45033000.0,60993000.0,328126000.0,,15416000.0,,99319000.0,981223000.0,-408689000.0,2193000.0,562836000.0,1546073000.0,40067000.0,10586000.0,,25390000.0,1206000.0,,2665000.0,617000.0,4349000.0,-7065000.0,82644000.0,,,,,,23553000.0,,-1729000.0,-8578000.0,,,-65470000.0,7171000.0,
2012-12-29,1129530000.0,,,,208248000.0,,165765000.0,,129746000.0,27628000.0,,2.03,2.01,47912135.0,48406320.0,109685000.0,6781000.0,203001000.0,88470000.0,55015000.0,,,485252000.0,0.0,717020000.0,208609000.0,84922000.0,48659000.0,1586344000.0,31218000.0,45208000.0,56422000.0,342247000.0,,13147000.0,,104966000.0,983144000.0,-368301000.0,6603000.0,600805000.0,1586344000.0,81275000.0,21855000.0,1311000.0,16266000.0,-785000.0,,296000.0,-3257000.0,-915000.0,-5983000.0,208006000.0,,,,,16861000.0,47534000.0,,-2786000.0,-54990000.0,,,-111121000.0,40780000.0,
