Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2019-04-30,,29273000.0,66804000.0,23875000.0,,92579000.0,-25775000.0,,-25382000.0,600000.0,-25977000.0,,,,,92993000.0,82066000.0,87355000.0,,,,1503000.0,311251000.0,,86349000.0,7809000.0,,13069000.0,457361000.0,9915000.0,31185000.0,244271000.0,302721000.0,,,,10964000.0,384626000.0,-521700000.0,-186000.0,-485177000.0,457361000.0,,3752000.0,,-5375000.0,,,,2818000.0,24812000.0,,1415000.0,51805000.0,68995000.0,4473000.0,,,15541000.0,,,4138000.0,,,-882000.0,4585000.0,114000.0
2019-07-31,,60856000.0,143329000.0,55505000.0,,219744000.0,-76415000.0,,-76636000.0,1230000.0,-77866000.0,,,,,732808000.0,94003000.0,115256000.0,,,,2397000.0,1005432000.0,,107989000.0,7780000.0,,7881000.0,1171586000.0,1126000.0,32568000.0,279951000.0,341781000.0,,,,11897000.0,443489000.0,-573574000.0,-530000.0,728097000.0,1171586000.0,,33611000.0,,22802000.0,,,,-5897000.0,79362000.0,,-4799000.0,117572000.0,123314000.0,4473000.0,,,37159000.0,,,-30254000.0,,,679802000.0,644400000.0,413000.0
2019-10-31,,98211000.0,231093000.0,91497000.0,,346026000.0,-114933000.0,,-111707000.0,1700000.0,-113371000.0,,,,,743605000.0,90083000.0,145694000.0,,,,2606000.0,1053220000.0,,129504000.0,7794000.0,,6639000.0,1256054000.0,5244000.0,29460000.0,335801000.0,415604000.0,,,,11570000.0,539012000.0,-609079000.0,-98000.0,717042000.0,1256054000.0,,55577000.0,,53631000.0,,,,-3773000.0,157239000.0,,33836000.0,187697000.0,197764000.0,4473000.0,,,66848000.0,,,-57516000.0,,,678834000.0,655197000.0,1054000.0
2020-01-31,,141627000.0,339786000.0,130188000.0,,485851000.0,-146065000.0,,-139782000.0,1997000.0,-141779000.0,,,,,,647266000.0,164987000.0,,163000.0,,6523000.0,1171636000.0,,136078000.0,7722000.0,,16708000.0,1404906000.0,1345000.0,30355000.0,412985000.0,493096000.0,,,,11020000.0,662299000.0,-637487000.0,1009000.0,742107000.0,1404906000.0,,79940000.0,-681000.0,73067000.0,,,,-6570000.0,280768000.0,,99943000.0,779701000.0,228976000.0,9581000.0,,0.0,80198000.0,0.0,,-629631000.0,,,706144000.0,176390000.0,1862000.0
2020-04-30,,46895000.0,131183000.0,40578000.0,,153759000.0,-22576000.0,,-18186000.0,1036000.0,-19222000.0,,,,,1004991000.0,0.0,144187000.0,,,,5007000.0,1248462000.0,,139096000.0,7652000.0,,17121000.0,1519396000.0,6528000.0,26396000.0,465569000.0,555644000.0,,,,7288000.0,766243000.0,-656709000.0,-1004000.0,752153000.0,1519396000.0,,23638000.0,,-20651000.0,,,,4736000.0,64805000.0,,98577000.0,84904000.0,91605000.0,639586000.0,,,9694000.0,,,634711000.0,,,6893000.0,740193000.0,353000.0
2020-07-31,,101286000.0,275763000.0,91061000.0,,328330000.0,-52567000.0,,-47619000.0,1500000.0,-49096000.0,,,,,1064734000.0,0.0,149236000.0,,,,6513000.0,1315981000.0,,153303000.0,8131000.0,,15550000.0,1616952000.0,10118000.0,19211000.0,515081000.0,603292000.0,,,,10752000.0,824937000.0,-686583000.0,1115000.0,790965000.0,1616952000.0,,61351000.0,,-16020000.0,,,,9634000.0,118672000.0,,153602000.0,84904000.0,91605000.0,639586000.0,,,30334000.0,,,611103000.0,,,34435000.0,799936000.0,663000.0
2020-10-31,,162813000.0,446696000.0,148600000.0,,523422000.0,-76726000.0,,-71699000.0,1928000.0,-73627000.0,,,,,1059926000.0,0.0,172775000.0,,,,4305000.0,1340796000.0,,162371000.0,83132000.0,,14393000.0,1749509000.0,7494000.0,39975000.0,579671000.0,702039000.0,,,,15676000.0,934724000.0,-711114000.0,615000.0,813485000.0,1749509000.0,,101961000.0,,6155000.0,,,,6556000.0,189582000.0,,242103000.0,84904000.0,91605000.0,639586000.0,,85469000.0,40245000.0,,,512728000.0,,,39606000.0,795128000.0,1563000.0
2021-01-31,,229545000.0,644893000.0,214670000.0,,737422000.0,-92529000.0,,-87869000.0,4760000.0,,,,,,,0.0,239199000.0,,1240000.0,,4566000.0,2292274000.0,,167014000.0,83566000.0,,17112000.0,2732533000.0,12065000.0,51117000.0,701988000.0,863553000.0,,,,17184000.0,1860659000.0,-730116000.0,2319000.0,870574000.0,2732533000.0,,149675000.0,-1452000.0,72478000.0,,,,11325000.0,338803000.0,,356566000.0,84904000.0,91605000.0,639586000.0,,85517000.0,52799000.0,180000.0,,495427000.0,,,800135000.0,1653810000.0,1732000.0
2021-04-30,,78505000.0,224338000.0,78180000.0,,255685000.0,-31347000.0,,-32809000.0,50100000.0,-85049000.0,-0.38,-0.38,224153000.0,224153000.0,1684997000.0,,211233000.0,,,,6994000.0,2038003000.0,,191310000.0,374581000.0,,18186000.0,2881171000.0,3468000.0,49627000.0,786793000.0,982765000.0,,,,39953000.0,2027774000.0,-815165000.0,2117000.0,849264000.0,2881171000.0,,54362000.0,,-31466000.0,,,,-10562000.0,109376000.0,,147533000.0,0.0,0.0,0.0,,353407000.0,25796000.0,,,-384946000.0,,,2609000.0,-233611000.0,1385000.0
2021-07-31,,168937000.0,471596000.0,168635000.0,,550346000.0,-78750000.0,,-85889000.0,54300000.0,-142367000.0,-0.63,-0.63,226362000.0,226362000.0,1787051000.0,,266540000.0,,,,38178000.0,2252025000.0,,215832000.0,374310000.0,,18836000.0,3136045000.0,19642000.0,70162000.0,882969000.0,1136828000.0,,,,38278000.0,2224644000.0,-872483000.0,1550000.0,904268000.0,3136045000.0,,130649000.0,,24257000.0,,,,5383000.0,251742000.0,,256008000.0,0.0,0.0,0.0,,353746000.0,55793000.0,,,-426121000.0,,,38799000.0,-131557000.0,2337000.0
