Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-23,18836000000.0,6616000000.0,12220000000.0,,,7726000000.0,4494000000.0,100000000.0,,954000000.0,3640000000.0,0.63,0.62,5754000000.0,5866000000.0,4710000000.0,,4237000000.0,1215000000.0,2233000000.0,,2816000000.0,50139000000.0,,3958000000.0,14423000000.0,2661000000.0,5222000000.0,76403000000.0,750000000.0,4594000000.0,6751000000.0,14405000000.0,2906000000.0,,1941000000.0,425000000.0,34871000000.0,5086000000.0,739000000.0,41512000000.0,76403000000.0,,692000000.0,,994000000.0,80000000.0,,202000000.0,58000000.0,190000000.0,493000000.0,3974000000.0,,11278000000.0,6282000000.0,,2308000000.0,408000000.0,,-60000000.0,-8185000000.0,1436000000.0,49000000.0,3203000000.0,-1008000000.0,
2010-05-01,29204000000.0,10354000000.0,18850000000.0,,,12011000000.0,6839000000.0,158000000.0,,1165000000.0,5832000000.0,1.01,0.99,5746000000.0,5869000000.0,3961000000.0,,4078000000.0,1250000000.0,2277000000.0,,3047000000.0,49758000000.0,,3994000000.0,16668000000.0,3448000000.0,5424000000.0,79292000000.0,902000000.0,4380000000.0,7154000000.0,18439000000.0,3149000000.0,,1054000000.0,679000000.0,35440000000.0,5570000000.0,676000000.0,43830000000.0,79292000000.0,,1126000000.0,,662000000.0,86000000.0,,544000000.0,160000000.0,740000000.0,-149000000.0,6941000000.0,,17474000000.0,12193000000.0,,4950000000.0,699000000.0,,-80000000.0,-11233000000.0,2780000000.0,177000000.0,2535000000.0,-1757000000.0,
2010-07-31,40040000000.0,14397000000.0,25643000000.0,,,16479000000.0,9164000000.0,251000000.0,,1648000000.0,7767000000.0,1.36,1.33,5732000000.0,5848000000.0,4581000000.0,35280000000.0,4929000000.0,1327000000.0,3842000000.0,,3178000000.0,51421000000.0,,3941000000.0,16674000000.0,3274000000.0,5820000000.0,81130000000.0,895000000.0,4359000000.0,7664000000.0,19233000000.0,3419000000.0,276000000.0,1353000000.0,652000000.0,36845000000.0,5851000000.0,623000000.0,44267000000.0,81130000000.0,,1517000000.0,-477000000.0,1528000000.0,158000000.0,,639000000.0,139000000.0,1531000000.0,148000000.0,10173000000.0,,23697000000.0,19300000000.0,,5279000000.0,1008000000.0,,-128000000.0,-11931000000.0,3278000000.0,211000000.0,621000000.0,-1137000000.0,2068000000.0
2010-10-30,10750000000.0,3995000000.0,6755000000.0,,,4404000000.0,2351000000.0,74000000.0,,495000000.0,1930000000.0,0.34,0.34,5595000000.0,5675000000.0,3796000000.0,35129000000.0,4471000000.0,1523000000.0,1992000000.0,,3495000000.0,50406000000.0,,3984000000.0,16742000000.0,3176000000.0,5707000000.0,80015000000.0,945000000.0,4068000000.0,7420000000.0,18120000000.0,3316000000.0,,940000000.0,730000000.0,35320000000.0,6034000000.0,950000000.0,44675000000.0,80015000000.0,,407000000.0,338000000.0,-506000000.0,193000000.0,,8000000.0,45000000.0,-367000000.0,-200000000.0,1667000000.0,,3574000000.0,6232000000.0,,69000000.0,326000000.0,,-19000000.0,-167000000.0,374000000.0,28000000.0,-2285000000.0,-785000000.0,565000000.0
2011-01-29,21157000000.0,8141000000.0,13016000000.0,,,8981000000.0,4035000000.0,120000000.0,,704000000.0,3451000000.0,0.62,0.61,5563000000.0,5630000000.0,4924000000.0,35305000000.0,4620000000.0,1602000000.0,2054000000.0,,3561000000.0,52066000000.0,,4031000000.0,16746000000.0,2799000000.0,6339000000.0,81981000000.0,796000000.0,3972000000.0,7878000000.0,18505000000.0,3929000000.0,,968000000.0,741000000.0,36295000000.0,6363000000.0,976000000.0,45641000000.0,81981000000.0,,837000000.0,64000000.0,-343000000.0,270000000.0,,393000000.0,-105000000.0,686000000.0,-246000000.0,4276000000.0,,8357000000.0,9394000000.0,,94000000.0,652000000.0,,-28000000.0,-649000000.0,1158000000.0,45000000.0,-3284000000.0,343000000.0,957000000.0
2011-04-30,32023000000.0,12348000000.0,19675000000.0,,,13457000000.0,6218000000.0,140000000.0,,1100000000.0,5258000000.0,0.95,0.94,5545000000.0,5596000000.0,6635000000.0,36732000000.0,4413000000.0,1442000000.0,2120000000.0,,3862000000.0,55204000000.0,,4023000000.0,16880000000.0,2702000000.0,6541000000.0,85350000000.0,799000000.0,3917000000.0,7771000000.0,16110000000.0,3928000000.0,,1166000000.0,772000000.0,38144000000.0,7217000000.0,1307000000.0,47163000000.0,85350000000.0,,1237000000.0,-37000000.0,-603000000.0,105000000.0,,567000000.0,-103000000.0,537000000.0,-341000000.0,7255000000.0,,14134000000.0,14942000000.0,,266000000.0,930000000.0,,-48000000.0,-2461000000.0,1516000000.0,65000000.0,-2740000000.0,2054000000.0,1328000000.0
2011-07-30,43218000000.0,16682000000.0,26536000000.0,,,18862000000.0,7674000000.0,151000000.0,,1335000000.0,6490000000.0,1.17,1.17,5529000000.0,5563000000.0,7662000000.0,36923000000.0,4698000000.0,1486000000.0,3879000000.0,,941000000.0,57231000000.0,,3916000000.0,16818000000.0,2541000000.0,3101000000.0,87095000000.0,876000000.0,4734000000.0,8025000000.0,17506000000.0,4182000000.0,264000000.0,1191000000.0,723000000.0,39836000000.0,7284000000.0,1294000000.0,47226000000.0,87095000000.0,,1620000000.0,,-298000000.0,147000000.0,,-275000000.0,-28000000.0,1028000000.0,245000000.0,10079000000.0,,18117000000.0,17538000000.0,,266000000.0,1174000000.0,,-22000000.0,-2934000000.0,1831000000.0,71000000.0,-4064000000.0,3081000000.0,1649000000.0
2011-10-29,11256000000.0,4366000000.0,6890000000.0,,,4680000000.0,2210000000.0,35000000.0,,468000000.0,1777000000.0,0.33,0.33,5394000000.0,5407000000.0,4747000000.0,39641000000.0,4300000000.0,1622000000.0,2158000000.0,,1499000000.0,57267000000.0,,3753000000.0,16823000000.0,2369000000.0,3543000000.0,86964000000.0,908000000.0,4508000000.0,8444000000.0,17461000000.0,3952000000.0,,1501000000.0,572000000.0,39750000000.0,7910000000.0,981000000.0,47188000000.0,86964000000.0,,341000000.0,,-399000000.0,168000000.0,,374000000.0,36000000.0,232000000.0,2000000.0,2333000000.0,,1179000000.0,7721000000.0,,38000000.0,265000000.0,,-77000000.0,-3191000000.0,203000000.0,21000000.0,-2057000000.0,-2915000000.0,398000000.0
2012-01-28,22783000000.0,8828000000.0,13955000000.0,,,9011000000.0,4944000000.0,50000000.0,,1035000000.0,3959000000.0,0.74,0.73,5381000000.0,5404000000.0,8561000000.0,38181000000.0,3876000000.0,1590000000.0,2102000000.0,,1441000000.0,59298000000.0,,3711000000.0,16841000000.0,2236000000.0,3701000000.0,89259000000.0,791000000.0,4612000000.0,8534000000.0,17598000000.0,3928000000.0,,1556000000.0,613000000.0,39994000000.0,9490000000.0,850000000.0,49246000000.0,89259000000.0,,695000000.0,,-761000000.0,194000000.0,,505000000.0,-78000000.0,304000000.0,191000000.0,5434000000.0,,4039000000.0,12291000000.0,,109000000.0,549000000.0,,-160000000.0,-2085000000.0,653000000.0,32000000.0,-2450000000.0,899000000.0,860000000.0
2012-04-28,34371000000.0,13247000000.0,21124000000.0,,,13430000000.0,7694000000.0,79000000.0,,1649000000.0,6124000000.0,1.14,1.13,5388000000.0,5456000000.0,6461000000.0,41951000000.0,3980000000.0,1497000000.0,2104000000.0,,1510000000.0,61212000000.0,,3634000000.0,17006000000.0,2134000000.0,3650000000.0,91154000000.0,903000000.0,4491000000.0,8568000000.0,17124000000.0,4080000000.0,,1698000000.0,588000000.0,39776000000.0,10869000000.0,978000000.0,51357000000.0,91154000000.0,,1032000000.0,,-660000000.0,113000000.0,,495000000.0,34000000.0,482000000.0,-100000000.0,8403000000.0,,7930000000.0,19591000000.0,,333000000.0,830000000.0,,-175000000.0,-6244000000.0,1115000000.0,57000000.0,-3360000000.0,-1201000000.0,1424000000.0
