Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-25,9041000000.0,,,,,6756000000.0,2285000000.0,,,-624000000.0,1152000000.0,2.94,2.91,392127.0,395686.0,1029000000.0,,995000000.0,,158000000.0,,124000000.0,2570000000.0,,23213000000.0,,,165000000.0,27036000000.0,967000000.0,100000000.0,,1865000000.0,,6585000000.0,,1284000000.0,18176000000.0,9182000000.0,-809000000.0,,27036000000.0,,,436000000.0,92000000.0,,,28000000.0,-4000000.0,,-111000000.0,2060000000.0,,,,,,-1447000000.0,,54000000.0,-1393000000.0,,,-307000000.0,360000000.0,201000000.0
2010-03-26,2491000000.0,,,,,1857000000.0,634000000.0,,,197000000.0,306000000.0,0.78,0.78,391079.0,394323.0,993000000.0,,971000000.0,,184000000.0,,78000000.0,2501000000.0,,23290000000.0,,,306000000.0,27193000000.0,931000000.0,117000000.0,,2388000000.0,,6668000000.0,,1327000000.0,18308000000.0,9279000000.0,-798000000.0,,27193000000.0,,,47000000.0,24000000.0,,,-34000000.0,-26000000.0,,12000000.0,747000000.0,,,,,,331000000.0,,-18000000.0,-313000000.0,,,-470000000.0,-36000000.0,
2010-06-25,5154000000.0,,,,,3754000000.0,1400000000.0,,,424000000.0,719000000.0,1.86,1.84,387121000.0,390357000.0,633000000.0,,938000000.0,,185000000.0,,108000000.0,2143000000.0,,23173000000.0,,,319000000.0,26744000000.0,922000000.0,113000000.0,,2354000000.0,,6650000000.0,,1299000000.0,18167000000.0,8968000000.0,-787000000.0,,26744000000.0,,,79000000.0,57000000.0,,,-52000000.0,-34000000.0,,22000000.0,1422000000.0,,,,,,687000000.0,,-68000000.0,-619000000.0,,,-1199000000.0,-396000000.0,
2010-09-24,7820000000.0,,,,,5595000000.0,2225000000.0,,,712000000.0,1133000000.0,2.95,2.92,384102000.0,387516000.0,636000000.0,,1001000000.0,,206000000.0,,97000000.0,2205000000.0,,23334000000.0,,,364000000.0,27029000000.0,981000000.0,115000000.0,,2540000000.0,,6732000000.0,,1288000000.0,18391000000.0,9022000000.0,-771000000.0,,27029000000.0,,,139000000.0,-6000000.0,,,-44000000.0,27000000.0,,97000000.0,2266000000.0,,,,,,1092000000.0,,-41000000.0,-1051000000.0,,,-1608000000.0,-393000000.0,
2010-12-31,10636000000.0,,,,,7565000000.0,3071000000.0,,,983000000.0,1563000000.0,4.1,4.06,381108000.0,384509000.0,1292000000.0,,993000000.0,,6861000000.0,,106000000.0,2855000000.0,69000000.0,23799000000.0,70000000.0,,353000000.0,28141000000.0,1046000000.0,97000000.0,,2537000000.0,160000000.0,7053000000.0,,1298000000.0,19441000000.0,9087000000.0,-771000000.0,,28141000000.0,,,474000000.0,2000000.0,,,-22000000.0,79000000.0,,123000000.0,3246000000.0,,,,,,1825000000.0,,-69000000.0,-1756000000.0,,38000000.0,-1227000000.0,263000000.0,421000000.0
2011-04-01,2810000000.0,,,,,2037000000.0,773000000.0,,,243000000.0,395000000.0,1.07,1.06,369349000.0,371586000.0,534000000.0,,1068000000.0,,174000000.0,,102000000.0,2171000000.0,,23915000000.0,,,351000000.0,27577000000.0,1024000000.0,92000000.0,,2222000000.0,,7182000000.0,,1289000000.0,18821000000.0,9134000000.0,-760000000.0,,27577000000.0,,,137000000.0,-75000000.0,,,-35000000.0,-17000000.0,,-181000000.0,506000000.0,,,,,,390000000.0,,-14000000.0,-376000000.0,,,-888000000.0,-758000000.0,
2011-12-30,11743000000.0,,,,,8325000000.0,3418000000.0,,2888000000.0,1066000000.0,1822000000.0,1.68,1.67,1083000000.0,1089000000.0,783000000.0,,1129000000.0,,-7419000000.0,,78000000.0,2935000000.0,105000000.0,24974000000.0,64000000.0,,393000000.0,29473000000.0,1147000000.0,180000000.0,,2687000000.0,189000000.0,7601000000.0,,1525000000.0,21005000000.0,8275000000.0,-875000000.0,,29473000000.0,,,609000000.0,73000000.0,,,,84000000.0,,,3491000000.0,,,,,,2297000000.0,,38000000.0,-2587000000.0,,35000000.0,-1413000000.0,-509000000.0,
2012-03-30,2966000000.0,,,,,2110000000.0,856000000.0,,716000000.0,267000000.0,449000000.0,0.43,0.43,1047000000.0,1049000000.0,627000000.0,,1161000000.0,,178000000.0,,112000000.0,2468000000.0,,25141000000.0,,,399000000.0,29186000000.0,1205000000.0,192000000.0,,2593000000.0,,7799000000.0,,1330000000.0,20682000000.0,8313000000.0,-866000000.0,,29186000000.0,,,195000000.0,22000000.0,,,,69000000.0,,,444000000.0,,,,,,469000000.0,,-8000000.0,-77000000.0,,,-523000000.0,-156000000.0,
2012-06-29,5978000000.0,,,,,4179000000.0,1799000000.0,,1525000000.0,564000000.0,961000000.0,0.92,0.92,1044000000.0,1046000000.0,642000000.0,,1136000000.0,,172000000.0,,125000000.0,2372000000.0,,25632000000.0,,,402000000.0,29589000000.0,1055000000.0,179000000.0,,2575000000.0,,7896000000.0,,1315000000.0,20694000000.0,8679000000.0,-849000000.0,,29589000000.0,,,300000000.0,-2000000.0,,,,-81000000.0,,,1291000000.0,,,,,,1223000000.0,,-6000000.0,-729000000.0,,,-703000000.0,-141000000.0,
2012-09-28,8872000000.0,,,,,6219000000.0,2653000000.0,,2246000000.0,830000000.0,1416000000.0,1.36,1.36,1042000000.0,1044000000.0,693000000.0,,1163000000.0,,134000000.0,,104000000.0,2393000000.0,,25932000000.0,,,410000000.0,29930000000.0,1197000000.0,172000000.0,,3021000000.0,,8018000000.0,,1284000000.0,20899000000.0,8798000000.0,-833000000.0,,29930000000.0,,,456000000.0,0.0,,,,60000000.0,,,2304000000.0,,,,,,1830000000.0,,-10000000.0,-1325000000.0,,,-1069000000.0,-90000000.0,
2012-12-28,11756000000.0,,,,,8299000000.0,3457000000.0,,2964000000.0,1105000000.0,1859000000.0,1.79,1.79,1038000000.0,1040000000.0,784000000.0,,962000000.0,,-7977000000.0,,75000000.0,2801000000.0,,26050000000.0,64000000.0,,514000000.0,30571000000.0,1014000000.0,140000000.0,,2627000000.0,,8096000000.0,,1457000000.0,21569000000.0,8876000000.0,-936000000.0,,30571000000.0,,,592000000.0,-67000000.0,,,,-3000000.0,,,2946000000.0,,,,,,2341000000.0,,70000000.0,-2277000000.0,,37000000.0,-668000000.0,1000000.0,
2013-03-29,2958000000.0,,,,,2083000000.0,875000000.0,,725000000.0,266000000.0,459000000.0,0.45,0.45,1022000000.0,1023000000.0,705000000.0,,976000000.0,,133000000.0,,103000000.0,2567000000.0,,26288000000.0,,,516000000.0,30586000000.0,1043000000.0,138000000.0,,2474000000.0,,8202000000.0,,1393000000.0,21238000000.0,9191000000.0,-919000000.0,,30586000000.0,,,82000000.0,42000000.0,,,,48000000.0,,,731000000.0,,,,,,491000000.0,,18000000.0,-265000000.0,,,-545000000.0,-79000000.0,
2013-06-28,6027000000.0,,,,,4189000000.0,1838000000.0,,1557000000.0,563000000.0,994000000.0,0.97,0.97,1022000000.0,1023000000.0,614000000.0,,946000000.0,,144000000.0,,118000000.0,2489000000.0,,26599000000.0,,,565000000.0,30881000000.0,1022000000.0,119000000.0,,2418000000.0,,8313000000.0,,1378000000.0,21219000000.0,9482000000.0,-902000000.0,,30881000000.0,,,172000000.0,14000000.0,,,,28000000.0,,,1579000000.0,,,,,,1085000000.0,,50000000.0,-921000000.0,,,-828000000.0,-170000000.0,
2013-09-27,9026000000.0,,,,,6334000000.0,2692000000.0,,2280000000.0,823000000.0,1457000000.0,1.43,1.43,1021000000.0,1021000000.0,591000000.0,,981000000.0,,148000000.0,,85000000.0,2200000000.0,,26946000000.0,,,556000000.0,30943000000.0,1078000000.0,111000000.0,,2251000000.0,,8387000000.0,,1366000000.0,21075000000.0,9670000000.0,-886000000.0,,30943000000.0,,,229000000.0,76000000.0,,,,85000000.0,,,2499000000.0,,,,,,1687000000.0,,54000000.0,-1243000000.0,,,-1449000000.0,-193000000.0,
2013-12-27,12026000000.0,,,,,8553000000.0,3473000000.0,11000000.0,2922000000.0,1058000000.0,1864000000.0,1.83,1.83,1019000000.0,1019000000.0,592000000.0,,1052000000.0,,-8507000000.0,,64000000.0,2602000000.0,,27291000000.0,64000000.0,,591000000.0,31782000000.0,957000000.0,105000000.0,,2424000000.0,,8662000000.0,,870000000.0,21278000000.0,9936000000.0,-523000000.0,,31782000000.0,,,300000000.0,6000000.0,,,,28000000.0,,,3267000000.0,,,,,,2313000000.0,,112000000.0,-2227000000.0,,13000000.0,-1232000000.0,-192000000.0,
2014-03-28,3012000000.0,,,,,2273000000.0,739000000.0,,606000000.0,208000000.0,398000000.0,0.4,0.4,1008000000.0,1008000000.0,475000000.0,,1073000000.0,,143000000.0,,91000000.0,2289000000.0,,27494000000.0,,,583000000.0,31680000000.0,975000000.0,113000000.0,,2212000000.0,,8658000000.0,,859000000.0,21035000000.0,10062000000.0,-507000000.0,,31680000000.0,,,-1000000.0,46000000.0,,,,30000000.0,,,599000000.0,,,,,,475000000.0,,-4000000.0,-227000000.0,,,-489000000.0,-117000000.0,
2014-06-27,6256000000.0,,,,,4520000000.0,1736000000.0,,1456000000.0,529000000.0,927000000.0,0.92,0.92,1005000000.0,1006000000.0,573000000.0,,1062000000.0,,123000000.0,,123000000.0,2372000000.0,,27685000000.0,,,587000000.0,31975000000.0,900000000.0,128000000.0,,2797000000.0,,8728000000.0,,847000000.0,21071000000.0,10304000000.0,-492000000.0,,31975000000.0,,,86000000.0,60000000.0,,,,-50000000.0,,,1445000000.0,,,,,,956000000.0,,-20000000.0,-650000000.0,,,-814000000.0,-19000000.0,
2014-09-26,9477000000.0,,,,,6765000000.0,2712000000.0,,2269000000.0,833000000.0,1436000000.0,1.43,1.43,1003000000.0,1004000000.0,479000000.0,,1123000000.0,,128000000.0,,95000000.0,2676000000.0,,27994000000.0,,,608000000.0,32623000000.0,986000000.0,108000000.0,,2231000000.0,,8742000000.0,,840000000.0,21481000000.0,10527000000.0,-483000000.0,,32623000000.0,,,90000000.0,116000000.0,,,,20000000.0,,,2302000000.0,,,,,,1557000000.0,,-5000000.0,-1620000000.0,,,-795000000.0,-113000000.0,
2014-12-26,12669000000.0,,,,,9056000000.0,3613000000.0,,3044000000.0,1117000000.0,1927000000.0,1.93,1.92,1001000000.0,1002000000.0,669000000.0,,1129000000.0,,-8717000000.0,,68000000.0,2572000000.0,,28584000000.0,63000000.0,,541000000.0,33053000000.0,845000000.0,116000000.0,,2107000000.0,,8858000000.0,,1122000000.0,21877000000.0,10734000000.0,-666000000.0,,33053000000.0,,,298000000.0,119000000.0,,,,1000000.0,,,3343000000.0,,,,,,2449000000.0,,37000000.0,-2183000000.0,,3000000.0,-1083000000.0,77000000.0,
