Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-08-31,923904000.0,,,,293425000.0,,100246000.0,,88550000.0,27273000.0,,0.4,0.4,,,290646000.0,78803000.0,383943000.0,184363000.0,52907000.0,,,1372153000.0,,915358000.0,1400797000.0,,,3890904000.0,81307000.0,219994000.0,,359479000.0,,148180000.0,,,,3141356000.0,39095000.0,,3890904000.0,,3046000.0,-2538000.0,13747000.0,14799000.0,,,8420000.0,,,35298000.0,,,,,47824000.0,48200000.0,,2762000.0,-27549000.0,,,-127761000.0,-120635000.0,
2010-11-30,1860470000.0,,,,581729000.0,,202590000.0,,179127000.0,61984000.0,,0.78,0.78,,,260953000.0,23624000.0,402369000.0,208380000.0,53346000.0,,,1354846000.0,,923535000.0,1435352000.0,,,3928295000.0,92206000.0,321209000.0,,468795000.0,,145079000.0,,,,3125411000.0,49293000.0,,3928295000.0,,5799000.0,-6277000.0,27774000.0,38838000.0,,,19765000.0,,,109229000.0,,,,,88799000.0,88134000.0,,6858000.0,-60980000.0,,,-200521000.0,-150328000.0,
2011-02-28,2798297000.0,,,,864774000.0,,311466000.0,,275763000.0,99550000.0,,1.19,1.19,,,184731000.0,31974000.0,416295000.0,232294000.0,44475000.0,,,1322938000.0,,941773000.0,1491116000.0,,,3972070000.0,101935000.0,220674000.0,,391636000.0,,165271000.0,,,,3184480000.0,64795000.0,,3972070000.0,,9813000.0,22524000.0,32844000.0,61620000.0,,,26974000.0,,,207955000.0,,,,,158517000.0,142298000.0,,2845000.0,-188955000.0,,,-252070000.0,-226550000.0,
2011-05-31,3810384000.0,,,,1168944000.0,,440343000.0,,392669000.0,145680000.0,,1.68,1.68,,,438106000.0,87220000.0,429131000.0,249658000.0,45813000.0,,,1700777000.0,,946218000.0,1487882000.0,,,4351940000.0,110279000.0,242691000.0,,434139000.0,,196321000.0,,,,3255256000.0,,,4351940000.0,,15203000.0,47908000.0,48986000.0,78824000.0,,,29215000.0,,,340886000.0,,,,,171552000.0,182592000.0,,5198000.0,-298593000.0,,,-20038000.0,26825000.0,
2011-08-31,1017180000.0,,,,310466000.0,,128574000.0,,111605000.0,42967000.0,68638000.0,0.52,0.52,131309000.0,131338000.0,150312000.0,126728000.0,439090000.0,280214000.0,51823000.0,,,1482615000.0,,946466000.0,1488152000.0,,116228000.0,4127892000.0,100745000.0,225377000.0,,618646000.0,,194610000.0,,,,3323894000.0,59573000.0,2114485000.0,4127892000.0,,4522000.0,-7808000.0,10142000.0,30770000.0,,,-9329000.0,,,56562000.0,,,,,870000.0,44421000.0,,-6539000.0,-82336000.0,,,-262157000.0,,
2011-11-30,2036306000.0,,,,607578000.0,,261259000.0,,226965000.0,83977000.0,142988000.0,1.09,1.09,130522000.0,130543000.0,207772000.0,129833000.0,447350000.0,287950000.0,56007000.0,,,1591868000.0,,938664000.0,1483635000.0,,114484000.0,4215312000.0,111136000.0,318961000.0,,720201000.0,,194432000.0,,,,3327111000.0,39221000.0,2102619000.0,4215312000.0,,9756000.0,-11767000.0,20850000.0,39268000.0,,,1843000.0,,,175958000.0,,,,,14551000.0,79832000.0,,-5772000.0,-141976000.0,,,-262053000.0,,
2012-02-29,3048418000.0,,,,895945000.0,,398795000.0,,347655000.0,128632000.0,219023000.0,1.67,1.67,130261000.0,130321000.0,217983000.0,134631000.0,439650000.0,275673000.0,56422000.0,,,1625536000.0,,944034000.0,1486465000.0,,115466000.0,4253167000.0,115566000.0,224355000.0,,648561000.0,,206047000.0,,,,3403459000.0,51076000.0,2196627000.0,4253167000.0,,15023000.0,-995000.0,11760000.0,26958000.0,,,6372000.0,,,307714000.0,,,,,20882000.0,117716000.0,,-1853000.0,-193194000.0,,,-332972000.0,,
2012-05-31,4102000000.0,,1738608000.0,,1198981000.0,,539627000.0,,470944000.0,173307000.0,297637000.0,2.27,2.27,129891000.0,130033000.0,339825000.0,0.0,450861000.0,251205000.0,-207140000.0,,,1541568000.0,,944305000.0,1485375000.0,,112836000.0,4160906000.0,94840000.0,256642000.0,,670891000.0,,204581000.0,,,,3482073000.0,,2139135000.0,4160906000.0,194165000.0,20312000.0,16276000.0,24261000.0,2330000.0,,,-12557000.0,,,469862000.0,,,,,24864000.0,160802000.0,,-2011000.0,-104294000.0,,,-460575000.0,,160800000.0
2012-08-31,1051325000.0,,,,306581000.0,,139294000.0,,122773000.0,46040000.0,76733000.0,0.61,0.6,126110000.0,126458000.0,319217000.0,10948000.0,459302000.0,241699000.0,,,,1523877000.0,,953761000.0,1489104000.0,,113196000.0,4152235000.0,110906000.0,213440000.0,,384111000.0,,206856000.0,,,,3558806000.0,44015000.0,2154415000.0,4152235000.0,,5448000.0,,7128000.0,-9889000.0,,,16278000.0,,,94865000.0,,,,,2130000.0,47438000.0,,-577000.0,-61241000.0,,,-55479000.0,,
2012-11-30,2111711000.0,,,,599594000.0,,278317000.0,,245651000.0,90891000.0,154760000.0,1.24,1.23,125153000.0,125541000.0,242487000.0,33862000.0,479106000.0,236195000.0,,,,1519662000.0,,967260000.0,1522411000.0,,118069000.0,4217882000.0,118534000.0,325077000.0,,555179000.0,,206782000.0,,,,3557088000.0,46168000.0,2080644000.0,4217882000.0,,11084000.0,,24528000.0,-15460000.0,,,23019000.0,,,227263000.0,,,,,53243000.0,99062000.0,,673000.0,-191579000.0,,,-134606000.0,,
