Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-06-30,1827700000.0,,598600000.0,,334800000.0,,240900000.0,,67400000.0,49500000.0,16200000.0,0.22,0.21,75045147.0,76123857.0,74400000.0,,403700000.0,134800000.0,12700000.0,,32800000.0,687500000.0,,873000000.0,1097100000.0,357600000.0,48700000.0,3090200000.0,148100000.0,60900000.0,47100000.0,453000000.0,,,,61200000.0,,-1379100000.0,-24200000.0,-371200000.0,3090200000.0,142900000.0,4500000.0,-5000000.0,38000000.0,8500000.0,,,-7600000.0,,,178300000.0,,,,,53700000.0,122400000.0,,,-171200000.0,,,-42100000.0,-32000000.0,21000000.0
2014-09-30,418300000.0,,125300000.0,,81400000.0,,42500000.0,-41300000.0,-34300000.0,-14000000.0,-19500000.0,-0.18,-0.18,105535385.0,105535385.0,63200000.0,,332200000.0,142400000.0,11800000.0,,32200000.0,619100000.0,,853300000.0,1057900000.0,360900000.0,35700000.0,2951300000.0,116700000.0,54900000.0,40100000.0,377600000.0,,,,40400000.0,,-1398600000.0,-77800000.0,503800000.0,2951300000.0,35000000.0,1500000.0,,-62000000.0,14100000.0,,,-26300000.0,,,-39800000.0,,,,,13500000.0,31200000.0,,,-44700000.0,,,86900000.0,-11200000.0,9900000.0
2014-12-31,874100000.0,,281400000.0,,169500000.0,,104900000.0,-37700000.0,42100000.0,-18100000.0,46500000.0,0.37,0.37,124102662.0,125954246.0,84100000.0,,336400000.0,144300000.0,4100000.0,,26300000.0,637500000.0,,865100000.0,1082400000.0,392700000.0,29500000.0,3038100000.0,118400000.0,50700000.0,39700000.0,346500000.0,,,,42100000.0,,-1352100000.0,-136900000.0,493300000.0,3038100000.0,70200000.0,4300000.0,,-49800000.0,25200000.0,,,-21500000.0,,,400000.0,,,,,125100000.0,71300000.0,,,-196400000.0,,,222600000.0,9700000.0,18100000.0
2015-03-31,1320700000.0,,433600000.0,,250400000.0,,170700000.0,-38500000.0,49800000.0,11200000.0,58500000.0,0.5,0.49,124233579.0,126264631.0,116100000.0,,331600000.0,142200000.0,4200000.0,,27700000.0,653100000.0,,847300000.0,1039900000.0,373600000.0,28200000.0,2974100000.0,120900000.0,53400000.0,41700000.0,365400000.0,,,,39600000.0,,-1320600000.0,-186600000.0,468200000.0,2974100000.0,104600000.0,6400000.0,,-44600000.0,29900000.0,,,-14000000.0,,,94700000.0,,,,,131600000.0,108700000.0,,,-240300000.0,,,209000000.0,41700000.0,23700000.0
2015-06-30,1830800000.0,,615300000.0,,337300000.0,,259900000.0,-42400000.0,112500000.0,-97700000.0,212200000.0,1.77,1.75,119575568.0,121348636.0,151300000.0,,372400000.0,132900000.0,-26000000.0,,27700000.0,737500000.0,,885200000.0,1061500000.0,368700000.0,28400000.0,3145400000.0,128200000.0,55400000.0,39000000.0,399000000.0,,,,42500000.0,,-1166900000.0,-174000000.0,634000000.0,3145400000.0,140800000.0,9000000.0,-128800000.0,7500000.0,19200000.0,,,-11700000.0,,,171800000.0,,,,,130800000.0,141000000.0,,,-271800000.0,,,196500000.0,76900000.0,34000000.0
2015-09-30,423000000.0,,121500000.0,,82200000.0,,37100000.0,-600000.0,13800000.0,4900000.0,9100000.0,0.07,0.07,124753234.0,126190457.0,151400000.0,,308200000.0,150900000.0,14800000.0,,27200000.0,691200000.0,,884300000.0,1038100000.0,348100000.0,27200000.0,3056400000.0,127400000.0,51000000.0,38000000.0,352900000.0,,,,41100000.0,,-1157800000.0,-216600000.0,597200000.0,3056400000.0,35500000.0,2500000.0,,-59700000.0,20400000.0,,,1600000.0,,,44900000.0,,,,,0.0,33200000.0,,,-33200000.0,,,-10300000.0,100000.0,10000000.0
2015-12-31,877900000.0,,273600000.0,,175200000.0,,95700000.0,3500000.0,53600000.0,14100000.0,39800000.0,0.32,0.32,124818241.0,125942856.0,115500000.0,,332000000.0,159300000.0,13400000.0,,25700000.0,679500000.0,,902000000.0,1027200000.0,332700000.0,27700000.0,3035200000.0,128500000.0,49800000.0,40800000.0,340200000.0,,,,41100000.0,,-1127100000.0,-239600000.0,607400000.0,3035200000.0,70700000.0,5100000.0,,-29700000.0,36400000.0,,,5400000.0,,,71500000.0,,,,,0.0,82500000.0,,,-82500000.0,,,-20900000.0,-35800000.0,20000000.0
2016-03-31,1315900000.0,,399800000.0,,268400000.0,,127200000.0,7100000.0,67600000.0,18300000.0,49600000.0,0.4,0.39,124809898.0,125933041.0,133900000.0,,343700000.0,167700000.0,13000000.0,,27700000.0,727500000.0,,906300000.0,1020300000.0,316300000.0,21500000.0,3057700000.0,135100000.0,53600000.0,45200000.0,371500000.0,,,,39600000.0,,-1117300000.0,-254900000.0,602900000.0,3057700000.0,105500000.0,8500000.0,,-20700000.0,43700000.0,,,6600000.0,,,121400000.0,,,,,0.0,107800000.0,,,-107800000.0,,,-27100000.0,-17400000.0,30200000.0
2016-06-30,1848100000.0,,587600000.0,,358100000.0,,217800000.0,15600000.0,144900000.0,33700000.0,111500000.0,0.89,0.89,124787819.0,125870094.0,131600000.0,,414800000.0,154800000.0,0.0,,42100000.0,790200000.0,,905800000.0,996500000.0,294000000.0,67100000.0,3091100000.0,143700000.0,45800000.0,46200000.0,391200000.0,,,,38800000.0,,-1036100000.0,-305700000.0,635900000.0,3091100000.0,140600000.0,10800000.0,8200000.0,54100000.0,35400000.0,,,21400000.0,,,155300000.0,,,,,0.0,139600000.0,,,-137700000.0,,,-30800000.0,-19700000.0,40600000.0
2016-09-30,442200000.0,,124100000.0,,98200000.0,,24800000.0,2100000.0,4800000.0,200000.0,4600000.0,0.04,0.04,124819466.0,126259721.0,132100000.0,,376300000.0,177500000.0,,,33400000.0,768900000.0,,926500000.0,1045400000.0,306100000.0,21600000.0,3128100000.0,145700000.0,56800000.0,50000000.0,448600000.0,,,,39500000.0,,-1065700000.0,-304300000.0,614500000.0,3128100000.0,35800000.0,6900000.0,,-43900000.0,16400000.0,,,-1200000.0,,,48300000.0,,,,,86900000.0,27700000.0,,,-114600000.0,,,65900000.0,500000.0,10900000.0
